,Tweets
0,RT @ilanegra: Me alegra que los abogados que defienden a diversos integrantes de Fuerza Popular citen continuamente decisiones y pronunciam…
1,"@MonicaYaya @XauxalNilda @Minsa_Peru @MartinVizcarraC @JorgeDCG @OPSOMSPeru Jorge también fue nombrado ayer embajador, en la misma ceremonia"
2,@ChoquehuancaAna @larepublica_pe Ese sujeto sigue mostrando su desprecio hacia las mujeres. Una vergüenza que haya… https://t.co/1KniQNadS8
3,Esto evidencia que el indigno fiscal de la Nación está preparando el camino para desmantelar el equipo especial que… https://t.co/cEcSGiKpes
4,@julioarbizu @OEA_oficial Mi impresión de Almagro se basa en su posición frente a la dictadura venezolana y su inéd… https://t.co/T0cq9J1jNg
5,"@julioarbizu @OEA_oficial Hola Julio, me podrías pasar la información? Gracias!"
6,Anímense a venir al Festival Internacional de Innovación Social @fiiSorg. A las 11 estaré en el conversatorio sobre… https://t.co/dgi2UIAuvF
7,"Ayer @TubinoCarlos decía que no habían bloqueado el dictamen de salud mental. 

Aquí la carta donde retira su firma… https://t.co/kKDmYj7Cra"
8,Ayer el @Minsa_Peru me nombró Embajador de la Salud Mental. Ello me compromete a seguir luchando contra los estigma… https://t.co/DNLRjBapj4
9,RT @SolCn: Historia de fin de año: Los profesores envían una felicitación diciendo que sus hijos son muy buenos trabajando en equipo.El pad…
10,"Recordando esta frase de mi abuelo, pertinente en la coyuntura actual. https://t.co/qqpVupjeZO"
11,"Colega y amiga. Una de las mejores congresistas que tenemos! 

Linda ilustración, @emmaylola! https://t.co/mk2nmjdPja"
12,Es lo valioso del sistema interamericano de DDHH: No importa que Keiko y compañía se hayan dedicado a desprestigiar… https://t.co/mkNFDS6Nyx
13,@fernando_got Vamos!
14,"RT @1000ena: @AlbertoBelaunde #MujeresYLibros | Recomiendo ""Ximena de dos caminos"" de Laura Riesco, una escritora peruana muy capa. Trata l…"
15,"RT @pessahsilvia: La salud mental es indispensable para el bienestar personal. Nos prepara para enfrentar las dificultades, luchar por nues…"
16,"Con la gran @ale_injoque en mesa de trabajo en el @congresoperu, conociendo junto a activistas LGTB la experiencia… https://t.co/m5zsHf1sri"
17,"RT @socioperiodismo: Congresista @JorgeDCG, revela  que Fuerza Popular retiró sus firmas de  crucial nueva Ley de Salud Mental, en represal…"
18,¿Perjudicar a uno de los grupos más vulnerables (pacientes de salud mental) por cálculos políticos en una norma de… https://t.co/1At2H65yQv
19,Increíble lo que nos cuenta @JorgeDCG: Fuerza Popular retiró su firma y evitó que podamos aprobar en el Congreso la… https://t.co/HFtYK74Ix1
20,RT @adbprensa: Congresista @AlbertoBelaunde participa de la presentación de los lineamientos de políticas de salud mental del @Minsa_Peru…
21,Una combi al día + obras de infraestructura vial que privilegian al auto privado (que no solucionan nada) = mayor c… https://t.co/IY6btz4jjY
22,"RT @menesesdaniela: Siguiendo la iniciativa de @AlbertoBelaunde de dar más visibilidad a autoras mujeres, voy a compartir por aquí mis lect…"
23,@DumbsLuis Creo que olvidas que yo renuncié a peruanos por el kambio cuando se produjo ese indulto.
24,Clarísima respuesta de Almagro frente a un abusivo intento de acallarlo de un sector del Frente Amplio de Uruguay.… https://t.co/7ApBhI5a3h
