,Tweets
0,"«Quiere anular al Equipo Especial Lava Jato del Ministerio Público, remover a los fiscales Vela y Pérez. Esto sería… https://t.co/hEk5GDqJzV"
1,RT @rmapalacios: Que pena ver personas tan malas haciendose llamar pastores. https://t.co/BjYORjeY7m
2,RT @smartbeteta: ¿Quién fue la peor periodista del 2018?
3,@guisserodri 👀
4,Interestelar (2014). https://t.co/KwIpAYsSca
5,RT @noakeikope: Estamos listos para convocar y salir a las calles en cualquier momento. @PedroChavarryV no nos robará la justicia. https://…
6,No se relajen mucho en la cena navideña. Chávarry ya demostró que tiene toda la intención de sacar a JDP cuando men… https://t.co/Hgylq1ZPqb
7,RT @eloymarchan: EL COLMO: Equipo Lava Jato de Brasil respalda labor de fiscales peruanos y @PedroChavarryV envía carta pidiendo explicacio…
8,🤔 https://t.co/ztOQiCPItq
9,Barnechea va a tener que comerse cinco chanchos fritos para subsanar todo lo que está haciendo.
10,@GiullianaLoza Holi https://t.co/YqSCXArfRH
11,"RT @harrygordillo: El caso de corrupción en #Chiclayo que tiene a su alcalde, David Cornejo, detenido por ser el cabecilla de la presunta o…"
12,"RT @cynmoto: Barnechea: está *señala el mamarracho en la Costa Verde* no es una obra para los ricos, para las minorías, sino para los ciuda…"
13,"RT @rsifuentes: En el 2021, cuando Barnechea te pida de nuevo su voto, recuerda este video sobón con uno de los peores gobiernos municipale…"
14,"RT @TrujiYo: Tras detención de alcalde de #Chiclayo y funcionarios que habían convertido municipio en un botín, dos de los detenidos, conve…"
15,RT @hurgamemoriaPE: Esperemos que con fiscales probos ahora pueda reabrirse investigación contra Wilfredo Becerril por sus vínculos con el…
16,"WOW, JAJAJA https://t.co/4uyXn7PvXq"
17,RT @hernunez: Estibadores y carretilleros del Mercado Mayorista en paro nuevamente desde esta noche. @emmsalima es responsable pues está au…
18,"RT @Maricarmen_Cix: @DiarioDeCurwen Había la posibilidad de que sentenciaran en su contra, por eso Pozo Arias muy bien asesorado, no acudió…"
19,RT @GloriaMonteneg: .@arlettecontrers Las mujeres queremos justicia! Con este fallo la sala penal hará que nuevamente se pase por la tortur…
