,Tweets
0,"Grande Carrillo, inmenso Advíncula y Pedro Aquino se lució con dos goles en los pocos minutos que jugó. Un 3 a 0 a… https://t.co/lau15uFKaV"
1,"Sin Guerrero, sin Farfán y sin el mudo; Perú en gran partido, se comió a Chile en el Hard Rock Stadium de Miami. Gr… https://t.co/wer64HiQW3"
2,Quiero agradecer a todos los que votaron hoy por convicción y por todas las causas justas que hemos defendido. Los… https://t.co/YWdv1f5vn7
3,"Saludo al alcalde electo @JorgeMunozAP. Por el bien de Lima, deseo que su gestión tenga éxito y priorice los proble… https://t.co/2HzUlCPtk6"
4,He votado pensando en cada uno de los mensajes que me han mandado en estos días. Una Lima justa es posible gracias… https://t.co/lX5VEtUADK
5,RT @parodirevoredo: @GGG_pe Gran trabajo @GGG_pe la mejor de las suertes!
6,"RT @monvalpa: Suerte en todo, Gutavo. @GGG_pe es una de las opciones serias y responsables para Lima. Más allá de los resultados de hoy me…"
7,"Llegó el día. Vota con convicción y esperanza, que una ciudad más justa y sin abusos sí es posible. Ya sabemos que… https://t.co/tyGeIiRa8o"
8,"Faltan horas para cerrar una campaña austera pero con corazón, en la que priorizamos nuestros anhelos al cálculo po… https://t.co/oyO2RfphkI"
9,Lima merece dejar el abuso atrás porque sus ciudadanos merecemos salir adelante. Este 07 de octubre marca la JP de… https://t.co/nZEF0Wfcok
10,¿Contra qué ha peleado tu candidato? https://t.co/d4MdNzd5Vs
11,¿Sabías que me enfrenté a Lunarejo para conseguir la Categoría 1 en Aviación? https://t.co/zhtvv1WgQc
12,"Detrás de Daniel Urresti, está José Luna Gálvez, el dueño de Podemos Perú. ¿Sabes quién es él?
Antes de votar, mira… https://t.co/ThGyEg4RTG"
13,"No basta con marcar la JP. También hay que defender los votos. Por eso, te convocamos para que nos ayudes como pers… https://t.co/yDRKSVIQu7"
14,"Alberto Fujimori regresa a prisión, de donde nunca debió salir. Mi reconocimiento a los familiares de las víctimas… https://t.co/EAkBPdLVaf"
15,"Al final, se impuso la justicia. La Corte Suprema anuló el indulto a Alberto Fujimori. Ahora deberá regresar a la c… https://t.co/TPpVR5OMV5"
16,¿Sabías que yo hice que el SOAT fuese realmente obligatorio en el año 2001? https://t.co/yabeNUPpyU
17,Proponer subsidios para el transporte público no es populismo. Es una necesidad. Las principales ciudades de Améric… https://t.co/np34KdKOtD
18,Lo importante es reconocer la necesidad de un transporte público subsidiado para Lima. Solo así llegará a las zonas… https://t.co/yIS4KEZYE5
19,Me alegra que otros candidatos se adhieran a mi propuesta de subsidiar el transporte público. El domingo lo hiciero… https://t.co/F4a0g8LcMP
20,"Yo estoy de acuerdo en que la Iglesia tenga sus principios y los expliquen desde el púlpito. Pero, desde el punto d… https://t.co/wjOAuvGw0m"
21,"Y las mujeres pobres no tienen ese acceso, porque sectores conservadores impiden que ellas tengan a su disponibilid… https://t.co/iBx50MUbPK"
22,"Ayer me preguntaron por el papel de la Iglesia Católica en temas de salud sexual reproductiva. Y dije:
A mí me pare… https://t.co/ytdF7H4JOP"
23,"""Para el #PlanArcoIris tenemos que erradicar la mentalidad machista y patriarcal que subsiste aún en la Policía Nac… https://t.co/IUr36kpjEI"
24,"""Para la comunidad trans, hemos planteado un cupo y una bolsa laboral. ¿Por qué? Porque ellos sufren el mayor preju… https://t.co/JEa14RPbum"
