,Tweets
0,¿Los medios deberían callarse cuando descubren que se usaron los nombres de personas inocentes para ocultar ingreso… https://t.co/zzLOvh1rgm
1,Un ingreso más a una discusión que surgió espontáneamente -como todo en la vida- en las páginas de El Comercio. https://t.co/XAw4SlrXda
2,RT @criticosentido: Obras por malecón y viaducto en Armendáriz saturan la Costa Verde https://t.co/yjTIIyiC5v vía @elcomercio_peru.  Obras…
3,"Creo que es todo lo contrario a un uso abusivo del ""modelo"", el Congreso aplicó un uso abusivo del poder del Estado… https://t.co/CENj3Y6YXC"
4,"¿Codicia? No, empresas han adaptado modelo de negocio a la imposición planteada por el Estado, una que, por cierto,… https://t.co/Vu5Liuf0b0"
5,RT @xruiztru: Two Repulicans. Two ways. https://t.co/GLKMjzPLtY
6,https://t.co/7rLTmXJ5uc
7,"@ojoscaidos_ Nuestra amistad se sustenta en nuestras discrepancias, estimada Keyla. 🤓🤓"
8,"RT @danielmacera1: Ayer quedé finalista en el Premio Padre Urías que organiza El Comercio con el artículo 'Pasión que no basta', sobre la c…"
9,RT @MunecoPolitico: @GonzaloRamirezT https://t.co/12ovpvtRgW
10,"@VoyaserFranco Bueno, en este caso la empresa X complementa el problema. Pero el asunto es de la empresa, no del modelo económico."
11,"Estimado, la culpa de esto es exactamente de la doctrina opuesta. El acceso a puestos de trabajo formal para inmigr… https://t.co/EC3IMjzISX"
12,Si de pronto el cobro por minuto en los estacionamientos está haciendo que pagues más de lo que te parece... No te… https://t.co/rFYOJmW6Yx
13,Sabroso populismo. La tribuna enloquece y la institución de la presidencia... https://t.co/rmWWQoKRdU
14,"Reforma laboral que el gobierno ha prometido, nunca llegará a buen puerto. Esta en manos de 2 poderes populistas.… https://t.co/xeACukQLsM"
15,"Más allá de las posiciones políticas, me parece admirable que Rafael Rey haya tenido la hidalguía suficiente para p… https://t.co/gCogimwO9u"
16,"¿Por qué algunas autoridades hacen llamados a la ciudadanía para que vaya a votar? ¿Tenemos, acaso, la opción de no hacerlo?"
17,"RT @AndresRomanaa: A pesar de que estoy a favor de la reelección, tengo una alegría cortoplacista al saber que no veré durante 5 años a muc…"
18,"Enhorabuena! El gobierno debe buscar alguien que no entorpezca una reforma tan importante y que, sobre todo, esté a… https://t.co/eAlaUYG8KX"
19,RT @rollerpress: Entrevisté a Úrsula Letona y habló sin filtro. “Creo que Keiko debe denunciar a Yoshiyama”. https://t.co/pq7hiKIzSN
20,"RT @dsalaverryv: Ley de Financiamiento ilegal de partidos es NEFASTA. No solo le hace un daño terrible al país, sino también, afectará nega…"
21,Ok. Definitivamente el Twitter de Alan García no sigue manejado por su defensa. https://t.co/5PQWfzT5tb
22,Hablen con Chávarry... https://t.co/DKYowXXnud
23,https://t.co/CtdaLqvhZa
24,Tengo el presentimiento que la prohibición a la reelección inmediata de congresistas va a ser una de esas cosas –co… https://t.co/FZCjHqw9df
25,"RT @JavierAlban: El rector no debió empujar a nadie, pero el derecho a protestar no te da derecho a impedirle transitar libremente a quiene…"
26,"RT @MedioLegal: Quién traza la línea ""oficial"" sobre el racismo, @MarcoAvilesH? Lo que hoy, tú o yo, entendemos por racismo y otras formas…"
27,"Los gritos de ""persecución política"" ahora son de ""persecución judicial"" ¿El trabajo del PJ no es acaso perseguir a… https://t.co/3xxUbvJm1L"
28,"@ojoscaidos_ Si vamos a castigar a la gente que ofende, deberíamos apresurarnos por aprobar la (nefasta) ley que pr… https://t.co/qES62DltXO"
