,Tweets
0,@luisfaresyunis Así sea.
1,"@MuroDeLima @dabugattas16 @MininterPeru No es raro, si no encuentras pruebas ni puede juzgar a nadie, el resto es s… https://t.co/AP5AOCqcnk"
2,"RT @JoseLuisGil1000: Lamentable que @dabugattas16, en el ocaso de su vida política, pretenda desacreditar al @MininterPeru Carlos MORAN SOT…"
3,@JorgeLuis2205 Por eso que los ciudadanos debemos apoyar el proyecto de SEGURIDAD y LUCHA CONTRA LA CORRUPCIÓN que… https://t.co/6CGEQ26knr
4,RT @JoseLuisGil1000: Inescrupulosos y frustrados por denuncias hechas en PJ y la Inspectoría PNP contra efectivos policiales que en 2012 la…
5,Inescrupulosos y frustrados por denuncias hechas en PJ y la Inspectoría PNP contra efectivos policiales que en 2012… https://t.co/rUT39Me6Mu
6,"@16091959 @dabugattas16 @MininterPeru Moran puso en su sitio a Ollanta Humala, le dijo que había insultado a la PNP… https://t.co/2AVqume3ss"
7,"Lamentable que @dabugattas16, en el ocaso de su vida política, pretenda desacreditar al @MininterPeru Carlos MORAN… https://t.co/VfPMojq6FG"
8,@leslyshica gracias por comentar
9,@JorgeLuis2205 @Manifiesto_pe @FiscaliaPeru @TodoSomosChavin @PETO184 @Colectivo12s @dsalaverryv @AlcortaLourdes En… https://t.co/ySiGaWIZC5
10,"@JorgeLuis2205 @Manifiesto_pe @FiscaliaPeru @TodoSomosChavin @PETO184 @Colectivo12s @dsalaverryv @AlcortaLourdes Oh, entendí"
11,"@StyloyColor @MartinVizcarraC @MininterPeru sigue en lo mismo?, pensé que ya habíamos aclarado el tema. Qué pretend… https://t.co/JRXua7V5jE"
12,"@HRomanoWy @zegarramining @VasquezBazan No me dejo llevar por la amistad, sino por los hechos objetivos que conozco… https://t.co/XiZK9augBy"
13,"@zegarramining @VasquezBazan Falso, ese es un despropósito y Ud. lo sabe."
14,"@jamesquijano @Desencubridor @MartinVizcarraC @MininterPeru No pasa nada, tranquilo, pura mala leche nomas."
15,@JorgeLuis2205 @Manifiesto_pe @FiscaliaPeru @TodoSomosChavin @PETO184 @Colectivo12s @dsalaverryv @AlcortaLourdes PORQUÉ?
16,@delurens Es una forma de decir con energía! Como ciudadano indignado! Tranquilo...
17,@IvnJA1 @Enrique43571663 @MartinVizcarraC @MininterPeru Las bancadas dan diversos respaldos y eso se ve en las vota… https://t.co/ntfv2JxyFe
18,@AlfredoLunaB A Ud.
19,@rmapalacios Conozco a Carlos Moran 30 años y se dé sus cualidades personales y profesionales por ello mi posición… https://t.co/qSJQzTXoNW
20,"@StyloyColor @RPPNoticias “dicen”! Pruebas? Proceso judicial? Sentencia? Nada, hay q probar lo que se dice."
21,@AlfredoLunaB https://t.co/DOtA1v9tft
22,"@milandtac @MartinVizcarraC @MininterPeru Yo le confirmo que si, y sobre los ""cuestionamientos"" no existe prueba al… https://t.co/KO4ML8eJ2F"
23,"@jorgeluis_caspe Creo que puede pasar, por eso lo menciono y lo exijo!"
24,"@Enrique43571663 @MartinVizcarraC @MininterPeru Nada que comentar, pobre..."
25,@Michipulso Sigue con sus dudas? avisame.
26,"@ArturoReyes_C Si fuera un operativo de inteligencia todo hubiera salido perfecto, pero no es así; esperemos los re… https://t.co/PrxsEPn1H7"
27,@ArturoReyes_C IGUAL!
28,"EXIJO A LAS AUTORIDADES UNA AUDITORIA INFORMÁTICA INMEDIATA en la central de computo de MIGRACIONES DE TUMBES, para… https://t.co/VjZAZxzvGS"
29,@vic_guerreror Gracias.
30,"@rgalarreta @MartinVizcarraC @MininterPeru @KeikoFujimori Se pueden decir tantas cosas, como que tambien ha sido re… https://t.co/F5lB6GdOfk"
31,@uqbar80 @MartinVizcarraC @MininterPeru Luz al final del tunel frente a la inseguridad y lucha contra la corrupción.
32,"@FernandoZegarr6 Gente mediocre y de mala leche buscando bajarse las cosas buenas que tiene el país, no le des port… https://t.co/hYrtcUmTsB"
33,"@rgalarreta @MartinVizcarraC @MininterPeru Puras mentiras, no se preste a ese juego de la gente mediocre que lo pro… https://t.co/OLA8QWqetg"
34,Mis comentarios sobre nuevo MININTER en RPP. https://t.co/mZIRbXutkf vía @RPPNoticias
35,@maralaska @MartinVizcarraC @MininterPeru cuál?
36,"@FernandoZegarr6 Oh, gracias.😊"
37,@manueldenzel @MartinVizcarraC @MininterPeru Con la Ley en la mano se puede hacer muchas cosas.
38,@Ralios1985 @MartinVizcarraC @MininterPeru Gracias por eso.
39,"@Ralios1985 @MartinVizcarraC @MininterPeru Es un buen hombre, sencillo, inteligencia y  muy buen profesional. Le deseo éxitos!"
40,"@StyloyColor @MartinVizcarraC @MininterPeru Si, en serio."
41,"@katia1569 Necesitamos a hombres de inteligencia con experiencia palpable, ese es Carlos Moran."
42,"@SIGFREDOAQP @RPPNoticias AUDITORIA INFORMÁTICA se llama, eso debe ser YA!"
43,@Hugolrol @RPPNoticias Si.
44,"@zicozocialvol2 @StyloyColor @sigridbazan Siempre hay cuestionamientos, pero no es cierto. Moran es un hombre HONES… https://t.co/B8umYmeQ2y"
45,"El Presidente @MartinVizcarraC ha tenido la sabiduría de elegir un hombre de inteligencia para el @MininterPeru, al… https://t.co/y4utnGR7j8"
46,"@JCar12345 @RPPNoticias Asi dicen las noticias, no tengo esa información."
47,@moxeque Totalmente de acuerdo.
48,"@DyerFrancisco La funcionaria actúa con normalidad,no olvides que lo que ella ve en la pantalla se controla desde o… https://t.co/9VIuO9O3Ku"
49,"No fue fuga, fue una salida NORMAL, porque al parecer NO HABÍA IMPEDIMENTO DE SALIDA EN EL SISTEMA. Funcionaria act… https://t.co/efx17brnqm"
50,RT @VertizPamela: 👊🏻 https://t.co/sd3iHSESMY
51,"@FrAnDeSaR ""forzadamente""?es hacer un gran esfuerzo por llamar al dialogo,creo en eso. O prefiere un incendiario aq… https://t.co/gqBNvG4Ptd"
