,Tweets
0,RT @lucianolopez27: Por eso es tan urgente que actual Fiscal de la Nación no continúe en el cargo. ¿Qué confianza nos da a los ciudadanos e…
1,"RT @elcomercio_peru: Dictan prisión preventiva contra alcaldesa electa de Lobitos, Piura y otros ocho investigados https://t.co/GVTR9QsII1"
2,"RT @MilagrosLeivaG: A Barnechea nunca se le vio apoyando a Jorge Muñoz en su candidatura a Lima, pero ahora aparece con Castañeda. Bien dic…"
3,RT @MavilaHuertasC: Nuevos retos. Mil ideas. Anotaciones en un papel. El compromiso de que #2019N contribuya a que el Perú sea un país más…
4,RT @PPKbancada: .@JuanSheput “Mi partido ha decidido en reunión de bancada apoyar que se reconsidere la votación. Nosotros creemos que ese…
5,RT @ClaraEOspinaG: -FAKE NEWS: ¿Vamos a dejar pasar caleta esta noticia falsa propalada por el portal de un trabajador del Congreso? | http…
6,"RT @Caretas: #LuisBedoyaReyes: “García destruyó al APRA, y es una pena. Alan no ha tenido ese coraje que da la austeridad, el pensamiento d…"
7,"RT @theatuv: Las #AlcaldesasdelBicentenario en sesion titulada ""Gestionar con #Integridad"". Crucial en este momento! https://t.co/opumQUkqzi"
8,RT @UExternado: #OrgulloExternadista La Biblioteca del Externado apuesta por preservar la memoria histórica de Colombia en formato digital…
9,RT @GloriaMonteneg: .@Poder_Judicial_  Qué hacen para que Félix Moreno tenga tanta “suerte” @FiscaliaPeru https://t.co/4wi7tK30yB
10,"Es un tema que debe involucrar, sin excepción, a municipios. Basta de cohetes y pirotécnicos que solo afectan a la… https://t.co/xIK4Nux0z5"
11,RT @theatuv: Se inicia el Encuentro de #AlcaldesasDelBicentenario con mujeres representantes de todo el país. Acá mi entrevista sobre el pr…
12,RT @MilagrosLeivaG: Cuál es la corona de FELIX Moreno? Que escandaloso que siga libre con tantas pruebas en su contra.
13,Tiene toda la razón @jfowks Mi respuesta aludía a una “ausencia” en tanto Keiko estaba aquí enfrentando a la justic… https://t.co/DSNuZqZRx8
14,"No es cierto, como dice fujimorismo, que 48 horas antes se pretende sacar a Giuliana Loza de defensa de Keiko Fujim… https://t.co/hHXYGlIhtk"
15,Juan Sheput: Keiko Fujimori y Fuerza Popular debieron buscar otros abogados https://t.co/WHWvIWl1Bt vía @peru21noticias
16,"Incluir a abogados en caso Keiko Fujimori no es un capricho, afirma Juan Sheput  https://t.co/cdR7yg2Euy vía @Agencia_Andina"
17,"Juan Sheput: Vizcarra ""ha hecho muy bien"" en no invitar a a Chávarry a reunión anticorrupción https://t.co/A1hpY0LsnK"
18,"Obras inútiles, destrucción de áreas verdes, deterioro urbano y una combi al día: el legado de Castañeda Lossio. https://t.co/vpOsjSRjmt"
19,Castañeda Lossio o como aprobar una licencia por combi al día. https://t.co/ceN9bKF5lf
20,RT @elcomercio_peru: Alberto Fujimori: Sala evaluará la anulación del indulto el lunes 17 https://t.co/HfSA2KjVdz
21,"Es indignante y un golpe a la lucha contra la corrupción. La prisión preventiva contra Félix Moreno, tomando en cue… https://t.co/YPUFdLZHT1"
22,"RT @gvillasis: Escandalosa resolución de la jueza Elizabeth Arias, quien ordenó el impedimento de salida del país de Félix Moreno, pese a l…"
23,RT @peru21noticias: Reconsideración de la ley de financiamiento ilícito se votará este lunes 17 https://t.co/AUsHWTnRrK https://t.co/NW5Dgp…
24,"RT @prensa_inpe: Cuarenta internos del penal Miguel Castro Castro se graduaron en primaria y secundaria 
📰 | https://t.co/8ZyiqTBJlh https:…"
25,RT @gvillasis: Estos son los donantes que niegan aportes al Apra | el comercio https://t.co/c04yZpuCl9
26,"RT @elpais_america: El monje budista momificado que hay dentro de esta escultura se preparó en vida para su automomificación, con una dieta…"
27,Importante cambio de actitud. https://t.co/gHSBPXqkLO
28,"RT @peru21noticias: Abogados de caso cocteles son acusados de obstaculizar ""la acción de la justicia"" https://t.co/WGXChefySu
La acusación…"
29,"RT @ValaAfshar: The ""Rainbow Mountain"" of Vinicunca https://t.co/GVfvTfGXpl"
30,RT @Gestionpe: Fiscal de la Nación no estuvo en reunión entre Martín Vizcarra y autoridades judiciales ► https://t.co/oxPAcgrVnX https://t.…
31,"RT @Politica_LR: Alan García: su abogado lo contradice y afirma que informante sería de la Fiscalía
 ► https://t.co/du8gDzVsLF https://t.co…"
32,"@rsousaperu No, hace tiempo me di cuenta que ustedes no han cambiado."
