,Tweets
0,"RT @Alonso_GD: El de la foto se llama Sheik Adil al-Kalbani. No es un príncipe saudí, no está casado con una niña de 6 años y el Presidente…"
1,"RT @eldiarionegro: Chávarry en pleno sabotaje. Vergüenza nacional, esperanza de los corruptos. https://t.co/JQjoRSy08X"
2,RT @lokaldammert: El twit más mezquino de la historia https://t.co/dFYbHhMM7x
3,RT @SolCn: El propósito no es bueno.  Y el comunicado tampoco.  Una vergüenza que el Fiscal de la Nación oscurezca y dificulte más aún el t…
4,RT @CesarNakazaki: Cual es el propósito institucional de este comunicado? Son o no fiscales que cumplen su función; con la que puedo discre…
5,"RT @danielyovera: ""Tal parece que se quiete obstruir el convenio con Odebrecht"", señala el fiscal Rafael Vela, jefe del Equipo Especial Lav…"
6,"RT @gvillasis: Una lástima que el Fiscal de la Nación, Pedro Chávarry saboteé con un comunicado como este el  trabajo que viene realizando…"
7,@m_palomin En el 2000 casi lo convencen.
8,"RT @DanielUrresti1: Que es lo peor que ha hecho Milagros Leiva el 2018
(RT todas las anteriores)"
9,RT @Ojo_Publico: #LoÚltimo Gestión de la ministra del Ambiente Fabiola Muñoz busca adscribir al Osinfor lo que afectaría su independencia e…
10,RT @jurrunaga: Atencion @MartinVizcarraC al evidente conflicto de interés de mover #Osinfor a @MinamPeru Lo que buscan es controlar y calla…
11,"RT @jgodoym: 1. Discrepar con una pregunta desatinada no es odio. 
2. La forma como se presentan las preguntas se da de patadas con la empa…"
12,"RT @smc90: super cool website full of interactive examples for visualizing complex systems -- in biology, physics, math, social sciences, e…"
13,"RT @CostaGino: Jorge Chávez Cotrina, quien hace unos días defendió al Cnel Colchado, respalda ahora a Vela Barba y Perez Gómez y dice que s…"
14,@litolobo @DonhaPesima @fernando_got @IEPeruanos &lt;3
15,"RT @matuk: Luego que el MEF logró aprobar el Presupuesto el 30 de Noviembre, a los 9 días solicita con carácter de URGENTE renovar exonerac…"
16,"RT @matuk: Mas detalles sobre las exoneraciones, en este artículo publicado en @Ojo_Publico escrito por @ElizabSalazar https://t.co/9YGRZLI…"
17,RT @matuk: El presupuesto se aprobó el 30 de Noviembre y a los 5 días la Comisión de Economía recordó prorrogar exoneraciones (se habían ol…
18,"RT @matuk: #ECONOMIA @MEF_Peru perfora el Presupuesto aprobado hace sólo dos semanas, usando la Navidad como cortina de humo para prorrogar…"
19,"RT @perezreverte: ""De pronto es toda una época que se vuelve contra otra. Pero los que por conocer el pasado intuyen el porvenir, asisten t…"
20,"RT @chicharronpress: -¿A dónde vamos milord?
-A la mierda, Jaime. Nos vamos a la mierda. https://t.co/lV61hM4UDD"
21,"RT @ricardovlago: Si pero también tragaperras , casinos y pseudo cooperativas. de crédito de dinero de dudoso origen ! https://t.co/Q3zz4Vg…"
22,RT @DiarioDeCurwen: No se relajen mucho en la cena navideña. Chávarry ya demostró que tiene toda la intención de sacar a JDP cuando menos l…
23,@atownsendk @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM @OswaldoMolinaC… https://t.co/gCGvd5mn4p
24,@atownsendk @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM @OswaldoMolinaC… https://t.co/QHykINT8Pv
25,RT @ilanegra: Me alegra que los abogados que defienden a diversos integrantes de Fuerza Popular citen continuamente decisiones y pronunciam…
26,@rodrigosp82 Yo.
27,RT @Angelpaezs: Giuliana Loza ha sido comprendida en el caso de lavado porque testigos la identificaron como una de las abogadas que instru…
28,@atownsendk @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM @OswaldoMolinaC… https://t.co/aMKCoZlLxK
29,@atownsendk @MariaGuerradeR2 @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM… https://t.co/MjkiNDEIdb
30,Ojalá tuviera yo los huevos para mandar algo así al grupo de wasap de la clase de mis hijos; pero como sé que no lo… https://t.co/af43PctFui
31,@atownsendk @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM @OswaldoMolinaC… https://t.co/twER3qThyk
32,@Alonso_GD @atownsendk @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM… https://t.co/ZZ1xidul2q
33,RT @atownsendk: Imaginen que Twitter decide ocultarte los likes/retweets de quienes pertencen a tu cámara de eco (quienes ya piensan como t…
34,RT @atownsendk: ¿Qué opinan? @hugonopo @JavierAlban @zacostarubio @mmolerosuarez @MZunigaP @jgodoym @GzegarraM @LDavelouis @OswaldoMolinaC…
35,RT @hugonopo: El jardín siempre se ve más verde en la otra vereda https://t.co/NF2x8clYhF
36,"Cada vez que alguien dice que Raúl Diez Canseco sería un buen presidente, me acuerdo de quienes decían lo mismo de Roque Benavides."
37,"RT @socioperiodismo: Julio Rodriguez abogado de Chávarry, Hinostroza y Oviedo. Abogado de los presuntos ""Cuellos Blancos del Puerto"", ¿Que…"
38,RT @YoSiMeLlamoPeru: Sres @FiscaliaPeru y  @Poder_Judicial_ como están las investigaciones por la no ejecución de la carta de Garantía a #O…
39,"RT @richicuenca: Intento @anatrelles
Hay 3 grandes enfoques (cronológicos) en la evolución del concepto de trabajo. El 1ero asociado al cas…"
