,Tweets
0,"RT @informateperu: Héctor Becerril, congresista de Fuerza Popular, ha sido captado en la sede de la Corte Superior de Justicia de Lambayequ…"
1,RT @el_pais: Uber quiere comenzar sus vuelos en 2023 y Audi ha presentado por primera vez un prototipo de su taxi aéreo eléctrico. Los coch…
2,"RT @el_pais: Andrés Roca Rey tiene 22 años, escucha reguetón y se inspira en Muhammad Ali. El día que salió por la puerta grande de Las Ven…"
3,"RT @CNNEE: En Uruguay, el partido Frente Amplio decidió expulsar a Luis Almagro, secretario general de la OEA: https://t.co/UUG51bFu69"
4,"Martirio boliviano, una dictadura con antifaz de democracia https://t.co/DXo7XC0arx"
5,Satélite de observação põe Peru no mapa https://t.co/3YRP2s3PqP @A_Espacial_Peru
6,El convenio de cooperación entre Corea y el Perú para el uso de los satélites de ambos países permitirá un trabajo… https://t.co/ASLAio7wxW
7,"@Manuel_CR75 Cordiales saludos, P.C. https://t.co/apogb9Wm1w"
8,"RT @elpais_opinion: Editorial | Situación nefasta
La degradación política y social en Venezuela se agudiza ante la huida hacia adelante del…"
9,Fotografías del 2018 en mi cuenta de Twitter. https://t.co/QbGW5XA8sR
10,"RT @Caretas: #LuisBedoyaReyes: “García destruyó al APRA, y es una pena. Alan no ha tenido ese coraje que da la austeridad, el pensamiento d…"
11,"RT @allantamp: @PCaterianoB @PlanetaLibrosPE Libro realmente recomendado.
Una carátula así refleja en lo que se convirtió el #Alanismo . ht…"
12,RT @Politica_LR: Chilcayo: MP señala que congresistas pidieron favores en adjudicación de obras ►https://t.co/ILLWTm5UFq https://t.co/UXsTx…
13,"@lidiaMotita @LibreriasCrisol Gracias por la información. Cordiales saludos, P.C. @PlanetaLibrosPE"
14,"RT @RPPNoticias: #LOÚLTIMO | Según el fiscal Juan Carrasco, #HéctorBecerril, #JavierVelásquezQuesquén, #CarlosBruce y #MercedesAráoz habría…"
15,"@MijaelGLP @EjercitoPeru Apreciado Mijael, recibe mi sincera felicitación. Felices Fiestas! Un abrazo, P.C."
16,"RT @Caretas: #LuisBedoyaReyes: “García destruyó al APRA, y es una pena. Alan no ha tenido ese coraje que da la austeridad, el pensamiento d…"
17,"RT @larepublica_pe: .@rmapalacios: “Creo que Keiko no podrá probar que ella no ha obstruido la actividad probatoria de la Fiscalía"" ▶️ http…"
18,"RT @elmundoes: Tenso encontronazo entre Theresa May y Jean-Claude Juncker en Bruselas.

""Me has llamado nebulosa (imprecisa)"". https://t.co…"
19,"RT @ensustrece: En @ensustrece: el exministro aprista Enrique Cornejo, al igual que su encarcelado viceministro Jorge Luis Cuba Hidalgo, re…"
20,"RT @bbcmundo: Díaz Guillén estuvo durante años al cuidado de Hugo Chávez, perteneció al círculo cercano del exmandatario y ejerció como tes…"
21,RT @CNNEE: Carmen López es una española de 21 años que dejó el patinaje artístico y la equitación para dedicarse al surf. Y es invidente ht…
22,RT @Ojo_Publico: #VerdaderoOfalso Es falso lo que dijo el congresista Tubino de que el Apra y Fuerza Popular estén siendo investigados como…
23,"Un proyecto que impulsamos  y ejecutamos contra viento y marea, que hoy rinde sus frutos en beneficio de los jóvene… https://t.co/ZM3ItYZpPq"
24,RT @avasquezr1: Comparto mi columna semanal en el portal de RPP https://t.co/8r0Pgx19Gz
25,"RT @yamilaosorio: Hoy, con los rectores de las principales universidades de Arequipa, hemos acordado la conformación de una comisión promot…"
26,"RT @FiscaliaPeru: #FiscalíaInforma | El expresidente Alan García Pérez no asistió a citación de la fiscal Janet Bernal Loayza, de la Primer…"
27,Roca Rey se consagra en La México: salvador de la Guadalupana con dos orejas https://t.co/9eqk6lu8wf vía @elmundoes
28,"RT @tavoadrianzen: @CNNEE
¿Qué implicaría la separación de los fiscales? Para el exministro de Justicia de Perú Gustavo Adrianzén sería una…"
29,RT @Infodefensa: El PeruSat-1 y el relato de un éxito https://t.co/5ddOWHSXuA https://t.co/KBNj5LQ1gG
30,"RT @BancoMundialLAC: Colombia, Argentina y Perú fueron seleccionados para participar en una iniciativa de seguridad hídrica en la región. N…"
31,RT @Politica_LR: Alan García: aportantes niegan haber contribuido en campaña presidencial del 2006 ► https://t.co/bwogTBPNrE https://t.co/X…
32,Las lecciones que le ha dejado a Perú la exploración espacial https://t.co/L35K4ISWTh vía @eltiempo
33,RT @dw_espanol: https://t.co/XFJPoSAXe1
34,RT @CNNEE: Perú intenta evitar la posible remoción de los fiscales que investigan el caso Lava Jato. ¿Qué implicaría la separación de los f…
35,"Ja,ja,ja. https://t.co/Yy6Lro8kQu"
36,"RT @CNN: Despite having suffered a debilitating spinal injury in 2015, Aldo Amenta graduated from Florida International University on Sunda…"
37,La investigación de la Cámara de Senadores también probó que el actual congresista @aquintanillach_ fue víctima del… https://t.co/wuGcHKf42x
38,RT @SolCn: @MininterPeru en este momento se consuma invasion a la altura del peaje de Arica. Policía a pocos metros dice que no puede hacer…
39,"El ex presidente Fernando Belaunde entre otros dirigentes del Frente Democrático ( FREDEMO), reconoció ante la Cáma… https://t.co/gwbYSVaL8g"
40,La Cámara de Senadores aprobó el informe de la comisión investigadora sobre espionaje telefónico durante el primer… https://t.co/jtoijsFmoY
41,Los diversos convenios internacionales suscritos por @A_Espacial_Peru con otros países optimizan el uso del satélit… https://t.co/kxLkcArALd
42,"RT @Caretas: A puertas de cumplir #100años, #LuisBedoyaReyes le da una entrevista a CARETAS donde, recuerda sus propios hitos y describe el…"
43,"RT @pablocateriano: ¡Hola a todos! Bienvenidos a mi cuenta de Twitter. Me llamo Pablo Cateriano, periodista, socio y CEO de Métrica, agenci…"
44,RT @CarlosAMontaner: ¿Cómo y cuándo terminará el experimento cubano de Fidel Alejandro Magno? https://t.co/srXs4vU2FN vía @firmaspress
45,"RT @Gestionpe: José Domingo Pérez solicitó medida cautelar a la CIDH por ""interferencias"" a su labor ► https://t.co/4tfF8bTW55 https://t.co…"
46,RT @Gestionpe: Tia María empezaría a producir cobre la primera mitad del 2021  ► https://t.co/ZIcTSQT9kA https://t.co/gqrVtUptzC
47,RT @FiscaliaPeru: El Ministerio Público y @A_Espacial_Peru del Ministerio de Defensa inauguraron la exposición itinerante sobre el Sistema…
48,Además muchos congresistas desempeñan otras actividades privadas. https://t.co/vKvgtoiBrS
49,"RT @CancilleriaPeru: Perú adoptó el “Pacto Mundial para la Migración Segura, Ordenada y Regular”.
►https://t.co/RKizxKHSLk https://t.co/xgg…"
50,"El Estado paga pensiones a los ex presidentes de manera vitalicia, como compensación por los servicios prestados a… https://t.co/n8CsOpe2Kj"
51,RT @larepublica_pe: Pedro Cateriano – Expresidente del Consejo de Ministros en https://t.co/5GuGRGFFyv: https://t.co/1pLj46ucXM vía @YouTube
52,RT @cnni: NASA has offered to give NBA superstar Steph Curry a tour of one of its lunar labs after the Golden State Warriors guard said tha…
53,RT @FiscaliaPeru: #FiscalíaInforma | El Ministerio Público y @A_Espacial_Peru del Ministerio de Defensa inauguraron la exposición itinerant…
54,"RT @NoticiasONU: Seguro que estos días has escuchado muchos mitos del #PactoMigratorioONU. 
Aquí @antonioguterres desmiente algunos de ello…"
55,RT @A_Espacial_Peru: La #AgenciaEspacialdelPerú presenta Exposición Itinerante en la @FiscaliaPeru sobre los productos realizados con imáge…
56,RT @ideeleradio: #PedroBarreto: #PedroChávarry quedaría mal si separa a #JoséDomingoPérez y #RafaelVela https://t.co/VbTsE3482u https://t.c…
57,"RT @MinCulturaPe: Saludamos al @LUMoficial por la obtención del premio de Derechos Humanos ""Javier Pérez de Cuéllar"" de @FrancePerou y @UNE…"
58,RT @Caretas: #OPINIÓN | #RafoLeón: “#Yoshiyama nos cuenta que él recibió dos millones de dólares para la campaña de Keiko de un millonario…
59,"Pedro Cateriano: ""Este Congreso lo que ha hecho es avasallar, pisotear y violar permanentemente la constitución"" https://t.co/JKs08P4Zw3"
60,Vídeo: entrevista de @DiarioDeCurwen a Pedro Cateriano @PCaterianoB  – Expresidente del Consejo de Ministros en… https://t.co/j0N3pH7aP7
61,"RT @larepublica_pe: Pedro Cateriano, expresidente del Consejo de Ministros, sobre pedido de interpelación contra ministro Morán: “Es una sa…"
62,"RT @larepublica_pe: Pedro Cateriano, expresidente del Consejo de Ministros, sobre pedido de interpelación contra ministro Morán: “Es un mét…"
63,"RT @larepublica_pe: Pedro Cateriano, expresidente del Consejo de Ministros: “Lo que le interesa ahora al Apra es acusar de espionaje”

#Sig…"
64,"RT @larepublica_pe: Pedro Cateriano, expresidente del Consejo de Ministros: “Los resultados del referéndum se interpretan como un apoyo mas…"
65,"RT @larepublica_pe: Pedro Cateriano, expresidente del Consejo de Ministros: ""Este Congreso lo que ha hecho es avasallar y pisotear la Const…"
66,RT @Politica_LR: Maritza García acusa a Mauricio Mulder de agredirla verbalmente en el Congreso ► https://t.co/veWsVB37P2 https://t.co/oa2m…
67,"RT @CancilleriaCol: Colombia adopta el Pacto para una migración ordenada, segura y regular porque no es un tratado sino una manifestación c…"
68,"RT @VasquezIan: Desde el 2008, la libertad ha caído en 81 países, mientras que ha aumentado en 56. #FreedomIndex18 #DerechosHumanos https:/…"
69,Sigue la venta de la edición pirata de El Caso García. @IndecopiOficial https://t.co/RPXpuDppOg
70,"RT @heduardo50: Heduardicidios, diciembre 11-2018, @larepublica_pe -&gt; https://t.co/e0uiwa6xmd https://t.co/B5d1xUJgDO"
71,RT @abc_es: Dos bombarderos nucleares rusos llegan a Caracas para defender al país de la amenaza extranjera https://t.co/SpSgIkSBro Por @lu…
72,"RT @CNNEE: Para el doctor Ricardo Pun-Chong, ser médico no se trata solo de atender pacientes  https://t.co/PS7UPNuSAz"
73,En nuestro país no hemos tenido debate alguno sobre este pacto migratorio de la ONU. https://t.co/TWHHHrHffY
74,RT @CancilleriaCol: .@IOMchief y @RefugeesChief  le confirmaron al Canciller @CarlosHolmesTru que este viernes se hará en Ginebra un llamam…
75,"RT @canalN_: Además, Pedro Cateriano dijo que el Congreso ""no tiene propósito de enmienda"" https://t.co/WukI1joz3Z"
76,RT @canalN_: Esta noche en #NPortada estarán @PCaterianoB y #AníbalQuiroga con @VeroLinaresC y #MarioGhibellini. Hoy a las 7:00 pm por @can…
77,"Clarísimo el fiscal Vela. ¿Alegará otra vez persecución política el ex pdte @AlanGarciaPeru , luego de declarar que… https://t.co/S2JXuRe9zy"
78,RT @gvillasis: Hay que ser muy ingenuo para afirmar  que al ex pdte Alan García lo chuponearon en una camioneta frente a su casa. Acusar al…
79,A las 7 pm estaré en @canalN_ https://t.co/SMFvjvvUqe
80,Figura en esta lista del @nytimeskec el escritor peruano Joseph Zárate. https://t.co/7Yq0b2BELH
81,RT @rmapalacios: Garcia confesó un delito. Va uno. Se llama obstrucción de la justicia. https://t.co/FAun3Im7HJ
82,Comentario del embajador de la Unión Europea en el Perú @UEenPeru Diego Mellado @EUAmbPeru sobre el referéndum real… https://t.co/xseR0DCYUS
83,"RT @elmundoes: De esclava sexual del IS a Nobel de la Paz. La historia de Nadia Murad 
 https://t.co/QMnS7PRJeN https://t.co/NsRO7vsWCy"
84,"RT @elpais_america: ""Vivíamos en cárceles mentales. Cabrera Infante estaba prohibido por traidor, y traidor consideraron a Vargas Llosa. Co…"
85,RT @rmapalacios: Su defensa debe pasarla pésimo. Solito se incrimina. https://t.co/RUUSvjTzgm
86,Lamentable. https://t.co/maWXgHPZxy
87,"RT @CNN: Dr. Ricardo Pun-Chong has just been named CNN Hero of the Year. His nonprofit Inspira provides free housing, meals and support to…"
88,RT @el_pais: DIRECTO https://t.co/lYq0HJxXg6 Así ha sido la entrega de la medalla de oro de los Nobel de la Paz 2018 a Nadia Murat y Denis…
89,RT @GrupoVaughan: ¿Has visto nuestro curso de inglés GRATIS en vídeo? Nuestros alumnos de #nivelavanzado esto ya se lo saben. ¿Y tú? #BeLik…
90,"RT @heduardo50: Heduardicidios, diciembre 10-2018, @larepublica_pe https://t.co/6xtBCpV9FS"
91,RT @camilocnn: “Lo único bueno de las dictaduras es que siempre mueren “.Vargas Llosa
92,"RT @kikesitov67: Analizó Alan Garcia las consecuencias de decir que tiene informantes en el equipo anticorrupción de la Fiscalía? 
@"
93,Los resultados del referéndum le dan un fuerte espaldarazo al gobierno de Vizcarra https://t.co/Qn4tX5AT7q
94,"RT @larepublica_pe: #VIDEO | Referéndum 2018: Rafael Rey agredió a presidente de mesa por llamarlo ""fujimorista"" ► https://t.co/OwXhweASyw…"
95,Abuelita de 80 años se ofreció como miembro en mesa de votación | Diario Correo https://t.co/Xo2ZS8MNha
96,Pedro Cateriano sobre Alan García: “El autoproclamado perseguido político declaró sobre preguntas del referéndum vi… https://t.co/2MFjpDl3Mk
97,RT @Politica_LR: Cateriano sobre García: “El autoproclamado perseguido político votó libremente” ► https://t.co/UgXDlWGUWd https://t.co/bS4…
98,RT @JDeLaQuintana: El peruano Ricardo Pun-Chong ganó el premio Héroe de CNN 2018!!!! https://t.co/Le0fzCuuk5
99,El 90.3 % de apoyo al NO en el referéndum es un rechazo contundente contra el fujiaprismo en el @congresoperu . https://t.co/skJ6RxQBxS
100,@MiliCampos @ReformasLATAM @RedPolitologas Pero es positivo para frenar la trampa del fujiaprismo. El próximo Congr… https://t.co/nh2UhxPrVd
101,¡Bravo campeones! @CARPoficial https://t.co/BqxcgIISMb
102,El resultado preliminar del referéndum es un aval político para que el pdte @MartinVizcarraC acabe su mandato. Ojal… https://t.co/KZgsz6SSFs
103,Señora ejemplar. A sus 80 años instaló su mesa de votación junto con otros dos ciudadanos que tampoco eran miembros… https://t.co/X4CDVQawgR
104,RT @2010MisterChip: Ni en el mejor de mis sueños podría haber imaginado ver este logo tan cerca de mi casa. Quedan 45 minutos para el gran…
105,Venezuela: El doctor Chirinos | Opinión | EL PAÍS https://t.co/8lAQM7MgUN
106,"El auto proclamado perseguido político @AlanGarciaPeru votó libremente, declaró en la puerta de su casa sobre pregu… https://t.co/NFA7nsECdc"
107,Hoy debemos ir a votar. El sufragio fortalece nuestra democracia. https://t.co/NX8zBqNkDh
108,@JAIFERPE @rmapalacios @PlanetaLibrosPE Por Amazon @PlanetaLibrosPE . Cordiales saludos
109,RT @camilocnn: Uf... https://t.co/mF231hUPyB
110,RT @larepublica_pe: #VIDEO | Bill Gates presentó el inodoro que revolucionará el mercado de los servicios higiénicos ► https://t.co/M5QpEnC…
111,"Sentencia del @Poder_Judicial_ sobre el caso PETROAUDIOS. Espionaje telefónico probado, durante el segundo gobierno… https://t.co/Ih5clywreo"
112,"RT @IDL_R: #ÚLTIMO #LavaJato Todos los detalles sobre el acuerdo suscrito entre Odebrecht, el Equipo Especial de la Fiscalía y la Procuradu…"
113,RT @Politica_LR: Paloma Noceda denuncia que fue agredida sexualmente por un congresista https://t.co/R2vZzHcxZU https://t.co/dXziGlWOgm
114,RT @IDL_R: #EXCLUSIVO En este especial sobre la investigación de los #CNMAudios encontrarás una nueva #app para buscar de manera rápida y f…
115,"A fin de mes saldrá la cuarta edición de ""El Caso García” de @PlanetaLibrosPE .
¡Gracias amigos lectores! https://t.co/2mXDcIA7FO"
116,"Ja,ja,ja. https://t.co/FPbAezYLL7"
117,"RT @ONU_es: La corrupción perjudica más a quienes tienen menos. Desvía fondos destinados a servicios básicos, alimentando la desigualdad y…"
118,"RT @CesarRomeroC: En la resolución de prisión preventiva, el juez Carlos Chanamé señala que Edwin Oviedo recibiría protección política de l…"
119,RT @IDL_R: #ENVIVO Hoy Gustavo Gorriti y Rosa María Palacios responderán preguntas sobre los últimos avances en las investigaciones de los…
120,RT @rmapalacios: Guerra avisada. Su tarjeta de presentación en pro de los hermanitos. https://t.co/ulHVqTnhrG
121,Ojalá que el ministro de Defensa José Huerta @MindefPeru divulgue las conclusiones del informe N 1030-2018-CG/SIE-A… https://t.co/nqji5lLdHp
122,Memorex : El espionaje telefónico en el Perú https://t.co/uh1t2sZdCX https://t.co/WDf1Q1nghf
123,Lamentable declaración del presidente electo del @Poder_Judicial_ . Un comienzo fatal. https://t.co/ff4iare25P
124,"RT @ideeleradio: #AldoVásquez sobre #JoséLuisLecaros: Al igual que #PedroChávarry fue elegido con el voto de magistrados cuestionados
https…"
125,"RT @ideeleradio: #AldoVásquez: Resultado de la elección del nuevo presidente del #PoderJudicial no es una buena señal
https://t.co/sh2HgMdo…"
126,RT @elcomercio_peru: Peruano obtiene el segundo lugar en concurso de History Channel https://t.co/F9tXfwRRCV
127,Totalmente de acuerdo. https://t.co/cQ7JQe3JLP
128,Lo que corresponde ahora es censurar a la mesa directiva del @congresoperu . Es una amenaza constante para nuestra… https://t.co/czMHa1oVhe
129,"RT @elimparciales: La CDU alemana elige a la centrista Kramp-Karrenbauer para suceder a Merkel
https://t.co/g874qbHY0g"
130,El @congresoperu fujiaprista hace tiempo ejerce su poder violando la constitución y legisla privilegiando sus inter… https://t.co/ZMDRz6Emhm
131,RT @naval_peru: ¡Buen viento y buena mar! #BAPCarrasco #AntarXXVI https://t.co/HEBXG4jZa8
132,La @ContraloriaPeru culminó auditoría que realizó del 17/12/2013/ al 30/12/2016 sobre la compra de 24 helicópteros… https://t.co/8ctTFC9Bbg
133,"RT @naval_peru: #MGPAhora Instante previos al zarpe del Buque Oceanográfico con capacidad polar #BAPCarrasco, como parte de la Vigésima Sex…"
134,"RT @Gestionpe: Jorge Coaguila: ""“Los lectores de Ribeyro se identifican con luchas y derrotas de sus personajes” ► https://t.co/TaXgpedm5T…"
135,"Señor presidente electo del @Poder_Judicial_ , se refiere usted al vocal supremo Ángel Romero Díaz?Cordiales saludo… https://t.co/p6jF0rLIxf"
136,RT @bbcmundo: Referéndum en Perú: por qué el presidente Martín Vizcarra rechaza una reforma que él mismo propuso https://t.co/ZkDl3JC0ih
137,"RT @heduardo50: Heduardicidios, diciembre 7-2018, @larepublica_pe https://t.co/q6WmFjN6AK"
138,Hoy en @ensustrece : ¡García delatado! Sin duda alguna el ex pdte @AlanGarciaPeru tiene una probada responsabilidad… https://t.co/fHnHw3VGZR
139,RT @christoferG92: En una definición cono esta no logro entender como es posible que el juez de línea y el árbitro central no hayan podido…
140,BAP Carrasco parte hacia otra misión: estudiar El Niño y el cambio climático | Sociedad | https://t.co/3OBwwMKXWE https://t.co/sKyEf1uWTY
141,RT @PedroEloyG: Sin repetición entró.
142,Vídeo: Entrevista de @VertizPamela al expremier Pedro Cateriano @PCaterianoB en @atvmasnoticias (ATV+)… https://t.co/1qFjMYq02n
143,"RT @whuacasi: #ALERTA: Sobre el cuento del ""chuponeo"", aquí les comparto un video subtitulado de la diligencia de anoche. Un aprista intent…"
144,Las Huellas del Nobel - Caretas ⁦@Caretas⁩  https://t.co/cYlPlO5Fj3
145,"Cateriano: ""Acusar de 'chuponeo' es una práctica común en el Apra"" https://t.co/Ze6q6PvZg9"
146,RT @Caretas: Pedro Cateriano (@PCaterianoB): “No hay un gobierno autoritario ni mucho menos una dictadura. Tanto que hace unos meses el par…
147,RT @ObservadorUY: Almagro va por la reelección en la OEA con apoyo de Trump y Bolsonaro. https://t.co/rj4IzX7i9X
148,"RT @EFEnoticias: Vizcarra niega ""tajantemente"" que su Gobierno haga escuchas ilegales en Perú https://t.co/qpQ3p2pgom"
149,"RT @Caretas: Pedro Cateriano sobre Donayre: ""La corte Suprema demanda que se aplique la sentencia contra el congresista #EdwinDonayre y la…"
150,El restaurante @Mitsuharu_maido del PERÚ ha sido elegido como el décimo segundo del mundo. ¡Felicitaciones! https://t.co/PsaKVXWPV9
151,El ex dictador @albertofujimori iluminó a @evoespueblo . https://t.co/z5u4BUHGUX
152,"En Lambayeque grave denuncia contra los congresistas fujiapristas Becerril y Velásquez Q.
⁦@congresoperu⁩ https://t.co/39ARbjw4Da"
153,¿Tiene algún valor la palabra del ex pdte @AlanGarciaPeru  ? https://t.co/F4v1LlDadx
154,RT @naval_peru: #MGPAhora Conferencia de prensa y recorrido por el Buque Oceanográfico con capacidad polar #BAPCarrasco https://t.co/qPts2j…
155,"RT @elnuevoherald: #Perú vota en crucial referendo con tres décadas de corrupción sobre sus espaldas
https://t.co/ou6IPuWFqC @jimwyss https…"
156,A la 1 pm estaré con @VertizPamela en @atvmasnoticias https://t.co/JHfNXgYazs
157,El perseguido político @AlanGarciaPeru le pide protección al gob de @MartinVizcarraC que lo persigue. El… https://t.co/AR77RSTtJ5
158,"RT @dw_espanol: El distrito de Megantoni, en Cusco, Perú, recibe millonarios ingresos por la extracción de gas, pero el dinero parece no ll…"
159,RT @elpais_america: Paraguay crea un perfil genético sin precedentes en el país que permitirá avanzar en la identificación de víctimas del…
160,"RT @naval_peru: #MGPAhora Conferencia de prensa a bordo del Buque Oceanográfico con capacidad polar #BAPCarrasco, unidad que el día de maña…"
161,"RT @BustamantePao18: Alerta! Mientras AG acusa al Gobierno de chuponeo, el @congresoperu aprueba norma que restringiría acción fiscal contr…"
162,"RT @rmapalacios: Debe ser observada.
Si el Congreso insiste, el Presidente puede plantear su inconstitucionalidad ante el TC que debe resol…"
163,"Human Rights Watch sobre negativa de asilo a Alan: ""Tabaré Vázquez no se dejó engañar"" https://t.co/wZyk2kN3TL"
164,RT @Gestionpe: Argentina presenta queja contra Perú ante la OMC en disputa por biodiésel ► https://t.co/GxnQIOQHuQ https://t.co/gxj5S8glQe
165,"RT @RPPNoticias: El ministro del Interior, Carlos Morán, negó rotundamente que el Gobierno realice prácticas de interceptación telefónica.…"
166,"RT @Politica_LR: #VIDEO | Morán: ""Uso de vehículo táctico de monitoreo de imágenes responde a un plan legal"" ► https://t.co/pA4nKt2MPP http…"
167,"RT @alvarezrodrich: El psicosocial armado por @APRA_Oficial hoy en la casa de su jefe, y la ley pro corrupción aprobada hoy en el congreso…"
168,"RT @noticias_tvperu: EN VIVO| Titular del @MininterPeru, Carlos Morán: “Este Gobierno no hace ningún tipo de interceptación ilegal” #TVPerú…"
169,"RT @noticias_tvperu: EN VIVO| Titular del @MininterPeru, Carlos Morán, sobre vehículo del sector en los exteriores de la vivienda de Alan G…"
170,"RT @noticias_tvperu: EN VIVO| Titular del @MininterPeru, Carlos Morán: “Me sorprende esa actitud de victimizarse ante la opinión pública” #…"
171,"RT @noticias_tvperu: EN VIVO| Titular del @MininterPeru, Carlos Morán: “La mochila no ha salido de la escena (...) contiene una laptop pers…"
172,"RT @noticias_tvperu: EN VIVO| Titular del @MininterPeru, Carlos Morán: “Que me demuestren que hay chuponeo en ese vehículo. Esa afirmación…"
173,"RT @kikesitov67: Ministro del Interior Carlos Morán: ""Ricardo Pinedo me dijo que Alan García tenía miedo de que lo detuvieran"" @RPPNoticias"
174,Menorex! https://t.co/cBI4MaJERo
175,"RT @eldiarionegro: «Alan García: la caída en desgracia del político infalible», mi columna para @elpais_america https://t.co/1kFGb9G5fe"
176,"RT @alosegura: Ese monto es más del doble del presupuesto anual del programa de lucha contra la violencia familiar, mayor al de Cuna Más y…"
177,"RT @alosegura: Una vez más, Congreso antepone intereses específicos al de los peruanos. También está modificando norma antielusiva general…"
178,"Ja,ja,ja. https://t.co/sqXB3zbV0E"
179,La persecución política más sanguinaria de nuestra historia republicana contra el ex pdte @AlanGarciaPeru . El dict… https://t.co/7jcv2AAtli
180,El ex pdte @AlanGarciaPeru y el ex vocal supremo Hinostroza no son perseguidos políticos. Contundentes resoluciones… https://t.co/7SBwgwqVSF
181,"Vídeo: Entrevista de Enrique Chávez en @noticias_tvperu al expresidente del Consejo de Ministros, Pedro Cateriano… https://t.co/6LIQ89ULP3"
182,"El encubrimiento de @FuerzaPopularPe a su congresista Mamani, cada día es más patético. https://t.co/DoZ1I7jRFF"
183,"RT @larepublica_pe: Sergio Tejada, expresidente de la Megacomisión del Congreso de la República: “Alan García ha tenido una voluntad de eva…"
184,RT @SolCn: Escandalosa muestra de lo que es una democracia solo en el papel. Referéndum dijo NO pero el Tribunal lo habilita. Alerta a todo…
185,España rechazó pedido de asilo de César Hinostroza https://t.co/wYTNf3zIC9 vía @peru21noticias
186,"RT @kikesitov67: #LOULTIMO España rechazó pedido de asilo del ex juez supremo Cesar Hinostroza 

@RPPNoticias"
187,https://t.co/MYuo1qtp7p
188,"RT @sigridbazan: Sergio Tejada: ""Lo que le preocupa más a García es el Metro de Lima, las declaraciones de Jorge Cuba, es lo que pueda lleg…"
189,"RT @tutoquiroga: 4-Dic con @soyfdelrincon, en CNNE, denunciamos el golpe Judicial-Institucional de @evoespueblo. Ahora deben actuar la @OEA…"
190,"RT @tutoquiroga: Ayer en BOL se consumó golpe judicial-institucional. @evoespueblo, el 2016, prometió que si ganaba el NO se iba callado a…"
191,"RT @PlanetaLibrosPE: 🎄🎅 Se acerca la Navidad, ya sabes qué libro pedirás como regalo. #creemosenloslibros 📚 https://t.co/DVZ1iqLra4"
192,RT @JMaSanguinetti: Nos vemos obligados a realizar la siguiente aclaración. https://t.co/eQEJetFGls
193,Sanguinetti negó haber intervenido con el gobierno por asilo de García https://t.co/dJvYsTgR03
194,"RT @noticias_tvperu: Es importante respaldar al presidente Vizcarra en el #Referéndum2018, sostiene @PCaterianoB ►https://t.co/OdD7AwDS2I #…"
195,"El @ObservadorUY informó que según el ex pdte Sanguinetti, éste recibió una llamada de un ex canciller amigo de… https://t.co/5Bk5Fl78q6"
196,RT @ObservadorUY: La decisión del gobierno uruguayo de rechazar el pedido de asilo del expresidente de Perú Alan García reconcilia a nuestr…
197,"Vídeo:Referéndum 2018: Es importante respaldar a Vizcarra, indica Cateriano https://t.co/FWcPrTFiEv vía @YouTube https://t.co/97OCRGFfPe"
198,SIMA-Perú exhibe sus capacidades en Exponaval 2018 -noticia https://t.co/J7i7oLgvs4 - Noticias Defensa… https://t.co/bUtv6kZ7h6
199,"RT @JosepBorrellF: Como nos recordó F. González, no se puede apelar a la democracia contra las reglas establecidas por la propia democracia…"
