,Tweets
0,RT @PeruanoComunica: @VertizPamela El fujimorismo siempre estuvo en contra @CIDH https://t.co/uuHDpCfvvv
1,"He aquí la importancia de la CIDH, que vela por los derechos de TODOS, hasta de los que sistemáticamente y por años… https://t.co/7COeKNeaol"
2,RT @lucianolopez27: ¿Qué sucede con los abogados comprendidos en el caso cócteles? ¿Pueden seguir patrocinando el caso?👇🏻 @RPPNoticias @can…
3,@AlbertoBelaunde ☺️👍🏻
4,"@AlbertoBelaunde @AlbertoBelaunde quizás tardíamente, te recomiendo este libro de la extraordinaria LAURA RESTREPO.… https://t.co/CP5BKdBDvk"
5,"Mensaje @MartinVizcarraC habla de un presidente con reflejos, que escucha y actúa. Habla de un presidente q está un… https://t.co/jhYxGAjf1t"
6,"RT @lucianolopez27: Ayer, en entrevista con @VertizPamela, cuando tocamos la necesidad de una #reformapolitica  integral tras el mensaje de…"
7,RT @jotabruce: En cambio suprimir el ISC a los casinos y casas de juego sería un gran acierto... https://t.co/oVW594h8NC
8,"RT @ilanegra: Quédate con quién te quiera como Moquegua a su presidente...
Fuente: La República https://t.co/CucJiWxhHp"
9,😵 https://t.co/H3Z4fvkEZI
10,"RT @ilanegra: El voto por el SÍ-SÍ-SÍ-NO:
Es mayor que la suma del voto de todos los partidos en 2016
Es la mayor suma de votos de una opci…"
11,Bien https://t.co/S4xfsgYine
12,RT @PatyDonayre: @AlbertoBelaunde Gracias por apoyarme en esta iniciativa de eliminación de la inmunidad parlamentaria pendiente desde marz…
13,"RT @lucianolopez27: ¿”Autodisolver” podría interpretarse como “adelanto de elecciones”? Sí, hay un antecedente constitucional. Aquí lo expl…"
14,@suselparedes Exacto!
15,"RT @tavoadrianzen: Tras la INTERPELACIÓN AL @MininterPeru, se abren varias opciones:
1) Lo deja caer.
2) Lo remueve antes de la censura.
3)…"
16,RT @PatyDonayre: El pueblo ha legitimado con su respaldo en las urnas las reformas que son parte de las políticas del gobierno y por ende a…
17,RT @arkadin1: Penoso argumento q en lugar de analizar razones y emociones detrás del voto; desprecia al votante. Y vaya bumerán: si la oclo…
18,🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄 https://t.co/Gn9JVEeWTF
19,😖😪recuerdo de niña en Santa María del Mar: verano pleno y lo difícil q era caminar x la orilla por las machas y pal… https://t.co/jc6gMnCOd4
20,"RT @LDavelouis: Also Rosa Bartra:
“No queremos que la Constitución se trate como papel higiénico y la respetamos y no permitimos que proyec…"
21,@VictorAndresGB insiste en la “auto disolución” de este parlamento DESLIGITIMADO @atvmasnoticias existe esta figura… https://t.co/20Ioa2DmjW
22,Una pena. En el referéndum se CASTIGÓ a ESTE congreso y no podrán reelegirse algunos congresistas valiosos. https://t.co/P4GbwaAgin
23,Gracias por la respuesta y por el esfuerzo de hacer docencia aquí en twittwrland donde la sola pregunta ha crispado… https://t.co/9MWzXzn2jO
24,"RT @EdisonLanza: Día Internacional contra la Corrupción insisto con los antídotos:
👉🏼Periodismo independiente y libre de amenazas
👉🏼Acceso…"
25,"RT @Villanadeapie: Sin portátiles, aclamación popular sincera. José Domingo Pérez le lava la cara a una de las instituciones más corruptas…"
26,RT @catiquinto: Dos fotos: misma situación. https://t.co/43Cks5zcDw
27,RT @POLITOLOGO171: El @MineduPeru la @PoliciaPeru la @Defensoria_Peru la @FiscaliaPeru y el @Poder_Judicial_ hacen poco por combatir el bul…
28,RT @larryportera: De la pregunta 2 -que obtuvo 85%- del #referéndum2018 su explicación https://t.co/9IUSuqZXzm
29,RT @ipsosperu: Resumen de resultados a Boca de Urna. #FlashAméricaIpsos https://t.co/UHjVT20T0q
30,"RT @malditaternura: Increíble:
78 % de los encuestados FUE VÍCTIMA DE BULLYING ESCOLAR según preocupante encuesta de @DiaDatv @VertizPamela…"
31,"RT @LDavelouis: ¿Polarizado?
Polarizado es 51% vs 49%. Hoy es 85% vs 15%
 
¿Economía en caída libre?
El Perú crecerá 4.1% este año según el…"
32,RT @litolobo: El Perú. https://t.co/PAWYK2AchB
33,Resultados de #referéndum indican q a quien quieren RELEVAR es a ESTE CONGRESO q ha demostrado INCAPACIDAD de repre… https://t.co/yZ6oAVEMfu
34,Resultados del #REFERENDUM indican que a quien quieren relevar es a ESTE congreso. https://t.co/xvoluWwEWQ
35,RT @Jhonayquer: @VertizPamela La verdad me aterra a quienes van a elegir para liderar un órgano tan importante como el TC que controla la c…
36,🤣🤣🤣🤣🤣🤣☺️🤣☺️🤣🤣 https://t.co/nEfIGVRNSQ
37,"NO se enseña a “ser” homosexual. SI se enseña el odio, el racismo, la homofobia, la discriminación. Estos son ataqu… https://t.co/Zy4k0Zywll"
38,"Me pregunto: ESTE congreso DESLEGITIMADO, DESAPROBADO por abrumadora mayoría será el que lleve adelante al elección… https://t.co/1XYNH19F1y"
39,"RT @MartinVizcarraC: Hoy ganó el Perú. Tenemos mucho trabajo por hacer para llevar bienestar a todos los peruanos. La tarea es grande, pero…"
40,RT @Politica_LR: #LOÚLTIMO | Boca de urna IPSOS Referéndum 2018: Sí 87%; Sí 85%; Sí 85%; No 85% ► https://t.co/N5Gg6wkG0w https://t.co/eQVP…
41,Peruanos le dijeron NO a ESTE congreso. ESTE congreso q metió de contrabando un par de trampas en la última pregunt… https://t.co/lZ6oghZ17O
42,RT @lucianolopez27: ¿Investigados pueden informarse de estrategia fiscal por miembros de @FiscaliaPeru? NO. Es delito. Aquí lo explico👇🏻 @R…
43,"RT @lucianolopez27: AGP dijo, textual: “Cuando estaba yendo a la Fiscalía, no va a haber [declaración]. Tenemos también informantes dentro…"
44,"RT @PalomaNoceda: La solidaridad que hoy han manifestado conmigo tantas personas e instituciones, demuestra que las mujeres que denunciamos…"
45,RT @MimpPeru: .@CongresoPeru cumple con sancionar denuncia de presunto tocamiento indebido. Ahora corresponde dar celeridad para que se con…
46,"RT @IDL_R: #ÚLTIMO #LavaJato Todos los detalles sobre el acuerdo suscrito entre Odebrecht, el Equipo Especial de la Fiscalía y la Procuradu…"
47,🔴Congreso aprueba  SUSPENSIÓN de Mamani. BIEN. Ahora debería proceder también el desafuero para q sea juzgado en PJ… https://t.co/iALaLAc85i
48,EN SERIO?! 😳Abogado de congresistas fujimorista Moisés Mamani recurre a “Ciencia forense” para “explicar” cómo se P… https://t.co/5Kr3JGk7ET
49,"RT @LDavelouis: Aquí les dejo los textos constitucionales que, tras el referéndum, reemplazarían a los existentes hoy. Además, una breve ex…"
50,RT @PatyDonayre: Escucho a mis colegas congresistas cuestionar la inmunidad parlamentaria que se ha convertido en un mecanismo perverso par…
51,RT @camcesar: Tendrá que conocerse el nombre de ese parlamentario y sancionarlo con el máximo rigor. El poder agrava la conducta de los man…
52,VOTEMOS INFORMADAMENTE 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 https://t.co/1Q3lvYya7z
53,"RT @MarisaGlave: Hoy votaremos a favor de la suspensión por 120 días a Moisés Mamani. Esperamos además su desafuero, la inmunidad no es imp…"
54,"RT @dsalaverryv: Saludo la valiente denuncia de la congresista @PalomaNoceda, le he informado que la Procuraduría del Congreso está a su di…"
55,FUERTE Y CLARO @PalomaNoceda DENUNCIA A COLEGA DE BANCADA POR TOCAMIENTOS INDEBIDOS durante pleno extraordinario do… https://t.co/RPYsmxfmld
56,RT @ricardovlago: Si claro eso explica el 70% de popularidad ! https://t.co/b7Eu9eBwwT
57,RT @nellylun: El nuevo presidente del @Poder_Judicial_ José Luis Lecaros es uno de los jueces con más fortuna en Perú: Tiene un patrimonio…
58,SI https://t.co/bNHQhyAaOS
59,"RT @JAAbadSotomayor: El nuevo Presidente del Poder Judicial Jose Luis Lecaros es uno de los 4 Jueces Supremos de mayor patrimonio, aquí una…"
60,"🛑RENUNCIÓ MINISTRO DE TRABAJO, reforma laboral anunciada porel ejecutivo fue el detonante. https://t.co/PM82DBbLEf"
61,MEGA #girlpower 🌸👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 https://t.co/gWh2vzdkE1
62,RT @ACTransparencia: Gerardo Távara: “Ley del financiamiento a partidos políticos es una barbaridad” https://t.co/qBGg4mXc5N
63,Naranjas 🍊 RECONTRA AGRIAS.  @dsalaverryv  no solo se desmarca de FUERZA POPULAR (q según @JuanSheput estaría evalu… https://t.co/PbqvXxfvfx
64,🔴PRISION PREVENTIVA para EDWIN OVIEDO x 18 MESES. https://t.co/EdDAdiPSS8
65,RT @BenedictSpinoza: A constitution cannot stay intact unless it is upheld both by reason and by the common sentiment of the people. (TP)
66,@chicharronpress Es cuenta oficial confirmada?
67,😖EXACTO!👇🏻 https://t.co/cr0estuVZ7
68,"Hacen, ademas,  vinculante el informe del “oficial de cumplimiento”, lo q entiendo es una grosera interferencia en… https://t.co/4ro0MdhWIj"
69,Oh oh .... naranjas 🍊 agrias (otra vez) https://t.co/vd63XRTkaG
70,@PlanetaLibrosPE ☺️ https://t.co/sZJbZ5ZeIA
71,🤩Mickey Mouse y la magia de su creador W. DISNEY. Hermosa edición rinde homenaje a un icono mundial! GRACIAS… https://t.co/SaVjMQu1qt
72,"RT @kampueromeza: Razonable observación, se están atenuando penas y exonerando de sanción otras conductas https://t.co/okAkeHT2mY"
73,La inmunidad parlamentaria es usada aquí en el Peru como una herramienta perversa de IMPUNIDAD. #blindaje https://t.co/82ahMpHXTe
74,"RT @VertizPamela: @jradzinsky Totalmente de acuerdo. Garcia, luego del duro reves del asilo denegado, consigue ponerse nuevamente los refle…"
75,"@jradzinsky Totalmente de acuerdo. Garcia, luego del duro reves del asilo denegado, consigue ponerse nuevamente los… https://t.co/XGrrnLXt7j"
76,RT @ACTransparencia: Presidente Martín Vizcarra anuncia que observará polémica ley de financiamiento ilegal de partidos aprobada en el Cong…
77,RT @JuaJimenezMayor: BBC: La peor hiperinflación en la historia de América Latina se registró en Perú en 1990 bajo el gobierno de Alan Garc…
78,RT @PCaterianoB: El perseguido político @AlanGarciaPeru le pide protección al gob de @MartinVizcarraC que lo persigue. El @MininterPeru le…
79,@ernesto_armas @MartinVizcarraC Yes
80,"🔴@MartinVizcarraC anuncia que observará le ley de  financiamiento ilícito, cuestionando el timing de la iniciativa… https://t.co/uHHu14WLIo"
81,RT @ocram: lo que me sorprende del fallido psicosocial de AG es que ninguno de los reporteros de TV reconociera el tremendo switcher en el…
82,RT @allanwagnert: Recomendamos que el Presidente de la Republica observe el proyecto de ley aprobado prematuramente y con graves deficienci…
83,"RT @ocram: mientras tanto

– Donayre, Mamani y Chávarry, blindados
– Chávarry a punto de cortar las cabezas de Vela y José Domingo Pérez
–…"
84,#girlpower🌸 menos corruptibles (según estudio exhibido en #CADE2018)  y mejores conductoras 👇🏻 https://t.co/mkRwKTJrmK
85,Puesto como en bandeja para q Juárez Atoche pise el acelerador! https://t.co/b7w87r70ot
86,RT @JuanSheput: Si esto no es un show con oportuna participación del Ministro del Interior Carlos Morán por qué entonces no exige su renunc…
87,"RT @psecada: @AlanGarciaPeru ha perdido calma, sentido y reflejos. El 2006 le quitó a quien protegía información a Lourdes. Después lo prot…"
88,RT @gmtavarac: Dictamen aprobado en el Congreso tiene varias deficiencias; una muy preocupante está en la disposición complementaria: Un in…
89,This👇🏻 https://t.co/DKGRGp0mHB
90,"Magnífico clon vocal de Freddy Mercury🤩🌟🌟🌟🌟🌟🌟🌟 amantes de QUEEN, TIENEN Q OÍRLO!!!! 👇🏻 https://t.co/hIis5dk2MP"
91,🤣 https://t.co/CJqrNgURYp
92,"RT @lucianolopez27: Con la negativa de asilo de #AlanGarcía (Uruguay y Costa Rica) y de #Hinostroza (España), nuestro sistema de justicia q…"
93,"Favor q nos hizo García con su pedido de asilo politico, mandatarios y embajadores al rededor del mundo ratificaron… https://t.co/HOMOreLsku"
94,🔴LO ÚLTIMO ESPALA NIEGA ASILO POLÍTICO A CÉSAR HINOSTROZA.
95,"Los prejucios así como el odio, el racismo, la homofobia y la discriminacion SI SE ENSEÑAN  -sobretodo con el ejemp… https://t.co/fneuY58IiL"
96,Nadie lo quiere. https://t.co/6UiG9bnte4
97,EXACTO👇🏻 https://t.co/uD7gPNQ4ff
98,RT @PedroTF: @VertizPamela Exacto. Tampoco pueden decir que la sentencia no es firme. Código Procesal Penal señala que apelación de una sen…
99,"RT @CostaGino: En lugar de apoyar a José Domingo Pérez, Chávarry le abre una nueva investigación. Se trata de distraerlo y ponerlo a la def…"
100,RT @MilagrosLeivaG: Abrazos ⁦@VertizPamela⁩ ⁦@Andrea_Llosa⁩ ⁦@pilarhigashi⁩ ⁦@pacobazan_⁩ y Dru Zileri 🎄🎄🎄🎄 felicitaciones por todo lo logr…
101,"¿Análisis? El caso de Donayre NO resiste análisis. Ha sido CONDENADO POR ROBARLE GASOLINA AL ESTADO, delito cometid… https://t.co/bA9pDN3a6i"
102,La inmunidad q deberia ser un mecanismo de protección del congresista para acusaciones arbitrariasDURANTE EL EJERCI… https://t.co/Dmb5ObWgOj
103,RT @MartinVizcarraC: En el Perú nadie tiene corona. Nuestra democracia garantiza la independencia de poderes y el debido proceso. https://t…
104,"RT @lucianolopez27: #AlanGarcia compró el boleto de peligro de fuga (elemento central del pedido de prisión preventiva), pero aún no es pos…"
105,Pdte Uruguay”la decisión fue tomada x consideraciones estrictamente jurídicas/las investigaciones q se siguen a Gar… https://t.co/gAqpOnY83Z
106,"“Yo no me corro” 
“Yo no me escondo”
“El q no la debe no la teme”
“No es ningún castigo quedarme 18 meses en mi paí… https://t.co/rw3u0CCFZs"
107,"Jo! Si, más o menos así 😲 https://t.co/b3BXRB0sev"
108,"🔴 #URUGUAYNIEGAASILO a Alan García. Ni persecución política, ni dictadura. Tendrán los apristas la hidalguía de adm… https://t.co/wPafxPx1VD"
109,RT @lucianolopez27: ¿Qué es la #JuntaNacionaldeJusticia? Aquí lo explico para votar informados en el #Referendum @malditaternura @RPPNotici…
110,@yessal No😣
111,@RandomAnaG Mamá leona forever!!!!! Gracias!
112,RT @RandomAnaG: @VertizPamela puntitos extras por la pasión con la que tocaste el tema de Angulo. #heroina 💙
113,RT @GermanLoero: Doctor en verdad se pasó de histriónico 🤦🏻‍♂️ @atvpe @DiaDatv @LOrmenoATV #DiaD @VertizPamela
114,"RT @ilanegra: Según información recabada por @cevalenzuelav, el expresidente García habría ingresado a la residencia del embajador uruguayo…"
115,RT @otravezandres: The walking dead (publicado en @SomosElComercio). https://t.co/GzPlpLy86r
116,RT @Alonso_GD: Y ahora lanzan amenazas contra los ciudadanos que no están de acuerdo con ellos... https://t.co/8puWoA7QBL
117,"RT @EconomiaDiaADia: #Cade2018
Presidente Vizcarra: Si trabajamos unidos me comprometo a que el 28/07/2021 el presidente que me suceda reci…"
118,#CADE2018 @MartinVizcarraC anuncia inicio de construcción de aereopuerto de Chinchero en dos semanas “si hay algo q… https://t.co/52xvPOxf8q
119,"#CADE2018 @MartinVizcarraC “no existe persecución política. Escudarse hablando de persecución política, persecución… https://t.co/qsLKCCmnIt"
120,"#CADE2018 @MartinVizcarraC “donde hay un corrupto hay un corruptor. Como todos somos parte del problema, juntos busquemos una solución”"
121,#CADE2018 @MartinVizcarraC hace recuento de los grandes coyunturas de corrupción y crisis “maquinitas emisoras llen… https://t.co/YOtaEAYQGR
122,"RT @JuanSheput: Contundente declaración del Embajador de Estados Unidos: ""Soy un convencido de la independencia de los poderes en el Perú""…"
123,"#CADE2018 encuesta de demanda ocupacional del Ministerio de trabajo:
6.5%  con educación universitaria
25% educació… https://t.co/nChbzRhP0E"
124,😲😲😲😲ASOMBROSO DE VERDAD!🤩hagan la prueba 👇🏻 https://t.co/SD0FtNbnf8
125,RT @otravezandres: Encuentros cercanos del tercer tipo (publicado en @Politica_ECpe). https://t.co/lN9Rg3jbBs
126,#CADE2018 auditorio aplaude de pie a gobernador regional de ICA Fernando Cillóniz (el q denunció corrupción en FP)… https://t.co/N1P33EJWmR
127,#CADE2018 OSCAR ESPINOZA-Pdte FerreyeroCorp-mea culpa frente a corrupción “todos los q acá estamos somos en parte c… https://t.co/dqaTEaS72a
128,"#CADE2019 ROQUE Benavides-pdte CONFIEP de hecho dijo más: “no puede haber encono, persecución injusta, de estan exc… https://t.co/8w4RkQlgaK"
129,"#CADE2018 ROQUE Benavides-pdte CONFIEP: “acá hay una campaña en contra del sector privado, hay una campaña de destr… https://t.co/3uC1zc42XS"
130,#CADE2018 el primer día directo a la vena: todo gira en torno a la lucha contra la corrupción. Les dejo un dato de… https://t.co/wOM84dJ47h
131,"RT @kadaui: Si tienes un micro, úsalo para debatir, construir opinión y ciudadanía, para sarcasmo inteligente sobre coyuntura. No para deni…"
132,"No fue un “EXCESO”, fue un ATAQUE MACHISTA, COBARDE Y NAUSEABUNDO magnificado por el alcance del medio en el q trab… https://t.co/WS3QPmLJCO"
133,MEGA SUSCRIBO👇🏻 https://t.co/AJz4uJzIXy
134,"RT @AlbertoBelaunde: Aunque sea tarde y obligados por la coyuntura, me alegra que algunos empiecen a entender la importancia del sistema In…"
135,"RT @espiritucitrico: Jaime Yoshiyama:
""Veo gente muerta"".... https://t.co/PJ1ixaiaYc"
136,RT @otravezandres: La muerte le sienta bien (publicado en @Politica_ECpe). https://t.co/IqdbjaV3V7
137,"RT @Alonso_GD: A ver
Si le crees a Barata: FP blanqueó plata pa ganar una elección a cambio de favorecer a Odebrecht después
Si le crees a…"
138,Esto es tan gracioso 😅como patético😖! https://t.co/pr3U7iyNzx
139,Así o con manzanas 🍎? (en modo Mark Vito) https://t.co/jN40CZcLDJ
140,🤦🏻‍♀️EXACTO!! https://t.co/NdlDcwWYqk
141,"RT @Angelpaezs: Julio María Sanguinetti es hermanastro de Andrés Sanguinetti, operador en Uruguay del Banca D'Andorra (BDA) que usó Odebrec…"
142,@danielfolivares Un gusto @danielfolivares
143,RT @danielfolivares: Un placer conversar contigo sobre la coyuntura del país y la comunicación. Gracias por recibirme en tu programa @verti…
144,RECOMIENDO leer:antecedente de estado q se negó a dar salvoconducto cuando se otorgó asilo con el q NO estaba decue… https://t.co/SJuHUaDoRr
145,RT @RecuerdosPeru: [1992] @AlanGarciaPeru desde la clandestinidad por Golpe de Estado de @albertofujimori dice que es PERSEGUIDO pero se qu…
146,Delicioso👇🏻 https://t.co/buMbMeXV2P
147,No apto para “imbéciles” 👇🏻😅 https://t.co/LoH5wfGMuH
148,"El estado con policías, jueces y fiscales q actúan con LENIDAD RE VICTIMIZAN una y otra vez a mujeres como Petronil… https://t.co/qNcpjlStfT"
149,Por fin!!! 👏🏻👏🏻👏🏻 POR UNANIMIDAD SE APRUEBA AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO. https://t.co/6Ks3uOC4Y6
150,#NUNCAESTARDE ⭐️ https://t.co/ciL9PJZMe7
151,"RT @romy_chang: Alan García no puede enviar cartas haciendo comentarios vinculados a la política interna, esto va contra lo acordado entre…"
152,"RT @heduardo50: Heduardicidios, noviembre 22-2018, @larepublica_pe -&gt; https://t.co/lbevyS47wQ https://t.co/0Jhgw1rbkY"
153,O sea q si elijo ponerme una minifalda o usar un escote pronunciado YO estoy FALTÁNDOLE EL RESPETO a los HOMBRES.… https://t.co/zYKw4UyjLM
154,"RT @eloymarchan: HOY AG VOLVIÓ A MENTIR. Fiscal Pablo Sánchez NUNCA lo limpió de las investigaciones por Enriquecimiento Ilícito, sino que…"
155,"RT @heduardo50: El Observador (Uruguay): ""García no es un perseguido político. Eso es un dato de la realidad. Una cosa es utilizar la noble…"
156,"RT @larryportera: En el editorial de ""El mercurio"" de Chile advierten que gobierno de Tabaré Vazquez deberá ser muy cuidadoso en no interve…"
157,"RT @lucianolopez27: Me preguntan: ¿Uruguay está obligado a dar razones si otorga #Asilo a #AlanGarcia? NO lo está cuando lo niega, pero SÍ…"
158,🛑MALDITO. La masacra a patadas frente a su hija 2años q del puro terror se orinó encima. La deja tirada como un per… https://t.co/buV2cUdJfl
159,"RT @VfArmando: @VertizPamela gracias por decir lo que muchos pensamos sobre esa conferencia aprofujimorista, la verdad que da hasta impoten…"
160,Mark Vito:”yo voy a explicar con manzanitas para q la gente entienda que esta es una sala de ajusticiamiento y no d… https://t.co/dXjcRjDeXF
161,RT @otravezandres: Selección uruguaya (publicado en @Politica_ECpe). https://t.co/GXQge6u9Vk
162,"RT @RPPNoticias: #LOÚLTIMO | Piden 24 meses de prisión preventiva para #Oviedo. Todos los detalles, aquí ► https://t.co/euNQB1GrZi https://…"
163,"Dado q tiene procesos judiciales eb marcha, la inocencia (o culpabilidad) la debe determinar un juez pero Alan, “qu… https://t.co/laad90BazP"
164,"RT @rmapalacios: La fiscalia no puede violar o obligar a violar el secreto profesional. Eso es delito.

La fiscalia si puede incautar infor…"
165,"RT @Angelpaezs: Confirmado: un testigo protegido y un colaborador eficaz revelaron que el abogado del Estudio Oré, Edward García Navarro, c…"
166,"RT @NunezRodas_j: @VertizPamela Fundadas razones, antes que abogados somos ciudadanos e inclusive con una mayor exigencia de un comportamie…"
167,@NunezRodas_j Gracias por las precisiones Jeny.
168,RT @gmtavarac: Subcomisión de Acusaciones Constitucionales decidió por mayoría (FP más APRA) analizar las denuncias en orden de presentació…
169,DEMASIADOOOOOOO!!!! 🤪🤣 https://t.co/CdlxhH0apc
170,"Esperemos que allanamiento de estudio Oré esté debidamente motivado.  Caso contrario, es darle argumentos a quienes… https://t.co/zpyJ1Ba3o9"
171,😖 https://t.co/5Qf5nt6UWk
172,"RT @elhelenico: En la resolución de allanamiento, se señala que abogado Edward García Navarro, que pertenece al estudio Oré Guardia, habría…"
173,RT @Ojo_Publico: #LOÚLTIMO En la resolución judicial que autoriza el allanamiento se indica que existen fuertes indicios de ocultamiento y…
174,"RT @Ojo_Publico: #LOÚLTIMO Arsenio Oré Guardia, fundador del estudio, fue abogado de Keiko Fujimori y prestó servicios al exrepresentante d…"
175,RT @Ojo_Publico: #CasoCocteles La Fiscalía y la policía allanan el estudio del abogado Arsenio Ore Guardia por el caso #Odebrecht. Se busca…
176,"RT @allanwagnert: Lamento que el ex Presidente Alan García haya solicitado asilo diplomático en lugar de colaborar con la justicia, como lo…"
177,RT @allanwagnert: Se ha señalado que me encontraría en un dilema por haber combatido la corrupción desde @ACTransparencia y varias comision…
178,"RT @AlbertoBelaunde: Chavarry tiene evidente conflicto de interés como autoridad, al presidir la institución que lo investiga. Profesores d…"
179,RT @ilanegra: Encuentre las 7 diferencias... https://t.co/4yr9PH9pSA
180,RT @LDavelouis: Aquí Mauricio Muder explicando cómo se disfrazan coimas de servicios y consultorías y cómo se pagan bancarizadas y contra r…
181,"Pero cuando la justicia me pisa los talones...entonces me declaro perseguido político. CONSECUENCIA, alguna ve lo d… https://t.co/b0j64sNa8M"
182,Senador Uruguayo se pronuncia respecto al pedido de asilo de AGarcía “no aplica para delitos comunes” https://t.co/d44MHHURVw
183,"RT @ilanegra: Cobarde!
(gran foto de La República) https://t.co/8a1CECCEgE"
184,"RT @Alonso_GD: Saben qué sí es causal de asilo? Que una turba te pegue y la policía no pueda protegerte. Qué lamentable episodio, condenabl…"
185,El @ppc_peru poniendo el parche y tomando distancia de las declaraciones de Lourdes Flores q consideró “excesivo” e… https://t.co/qpotKats0g
186,RT @Alonso_GD: Circula en Whatsapp este “documento”. El apellido del Presidente Vázquez está mal escrito y en Uruguay el Presidente *no emi…
187,RT @SolCn: La respuesta de Uruguay tendrá una trascendencia mucho mayor que el caso del ex presidente Garcia.  Si otorgan asilo estarán val…
188,😣 https://t.co/FTM52Yh4rN
189,"RT @julioarbizu: En la actualidad @AlanGarciaPeru afronta una investigación preliminar por lavado de activos, colusión y tráfico de influen…"
190,"RT @lucianolopez27: Es cierto. La Ley de Asilo Uruguaya contempla que luego de admitida a trámite la solicitud, hay un plazo máximo de 90 d…"
191,"RT @Alonso_GD: Si a pesar de todo esto, Uruguay decidiese otorgar asilo diplomático a Alan García, el Perú podría demandar a Uruguay ante l…"
192,#YoNoMeCorroMeAsilo https://t.co/dQpiYTvlFj
193,@elena6308 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣”nadie lo ve” 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣… https://t.co/zezClnnBgz
194,@rmirandam Gracias por la info!
195,RT @rmirandam: Nueva ley 30838 los declara imprescriptibles desde el 05 agosto 2018 https://t.co/pDqJv061GA
