,Tweets
0,RT @CNN: The man who swam from Japan to Hawaii says at times he saw a piece of plastic in the ocean every three minutes https://t.co/bLMJIy…
1,"Los Reyes Rojos cumplió 40 años.
Qué bonita familia. https://t.co/dFMarNJbm3"
2,"Cuando difundir noticias falsas es tan fácil como hacer un meme o editar un video y lanzarlo al WhatsApp, saber en… https://t.co/RtlqEy0fA3"
3,"Las revisiones técnicas en el Perú son un robo, una estafa y una amenaza. Las empresas responsables, a cambio de un… https://t.co/AeS7Ow4My0"
4,"La desinformación moderna ""no funciona como propaganda tradicional. Intenta enturbiar las aguas. Trata de sembrar t… https://t.co/bxgrK3qhsN"
5,"Lo de ayer fue una suerte de plebiscito para Vizcarra. Si había dudas sobre su legitimidad política, estas se han d… https://t.co/QwQCUUpfjJ"
6,"La naturaleza del referéndum es política, no técnica. La gente no solo ha salido a votar por cuatro reformas, lo es… https://t.co/SjjCbYhk7U"
7,"El plástico que no se rehúsa ni se recicla, mata. Por eso, que por fin se avance en regular el uso del plástico de… https://t.co/oyN0vrObGg"
8,Antes los casinos encontraban jueces dispuestos a otorgarles un amparo para evitar normas y tributos. Ahora resulta… https://t.co/Gvl5gJgFgN
9,@fdocaceres Solo para no dejar dudas: eso no hace que en uno u otro caso la universidad sea menos responsable. Pero… https://t.co/j9lGyibIDY
10,@fdocaceres La connotación política es importante si creemos que un estudiante universitario tiene roles que van má… https://t.co/j4wOxI2qPl
11,"@fdocaceres Un alumno participa en el gobierno universitario, un cliente no tiene esa prerrogativa en el negocio de… https://t.co/8YK5Lvs3VX"
12,"Si estudiantes no reclamaban, cobros ilegales en la PUCP no se reconocerían. Por eso mucho respeto a los que se org… https://t.co/SNFrknMDDB"
13,"Desde el viernes, los vehículos petroleros registrados antes del 2000 y los gasolineros registrados antes del 2006,… https://t.co/A20RoxAS0o"
14,"La inmunidad, como está regulada, es un incentivo perverso para un mal entendido sentido de cuerpo que ha llevado a… https://t.co/qmqgPS0UbJ"
15,"En el Perú cada año mueren 3mil personas por accidentes de tránsito. El 2018, solo en Lima, han muerto casi 400. Na… https://t.co/8ubXD1kuyN"
16,"RT @jo22_9739: Hasta un ciego puede manejar en el Perú, por @augustoreyh https://t.co/NtdZ4vbJmz vía @peru21noticias"
17,RT @Ocasio2018: Has anyone else noticed that “I am not a scientist” is the new cliche prelude for lobbyists &amp; fossil fuel interests to slip…
18,"RT @mal_menor: En el Perú, hasta un ciego podría tener licencia de conducir. Sin coimas ni sobornos. Yo hice la prueba: tengo miopía severa…"
19,@ale_ames Momento de unión!. Gracias Alexandra por el cometario y por compartir la columna.
20,"RT @pikz_ct: 50 minutos de San Isidro a la Universidad de Lima. La mayoría de la gente que va en auto, está sola. El tráfico no puede resol…"
21,@carmenlozada_dg Hola Carmen. Pregunta de cajón: ¿En qué gobierno fueron indultados más procesados o sentenciados p… https://t.co/FAyhaDBSs2
22,"¡El paniaguazo! Un día como ayer, hace 18 años, Paniagua asumió la Presidencia. Ha pasado buen tiempo, pero el pani… https://t.co/VfstCgR6ne"
23,"@petterllanosv @jesusnoriega @BDPTV Por eso, frente a las dudas y rumores mejor es la claridad. Es mucho dinero en… https://t.co/lYxSUDJSRk"
24,"La mayoría de esos fierros son innecesarios, además. Chorrillos es el mejor ejemplo de dinero público despilfarrado… https://t.co/ltxm2IpIcC"
25,RT @NanoMD: Gran columna de @augustoreyh: Profetas en su tierra https://t.co/11zRfqRZVg
26,"RT @jimedylan: Hace unos días, y casi en simultáneo, se dedicaban horas a las ideas de Aníbal Quijano en dos de las mejores universidades d…"
27,"RT @peru21noticias: #Opinión 
Augusto Rey (@augustoreyh): Profetas en su tierra
No dejes de leer 'Opina.21' https://t.co/VA0vPpecXm https:/…"
28,@NanoMD Gracias!
29,El mismo Matos Mar dice: este “constituyó el primer gran proceso nacional de articulación y participación y de inte… https://t.co/p8A37BgwTa
30,"La legalidad y el discurso oficial no reconocían las necesidades y realidades de ese nuevo Perú emergente, así que… https://t.co/adTAxiCzCH"
31,"Ante esa marginalización, los migrantes limeños hicieron fuerza conjunta para diseñar sus propios mecanismos que le… https://t.co/2uQrvSApCg"
32,Argumenta también que la verdara identidad nacional no se expresaba en la cultura formal. La cultura formal que se… https://t.co/e4H9UjaFej
33,Matos Mar argumenta que ese proceso fue respuesta a que el control del Estado e instituciones se concentraba en poc… https://t.co/XYC0vkzRjy
34,El desborde popular de Matos Mar se refiere al proceso dirigido por ciudadanos que asentados en la capital desde la… https://t.co/JJHxWIkUB4
35,Leo a un analista apuntar que la teoría del “desborde popular” de Matos Mar busca explicar que el caos limeño es hi… https://t.co/L22IVnghAW
36,"RT @jimedylan: A pesar de lo que muchas veces se dice de Lima (que es una ciudad no planificacada), la verdad es que, cuando se planificó,…"
37,"Una bomba de tiempo que heredará Muñoz es el Metropolitano, que de ser una promesa de eficiencia y modernidad, pasó… https://t.co/KKX96bJ1OT"
38,@caferodriguez ¿cómo qué? ¿Qué es ajeno a ello? ¿Acaso la protesta no se centra en el enfoque que busca que mujeres… https://t.co/bkSjKJgmsX
39,"@caferodriguez nunca pondría en tela de juicio su derecho a marchar, organizarse, alzar su voz, lo que quieran. Aho… https://t.co/c8bpOmYYR5"
40,Siempre me he preguntado qué pensarán los fundamentalistas de Con Mis Hijos No Te Metas o Padres en Acción sabiendo… https://t.co/uVdDY3K6D3
41,Las ciudades en USA han entrado en carrera para atraer empresas. Beneficios fiscales + terrenos + inversión directa… https://t.co/Ccvd2oxuQa
42,"RT @kadaui: Les cuento que la @pucp lanza su Maestría en Escritura Creativa. 
Las escritoras Giovanna Polarollo y Daniela Ramírez Ugolotti…"
43,"""Sapiens"" es sobre el pasado y ""Homo Deus"" sobre el futuro. ""21 lecciones para el S.21"", lo último de Harari, es so… https://t.co/B6lR9zWcAP"
44,Mi columna de por qué renovar parcialmente el Congreso a mitad del periodo presidencial puede ser efectivo para pre… https://t.co/hYbnGtRDrK
45,RT @michelromero: Una noticia que enorgullece a todos los peruanos. Ellos son los científicos peruanos que integran la lista de 10 finalist…
46,"""He who fights with monsters should look to it that he himself does not become a monster. And if you gaze long into… https://t.co/vD768la3m2"
47,"La bicameralidad con trampa, así como se aprobó para el referéndum, con dos caballos de Troya que poco o nada tiene… https://t.co/pl98KPrvmz"
48,"@cielovaldivia30 @AlbertoBelaunde sí, que pena. Debe ser la persona que mayor huella dejó entre quienes pasamos por… https://t.co/aNbbuXgYU1"
49,Ojo pestaña y ceja con este curso sobre gestión urbana para el semestre 2019-1 en la @pucp. https://t.co/N13BNl8ore
50,"RT @DespiertaLima: 🚧#SalvemosBenavides🚧
Aca acompañando a los vecinos de Santiago de Surco. #NoalTercerCarril https://t.co/FbMxEsRfAH"
51,"@arias29_arias Cada cultura ha creado el suyo, desde las más antiguas politeístas, hasta las más recientes monoteís… https://t.co/Jlm96bZqFs"
52,"El libro póstumo de Hawking, terminado por colegas y familia, trae respuestas a algunas de las grandes preguntas de… https://t.co/VFBwmCWWp3"
53,"Desde 1970, hemos conseguido que el 60% de mamíferos, aves, peces y reptiles desaparezcan del mundo. La región más… https://t.co/JoggYm1Ut1"
54,"@MadeleineOster3 @AlcortaLourdes Lo que logra el enfoque de género - ""Gender equality is one of the cornerstones of… https://t.co/5dP3bwxd8n"
55,@atc23 Hoy escribí sobre eso. Ahí te dejo el link: https://t.co/eho4OVQnpu
56,"Bolsonaro no ganó por su discurso fascista, machista y de corte dictatorial, sino a pesar de él. Su victoria es fru… https://t.co/h0I5fS0YbY"
57,Datos que dicen mucho. Bolsonaro ganó en el 97% de las ciudades más ricas y Haddad en el 98% más pobres. https://t.co/bfX3zB6PBH
58,"Cambios en Alemania (y la UE) Luego de 18 años como líder del CDU y 13 como 1er ministro, Angela Merkel anuncia que… https://t.co/jRvl9YrE8b"
59,"@AndresDevoto @MZunigaP la adecuada fiscalización de normas de seguridad fijo reducirán el riesgo, aun así, las reg… https://t.co/7GCdGNVezf"
60,"@AndresDevoto @MZunigaP De acuerdo en parte. Lo de ""mejor postor"" surge porque las reglas del mercado inmobiliario… https://t.co/IQ7WaxkiWB"
61,"Hace pocos días, la justicia francesa resolvió que la rivera del río Sena debe mantenerse como un espacio para cami… https://t.co/8H8m60Z2wb"
62,El problema es el poder que tienen lo operadores para básicamente hacer lo que quieran sin control. La solución es… https://t.co/IEjzc0Wf6p
63,"Ahora los operadores están actuando de la misma forma que al final del año 2014, en pleno cambio de gestión, cuando… https://t.co/hlRla2vcAG"
64,"Ese directorio tiene la facultad de tomar casi cualquier decisión sobre el Metropolitano, incluido el precio de los… https://t.co/KA6Aa4GZ4W"
65,El directorio del Metropolitano tiene autonomía y está compuesto por seis actores: las cuatro empresas operadoras d… https://t.co/0p6FFOo2wz
66,El alza del pasaje del Metropolitano responde la inexplicable estructura financiera y de gobierno que se implementó… https://t.co/pR0oLd3IBZ
67,@dulong23 @cremadcorazon @paolobenza @chinnyein No solo eso. Las restricciones de movilidad implican limitaciones d… https://t.co/bkhlFO6yE3
68,@dulong23 @cremadcorazon @paolobenza @chinnyein ¿Y cómo llegan a la escuela o al hospital? El tema es que el transp… https://t.co/xKw5Fca3ZV
69,"Lo de la PlazaSanMartín es el resumen de nuestra historia, donde el patrimonio ha caído en manos del mejor postor p… https://t.co/0Gb5R6AHL8"
70,"@dulong23 @cremadcorazon @paolobenza @chinnyein Si el “transporte público”, lo abordamos como “transporte privado”,… https://t.co/xuxsMmQa0X"
71,@dulong23 @cremadcorazon @paolobenza @chinnyein La única forma de tener transporte público de calidad accesible es… https://t.co/yJTSW0ZMJm
72,"@cremadcorazon @paolobenza @chinnyein De acuerdo, pero una ida y una vuelta/día, no incluye posibilidad de ir a otr… https://t.co/hBNV3ExTcD"
73,@cremadcorazon @paolobenza @chinnyein Piénsalo. Una persona que gana salario mínimo y usa el Metropolitano gasta fi… https://t.co/lx3bywBriv
74,"@cremadcorazon @paolobenza @chinnyein En términos reales, no. Al hacer la comparación con otros países 1) debes con… https://t.co/tb0mXhUI0n"
75,"Son 700mil personas q pagan a diario un servicio carísimo y colapsado. S/.6 x una ida y una vuelta, en un recorrido… https://t.co/TKlJ69zA7g"
76,"RT @voxdotcom: Walkable cities are good for the economy. 

Here's what an auto-oriented street would look like if transformed into a people…"
77,"@elizza24_m Hola, ayer. Aquí aquí puedes ver lo que compartió Protransporte: https://t.co/T7dvd0HiLf"
78,La historia de la Vía Expresa los icaros y el Metropolitano. https://t.co/TZ8IAqqUYL
79,"El asunto con lo del Metropolitano no es q anulen contratos con operadores incumplidos, sino q cambios sin mayor ex… https://t.co/lD69yqHcFv"
80,"RT @CNN: Authorities have intercepted bombs intended for several top political figures, including former President Barack Obama and Hillary…"
81,Esta obra debe anularse para dar paso a soluciones más inteligentes y sostenibles. Imposible mejorar Lima si seguim… https://t.co/JDr3f09rRT
