,Tweets
0,Es gracioso porque en el Comercio pagan por este tipo de capacitaciones para sus periodistas https://t.co/HR75pSt33s
1,"RT @IndiraHuilca: Francamente, no tiene nada bueno que decirle a nadie sobre este tema. Necesitamos empatía e información de calidad, no mo…"
2,RT @drmistercody: This is beautiful. https://t.co/nOH7qqI0v7
3,RT @classiclib3ral: @drmistercody Feel optimistic about the future knowing people like this are in charge
4,RT @pocovicio: @pitucos_txt que milagros leiva siga siendo periodista
5,RT @nocontextsttw: https://t.co/5MPRWTOI0M
6,"RT @OpineSesame: [extremely neoliberal voice] if you are experiencing the effects of structural racism, why not try to improve your skill s…"
7,RT @holyholyholyho: No te cansas de hacer el papel de estúpida? https://t.co/udTFwHKZ4x
8,RT @etnocacerismos: ufff q rebolusionarios https://t.co/gOEmjP73nO
9,"RT @shaun_jen: me (smiling slightly, wise, calm): western civilisation"
10,"RT @classiclib3ral: ""Putting more CO2 in our atmosphere is no problem because Venus has a lot more CO2 than us and Venus is fine"" is easily…"
11,RT @vesdape: ¿Ya están haciendo la versión peruana de Her? https://t.co/QAFheFk5hz
12,@Uultrabeba https://t.co/RHCvS9qMBm
13,RT @eloymarchan: La última de Milagros Leiva: https://t.co/c2baHYXjxG
14,"RT @willynugent: Con un presidente ingeniero de la UNI ¿será posible que el Estado de a la universidad pública la importancia que merece?
D…"
15,RT @reinadecapitada: Prefiero creer que Juan Gabriel resucita antes que creer que Barnechea es una gran candidato.
16,RT @f_obermaier: Shakira #ParadisePapers charged with tax evasion in Spain  https://t.co/voi6cv9OFY
17,"RT @carlosseaburre: *sweet child o' mine intro starts*
gente: wuuuuuu.

yup. that kind of bar."
18,RT @pitucos_txt: https://t.co/to77p4p9Wf
19,"RT @nn_dgg: Lo que me “hace gracia” es que el titular no se centra en que la empresa vende a sabiendas un producto contaminado, sino en su…"
20,"RT @ChrisKempshall: People: ‘Historians in the future will judge this harshly’
Historians: ‘We already have thoughts.’
People: ‘I wonder ho…"
21,RT @luzape: The human centipede (2009) https://t.co/vcMDTWtcOb
22,RT @nuriadiazmat: @pitucos_txt https://t.co/ifiYtdTDAO
23,RT @etnocacerismos: alguien expliqueme esta version de obedece la morsa por favor https://t.co/0w6k2wtT5V
24,RT @etnocacerismos: por que eres tan hermosa y a la vez tan comunista? (8)
25,RT @etnocacerismos: ustedes creen que barnechea era gilero? pa mi q a las flacas les decia “mira este libro estupida educate”
26,RT @juanitocbueno: https://t.co/ijfq0hS3TY
27,RT @etnocacerismos: q chiste este sujeto ptmmmmm al menos da mas risa que el otro garrido lecca jxjjjjsjwjw
28,Small Dick energy https://t.co/TFOMte0QJK
29,RT @pitucos_txt: https://t.co/NHYy7MMj5D
30,RT @eloymarchan: EL COLMO: Equipo Lava Jato de Brasil respalda labor de fiscales peruanos y @PedroChavarryV envía carta pidiendo explicacio…
31,RT @juanitocbueno: Me gusta pasarle franela a las fuerzas armadas para preparar mi entrada triunfal a la política. Me hubiera gustado frane…
32,RT @OpineSesame: all the neoliberal mind knows how to do is blame the public https://t.co/RWbqxyc5k1
33,RT @drewtoothpaste: raiising my daughter atheist so she can still do all the normal christmas stuff but feel very smug about it
34,RT @ursus_1978: la gente ahorita tan concentrada en la argolla que hay en la PUCP pero olvidan las argollazas que hay en el Estado (como en…
35,RT @etnocacerismos: esa conchaza hamigo https://t.co/Gqv1aLWVbF
36,RT @JamesWrighton: Haircuts? https://t.co/Vj0xkN1tYc
37,RT @every_lesbian: lesbian marx
38,"RT @estoy_gorditoo: Asu, mejor dame unfollow de una vez! https://t.co/ea3hR77mF2"
39,RT @etnocacerismos: si se rodean de gente que se la chupa a mijael denme unfollow ahora
40,"RT @Ojo_Publico: #EXCLUSIVO El exjefe de la Sunarp reconoció ante el empresario Néstor Sack que se relacionó con Ludith Orellana, hermana d…"
41,RT @Ojo_Publico: #EXCLUSIVO Audio secreto entre la entonces procuradora Yeni Vilcatoma y el empresari Néstor Sack revela que exjefe de Suna…
42,«El fin de la historia» Francis Fujuyama https://t.co/9WK6OASBT4
43,"RT @shaun_jen: pewdiepie often does things that can arguably be called racist. but does this mean that he, himself, is a racist?

yes. the…"
44,"RT @fart: is it too late to nominate ""the new yorker determines the best jokes of 2018"" as one of the best jokes of 2018 https://t.co/yQuSS…"
45,RT @ricardovperu: Cualquier reforma laboral debe de ser  consensuada con los sindicatos https://t.co/3Uk3E7qfEt
46,RT @jacobinmag: Today is the 10 year anniversary of a heroic act. https://t.co/0VEjauNpdn
47,"RT @PoluxBlack: Para todxs los que pasan regularmente por La Marina... estamos de acuerdo en que acá por lo menos lavan dinero, no? https:/…"
48,"RT @fturner: My essay ""Machine Politics: The rise of the internet and a new age of authoritarianism"" just published by @Harpers. Proudly aw…"
