,Tweets
0,"RT @50mas1: Lo que nos dejó la segunda vuelta regional: Desafección electoral en aumento.
Análisis de @50mas1 para @peru21noticias.
► https…"
1,#Fan https://t.co/4A3qjWlLqm
2,A ver muchachos de la “primera generación dorada de politólogos” peruanos...hacemos una reforma política en serio o… https://t.co/C9eJGtn2Oa
3,@ade1412vidal @elfjcgc @martinhidalgo :)
4,"RT @cefeche: Denuncio al dictador Daniel Ortega, jefe supremo de la policia nacional, como responsable del asalto policial contra las ofici…"
5,Ayer el Presidente Vizcarra anunció la formación de una Comisión de Alto Nivel en Reforma Política. Hoy el Presiden… https://t.co/ED02sullRx
6,Compara el número de provincia con estados de emergencia. Además hoy Peru es un país más moderno y conectado. Han p… https://t.co/xcHQoailsm
7,"@pcorvetto buen punto, los lugares con mayor ausentismo son Loreto, Huancavelica y Huánuco...habría que ver por qué… https://t.co/XGhsEHecXz"
8,@DGalvez26 comparto tu interrogante
9,"@politikaperu si, pero gran porcentaje del país seguía en ""estado de emergencia"""
10,@kikelizarzaburu el voto nulo y blanco fue más bajo que anteriores oportunidades. Efectivamente el ausentismo parec… https://t.co/aIJhsrtnDu
11,"@crodmich podría, pero yo diría que sobre todo el relajamiento de la ""obligatoriedad"" del voto (multas más bajas, m… https://t.co/4brwuh72Yq"
12,Cuidado con la desafección: Participación electoral en el referéndum 2018 fue del 72.9% del padrón electoral. Compa… https://t.co/8bCpI2FSHl
13,"""Bienvenidos todos"" https://t.co/jSV0Gii2MK"
14,“Son resentidos” https://t.co/h5pulUJUNj
15,“Son anti-PUCP” https://t.co/InSa6YPks2
16,@MarcoAvilesH Roba pero educa
17,RT @50mas1: El ausentismo viene ganando terreno. En la sierra sur ha pasado de alrededor de 15% en el referéndum de 2010 a más de 30% en al…
18,Se acuerdan cuando escribí “Ser cholo en la PUCP?”. Acaso Servicio Social y el cobro de moras no formaba parte de u… https://t.co/iZNDNS2Fkm
19,#Perú https://t.co/fT8mhXKz1I
20,"@VeroLinaresC por eso tengo una ""pyme"", no un ""start-up"", porque soy ""emergente"" :P"
21,"@rastocaza no, a mi me agarra la crisis de la mediana edad de otra manera ;)"
22,@VeroLinaresC @DamasaLaJoven @Phill_Butters Soy elitista de Twitter :)
23,"Si tienes más de 40 y tienes un “start up”, algo anda mal. Piénsalo ;)"
24,"En el debate político peruano, la opinologia (y sus consultorías) son más influyentes que la academia."
25,"@2018Ntv @canalN_ Buena Chino!
(en esa foto sale con su look, Fahed Mitre) https://t.co/7BhJBBZTc6"
26,"RT @requenajc: Este tweet es de diciembre de 2016, con la data sobre Congreso. @SolCn y otras personas mostraron interés https://t.co/TUegO…"
27,"Si sumas el ausentismo, llegan al 50% del electorado aprox. https://t.co/ToS06Vtte6"
28,"RT @MedioLegal: Soy profesor de la #PUCP, mi alma mater, desde el 2011. No podía dejar de pronunciarme sobre el problema de las moras y pen…"
29,Ojo con Ancash! https://t.co/I20UmTLJjX
30,Ojo con Arequipa! https://t.co/Baex9X78Fs
31,RT @leggiere: El peor momento de cualquier evento deportivo es cuando ponen una canción de Fito Páez.
32,La mitad de arequipeños y cusqueños no votaron por ninguno de los dos candidatos a gobernador regional https://t.co/M2U5kaokYM
33,"RT @50mas1: En los distritos en los que se usó el voto electrónico en el actual referéndum, la proporción de votos blancos y nulos es signi…"
34,Pésimo año para la @pucp con los casos de acoso sexual a alumnos/as y ahora con el develamiento de años de cobros i… https://t.co/oKtB62WsMA
35,Ojo con Mesa #Bolivia https://t.co/0AMvg2ZBKx
36,Un buen liberal siempre es más liberal que sus amigos liberales
37,"Si eres cholo, tienes una pyme. Si tienes pretensiones clasistas, un “start up”. Si tus pretensiones son intelectuales, tienes un “lab”."
38,@GonzaloTamayoF Estoy riéndome un poco de los “liberales” ;)
39,"Esta mañana, mientras conducía, me pasé el límite de velocidad por 5kms. Me sentí un poquito liberal."
40,Hoy pasé por dos duty free y me sentí un poquito liberal.
41,@AlonsoMujica1 el gobierno en su conjunto ;)
42,“Por eso voy a la re-re-re elección inconstitucional y a pesar de que el pueblo boliviano votó para que no pueda ha… https://t.co/9Efy6pJejZ
43,Un privilegio polemizar en La Casona de San Marcos #CatedraBicentenario https://t.co/zD8dPxn0Ex
44,RT @da_cerna: Cuando tienes tan internalizado tu macartismo que crees que recordar la militancia de izquierda de alguien es terruquear. htt…
45,Memorias de mi último concierto de rock https://t.co/bbo9FHMJ08
46,"RT @andoenpando: Absolutamente fuera de lugar. No se está terruqueando a nadie, se está recordando que Marcial Rubio fue un activo militant…"
47,Nos vemos! https://t.co/Z638Mwi00j
48,RT @heberjoelcb: La justicia electoral se burla de la voluntad popular en Bolivia. El pueblo vía referéndum se pronunció en contra de la re…
49,Mañana en la Casona de San Marcos hablando del aprismo/anti-aprismo y del fujimorismo/anti-fujimorismo. Nos vemos! https://t.co/ikkEQqiTgw
50,#PUCP 2018 https://t.co/PfEcYUN5QJ
51,"“Somos alumnos, no somos clientes”. Eso lo sosteníamos desde los 90s. Me solidarizo con los alumnos @pucp . Fuerza en la lucha!"
52,+1 https://t.co/GVQzlhw6uU
53,"Estoy seguro que:
1. Algunos se creen ""liberales"".
2. Algunos ""liberales"" latinoamericanos los endosarían. https://t.co/SYHOMPtl23"
54,"“Marcial ratero, devuelve mi dinero” https://t.co/7VveyS33BP"
55,Liberales :) https://t.co/6EgnSVjaZJ
56,"¿Qué opinan los liberales de las corridas de toros, ah?"
57,Otra joda para VideoMatch https://t.co/IKr3wKYpkg
58,Bienvenido Indecopi? https://t.co/yZF0KiWJw3
59,"Ser ""liberal"" no te hace mejor persona. No."
60,"Nuestro modelo ha sido ""crecimiento con corrupción"". Somos innovadores. https://t.co/ximOgXLYhV"
61,"Estimados, por motivos de fuerza mayor se posterga la presentación de #ElInformeChinochet de esta noche. Ya les avisaré de nueva fecha."
62,HOY! nos vemos por la noche! https://t.co/dzx36A3YRv
63,@jfonzy @Tele13_Radio https://t.co/ZgtpZge7yl ;)
64,Me pasan este comentario sobre #ElInformeChinochet en @Tele13_Radio https://t.co/Cm9DRDNTQS
65,"RT @megustaleerperu: Estás invitado a la presentación de ""El informe Chinochet"", el libro de Carlos Meléndez (@eljorobado) que cuenta la hi…"
66,"Mientras tanto El Mercurio publica entrevista a Vizcarra. Por cierto, ni una sola pregunta sobre Garcia y Uruguay. https://t.co/Vuu5gRfrlU"
67,@DiegoSalazarMo @LUMoficial Cuando me inviten :)
68,Ni una línea hoy en @latercera sobre la visita de Vizcarra a Chile.
69,"Si, pero la atención ante el imprevisto es pésima. Dos horas y ni siquiera nos conducen a un hotel! https://t.co/ze2Aqzkxpc"
70,Varado en Panama gracias a @CopaAirlines . Servicio de atención es pésimo y no ofrecen solución...solo “esperar un día.”.
71,"Me declaro hincha de JG Vásquez, sinceramente. https://t.co/aEwJSIzQUo"
72,"@michaelreid52 Parece que el problema es en la fila de extranjeros. Hace dos semanas, una amiga extranjera tuvo que… https://t.co/mfQl3GgLEW"
73,RT @LUMoficial: #Libro “El informe Chinochet: Historia secreta de Alberto Fujimori en Chile” de Carlos Meléndez será presentado este miérco…
74,@hugonopo muchas gracias por recomendarlo estimado Hugo. Te espero el miércoles. Ojalá puedas! Abrazo
75,RT @hugonopo: El perfil de Fujimori en el libro de Meléndez es diferente. Ojalá mis amigos dejen de etiquetarlo un rato y se animen a leerl…
76,¿Qué pasó con el fujimorismo luego del 2000? ¿Qué significa Alberto Fujimori para los peruanos? ¿Qué consecuencias… https://t.co/4OTWvu3y0H
77,"Go Irish!!! (y ""Notre Dame"" trending topic en Perú!) https://t.co/sBp6YvATRN"
78,"RT @da_cerna: Si para el 2021 no ha triunfado el comunismo, este país va a terminar entre las ruinas de columnas conservadoras clickbaitera…"
79,@politikaperu Buenos recuerdos
80,En algunos temas coincidimos y en otros no. Pero siempre mantuvimos el diálogo. Una lastima la partida de Bernales. QEPD.
81,"En el pasado reciente, otro político peruano acudió ante un representante uruguayo para ""desprestigiar la democraci… https://t.co/OcN1JaEQPj"
82,RT @andresmalamud: Relacionar a CLACSO con las ciencias sociales es estiramiento conceptual.
83,@catasubirana o úsala mejor yendo a Lollapalooza ;)
84,#Respect https://t.co/TOqYae0ZbA
85,Romeo Grompone? :) https://t.co/5IVfn4yWv5
86,Where in the world is Romeo Grompone? #Asilo #Uruguay
87,Recuerdan a quienes señalaban que las elecciones en Peru dejaban de ser democráticas porque excluyeron a Guzmán por… https://t.co/Chj3ROuZjE
88,@AlonsoMujica1 También desvió mi atención :)
89,Ejemplo! https://t.co/1C2SAH72cO
90,RT @JorgValladares: Measuring populism: how the Guardian charted its rise https://t.co/XRLvSJIMUP
91,"@elmorsa El público me decepcionó, no estuvo a la altura del show"
92,"@elmorsa Somos un público monse, limitado"
93,"Muy bueno el concierto de Ken Roberts anoche (no me juzguen, en mi tribuna habían mas politólogos latinoamericanos… https://t.co/oA8yMb9MXJ"
94,Fuck The Pigs! #RogerWatersEnLima https://t.co/GD4eF03GLE
95,"RT @Corequin: @eljorobado Esto de exigir 'ideología' a los partidos es muy gracioso. ¿La tiene PP, PPK, PP, el partido moradito? La de AP e…"
96,"Pro mercado en lo macro económico, populismo en áreas controladas, agenda conservadora en lo social, mano dura en s… https://t.co/whdxVY4Lnn"
97,Así escribí #ElInformeChinochet https://t.co/rziswNfTYS
98,“El fujimorismo está en extinción” https://t.co/AlsaXFIM9b
99,"@Corequin De acuerdo, hablo del 2006 en adelante"
100,@MedioLegal Si revisas las encuestas de opinión hay consistencia ideológica entre los electores fujimorista desde e… https://t.co/BCgmbb4yzt
101,El “republicanismo” peruano es un cascarón vacío :)
102,El fujimorismo es quien mejor ha representado la agenda conservadora contemporánea (estemos o no de acuerdo con ell… https://t.co/SWjVmWdyXL
103,RT @pitucos_txt: https://t.co/xIxJ7tz0Pc
104,RT @erichluna: @andoenpando Pero lo más importante es que en todo el resto del mundo es obvio que  Vargas Llosa es de derecha. Pero en el e…
105,RT @andoenpando: Vargas Llosa realmente existente
106,"Vargas Llosa sigue activo, esta vez desde Guayaquil.
La ""composición"" del ""car pool"" (las mujeres atrás no hablan)… https://t.co/IzjB3IQRoy"
107,@alanele Papá de Jon Lee Anderson :)
108,RT @ryanaboyd: Lacan is astrology for people with graduate degrees
109,Buenazo. https://t.co/jtmFtzIjYC
110,Millennials descubren los roommates https://t.co/D52lhT4JUg
111,Con María José Cumplido y @baradit en Festival de Autores https://t.co/SqWdJrNNYe
112,La mejor entrevista: Tamara Falcó entrevista a Mario Vargas Llosa https://t.co/vIOcxk6B4w via @YouTube
113,@pierovasquez @joaquinreyh @alosegura @SofiaGarciaN @pitucos_txt ;)
114,@joaquinreyh @pierovasquez @alosegura @SofiaGarciaN @pitucos_txt :)
115,@sboteroc @TheEconomist Siempre oportunos sus tips Dra Bolero (sic)
116,@sboteroc @TheEconomist Ajá!
117,"Btw, ya leyeron el último @TheEconomist ? https://t.co/i9d5Z3HOMX"
118,@MiguelMiguelr55 graciela ;)
119,"RT @orosalesk: Elizabeth Jelin no puede creer que no la hayan dejado entrar a la PUCP porque no tenía pasaporte. ""He estado en universidade…"
120,@MiguelMiguelr55 estás seguro que era Windsor?
121,¿Alguien se acuerda los Baños Turcos que recomendaba Augusto Ferrando? #80s #Peru
122,RT @CarlosLozadaWP: Nothing like flying into South Bend and passing over Notre Dame Stadium on the descent. #GoIrish https://t.co/wIjxCUUNXP
123,RT @elmorsa: “Bienvenidos todos” https://t.co/095oNWqORq
124,RT @goodreads: The word of the day is... (via tumblr) https://t.co/Uy0Jul0VIC
125,Ya saben que pueden comprar #ElInformeChinochet también en versión electrónica vía Amazon https://t.co/QF5QvJ7Z0d… https://t.co/DwnBW1Vnh0
126,RT @atapia2013: Les comparto un artículo que explica por qué son tan relevantes las elecciones legislativas en Estados Unidos. #Midterms201…
127,"El perfecto ""(neo)liberal"" latinoamericano? https://t.co/jDotGnmnhn"
128,Este domingo en El Festival de Autores en Santiago! https://t.co/MHsOfFAwhi
129,"""Escuela sin Partido"" ya existe hace algunos años por iniciativa de los sectores conservadores del magisterio brasi… https://t.co/Hxot2rur4C"
130,Un poquito más y entro al PopCulture Chicha ;) https://t.co/dHzsFSOHiR
131,Lectura de avión https://t.co/m4eo5XsnEz
132,Ouch! The New Yorker on Bohemian Rhapsody https://t.co/wE6MucnkYN
133,:) https://t.co/HnivHWjrXi
134,@MijaelGLP Gracias a ti!
135,Confirmado. Este 28 de noviembre a las 7 pm en el @LUMoficial presentaré #ElInformeChinochet con los comentarios de… https://t.co/uKNYJ06OWV
136,@anugel he visto un par de colegas que yo creía respetables sumarse a un cargamontón anti-fujimorista injusto a tod… https://t.co/hmogyuWlgn
137,RT @Marcelvelazq: Cabe recordar este análisis preelectoral sobre identidades políticas negativas en #Brasil. ¿El binomio #fujimorismo y #an…
138,@JavierG291 me muevo rápido ;)
139,@Hipocresiaroja https://t.co/KwFdM9DEfA
140,Debo ser uno de los primeros politólogos que -precisamente alertado por el anti-fujimorismo- empecé a estudiar las… https://t.co/SWdqbrHzsZ
141,"Me inquieta mucho (como científico social) los anti-fujimoristas. De hecho, muchos colegas -que yo creía respetable… https://t.co/2HVJKGs0qj"
142,"Moraleja: No den por muerto al fujimorismo. Ya lo hicieron el 2000, ¿recuerdan? Decir esto no me hace fujimorista,… https://t.co/g4RD5NoUMB"
143,Más sobre PPK: El inicio del actual gobierno es menos auspicioso de lo que sostienen emocionados analistas. https://t.co/87mFq3WoZ4
144,"Y sobre PPK qué les cuento. Fui el primero en juzgar su inoperancia: ""los aplausos generalizados que ha despertado… https://t.co/sKND5CNeMM"
145,Junio 2016: KF está construyendo un partido populista como estrategia para representar un mundo popular informaliza… https://t.co/SHoGzq4mDB
146,Mayo 2006 (2da vuelta): Su naturaleza populista la hace prescindir de dos pilares fundamentales: organizaciones int… https://t.co/QHUlBIZHs1
147,Diciembre 2016: El fujimorismo -desde Alberto hasta Keiko- ha mantenido su composición molecular: ascendencia perso… https://t.co/dMaF59uwe1
148,Febrero 2016: (El futuro del fujimorismo)...pasa por generar procesos que alteren una cultura política anti institu… https://t.co/N3Ar31Zsja
149,A continuación linkearé algunos artículos SIN EDITAR en los que me refiero al fujimorismo. Juzgue usted.
150,Interrumpo mi feriado (estoy en Bostón en una reunión académica) para responder a una portátil virtual que -para va… https://t.co/tsUYtOz303
151,"Btw, Scandals, jail sink Peru's Fujimori dynasty again | Reuters https://t.co/IwTHM2kTZ3"
152,"Muchachos en Peru, cuánto tiempo me dedican! Me siento abrumado por tanto honor. De verdad les debo importar mucho. Saludos desde Boston!"
153,"RT @radioambulante: Amigos en Chile, contaremos una historia de Radio Ambulante en vivo el próximo lunes en la Feria del Libro de Santiago…"
154,"RT @udp_cl: OPINIÓN| “En Brasil la crisis no es de la izquierda, sino de la democracia. Desafortunadamente los valores democráticos dejaron…"
155,Mi opinión en @latercera sobre los resultados electorales en Brasil https://t.co/G5g5AbaG6m
156,@OscarContardo DM
