,Tweets
0,La última de Milagros Leiva: https://t.co/c2baHYXjxG
1,EL COLMO: Equipo Lava Jato de Brasil respalda labor de fiscales peruanos y @PedroChavarryV envía carta pidiendo exp… https://t.co/1vhFrubqu8
2,RT @ensustrece: La nueva edición de @ensustrece ya está en las calles. https://t.co/PeBgsNmOi0
3,RT @aaronsalomong: Una vergüenza que #RPP haya botado a varios colegas reporteros a vísperas de Navidad sin darles  mayores explicaciones.…
4,RT @CesarRomeroC: José Luis Lecaros Cornejo es el nuevo presidente del Poder Judicial para el periodo 2019-2020. Elegido por mayoría de los…
5,RT @heduardo50: Increíble como los periodistas se convierten en megáfonos de los psicosociales de AG. ¿No lo conocen? ¿De qué planeta son?
6,"RT @whuacasi: #ÚLTIMO: Sin reflexión ni adecuado debate, Congreso aprueba nueva ley fujiaprista sobre delito financiamiento ilícito en bene…"
7,"1) Fiscal José Domingo Pérez interroga a @PedroChavarryV.
2) @diariocorreo publica la transcripción con el titular:… https://t.co/4Y9ukGAJXj"
8,La segunda buena noticia del día: https://t.co/4kmXuAwz9F
9,"RT @TheEconomist: Marx’s ideas—about monopolies, rent-seeking and casual labourers—are more relevant than they have been for decades https:…"
10,"RT @ensustrece: La nueva edición de ""Hildebrandt en sus trece"" ya está en las calles. https://t.co/FF5uXuB8cR"
11,"Foto 1: David Cornejo, alcalde de Chiclayo, detenido hoy por ser integrante de la banda ""Los Temerarios del Crimen""… https://t.co/8gEZcOxTpr"
12,RT @Ojo_Publico: #LoÚltimo Desaparece del Archivo de la Nación un documento histórico firmado por San Martín. https://t.co/sBlk3qiJXO https…
13,@dianahidalgoD @elcomercio @ensustrece Edición del 7 de septiembre. https://t.co/Fh1szJtoWM
14,"Estimada @patriciagamarra, una consulta (en buena lid): ¿Se puede ser ""rojimia"", ""progresista"" y ""antifujimorista""… https://t.co/k0he4yFPkH"
15,"Hoy la ""Unidad de Investigación"" de @elcomercio publica UNA VEZ MÁS un informe que ya apareció en @ensustrece. En e… https://t.co/qcJNDKjEUM"
16,RT @CNNEE: ⚠️ ATENCIÓN Estamos muy cerca de llegar al límite de temperatura en que el cambio climático tendrá efectos devastadores e irreve…
17,"RT @RecuerdosPeru: Líder histórico del @APRA_Oficial Andres Townsend Ezcurra, hablando sobre el cinismo delincuencial de @AlanGarciaPeru en…"
18,"¿Se acuerdan de la entrevista de @elcomercio_peru a @dsalaverryv que provocó una rectificación? Bueno, los Miró Que… https://t.co/zxXtGXNPcW"
19,"RT @nytimeses: Este Boca-River era una ocasión inmejorable para volver a vender fútbol argentino y sudamericano, pero hoy el mundo vio cómo…"
20,RT @gatoencerrado2: Juan Rassmuss Echecopar es el millonario empresario que aportó a la campaña de Keiko Fujimori el 2011 según fuentes cer…
21,"La @Defensoria_Peru, encargada de  velar por los derechos ciudadanos, acaba de emitir un comunicado pidiendo no hac… https://t.co/1vJrS20G8I"
22,"RT @ensustrece: EDICIÓN ESPECIAL de ""Hildebrandt en sus trece"": Alan García: EL ORIGEN DEL MIEDO. / PAPELES SECRETOS DE LA SEÑORA K. / La c…"
23,"Uno de los peores alcaldes que ha tenido Lima (@LuchoCastanedaL) termina su gestión ""condecorando"" a un asesino de… https://t.co/D0lxQwg19v"
