,Tweets
0,"Heduardicidios, diciembre 15-2018, @larepublica_pe -&gt; https://t.co/fZDEBH6ofx https://t.co/C2fDTY5SbN"
1,"Lo sospeché desde un principio, los fujimoristas y sus abogados son caviares. https://t.co/fdTHTY5jch"
2,"RT @JoseUgazSM: Gabriela Villasís, jefa de la unidad de investigación del diario El Comercio: lo que se viene a partir de enero es muy impo…"
3,"Heduardicidios, diciembre 13-2018, @larepublica_pe -&gt; https://t.co/FAu7FGgliS https://t.co/QOz8L28u5N"
4,El triunfo de Cristal fue más contundente que referéndum.
5,"¿Informante? ¿Fuente anónima? La declaración fue ""Tenemos INFORMANTES dentro del equipo anticorrupción de la Fiscal… https://t.co/StLRJl9KNW"
6,RT @larepublica_pe: #EditorialLR | Gran paso procesal. El acuerdo de la Fiscalía y la Procuraduría con Odebrecht ► https://t.co/0DfQFhSmkW…
7,RT @larepublica_pe: #EnPortada | Otras tres empresas buscan acogerse a colaboración eficaz en el caso Lava Jato https://t.co/xK3qj3XzxC htt…
8,RT @larepublica_pe: ¡Buenos días! Nuestra portada de hoy ► https://t.co/OKkwgAdDQB https://t.co/mXnRQNm6Ob
9,"Heduardicidios, diciembre 12-2018, @larepublica_pe -&gt; https://t.co/ZBy5GKnXiY https://t.co/ncutxuhSxK"
10,RT @dsalaverryv: Junta Nacional de Justicia (JNJ) debe iniciar sus funciones lo más pronto posible. Se ha ampliado la Legislatura para que…
11,"RT @larepublica_pe: No te pierdas el #Heduardicidio de hoy, por @heduardo50► https://t.co/h5wsREpvsh https://t.co/XoeA1eeDgq"
12,"El fujimorismo y el Apra presionan para destituir al coronel PNP Harvey Colchado, que investiga a ‘Los Cuellos Blan… https://t.co/ghmVMfPeLb"
13,"Heduardicidios, diciembre 11-2018, @larepublica_pe -&gt; https://t.co/e0uiwa6xmd https://t.co/B5d1xUJgDO"
14,RT @larepublica_pe: ¡Buenos días! Nuestra portada de hoy ► https://t.co/V77DK2x28U https://t.co/yFIpeHk3oR
15,"RT @patarevalo: A nuestros queridos medios de comunicación: 
Ayer votamos, entre otras cosas, por no seguir viendo siempre a los mismos ent…"
16,"RT @MirellaDelSolar: Para vergüenza de la mayoría de los arequipeños, Elmer Caceres Llica, ha sido elegido como nuevo gobernador, un indivi…"
17,"Heduardicidios, diciembre 10-2018, @larepublica_pe https://t.co/6xtBCpV9FS"
18,"RT @GloriaMonteneg: AG pregunta ¿Cuánto soluciona el referéndum el problema de la seguridad ciudadana? Lo dice quien indultó a más de 5,000…"
19,"RT @cevalenzuelav: Los peruanos votamos hoy y el resultado fue, redondeado, 85-15. Ya no se puede hablar de https://t.co/7GXZWJzT7a estuvié…"
20,"El rechazo a los congresistas ha sido abrumador, pero los medios seguirán invitando a los peores (a los que invita… https://t.co/kdQ1x5D7sQ"
21,"El ""encargado"" de la presidencia acaba de obtener un victoria contundente. El que lo llama ""encargado"" es el más re… https://t.co/vwCOUVAB64"
22,"RT @CristhianRS: Yo también, pero valoro mucho que ellas pusieran el sentir del pueblo antes que sus intereses y apoyaran abiertamente el #…"
23,RT @Pusycat2017: Mientras tanto en algún lugar de Lima   .... #SiSiSiNo 😂👇 https://t.co/vslVNCpwJU
