,Tweets
0,https://t.co/UQDwwnZT4A
1,"RT @Librosyescritor: ""Yo quiero proponerle a usted un abrazo, uno fuerte, duradero, hasta que todo nos duela. Al final será mejor que me du…"
2,11:45pm @LaNuevaInvasion https://t.co/m0jQouye95
3,"@KiraboJackson @nomadj1s @JKitmang, ¿Tu usas lo mismo?"
4,"@redbedf Ah, entonces:
Why does it always rain on me?"
5,"RT @jzarate33: Esta semana, José Carlos Yrigoyen reseña 'Guerras del interior' para el diario El Comercio 🇵🇪 @megustaleerperu @debatelibros…"
6,En #fiiS2018 con @vaniamasias @MarisaGlave y @a_abramovitz buscando maneras de nivelar el piso. ¡El resumen de la d… https://t.co/mVbRbpalbD
7,RT @AnneMBlock: Bine con el resumen 🙌🏻 https://t.co/YOOF6Dutz6
8,RT @OITAmericas: Aviso a los medios: Este año el Panorama Laboral de América Latina y el Caribe de la @OITAmericas cumple 25 años de existe…
9,RT @lamula: Cuando los músicos de la sinfónica reemplazaron a los congresistas en sus escaños https://t.co/mpEXDYjSyf | Un post de @parodir…
10,"RT @parodirevoredo: Mi columna en @lamula 
Cuando los músicos de la sinfónica reemplazaron a los congresistas en sus escaños 
#80AñosOrques…"
11,"¡Qué paja el trabajo que hizo ⁦@jmlara88⁩ en la #fiiS2018!
Buen resumen de la discusión https://t.co/oD5nGNBftd"
12,RT @fvargaslama: Muy interesante nota de @bbcmundo. La ciudad con el + crecimiento proyectado de Sudamérica 2035 : Lima. La mala noticia es…
13,@zacostarubio @fvargaslama @mmolerosuarez @atownsendk @andreadlpg @liacc @Lolisismo @OswaldoMolinaC Esto también pa… https://t.co/QXMQemvPTu
14,"@zacostarubio @fvargaslama @mmolerosuarez @atownsendk @andreadlpg @liacc @Lolisismo @OswaldoMolinaC Si, esa es part… https://t.co/zeV2ZrOHAg"
15,@mmolerosuarez @atownsendk @andreadlpg @fvargaslama @liacc @Lolisismo @zacostarubio @OswaldoMolinaC Aquí una buena… https://t.co/yaenPj51pJ
