,Tweets
0,"RT @peru21noticias: #OPINIÓN 
Juan José García (@jjgchau): Oportunidad laboral
No dejes de leer 'Opina.21' https://t.co/KhKCyASi3V https://…"
1,"Uy, ¿y ahora hay que indemnizarlo? Ojalá no termine en la informalidad!
#ChambaEsChamba https://t.co/dSGpFy4tAI"
2,"RT @jibeteta: #watch #this #cade2018

https://t.co/1eRgpikv6K"
3,RT @jibeteta: De donde surge la “regla de oro” (haz con los demás lo que quieres que hagan contigo” según Friedman: familias fuertes y comu…
4,RT @jibeteta: Aquí estamos según Thomas Friedman de @nytimesworld @nytimeses “la tecnología avanza más rápido que la capacidad de adaptació…
5,"RT @peru21noticias: #OPINIÓN 
Juan José García (@jjgchau): Cosas de gitanos
No dejes de leer 'Opina.21' https://t.co/eTrekBYbnu https://t.c…"
6,RT @contribuye_peru: Conoce la historia de Claudio Conde. Tiene 82 años y es asegurado de @EsSaludPeru. Él es uno beneficiados de #PadomiDe…
7,"RT @IPAEPERU: En Chile o Colombia el “ecosistema” para el desarrollo de “think tanks” es favorable, permitiendo que los políticos cuenten c…"
8,RT @jibeteta: En diciembre @jjgchau de @contribuye_peru actualizará las cifras en limpieza de cauces y construcción de defensas ribereñas.…
9,RT @jibeteta: @jjgchau presentando un nuevo análisis de la Asociación de Contribuyentes del Perú @contribuye_peru sobre la informalidad de…
10,RT @amchamperu: Juan José García @jjgchau de la Asociación de Contribuyentes del Perú @contribuye_peru presenta un análisis sobre la inform…
11,"RT @contribuye_peru: ¿Por qué se ha gastado menos del 50% del presupuesto para la compra anual de medicamentos?
Revisa la columna de @jjgch…"
12,"RT @contribuye_peru: La @CONFIEP publicó un artículo sobre la realización del #ForoContribuyente2018, organizado por @contribuye_peru y la…"
13,"RT @jibeteta: 2/2 el ministro de @MTPE_Peru habla con tal libertad de subsidios con el absolutamente falaz argumento ""en otros países se us…"
14,RT @jibeteta: 1/2 desmenuzando solo un poco las declaraciones del ministro de @MTPE_Peru: habla de desincentivos en la contratación por cul…
15,"RT @jibeteta: Que el pdte @MartinVizcarraC le pida al Ministro de @MTPE_Peru, el señor Christian ""Nanny State"" Sanchez no es una buena seña…"
16,"RT @AndresDevoto: ""Por si fuera poco, este año la industria de cannabis medicinal canadiense tendrá un valor cercano a US$1,000 millones y…"
17,RT @dmacera: La Constitución y la Ley de Nacionalidad confirman que el señor Estrella es peruano por nacimiento. La ciudadanía por nacimien…
18,"RT @peru21noticias: #Opinión 
Juan José García (@jjgchau): Lección canadiense
No dejes de leer 'Opina.21' https://t.co/wuCqvD5F9E https://t…"
19,"#Canada , país del G20, pionero en fomentar el uso medicinal del  cannabis, enfrentó una realidad similar a la nues… https://t.co/bTCJxNbE2W"
20,"RT @orosalesk: Un liberal cree en la limitación estricta del poder estatal, no en la ""mano dura"" ni en el populismo. Detesta el personalism…"
21,"RT @peru21noticias: #Opinión
Juan José García (@jjgchau): ¿Capitalismo sureño?
No deje de leer 'Opina.21' https://t.co/hPLclmWcr1 https://t…"
22,RT @contribuye_peru: ¿Por qué el sur del país es un nicho antisistema? @jjgchau analiza las razones que llevan a  población sureña eligir a…
23,"RT @wahoovelox: #Perú Algunos ""liberales"" empiezan a victimizar a extremistas violentos. 

Preciso texto d @jjgchau: "".. no se debe critica…"
24,RT @DanielBAnthony: Our time in Peru has been intense but inspiring. From the desert mountainside of Pamplona Alta where 1000s still need w…
25,"@SUNATOficial: ""La masificación de comprobante electrónico promueve la productividad, permite ampliar la base tribu… https://t.co/3IIWf3S7Ho"
26,"Arranca la 2da Mesa técnica con gremios MIPYME, articulado con @contribuye_peru y @SUNATOficial . Porque es importa… https://t.co/LfvBE0ixJh"
27,RT @MadeleineOster3: Solo por el incremento del Impuesto Selectivo al Consumo o porque nuestra economía esta parada? Nadie invierte en un p…
28,RT @jibeteta: Roberto Abusada: “está bien tener plan de infraestructura pero cómo se hace? Tenemos 6000 proyectos paralizados y mucho se de…
29,"RT @jibeteta: Director ejecutivo de @ProInversionPe, “obras por impuestos son el mejor mecanismo para descentralizar inversión en infraestr…"
30,RT @jibeteta: Esta infografía de @elcomercio_peru de cuánto demora el estado en aprobar poner aire acondicionado en una sala del aeropuerto…
31,RT @jibeteta: Roberto Abusada: la reconstrucción es un fracaso. Y aún así le queremos dar casi el 50% de ejecución a gobiernos municipales.…
32,"RT @jibeteta: #ForoContribuyente2018 #ForoContribuyente Ramon Galvez: los procesos de fiscalización de @SUNATOficial deben ser exactos, pre…"
33,"#JavierCoronado , Gerente General de @IndecopiOficial , explicando la importancia de proteger los derechos de propi… https://t.co/caHaeEIgIq"
