,Tweets
0,@Caretas @JorgeDCG Amigos de @Caretas creo que hay un error acá. Del Castillo no fue elegido para el periodo 2011-2016.
1,Vizcarra no necesita desprestigiar al congreso. El propio parlamento ha hecho méritos de sobra para llegar a su apr… https://t.co/FpkQeWUHVQ
2,Mamani es un buen ejemplo de por qué debemos reducir la influencia del dinero en política. El único mérito de este… https://t.co/9qNck4JvWv
3,Otro buen anuncio de Vizcarra ayer fue intención de eliminar voto preferencial. Ayudaría a fortalecer partidos y pr… https://t.co/bmeWoi2bLa
4,"Los mensajes del presidente @MartinVizcarraC serían aún más potentes si fueran más cortos. Creo que hoy, como en 28… https://t.co/LIVYcYRwYs"
5,"En palabras de los Rolling Stones, definitivamente Alan García está loosing his touch. https://t.co/AuH1g94hP2"
6,Algunas ciudades como Londres tienen un “impuesto de congestión” que pagan los carros al entrar a zonas de tráfico.… https://t.co/XvPVFMGeZg
7,"@AndresRoe2 Hola Andres! Definitivamente ayudaría a bajar un poco el flujo, pero creo que lo malo de ese sistema es… https://t.co/v02DT0p0Lx"
8,Entiendo que la inmunidad sirve por si un gobierno autoritario tomara represalias contra congresistas que lo invest… https://t.co/lVp9WjfVQ7
9,El fiscal publica un vídeo hecho por él mismo donde se tira flores... y agradece a la gente 🤔 https://t.co/nvbpstJye8
10,La mejor manera de evitar los astronómicos cobros de playas de estacionamiento es no usar carro.
11,@ElianaCarlin Las multas de un crédito vienen desde el 88. Pero la ilegalidad comienza en 2012 cuando el congreso a… https://t.co/5Tb5jzowaB
12,¿Cómo rayos el tema de la #PUCP no saltó antes? Los cobros ilegales vienen desde 2012! Roche.
13,Excelente trabajo de @tvperupe y @bicentenariope_ con #ElÚltimoBastión. Notable producción para acercarnos a nuestr… https://t.co/fCUXdl9LfI
14,"Después del tremendo éxito en las municipales y regionales, #AccionPopular está llamado a tener un rol protagónico… https://t.co/znTW23ZVfH"
15,"RT @tuesta: Necesario y oportuno comunicado de los decanos de las facultades de la PUCP, que toma distancia del rectorado, sobre el tema de…"
16,"Después del tremendo jalón de orejas que ha sido el referéndum, si los congresistas tienen algo de dignidad (y cone… https://t.co/fDpD22xDNH"
17,"Es un buen punto Bruno, pero creo que acá lo que ha generado mayor rechazo son los cambios metidos de contrabando p… https://t.co/4IGsfh33Yb"
18,Esta línea de M. Osterling sobre Vizcarra sí que es una joya: “Provinciano se apoya en provinciano (¿por una suerte… https://t.co/szCLPVHImx
19,"La prohibición de volver a impulsar bicameralidad por 2 años está dada por una Ley (N.26300), no por la constitució… https://t.co/M2TRlSGKVz"
20,"Ahora que concluyó el importante referéndum, conviene que el presidente no pierda de vista proyectos clave hoy para… https://t.co/d7ZOTCfmN8"
21,@PCutirimicuaro Creo que sería positivo. Pero esa la veo más difícil por ahora!
22,@rolano83 Una abrazo doc!!
23,"RT @noticias_tvperu: Hoy a las 10:00 p.m. se estrena por @tvperupe la serie #ElÚltimoBastión”, que mostrará los sucesos más importantes que…"
24,Desde 1789 los franceses siempre han conseguido cosas cuando salen a las calles. https://t.co/OeNQVQYQDk
25,@meiermq Es absurdo comparar el referéndum de ayer con los de Hitler. Abajo la cedula del referéndum de 1938 para l… https://t.co/PChFpRWxHx
26,Quienes creemos en la bicameralidad no debemos permitir que el tema salga de la agenda. No fue ayer pero puede ser… https://t.co/YZ2D6IeDO9
27,A partir de este año México volverá a permitir la reelección congresal 80 años después de prohibirla. Tomaron décad… https://t.co/ZUjGzqDO8g
28,RT @camilocnn: “Lo único bueno de las dictaduras es que siempre mueren “.Vargas Llosa
29,"RT @AlbertoBelaunde: Tomando en cuenta el mensaje ciudadano ayer en las urnas, estoy solicitando al presidente del Congreso que coordinemos…"
30,@LDavelouis De acuerdo. Los ciudadanos tenemos que demandarlo. Con fe!
31,#JironWashington 09.12.18 publicado en @peru21noticias | USA se despide de George H. W. Bush. Hoy comento su carrer… https://t.co/LNSBVoliJn
32,RT @AlfredoMTorres: Qué patético un sujeto capaz de un comentario tan soez!. Los resultados de hoy han confirmado el simulacro que Ipsos hi…
33,@Jamigurs Igualmente Miguel Ángel. Un abrazo!
34,Lourdes Flores en #CuartoPoder: “He perdido por goleada”.... Le faltó agregar “otra vez”.
35,"@ernekin_sw Sí, se podrían hacer los cambios constitucionales dentro de 2 años. Pero se requieren mayorías califica… https://t.co/11LqqxRJZJ"
36,#AccionPopular sigue con la buena racha. Hoy se ha llevado los gobiernos regionales de Cajamarca y Cusco.
37,Sentimientos encontrados por los resultados. La reforma al CNM y financiamiento de partidos son muy positivas. Pero… https://t.co/YkaXayB8bF
38,RT @AlbertoBelaunde: Gracias por sus amables mensajes y por su confianza. Queda el 50% del mandato confiado para seguir sirviendo al país!…
39,Acuña (y otros políticos billetones) han perdido el día de hoy. Con la reforma al financiamiento de partidos ya no… https://t.co/zSHy3aZqQ0
40,De voluntario para el proceso electoral en el consulado de Peru en Washington DC. Mesas instaladas! https://t.co/ZQEsxpu3JC
41,De acuerdo! https://t.co/YnzwV5Piuu
42,"El estilo de discurso épico y mesiánico de Alan, otrora considerado como su principal virtud, suena hoy anacrónico… https://t.co/VBKChF0xmc"
43,"Muchos amigos extranjeros que visitaron Lima se sorprendieron por 2 cosas: nuestra maravillosa comida, y la cantida… https://t.co/oVbO1ZsqWk"
44,"Por más infames que sean algunos congresistas, votaré en contra de la no-reelección. Si un congresista no nos gusta… https://t.co/FPC0M1pRsp"
45,RT @allanwagnert: Recomendamos que el Presidente de la Republica observe el proyecto de ley aprobado prematuramente y con graves deficienci…
46,RT @ClaraEOspinaG: Esto es un equipo TVU como el que aparece en el carro de la @PoliciaPeru que ha ocasionado la alerta del Apra por supues…
47,"El ISC permite disuadir el consumo de ciertos bienes y servicios. Al igual que el alcohol y los cigarros, los casin… https://t.co/bjlKI9xszb"
48,Pocos han pasado tan rápido de héroe a villano como Edwin Oviedo.
49,A propósito de Miki Torres y su relación comercial con los casinos: Los congresistas deberían abstenerse en todas l… https://t.co/BfAkrQoxQE
50,"Las dictaduras de hoy llegan al poder con elecciones, para luego carcomer las instituciones por dentro hasta contro… https://t.co/BTyhUflSa1"
51,Funeral de George H.W. Bush en Washington DC. https://t.co/jDbcT1dvFN
52,Sigue creciendo la lista de casos en los que Fuerza Popular ha actuado para beneficiar económicamente a grupos de i… https://t.co/V2ee8qkqAZ
53,"Ahí está Bob Dole, acérrimo rival de Bush en la elecciones primarias de 1988, en una magnífica muestra de respeto p… https://t.co/q1I9WGJRvk"
54,El pensamiento DBA brillantemente resumido en un Tweet. https://t.co/75nKqoEX8R
55,Solo a Chávarry se le puede ocurrir celebrar una desaprobación del 65%... https://t.co/OwGCpDF0B4
56,RT @RPPNoticias: #LOÚLTIMO | Uruguay no acepta el pedido de asilo de Alan García. Más información en https://t.co/ZKe1kd3ev6 https://t.co/i…
