,Tweets
0,RT @AlbertoBelaunde: Esto evidencia que el indigno fiscal de la Nación está preparando el camino para desmantelar el equipo especial que di…
1,"RT @TrujiYo: “Nosotros sí estamos siendo hostilizados, pero no por el abogado (Abanto), sino por nuestra propia institución”

Rafael Vela,…"
2,"RT @MrJasonDay: Imaginad por un instante una tenebrosa alianza por el poder entre estos: el ruin Castañeda y el Conde que no fue, Alfredo B…"
3,RT @elhelenico: Fiscal Vela: Contamos con 45 declaraciones de testigos que han negado haber aportado al partido fujimorista.
4,RT @orbisa35: El señor Chávarry ni siquiera disimula su animadversión a los investigadores de Lava Jato. Penoso. https://t.co/EiJPtBYw0W
5,RT @mariomejiah: El fiscal Vela dice que el chat de la botica revela la verticalidad de la organización en la que se instrumentaliza intere…
6,"RT @SolCn: El Fiscal de la Nación del Perú representa al equipo especial que lucha contra la corrupción? Lo defiende, lo apoya? 
El Fiscal…"
7,"RT @danielyovera: Fiscal Rafael Vela cuestiona que el fiscal de la Nación Gonzalo Chávarry haya pedido y luego publicado esta ""aclaración""…"
8,"RT @danielyovera: ""Tal parece que se quiete obstruir el convenio con Odebrecht"", señala el fiscal Rafael Vela, jefe del Equipo Especial Lav…"
9,RT @DiarioDeCurwen: No se relajen mucho en la cena navideña. Chávarry ya demostró que tiene toda la intención de sacar a JDP cuando menos l…
10,Sábadop @...@ !!! https://t.co/hXv1ew1mX7
11,"RT @ClaraEOspinaG: @socioperiodismo Y en Colombia, en el debate público, se exhibe a Perú como ejemplo de justicia ante los actos de corrup…"
12,RT @socioperiodismo: ¿Cuántos detenidos hay en Colombia por el caso Lava Jato? En Colombia también van a entregar información sobre los coi…
13,ojo. pare. aló @pcmperu ??? https://t.co/hoZitegQmR
14,RT @danielyovera: Gonzalo Chávarry pidió aclaración a la Fiscalía brasileña sobre el respaldo que la Fuerza de Tarea le dio al Equipo Espec…
15,ojo. pare. @confidencial_ni !!! https://t.co/Jx7AaOSi7Z
16,RT @jurrunaga: Lamentable pero inevitable reacción de altos funcionarios del @pcmperuosinfor ante abierto atentado contra su independencia…
17,"RT @Ojo_Publico: #Alerta #LibertadDePrensa Desde Perú, en @Ojo_Publico condenamos el ataque contra la prensa libre y expresamos nuestra sol…"
18,"RT @juliamacfarlane: This Scorsese of a shot dominating the news today, masterfully captured by a cameraman whilst being escorted out - wha…"
19,"RT @cefeche: Denuncio al dictador Daniel Ortega, jefe supremo de la policia nacional, como responsable del asalto policial contra las ofici…"
20,"AGENDA. El próximo martes 18 de diciembre, se presentará el Panorama Laboral de AL y el Caribe 2018 de @OITAmericas… https://t.co/KmL1RVmKlQ"
21,"Viernesp 😘🕺🏽!!!
https://t.co/eOOG9ycsIi https://t.co/VCrvmny4C0"
22,"😀💪💪💪, nas nochesp. https://t.co/Xf1n8RP0WX"
23,"RT @centroknightut: El trabajo de @LuzMelyReyes, de #Venezuela 🇻🇪; @camposmello, de #Brasil 🇧🇷; y @DulcinaParra, de #México 🇲🇽, fue mencion…"
24,ojo. pare. #clubdelaconstrucción https://t.co/4CHnIPNRO2
25,"RT @AlbertoBelaunde: Notable mensaje presidencial: Impulso reformista en sintonía con lo que demanda la ciudadanía.

Espero que mis colegas…"
26,RT @LDavelouis: Buen mensaje. Fondo tan potente que las imperfecciones de forma pasaron desapercibidas. Y aunque del dicho al hecho haya mu…
27,"RT @MrJasonDay: Luego de la victoria histórica en su consulta popular, el presidente @MartinVizcarraC ahora sí, plenamente legitimado por e…"
28,"RT @srotta: En #MensajeALaNación, @MartinVizcarraC va abriendo la agenda: mantiene anticorrupción, pero llevándola a una segunda etapa de r…"
29,"RT @carolamm: ""Anuncio la conformación de una comisión de alto nivel para la reforma política""  @MartinVizcarraC"
30,RT @Lauletras: el presidente @MartinVizcarraC convoca a los presidentes del @congresoperu el @Poder_Judicial_ para la reforma de justicia.…
31,"RT @monvalpa: Desde ahora no más ""hermanitos"", dice el pdte @MartinVizcarraC"
32,"RT @carolamm: ""Considero una burla que el @congresoperu haya aprobado el proyecto que penaliza el financiamiento ilegal de partidos polític…"
33,ojo. pare. @...@ !!! https://t.co/fqs8FPdwd3
34,"RT @aldeaperiodista: Tres mujeres periodistas de América Latina, reconocidas por @TIME: 💪🏼

.@LuzMelyReyes, directora de @EfectoCocuyo en V…"
35,"Grapcias @PalomaNoceda por este valiente testimonio, ayudará a que otras mujeres cuenten su historia. https://t.co/8SKxwRdXPE"
36,ojo. pare. Tiranosaurio 🦖 https://t.co/sCUxvoTSPX
37,"RT @ilanegra: Votación combinada de TODOS los partidos políticos que postularon al Congreso en 2016: 12'194,042 votos
Votación promedio de…"
38,RT @carolamm: Y qué hizo @luchogalarreta ? https://t.co/xv6CAO6oDP
39,Bravo querida @LuzMelyReyes 😘👏👏👏 https://t.co/vrh0a2wNh7
40,Bravo querida Patricia @camposmello 👏👏👏 https://t.co/n0JfH2qR2N
41,"RT @PalomaNoceda: Acabo de formalizar mi denuncia ante la Comisión de Ética del @congresoperu , tras el testimonio que brindé durante el pl…"
42,RT @elcomercio_peru: #AHORA | La congresista Paloma Noceda presentó denuncia en la Comisión de Ética por presuntos tocamientos indebidos ht…
43,"RT @promsex: Ministro de Justicia @MinjusDH_Peru expresa sus disculpas públicas a L.C., una niña víctima de violación sexual a quien le neg…"
44,"RT @Telemundo: ¿Y tú, también has cometido este delito?🔥🔥🔥 Pronto #JugarConFuego @mrjasonday @PonceCarlos1 @gabyespino @Margaritarosadf htt…"
45,RT @AlbertoBelaunde: Saludo la ampliación de legislatura. Podremos entrar en sintonía con lo expresado por la ciudadanía y ver las reformas…
46,RT @rmapalacios: Primer resultado concreto del referendum: Los congresistas van a trabajar hasta el 30 de enero. Se iban el 15 de diciembre…
47,RT @rmapalacios: La consagración de un escritor! https://t.co/2yUobmBsyW
48,OJO. PARE. CRUCE !!! https://t.co/lT465P5l6B
49,RT @dsalaverryv: Junta Nacional de Justicia (JNJ) debe iniciar sus funciones lo más pronto posible. Se ha ampliado la Legislatura para que…
50,"RT @efelsenthal: ...the Guardians—Jamal Khashoggi, the Capital Gazette, Maria Ressa, Wa Lone and Kyaw Soe Oo—are TIME’s Person of the Year…"
51,"RT @efelsenthal: For taking great risks in pursuit of greater truths, for the imperfect but essential quest for facts that are central to c…"
52,"RT @klustout: ""It's bittersweet and daunting..."" 

""We have to keep fighting.""

Journalist @MariaRessa reacts to being named as one of the…"
53,RT @capgaznews: Our staff is among those honored as @TIME's Person of the Year. https://t.co/tRWBmgqe3r https://t.co/GmQjmDSIRh
54,"Los periodistas asesinados, encarcelados o perseguidos son ‘La persona del año 2018’ para @TIME 👏👏👏 Entre ellos: Th… https://t.co/FYZ0JVzBdG"
55,martesp 🤓. https://t.co/GARf6sFECN
56,"RT @IndiraHuilca: Felicitaciones a Norma Méndez y las obreras de @SITOBUR, gracias por enseñarnos a luchar por nuestros derechos. 
#70AñosD…"
57,"RT @pavese: Gorritti y toda la gente de @IDL_R + @JusticiaViva + @romina_mella + @CruzSilvaDelCa1 
Aplausos!!! 
(Foto de @larryportera) htt…"
58,"RT @OrmenoCh: Hasta hoy, las víctimas del Sodalicio esperan justicia. No llega, lo que No tardó fueron dos denuncias por difamación contra…"
59,Emocionante el Premio Nacional de Derechos Humanos de 2018 que se entregó a las trabajadoras de limpieza de… https://t.co/6wEGrQ3flW
60,RT @MrJasonDay: Gracias por este regalo @Telemundo @RedeGlobo: https://t.co/eeRZxHP2SW
61,"Jacquie Fowks, @jfowks -corresponsal en Perú de @el_pais y presidenta de la APEP- recibe el premio nacional de peri… https://t.co/AGQ0WARIzS"
62,RT @SITOBUR: Estamos en la @BibliotecaPeru en el evento organizado por la @cnddhh en la XXVIII Ceremonia de Premiación Anual en #DerechosHu…
63,Premio de la @cnddhh a @IDL_R y ‘Justicia viva’ de @ideele por develar el caso ‘Lavajuez’ que causó un terremoto en… https://t.co/7G1ZWE0RGL
64,RT @MrJasonDay: Hoy también se reconoce la incuestionable “rigurosidad y la empatía con la gente” (como bien ha descrito Gorriti) del traba…
65,"RT @cnddhh: Romina Mella: “Quiero reconocer que también hay jueces y fiscales honestos. Ellos, periodistas y ciudadanos somos el trinomio p…"
66,RT @pavese: Paco Muguiro le entrega el Premio de Ddhh en periodismo a Jackie Fowks: muy merecido!!!!! https://t.co/sRtG8hm1Rb
67,RT @pavese: Reconocimiento especial a @IDL_R y @JusticiaViva por la investigación “LavaJuez” en premio de derechos humanos de la @cnddhh ht…
68,RT @MrJasonDay: Aplausos de pie a Gorriti y el equipo de @IDL_R. Representan lo mejor del periodismo de investigación al servicio de la dem…
69,"En el #DiaDeLosDerechosHumanos 
@OrmenoCh de @DiaDatv emiten un reportaje sobre la arremetida contra la libertad de… https://t.co/iq2MisEaze"
70,"RT @odonnellmaria: En otro tiempo fundaban partidos políticos, hoy pelean por emojis https://t.co/imybfofbYY"
71,"RT @pilar51: La teóloga sufrió, con 15 años, los abusos del vicario general del Sodalicio y con el tiempo descubrió y denunció una trama de…"
72,RT @jgodoym: Y fue quien archivó el caso Sodalicio a pesar de la evidencia https://t.co/olPkQHeo4c
73,RT @palzaga: La Iglesia está persiguiendo a un grupo de periodistas peruanos por denunciar supuestos casos de abusos sexuales a 36 personas…
74,"RT @ONUPeru: Todos y todas tenemos algo que aportar para hacer los #DerechosHumanos una realidad para todas las personas. Daniel Sánchez, V…"
75,RT @Ojo_Publico: #DíaDeLosDerechosHumanos Las prendas exhumadas son los restos de los desaparecidos y asesinados en #Cabitos83. #Memoria ht…
76,"RT @monich16: Hace 70 años se promulgó la Declaración Universal de los Derechos Humanos, esa que consagra la igualdad de las personas, mi c…"
77,En el #DiaDeLosDerechosHumanos el congresista @AlbertoBelaunde se pronuncia sobre la demanda del Obispo del Sodalic… https://t.co/wLgaFoOnxL
78,RT @CesarRomeroC: La reelección de congresista no premiaba a los mejores. ¿Por qué norma importante serán recordados los tantas veces reele…
79,"RT @erreleon: Antes de investigar a políticos cuestionables y expresidentes arrogantes, el coronel Harvey Colchado -hoy en la mira del Cong…"
80,"Y desde la ""dimensión desconocida"", @alvarezrodrich DIXIT... https://t.co/nNiBG1nOgh"
