,Tweets
0,RT @DMABADS: @MilagrosLeivaG La proxima ves q entrevistes a bartra o mulder en vez de quedarle calladita mientras se despachan defendiendo…
1,"RT @Miguelox82: @MilagrosLeivaG Buena oportunidad para que rankees el peor asalto del 2018, el que botó más sangre, el más desgarrador. Dal…"
2,RT @Ernesto__Moreno: @MilagrosLeivaG La noticia más dolorosa del año ha sido verte llorar por rating 😭
3,RT @StevenCaldern9: @MilagrosLeivaG ¿Odiadores? Muchos sostuvimos que nos parecía mal hacer una encuesta así. No la odiamos. Solo nos parec…
4,"RT @Yonuevamente: @MilagrosLeivaG ""Mis odiadores""? Asuu tan importante te alucinas (pareces fujimorista) jajajajaj!! Das pena 😔😔"
5,RT @sofiadelperu: @MilagrosLeivaG Yo no odio a Leiva y no es que quiera tapar el Sol con dedo. La violencia contra la mujer es terrible y d…
6,"RT @Davvixx: @MilagrosLeivaG ¿odiar? No, es aborrecer como usas el dolor ajeno para el rating. El sentimentalismo barato como una forma de…"
7,"RT @Umanqara: @MilagrosLeivaG Lucras con el dolor ajeno. Empatia, por favor."
8,RT @lizlujan21: @MilagrosLeivaG increible q no te des cuenta de lo nada empático de tu encuesta. Los q criticamos este tipo de consulta no…
9,RT @limena52: @MilagrosLeivaG Solo es sicario o criminal el que mata? No escucho los audios? Un fiscal que negocia con los fallos favorable…
10,RT @carl0sbz: @MilagrosLeivaG Metáfora le llaman...
11,RT @bazo201: @MilagrosLeivaG uyyy no. espero q nadie y menos el autor gaste ni dos caracteres en explicarle nada a esta sra. Pobre el gremi…
12,RT @LlamaPs: @MilagrosLeivaG Tan ciega estas? Y no es por colgarme de Rodrichodebrecht.
13,"RT @Socratesmf: @MilagrosLeivaG Por favor que alguien le quite el celular a Leiva, la está cagando. Discúlpenme el francés ."
14,"RT @jose_santana15: @MilagrosLeivaG Si tu eres periodista, escribes barbaridades y encima tienes trabajo (que muchos no tienen) . Yo tambié…"
15,RT @Elimmanuelkant: @eabusad Lo más probable es que el lunes Milagros Leiva entreviste a Milagros Leiva debido al escándalo mediático... O…
16,RT @TeoRospigliosi: @eabusad Cuanta indolencia. 👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼
17,RT @RolandoPrezFli1: @eabusad #no más morbosas BASTA de alimentar la violencia #llorocomolaleivacuando busca Lieja con la tragedia de la fa…
18,RT @5franciscofern: @eabusad Esta deficiente ya no sabe que hacer para llamar la atención Llora se funge de cantante y ahora esto que ridíc…
19,RT @Miguel07297240: @eabusad Que asquerosa encuesta!!! Que tiene en la cabeza esta señora??? Es necesario esto para ser viral??
20,RT @DanielUrresti1: Faltó: Que Milagros Leiva siga teniendo un programa en tv https://t.co/BT2wuzDXfa
21,RT @LJLTJJJJ: @chicharronpress Que clase de Lourdes es ese señor?
22,"RT @maritareyar: @chicharronpress y así fue, se fueron a la mierdaaa, adiósss @ABarnecheaG cavaste tu tumba tú mismo te juntaste con un mue…"
23,"RT @KattyaYaz: @chicharronpress Juro q no entiendo su falta de sinapsis. A Muñoz lo quiere ningunear mal desde el día uno y a Mesias,  dos…"
24,RT @Micky_2021: @chicharronpress Ya sé por quien NO VOTAR este 2021.....
25,"RT @ZetaBasic: @chicharronpress 😂😂 jajajaja me hicistes la tarde, sabías que llevo dos horas por Evitamiento , hay un traficazo. Un camión…"
26,RT @chicharronpress: @JoseDomingoPe https://t.co/KTKhgpGpAC
27,RT @FernandoZegarr6: @chicharronpress @JoseDomingoPe 😂😂😂😂😂
28,"RT @chicharronpress: -¿A dónde vamos milord?
-A la mierda, Jaime. Nos vamos a la mierda. https://t.co/lV61hM4UDD"
29,RT @MejoremosP: Cc. @litolobo @heduardo50 https://t.co/0WV43xzSSz
30,"El #dembow se ha inflitrado en toda la música occidental. Y pensar que uno por los noventa se reía de esos ""grupitos"" y sus letras raras."
31,@DonhaPesima @fernando_got @IEPeruanos @LDavelouis Chicharrón del futuro https://t.co/8nw2hKKM6H
32,"RT @montalvan47: @litolobo @IEPeruanos Menudo dilema!!! aunque hablar de la soga en casa del ahorcado, es un exceso."
33,Casting para Papá Noel en el @IEPeruanos. ¿A quién habrán elegido? https://t.co/vF1vem6epi
34,"Aquí los datos de la entrevista. Me parece algo GRAVE 
https://t.co/Z9dkY0c67r"
35,"@DraGonzalez @ideeleradio Justo aquí está la entrevista 
https://t.co/Z9dkY0c67r"
36,"Escuchando con estupor a la representante de la #CGTP, en @ideeleradio, que la congresista ""debió denunciar en su m… https://t.co/yzU21QUEXv"
37,"JAJAJAJAJAJAJA CSM 
https://t.co/jUkEPRpCjS https://t.co/ThCbeWmvuF"
38,"RT @VLunachina76: @litolobo Si Piura y Arequipa han elegido a 2 violadores como gibernadores,qué nos pondran en Congreso?
Ni Dino nos salva"
39,RT @Socratesmf: @litolobo Estaba tomando mi quinua 😆cuando me atoré !
40,@patriciagamarra @JorgeMunozAP Ya no aguanto csm
41,"Congresista descarta sentirse preocupada por la no reelección de sus cuadros: ""tenemos choros como cancha. Nos vamo… https://t.co/cLwhObeqZk"
42,Saspendejo https://t.co/vKNlt9TZtV
43,"Amigos, compartan esta van de la suerte, para que el 2019 les venga repleto de felicidad, trabajo y salud. https://t.co/4Xu2AXMS3x"
44,"RT @MaraAlejandraGi: Cuando llamé Fujimorista a Rafael Rey me mandó a sus trolls que me insultaron llamandome fea, Fiona y que no merecia h…"
45,"RT @kikecgennell: Mi actitud ayer en plena votación.
""Este 9 de diciembre, marca como se debe"". https://t.co/aPLvECI4B6"
46,"RT @QuintoPoderPe: #ProntoCaerasAG Así llores y te escondas como el cobarde que eres, pronto caerás @AlanGarciaPeru https://t.co/BD9KJkS9Hi"
47,RT @djimenez1489: @EmilioSalcedoT @DiarioDeCurwen El @bcrpoficial  debe expectorar a este tipo que no tiene la conducta apropiada para ser…
48,RT @CarlosLimoVi: @EmilioSalcedoT Conducta ejemplar no @bcrpoficial ?
49,"RT @Patrick_2004: @chicharronpress @litolobo @PanoramaPTV Y cuarto poder ahora con Lulú Flores, defendiendo la cuarta pregunta del senado d…"
50,RT @sumita210: @chicharronpress @PanoramaPTV Los de la estrella tienen los días contados...
51,"RT @SHlMlGAMl: @chicharronpress @PanoramaPTV No sé dieron cuenta que @Latina_pe y @PanamericanaTV  no pasaron el Flash electoral, por qué s…"
52,RT @Betto_Florez: @chicharronpress @PanoramaPTV Panorama parece el área de comunicaciones de @AlanGarciaPeru .....bien @RosanaCuevaM
53,RT @McMichirro: @chicharronpress @PanoramaPTV Roxana Cueva y Milagros Leiva no pueden ocultar sus simpatías a Alan y Keiko.
54,RT @chicharronpress: Vergonzoso. @PanoramaPTV da asco
55,"RT @chicharronpress: @PanoramaPTV ya pon tu logo de la estrella, mejor."
56,Harta tribuna para el jefe. https://t.co/z72mhe5N0V
57,RT @EL667: @chicharronpress o sea que ya nos podemos ir imaginando el tipo de invitados comentaristas que tendrán 🤔
58,RT @chicharronpress: A Panorama no le gusta el resultado.
59,Feria de opinólogos a la medida.
60,RT @DennysVirhuez: @litolobo ¡Cállense! ¡Cállese! Vieja piruja 🎶 #Dino la rompió
61,"RT @Martind67464191: @litolobo Yo hasta hice el bailecito, hijo mío...a esta edad ya uno se olvida."
62,RT @LuckyDarkEyes: @litolobo 🙋
63,RT @2014montesflor1: @litolobo Yo https://t.co/67VlTn5EWh
64,"RT @GerardoPC2905: @litolobo (También podían leer la cédula, pero, bueno, bien por el tiranosaurio.)"
65,"¿Cuántos han tenido que tararear solapa ""cállese viejo lesbiano"" para recordar qué es lo que tenían que votar?"
66,"RT @LuSalvatie: @litolobo Si vendieran ese polo por año nuevo, seguro que el  85% de la población la comprarían"
67,RT @PsiHarleen: Un sentimiento. https://t.co/34UbzjIJ3X
68,RT @DennysVirhuez: @chicharronpress Excelente iniciativa a falta de lectores valen los oyentes.
69,El Perú. https://t.co/PAWYK2AchB
70,RT @Yoshimi_77: @chicharronpress Excelente como siempre Cesar!
71,"RT @RAMOSaugust: @chicharronpress ""El asunto es que ahora vivimos la contraofensiva de la mafia. Los que hicieron de la política el esterco…"
72,"RT @spaceman005: Si no la leyeron, escúchenla. De los poquísimos periodistas (con mayúsculas) que llaman a las cosas con su nombre, sin tib…"
73,"Tremenda columna de César Hildebrandt hoy, en ""Mi columna favorita"". Publicada en @ensustrece el viernes 7 de dicie… https://t.co/BiGYotA8z4"
74,"RT @chicharronpress: Antes de votar véanos. Sin joda. Y sin trago (es ley seca, pa los que no compraron antes. Salú.) https://t.co/iLR3dXik…"
75,Ya salió el programa número uno de la televisión humorística: #ChdP ¡No se lo pierda! https://t.co/28ARLZfJj4
76,"RT @dsalaverryv: Saludo la valiente denuncia de la congresista @PalomaNoceda, le he informado que la Procuraduría del Congreso está a su di…"
77,"RT @DonhaPesima: @patarevalo @Alonso_GD Patricia, a mí me choca mucho verlo, pero no me parece que sea uso excesivo de la fuerza. Me apena…"
