,Tweets
0,#POLITICA De como la presunción de inocencia se ha degradado a nivel mundial CC @C_Irreverencias https://t.co/9dBnQrVQX2
1,"RT @aquintanillach_: Cuando se sancionó al grupo de los 'Avengers', se hizo en una semana, pero en el caso de #Donayre, hay que esperar la…"
2,"RT @ciudadansiedad: Complicado asunto, tu lideresa pactó con mineros ilegales. https://t.co/mTTcYWjSfs"
3,"@ricardovperu @FrenteAmplioPe &lt;iframe src=""https://t.co/JPA35SRIMQ"" width=""560"" height=""315"" style=""border:none;ove… https://t.co/BBQfyr5WtG"
4,"@ricardovperu @FrenteAmplioPe Había una cámara grabando, pero ni idea si lo han publicado"
5,@coyotegris @50mas1 @peru21noticias @tuesta Cuzco es la excepción ¿Por @Vero_Mendoza_F?
6,@gcaballeror Tengo la impresión (pero no tengo los datos para probarlo) que además tiene la aprobación mas cohesion… https://t.co/aAE2zULsUE
7,"@cpcperu @AlfredoMTorres @elcomercio_peru De acuerdo a esta tabla publicada por ustedes, el mercado laboral es el s… https://t.co/U5g3IR8IWf"
8,"RT @JMVivancoHRW: Que el régimen nicaragüense reprima, mienta y robe no debería sorprender a nadie: se trata de una dictadura. Precisamente…"
9,"@50mas1 @peru21noticias Leido dos veces, lo que mas me desconcierta es la ausencia de un patrón ¿Existe alguno? CC @Tuesta"
10,"RT @chamorrocris: Ortega y Murillo atacan hasta mi madre Violeta Chamorro, indefensa en su cama. Abusan de su figura con un video  cargado…"
11,"RT @clarincom: ""Soy propietario de tu lado más caliente"", ""Te vas porque yo quiero que te vayas"", ""le juro que esta vez la mataré"". Estas s…"
12,RT @OACNUDH: #Nicaragua - La Alta Comisionada de @OACNUDH @mbachelet insta al gobierno de Nicaragua a cesar el acoso contra la sociedad civ…
13,"RT @CSMaldonado: Mi reporte para EL PAÍS. @cefeche: “Si lo que querían era callarnos, aquí estamos. Las ideas no se matan, los periodistas…"
14,"RT @E_FLEISCHMAN: ¿Te referiste a la religión q profesa Gonzáles, Aspauza, Pacheco y muchos otros dirigentes de la U partícipes de su debac…"
15,RT @Reuters: Nicaragua police beat journalists in crackdown on free press https://t.co/hL7rUNU2Pi https://t.co/ezqVhbEyYR
16,@ljcisneros Subversif Détecté
17,"RT @ljcisneros: #Francia demuestra, una vez más, que la #democracia se ejerce también en las calles #ChalecosAmarillos #GiletsJaunes https:…"
18,RT @noakeikope: Estamos listos para convocar y salir a las calles en cualquier momento. @PedroChavarryV no nos robará la justicia. https://…
19,RT @NicolasLucar: Por qué Rafael Vela tiene que quedarse y los fiscales que en Lima y Chiclayo se están fajando contra la corrupción merece…
20,RT @monvalpa: Lo que está haciendo Daniel Ortega en #Nicaragua contra la libertad de prensa y expresión se agrava con el paso de los días.…
21,RT @fbajak: Peru’s Cabinet strikes against the independence of the agency tasked with battling illegal logging in Amazon rainforest (under…
22,@elinfantejuan @noakeikope Si
23,@jfowks En el video si está https://t.co/6rPmpmD9Uk
24,"#POLÍTICA Entre los estereotipos patriarcales esta la conducta ""varonil"", contrapuesta a la conducta de las mujeres… https://t.co/tk5qIwCjTw"
25,"@jfowks @JuanSheput En @RPPNoticias ya no hay referencia a lo ""varonil"", creí haberla visto antes. https://t.co/cFAklq8Q73"
26,"RT @jfowks: @JuanSheput Para huir de la justicia y quedarse en otro país, se necesita dinero y abogados, ponerse a ley no está en relación…"
27,"RT @octavodepollo: Les recuerdo que esta gente no es regulada ni paga impuestos. Ah, pero dice el congresista de internet que es una “econo…"
28,"RT @rataneda: Edwin Oviedo dice: ""Me están obligando a ser colaborador eficaz"". Traducción: ""Quieren que confiese, por si acaso. A ti te ha…"
29,RT @cefeche: Antimotines agreden a periodistas. Fuimos a plaza del Sol a demandarle a la policia la orden de asalto contra la redacción de…
30,RT @PalomaNoceda: Exponer a @arlettecontrers a afrontar nuevamente un nuevo proceso judicial implica su revictimización. Una condena tardía…
31,@willynugent No.
32,RT @cenidh: URGENTE Cenidh totalmente tomado por la Dirección de Operaciones Especiales Policiales DOEP.  No dejan ingresar a nadie. En el…
33,RT @Sheep_p: Si hay algo que debo resaltar es la calidad de memes que está sacando la gente por todo lo que está pasando en la Puk #ElLoboD…
34,"RT @IndiraHuilca: Qué dirá el Ministro de T̶r̶a̶b̶a̶j̶o̶Economía que señala que despedir a un trabajador es difícil en nuestro país, y quie…"
35,RT @MarialeFTW: Interstellar https://t.co/njJN52ZaSt
36,@chifaentiffanys 30 de Enero. Trabajo en el Congreso.
37,"RT @AlbertoBelaunde: Ayer @TubinoCarlos decía que no habían bloqueado el dictamen de salud mental. 

Aquí la carta donde retira su firma. S…"
38,@pseminariog @C_Irreverencias No son lecciones. Son descripciones.
39,@atownsendk ¿Algo para leer?
40,"@atownsendk El sicoanálisis lo hace 1-a-1. No sabía que se intentaba industrializar, me gustaría saber la secuencia lógica para ello."
41,"@atownsendk Si la persona en cuestion tiene cero capacidad de introspección, tampoco el algoritmo de Twitter ayuda en nada"
42,"@atownsendk Lo único que se me viene a la mente hecho de manera institucionaliza, es la inteligencia artificial de… https://t.co/FHxNVoZh1G"
43,@atownsendk Mi solución individual es seguir a unas 10 personas que las considero que están en la otra orilla de mi… https://t.co/EiLUHRs8B5
44,"RT @rozevallos: “Una universidad pública es transparente, una privada no” Esto acaba de decir Efraín Gonzales, aún miembro del rectorado PU…"
45,"@atownsendk Es asimétrico. Mientras los ""likes/retweets"" son objetivos, Los ""quienes discrepan contigo"" es subjetiv… https://t.co/Yd2xtgy5Ey"
46,"RT @jfowks: Dice @JuanSheput que si #JaimeYoshiyama quiere portarse ""de manera varonil"" debe volver al Perú. Pero responder a investigacion…"
47,RT @dchavezd: Porque comer pavo es un privilegio. https://t.co/FL2kRdVeSN
48,RT @andoenpando: José de la Puente (que pide la salida del equipo rectoral) suelta un chiste ligero para relajar el ambiente durante la asa…
49,@116stCU Que les pongan un impuesto selectivo de 100% para un fondo intangible para la mejora del transporte masivo.
50,"@C_Irreverencias ""El problema es que, en el Perú, el sector empresarial de la CADE es un club privado en el que no… https://t.co/YRqac3BOB8"
51,RT @nellylun: OJO a esto: Gobierno busca debilitar a @pcmperuosinfor a través de polémico decreto supremo #Amazonia https://t.co/i2BS7XsFme…
52,"#POLITICA No en vano fue vicepresidente de PPK. Al día siguiente del referéndum, solicitó al Congreso prorrogar las… https://t.co/RyF4qAJ1m8"
53,RT @Angelpaezs: Giuliana Loza ha sido comprendida en el caso de lavado porque testigos la identificaron como una de las abogadas que instru…
54,"RT @naynat_: @KatarsisYT ""Como mujer, debes darte a respetar"". Somos tontos? Me tienen que respetar sin que yo lo pida como ley básica de e…"
55,"RT @Jeannettellaja: Increíble!. 
Como el señor Moisés Mamani no asistió a la audiencia en el Poder Judicial en la que se vería la solicitud…"
56,"RT @MarisaGlave: #Alerta 
Hoy 10 am, pedido por fiscal Pérez Castañeda se hará audiencia de levantamiento de inmunidad parlamentaria a M. M…"
57,#ECONOMIA Hoy a las 9:30 am en Radio @ExitosaPE para hablar de esto con @PedroParvel (se ruega enviar comentarios a… https://t.co/0WTACJgo4F
58,@andoenpando @wayka Me refiero si existe una respuesta institucional.
59,"Luego que el MEF logró aprobar el Presupuesto el 30 de Noviembre, a los 9 días solicita con carácter de URGENTE ren… https://t.co/vB0gvpaEHm"
60,"@JesusHer0 @Ojo_Publico @ElizabSalazar Las de alimentos deben ser permanentes y modificar la Ley de IGV.
Pero prefi… https://t.co/WqWOr5U2dg"
61,"Mas detalles sobre las exoneraciones, en este artículo publicado en @Ojo_Publico escrito por @ElizabSalazar… https://t.co/JeTrkWOL64"
62,El presupuesto se aprobó el 30 de Noviembre y a los 5 días la Comisión de Economía recordó prorrogar exoneraciones… https://t.co/s19A4zFEMm
63,@PeruanoComunica Es información reservada no disponible
64,#ECONOMIA Mañana a las 9:30 am en Radio @ExitosaPE para hablar de esto con @PedroParvel (se ruega enviar comentario… https://t.co/rLMVtsJPID
65,RT @cynthyamontes: En @exitosape invitan a abogados “especialistas” para opinar imparcialmente sobre los casos jurídicos y critican duramen…
66,RT @sespichi: Jefe del UIF presidirá organismo interamericano que combate lavado de activos  https://t.co/6I8xBX9iie vía @Agencia_Andina
67,RT @AlbertoBelaunde: Es lo valioso del sistema interamericano de DDHH: No importa que Keiko y compañía se hayan dedicado a desprestigiarlo…
68,RT @jurrunaga: Lamentable pero inevitable reacción de altos funcionarios del @pcmperuosinfor ante abierto atentado contra su independencia…
69,RT @MarisaGlave: Y como era de esperarse el señor Mamani NO FUE a la audiencia de levantamiento de inmunidad. Se ha reprogramado para el ju…
70,RT @Alonso_GD: Ah las ironías de la vida https://t.co/4KM8P02uhR
71,@OsinforPeru @jgodoym La pregunta que abre este DS es sobre los otros órganos supervisores. Estar dentro de la PCM… https://t.co/Zsj4ogmiWO
72,RT @nellylun: Toda nuestra solidaridad hacia el valiente equipo de @confidencial_ni que lidera Carlos Eduardo Chamorro. Su redacción fue as…
73,"@richicuenca Cuando trabajé en Angola, el bono de desempeño era otorgado en el mes de ingreso, también con connotación no económica."
74,"RT @rmapalacios: Me escribe Juan Pérez (es en serio) con 4 seguidores, unido a twitter el 2018 para darme ordenes sobre como debo hacer mi…"
75,"RT @cefeche: Denuncio al dictador Daniel Ortega, jefe supremo de la policia nacional, como responsable del asalto policial contra las ofici…"
76,"RT @RPPNoticias: Ángela Ponce: ""Soy una mujer, ya antes de nacer, porque mi identidad está en mi cabeza"". 
https://t.co/UcWzQjGA9s"
77,RT @tuesta: @matuk @ljcisneros Luis Jaime haciendo números parece un par de esos que por estos días quieren cuestionar la validez del refer…
78,"@elpanfletope Mas condición de clase, mas pesa la relación entre los que se perciben iguales. Una argolla por natur… https://t.co/d4FheyaJaz"
79,@ljcisneros ¡Eso! cc @Tuesta
80,"@elpanfletope No son argollas, es condición de clase."
81,"@quetecrees @elmorsa Es dialéctico, lo de la derecha es para pobres porque siempre han compardo ahí. Lo de la izqui… https://t.co/5HaolwSa3P"
82,"RT @FrenteAmplioPe: Fotos / Conversatorio ""Paquetazo Navideño, lo que se viene con el próximo Plan Nacional de Competitividad y Productivid…"
83,"@andoenpando El único economista de la plancha de Marcial Rubio, que no pudo proponer mejor solución al problema ec… https://t.co/AhgUIqZixF"
84,"#ECONOMIA @MEF_Peru perfora el Presupuesto aprobado hace sólo dos semanas, usando la Navidad como cortina de humo p… https://t.co/1a9c6lTKu8"
85,#POLITICA Aquí un candidato del APRA haciendo su campaña para congresista en 2021. No para presidente porque el can… https://t.co/1fGk3zAPEa
86,RT @CamiloDeza: Última modalidad de la sharing economy: el chofer de Uber te pide que le pagues a él directamente 25 soles (la carrera era…
87,"RT @willynugent: La autoridad moral de la universidad católica ha quedado destruida. 
Que todo haya empezado con un simple fallo de Indecop…"
88,RT @andoenpando: Soy representante estudiantil ante la asamblea universitaria PUCP. Lárguese. https://t.co/9wVXHpO6th
89,RT @omarmariluz: Las mujeres son las más golpeadas con el enfriamiento del mercado laboral. Ahora ganan S/24 menos que hace 12 meses. En ta…
90,RT @AlbertoBelaunde: Increíble lo que nos cuenta @JorgeDCG: Fuerza Popular retiró su firma y evitó que podamos aprobar en el Congreso la nu…
91,"RT @IndiraHuilca: Lo vimos todos en video y a pesar de eso el proceso contra el agresor #AdrianoPozo tendrá que empezar de cero, 3 años des…"
92,"@fbelmat @jgodoym Yo no hablo de los ""que no rinden"", hablo de los sindicalistas despedidos que toma una eternidad su reposición."
93,"@paolamiglio @PTeullet Si la Superintendencia de Bienes Nacionales otorga el título de propiedad, nada impide que h… https://t.co/ZRNh2dqy75"
94,RT @gorjeda: El racismo detrás de las Falsas Momias alienigenas. - The Atlantic. El crimen continúa!  https://t.co/YtZzXt9Vgd
95,"@andoenpando @Jorge_AMendoza @wayka Yo no hablo de los 50 profesores, hablo de quienes diseñaron un sistema de asig… https://t.co/NiSvK2mi2z"
96,@LDavelouis Vete a dormir
97,RT @BetoORourke: I am deeply saddened by this girl’s death. There must be a complete investigation and the results shared with Congress and…
98,RT @radleybalko: This is fucking depraved. Just profoundly evil. https://t.co/PuDINakTOD
99,@GatoSable La anemia infantil se mide en población hasta 5 años. Si se distribuyen las pastillas de hiero a esa pob… https://t.co/m7WxUsJGgM
100,@fbelmat @jgodoym Entonces el problema se resuelve con Juzgados de Trabajo mas expeditivos que implican un incremen… https://t.co/sUhiCvNdpq
101,"@AndresRomanaa Esto es lo que indica el ""The Global Competitiveness Report 2018"" sobre materia laboral para Perú. E… https://t.co/TSKWuEdo8o"
102,"@PTeullet No es la primera, ni la única. En el tramo entre Santa María y Pucusana hay varias. Y como me explicaron,… https://t.co/foIlrQ4Kem"
103,"@fbelmat @jgodoym Tengo toda la impresión que el propósito de toda la modificación es despedir sindicalistas.
En un… https://t.co/6oh52XTHKz"
104,"@andoenpando Hasta donde entiendo español, Secretaría General se guardo la información por 4 años y la auditoría ex… https://t.co/720AVJ2jP8"
105,@fbelmat @jgodoym Las empresas inventan y el Estado se inhibe de fiscalizar. Eso luce el status quo actual. Otra pr… https://t.co/NVdgAMJwKa
106,@fbelmat @jgodoym ¿Cuál es el ilícito en este caso?
107,"@Jorge_AMendoza @andoenpando @wayka ""En este rollo, hubo un grave problema de falta de transparencia ...""
Para el c… https://t.co/UmGyrf9nTg"
108,@andoenpando ¿Hay respuesta oficial a lo de @Wayka o todavía?
109,RT @PatyDonayre: No más inmunidad. https://t.co/KwNYey7JcS
110,RT @hernunez: Estibadores y carretilleros del Mercado Mayorista en paro nuevamente desde esta noche. @emmsalima es responsable pues está au…
111,"RT @arlettecontrers: (1) ¡NUEVO JUICIO, MÁS VIOLENCIA!
En julio de 2015 fui víctima de violencia de género, y ahora soy víctima de la viole…"
