,Tweets
0,RT @viralizeed_es: Noticia más #viral ahora (PE): Con mi Navidad no te metas https://t.co/WZU0MSe98p
1,"RT @larepublica_pe: Lee la columna de opinión de @ocram: ""Con mi Navidad no te metas"" ►https://t.co/plnB6EfrHk https://t.co/GBcmWYBK05"
2,RT @spaceman005: Chávarry a punto del autogol. Cortesía de @ocram   https://t.co/gE6rKndSsw
3,RT @Mabelitaf: #FueraChavarry https://t.co/Z8KT5xdzdS
4,RT @McMichirro: Chavarry tu regalo a todo el Peru debe ser tu renuncia. https://t.co/NJre8MrbsM
5,"RT @QHaRi: Sobre decapitar al Equipo Especial: ""aseguran que la decisión “ya está tomada” y que incluso el papeleo correspondiente ya está…"
6,"RT @klaudiarolland: Mensaje claro y directo. @PedroChavarryV tocas a los fiscales Vela y Perez, tocas al Perú...y ya ves que nos va muy mal…"
7,"RT @LuisGutip: Una alerta más de lo que Chavarry, tiene planeado, esta vez a diferencia de PPK, el presidente Vizcarra puede hacer cuestión…"
8,"RT @DiarioDeCurwen: «Quiere anular al Equipo Especial Lava Jato del Ministerio Público, remover a los fiscales Vela y Pérez. Esto sería, en…"
9,"HOY en mi calumnia dominical: si Chávarry quiere ser el Grinch del 2019, primero que se mire en el espejo de PPK  https://t.co/PQPz0Auhka"
10,"RT @elpais_america: El periodista Carlos Fernando Chamorro, una de las voces más respetadas de la prensa centroamericana, acusa al presiden…"
11,RT @PeruvianBojack: Trato de ser el mejor. Mejor que nadie más. https://t.co/KCRXx3E873
12,"RT @Alonso_GD: El de la foto se llama Sheik Adil al-Kalbani. No es un príncipe saudí, no está casado con una niña de 6 años y el Presidente…"
13,expo Pilar Albarracín en Tabacalera Promoción Del Arte https://t.co/TiJ9br548A
14,"RT @ellimitedelbien: La única arena que debería pisar un toro🐃
Parece un niño jugando😍 https://t.co/cg56p8qj9S"
15,"RT @CAdelaflor: Cuando te aparece un tuit (aún sim seguir a esa persona) que quiere rankear el dolor de 3 familias, te queda la opción de d…"
16,RT @Sheep_p: Si hay algo que debo resaltar es la calidad de memes que está sacando la gente por todo lo que está pasando en la Puk #ElLoboD…
17,RT @existentialcoms: It's pretty obvious that humanity will destroy the planet and go extinct before we figure out the mysteries of the uni…
18,RT @fbajak: Peru’s Cabinet strikes against the independence of the agency tasked with battling illegal logging in Amazon rainforest (under…
19,"RT @uterope: 🎅 si alguien te ha pedido “un buen libro”, aquí @mfloresmontufar te trae una opción segura para que tu regalo se convierta en…"
20,RT @NicolasLucar: El día de hoy Alfredo Barnechea dio por enterradas sus aspiraciones presidenciales al pasear del brazo inspeccionando las…
21,"RT @AlbertoBelaunde: Ayer @TubinoCarlos decía que no habían bloqueado el dictamen de salud mental. 

Aquí la carta donde retira su firma. S…"
22,"RT @eldiarionegro: Chávarry en pleno sabotaje. Vergüenza nacional, esperanza de los corruptos. https://t.co/JQjoRSy08X"
23,RT @MarialeFTW: Interstellar https://t.co/njJN52ZaSt
24,"RT @Hcoya: La primera temporada de El Último Bastión llega esta noche a su fin. No ha sido una tarea fácil, más bien, como dice el historia…"
25,RT @ClaraEOspinaG: -FAKE NEWS: ¿Vamos a dejar pasar caleta esta noticia falsa propalada por el portal de un trabajador del Congreso? | http…
26,RT @cangrejoermita1: Me fascinaba el personaje neurótico atormentado con un maravilloso sentido del humor. Porque podía reírse de lo que a…
27,"RT @magnet_es: Un grupo de investigadores ha correlacionado tener menos habilidades sociales con una menor tolerancia (casi, ejem, nazi) a…"
28,"RT @juliamacfarlane: This Scorsese of a shot dominating the news today, masterfully captured by a cameraman whilst being escorted out - wha…"
29,"RT @TVConchi: Ojo al dato: de las 20 series de Netflix más vistas por los usuarios de TV Time en el mundo, TRES son españolas: #LasChicasDe…"
30,"RT @Reuters: The most popular videos of 2018: It's official: Sesame Street's Bert and Ernie are not gay, or straight – but does it matter?…"
31,"RT @Be_Herrero: El periodista italiano Antonio Megalizzi, de tan sólo 29 años, ha fallecido víctima del atentado del martes. Se había despl…"
32,RT @Lauletras: FYI en @uterope hemos sacado varias notas acerca del chongazo que hay en la @pucp gracias al excelente trabajo de corroborac…
33,"RT @contracultural: Ni medio cholo, csm: https://t.co/miilZ4tJQ4"
34,"RT @gonzalezferriz: Dickens inspiró a Marx, conocía las horribles condiciones de trabajo de muchos contemporáneos suyos y  estaba genuiname…"
35,"RT @fujitrolls: ¿Quieren que @CesarSeguraI vea el expediente del Fiscal Chavarry en el @congresoperu ?. Por favor, escríbanle a @CesarSegur…"
36,"RT @CristhianRS: ¿Ah? ¿Con Barnechea? 
- Esto muestra un interés de la gestión saliente de petardear a Muñoz.
- ¿Por qué Barnechea se prest…"
37,"RT @cefeche: Denuncio al dictador Daniel Ortega, jefe supremo de la policia nacional, como responsable del asalto policial contra las ofici…"
38,"RT @rsifuentes: En el 2021, cuando Barnechea te pida de nuevo su voto, recuerda este video sobón con uno de los peores gobiernos municipale…"
39,@jocar_5 https://t.co/to02ibN7rD
40,¿alguien más está fascinado por esta temporada de Legends of Tomorrow? qué manera de pastrulearse. no sé si es que… https://t.co/bl7Y7WJbyM
41,RT @LRuizdelaVega: El Perú da el primer paso hacia un mejor futuro y deja una estela de memes a su paso https://t.co/2q21CVwlnh vía @uterope
42,RT @pilartaratoruga: No sé si he llorado más con #ROMA o con este hilo: https://t.co/DRdIr76Nyk
43,"RT @renaudbedard: this makes me realize that I really did not understand the relative size of countries as a kid, partly internalized that…"
44,"RT @SofiaGarciaN: En respuesta a este twit varios chillan que se debe regular el mercado. Me encanta, cuando se trata de mi carro, mi comid…"
45,"RT @socioperiodismo: Congresista @JorgeDCG, revela  que Fuerza Popular retiró sus firmas de  crucial nueva Ley de Salud Mental, en represal…"
46,"mientras tanto, en la PUCP... https://t.co/3kHYkkKEXV"
47,RT @cboteromarino: Esta va a ser recordada como una de las épocas más crueles en la historia de los Estados Unidos de America. https://t.co…
48,RT @renzgch: Hasta un chipitap es más difícil que la orden del sol https://t.co/VvJzHmZhM2
49,RT @gaston_acurio: recetweet. Que seria de la tortilla española sin la papa llegada del Peru?. Que seria del cebiche peruano sin el limón l…
50,"RT @castilloangel79: Nunca he sido un indignado de las redes. Es más, para mí @EntelPeru es lo máximo, pero creo que aquí se equivocaron. B…"
51,RT @NombreFalso1231: Cuando la gente me pregunta porqué estoy comiendo a todas horas. https://t.co/bPECpnlMeX
52,"RT @harryelsocio: Le dije a mi peluquero ""como siempre"", pero se ve que entendió ""He matado a alguien y necesito salir del país y empezar u…"
53,RT @gorjeda: El racismo detrás de las Falsas Momias alienigenas. - The Atlantic. El crimen continúa!  https://t.co/YtZzXt9Vgd
54,RT @monvalpa: Se acuerdan de Willy Serrato? El que se fotografió con el féretro de Daniel Peredo. Fue electo alcalde de Olmos por el partid…
55,RT @disalch: Veo ahora que @Lauletras publicó ayer jueves 13 en @uterope una nota sobre la aparición y desaparición de esa nota conspiranoi…
56,RT @patriciagamarra: Te ligó una... https://t.co/mhkxmze9ht
57,"RT @gvillasis: Estos son los cinco aportantes de la campaña del Apra en 2006 que negaron haber contribuido con la candidatura, pese a que s…"
58,RT @hurgamemoriaPE: Hace 72 días Alberto Fujimori se internó en la Clínica Centenario para evadir mandato judicial que revocó su irregular…
59,"RT @gvillasis: [VIDEO 2] Según la web de la ONPE, el 99.8% del total de aportantes del Apra entregó entre S/. 1 y S/. 20. Esta fue la campa…"
60,"RT @brainpicker: “We are bathing in mystery and confusion on many subjects, and I think that will always be our destiny. The universe will…"
61,"RT @EconCulture: In his films, Kubrick exists as a kind of deep state, while his fans are conspiracy theorists https://t.co/6QL3BpRfZj"
62,"RT @aberron: Ahora os voy a contar algunas cosas sobre LENGUAS que he aprendido hoy. Y no necesariamente agradables, pero sí bastante lóque…"
