,Tweets
0,"RT @IDL_Rivera: @MedioLegal @ccaroc2011 @FabioTalledo @elhelenico Los Amicus Curiae deben ser presentados por quien lo firma, no por la def…"
1,"RT @patarevalo: Es cuenta fake, OJO. Igual hay que segukrl/revisarla, pero sus dueños deben ponerlo con claridad. Hacerlo así solo daña al…"
2,RT @MavilaHuertasC: Nuevos retos. Mil ideas. Anotaciones en un papel. El compromiso de que #2019N contribuya a que el Perú sea un país más…
3,"RT @lucianolopez27: Felicitaciones, Congresista @AlbertoBelaunde ! Gran trabajo, cuente con nuestro apoyo desde nuestras trincheras. Gran a…"
4,RT @ovejanegra021: Cuánto descaro y mezquindad cuando 1 institución es corrompida x1 persona:#Chávarry usa @FiscaliaPeru para atacar la luc…
5,RT @paromujeresperu: Increíble la insensibilidad de @MilagrosLeivaG en su encuesta/ranking del dolor. Todas las niñas y mujeres víctimas de…
6,RT @sigridbazan: Chavarry ya ni se molesta en disimular. Su desprecio al equipo Lava Jato no podía ser más obvio. Pone por encima sus inter…
7,RT @SolCn: El propósito no es bueno.  Y el comunicado tampoco.  Una vergüenza que el Fiscal de la Nación oscurezca y dificulte más aún el t…
8,RT @maralvama: Fiscal Rafael Vela: en el chat La Botika no solo hay expresiones políticas. Decían que tenían que destruir al fiscal José Do…
9,RT @AlbertoBelaunde: Ayer el @Minsa_Peru me nombró Embajador de la Salud Mental. Ello me compromete a seguir luchando contra los estigmas s…
10,RT @patarevalo: Me pregunto: ¿Qué gana Chávarry con esto? ¿Qué gana publicando en tuiter vídeos de respaldo a sí mismo mandados a hacer a s…
11,RT @ronaldgamarra: Fuera Chávarry!
12,"RT @AlbertoBelaunde: Ayer @TubinoCarlos decía que no habían bloqueado el dictamen de salud mental. 

Aquí la carta donde retira su firma. S…"
13,RT @AlbertoBelaunde: Esto evidencia que el indigno fiscal de la Nación está preparando el camino para desmantelar el equipo especial que di…
14,"RT @yamilaosorio: Iniciamos la recepción de obra del Nuevo Hospital de Camaná ! 
Estos años han sido de intenso trabajo para reducir las br…"
15,"RT @TrujiYo: “Nosotros sí estamos siendo hostilizados, pero no por el abogado (Abanto), sino por nuestra propia institución”

Rafael Vela,…"
16,RT @elcomercio_peru: La ley de plásticos al detalle: ¿Cuáles empezarán a prohibirse y en cuánto tiempo? | Vía @AliciARojas https://t.co/Y7v…
17,"RT @monvalpa: El fiscal Carrasco, así como otros buenos fiscales, merece reconocimiento a su trabajo y valentía. Pero, sobre todo, requiere…"
18,"RT @eldiarionegro: Chávarry en pleno sabotaje. Vergüenza nacional, esperanza de los corruptos. https://t.co/JQjoRSy08X"
19,"RT @socioperiodismo: Julio Rodriguez abogado de Chávarry, Hinostroza y Oviedo. Abogado de los presuntos ""Cuellos Blancos del Puerto"", ¿Que…"
20,RT @IndiraHuilca: Esto es indignante. El suspendido Mamani obstruye las investigaciones judiciales en su contra. Y cuando va a al Congreso…
21,RT @AlbertoBelaunde: Increíble lo que nos cuenta @JorgeDCG: Fuerza Popular retiró su firma y evitó que podamos aprobar en el Congreso la nu…
22,"RT @gvillasis: Escandalosa resolución de la jueza Elizabeth Arias, quien ordenó el impedimento de salida del país de Félix Moreno, pese a l…"
23,RT @AlbertoBelaunde: ¿Perjudicar a uno de los grupos más vulnerables (pacientes de salud mental) por cálculos políticos en una norma de cas…
24,"RT @socioperiodismo: Congresista @JorgeDCG, revela  que Fuerza Popular retiró sus firmas de  crucial nueva Ley de Salud Mental, en represal…"
25,"RT @yamilaosorio: Beca Maestro 3.0 , un programa de becas de maestría para profesores, creado en esta gestión, es el que más satisfacción m…"
26,"RT @gvillasis: La jueza Elizabeth Arias debió pronunciarse 48 horas después del pedido de prisión preventiva   contra Félix Moreno, pero re…"
27,RT @MarisaGlave: Y como era de esperarse el señor Mamani NO FUE a la audiencia de levantamiento de inmunidad. Se ha reprogramado para el ju…
28,"RT @drhuerta: Con humildad, comparto algunas reflexiones personales acerca de lo que he aprendido de mis pacientes, luego de más de 30 años…"
29,"RT @ttovarsamanez: Entre la indignación  por el atropello y la congoja por la niña abusada, no sé cuál sentimiento es más fuerte
No es posi…"
30,RT @llinijoplin: No sabia que era su hijo! todo encaja. https://t.co/6qCYOyOqrN
31,"RT @VivianaAusejo: Tergiversa  @GiullianaLoza abogada de Keiko, la “maniobra” del fiscal @JoseDomingoPer cuando dice q ha sido denunciada “…"
32,"RT @yamilaosorio: Gracias @MidisPeru por este reconocimiento a nuestro trabajo para reducir la anemia infantil! 
Felicito a los 20 alcaldes…"
33,RT @malditaternura: 👊 Adriano (al) Pozo 👊 https://t.co/Bsgzp0tmGE
34,"RT @yamilaosorio: Hoy, con los rectores de las principales universidades de Arequipa, hemos acordado la conformación de una comisión promot…"
35,RT @omarzev: ¡Muy bien!!!!! https://t.co/BjanLn0on9
36,¡Muy bien!!!!! https://t.co/BjanLn0on9
37,Hipopótamos en Surco. Ay estos alcaldes cuando se quieren poner creativos. @MuniSurco_ https://t.co/WMrUmSlRYg
38,"RT @hurgamemoriaPE: Confesaste sin darte cuenta, pues...IMBECIL! https://t.co/IGx85MW2nV"
39,"RT @jgodoym: 5 personas niegan haber sido donantes de la campaña del APRA en 2006, a pesar que sus nombres aparecen en ONPE. Vía @elcomerci…"
40,"RT @Shey2403: No tomamos taxis solas, porque tenemos miedo.
No caminamos solas por la calle, porque tenemos miedo.
No levantamos muchas vec…"
41,RT @larepublica_pe: #MensajealaNación El mandatario anunció que ya tienen el proyecto de ley orgánica para la implementación de la Junta Na…
42,"RT @Cluzcar: Esto es una tontería, por darle gusto al fanfarrón fugitivo humillan a la @PoliciaPeru . Como si no supieran de qué pie cojea…"
43,RT @MabelAguilarD: Que asco de persona 😡🤢 https://t.co/EV1ViJivXq
44,"RT @lorealvareza: ""Desde ahora no mas hermanitos"" anuncia @MartinVizcarraC en #MensajeALaNacion y presenta proyecto, aprobado en el Consejo…"
45,"RT @heduardo50: ¿Informante? ¿Fuente anónima? La declaración fue ""Tenemos INFORMANTES dentro del equipo anticorrupción de la Fiscalía"". Y n…"
46,RT @IDL_Rivera: @jgodoym Que está tomando AG?
47,"Litio, falta litio. https://t.co/6Y77HSmFNH"
48,RT @monich16: AJÁ: @MartinVizcarraC anunció comisión de alto nivel para reformas políticas. Entre otros temas : financiamiento de partidos…
49,"RT @ALMA13: No habrá reforma laboral que recorte derechos de los trabajadores, aseguró presidente @MartinVizcarraC en mensaje a la nación.…"
50,Mamani https://t.co/qWkUCuDU45
51,"RT @patriciagamarra: Están llorando en estos momentos:
-Fujimoristas
-Apristas
-Vitocho
#MensajeALaNación"
52,"RT @carolamm: ""Los peruanos han votado por el cambio..."" ""Me comprometo a poner de mi.parte para que el Perú siga avanzando"" Con estas fras…"
53,"RT @gastongaviola: En metalenguaje: pudo escoger de fondo el cuadro de Cáceres o el de Túpac Amaru, ambos en los salones de Palacio, pero e…"
54,"RT @monvalpa: Sobre resultados del #Referéndum respecto a la bicameralidad, el pdte @MartinVizcarraC dice que resultado es una expresión de…"
55,"RT @TatiAleman: Para conformar la comisión de reforma política @MartinVizcarraC asegura que convocará a
- Presidente del Congreso 
- Presid…"
56,RT @patriciagamarra: Vizcarra presentó 7 proyectos en julio. Estamos diciembre y el congreso solo ha visto 1. Todos nos damos cuenta quién…
57,RT @ALMA13: No más #hermanitos: presidente @MartinVizcarraC en mensaje a la nación. https://t.co/Cu0Xk5oU1C
58,RT @hurgamemoriaPE: @MartinVizcarraC: “considero una burla que el @congresoperu haya aprobado una ley bajando las penas a quienes cometan d…
