,Tweets
0,Feliz porque mis amigos de @Armonia10Piura se han sentido demasiado contentos con el público hoy en… https://t.co/iL6SuKqu9y
1,"Luis Castañeda Lossio, el alcalde de los incendios. Que se le recuerde así en 50 años. https://t.co/Xhlv0JorlJ"
2,Sustenta lo que acabas de decir. https://t.co/0Ec77VmHiN
3,"Trabajando en el VRAEM conocí a Dante Chirisente, soldado indígena reenganchado que servía al país en Pangoa. 21 añ… https://t.co/2aTZl7737i"
4,"Después de vivir con decenas de médicos (hermano, primos, amigos, que hacían internado, residentado), lo único que… https://t.co/AxpUJoZADX"
5,"Ocho veces en mi vida donando en seis hospitales distintos. Si mi comentario te resulta mierda, y tú eres médico, e… https://t.co/75O0tkeBIo"
6,@Andina_Minara Lo siento mucho. Lo tendré en cuenta.
7,Cuando se te malogra el GPS. https://t.co/7bL1eQGDBG
8,"Uno es héroe no por donar, sino por soplarse la hora y media de trámite burocrático, que hasta dos médicos te filtr… https://t.co/s7gVreoCsx"
9,@fvbio260 @KevsVillarreal Lo máximo que recuerdo es el partido comunista de Nepal que tomó el poder y se asumía pensamiento Gonzalo.
10,@eloscuromalo @tequenhito Tons no toy mal. Fuera de servicios?
11,"@tequenhito Oye ya pero cuenta algo, cuánto pagan por cuántos metros cuadrados, debo empezar a hacer lo mismo dentro de poco. &lt;3"
12,"Policías peruanos ingresan a galería en Mesa Redonda para intervenir venezolanos ilegales, son expulsados por los c… https://t.co/mNPu665zl6"
13,@MABRUXI @moncho12373 No sé por qué me sigues entonces. Te invito a presionar el botoncito ese. Buenas noches.
14,@MABRUXI @moncho12373 Estás describiendo lo que le sucede a cualquier joven de universidad pública. Te puedo presen… https://t.co/ajmM7tJfci
15,@MABRUXI @moncho12373 Acabas de describir la vida de cualquier estudiante de universidad pública.
16,@mateconcoca Este fue el afiche. https://t.co/yKyvGZMGBM
17,"@mateconcoca Nosotros organizamos la Verbena de Sociales del 2015. Fue mi primera megaproducción, unas 6 mil person… https://t.co/eZkl4XzWuf"
18,"@misssorquidea Ya viví en algo menos fashion que SMP por 16 años. Uno quiere movilidad social, mami. Fácil pa ti que vives en chalet :v"
19,@misssorquidea Hay que ser un poco fresca para TUITEAR ESTO DESDE ARAMBURÚ.
20,"El gobierno de Vizcarra ha reducido la presencia de #Beca18, y en contraste ha aumentado la inversión en infraestru… https://t.co/8C8gMsf3N5"
21,Agrego algo más: el Estado debería cortar la soga de #Beca18 e invertir todo ese dinero en perfeccionar las pública… https://t.co/O8MdLgvygQ
22,"Son hermosos, ya hay voces diciendo que para que PUCP salga adelante reciba dinero del Estado.

Quieto, quieto, qui… https://t.co/hP6ToMYicY"
23,"Los qollas tienen un PBI acumulado entre 2007 y 2017 de 84 709 112 000 soles, de los que 9 940 824 000 corresponden… https://t.co/bl31aj4tEX"
24,El día en que PUCP pueda hacer una broma de sus problemas sin resaltar su pluralidad o su calidad será gracioso. Ne… https://t.co/jRICjlhipb
25,Feriado solo el 24. Buenos días Pedú! https://t.co/rFS1Tp3nLt
26,Ya está el nuevo capítulo. https://t.co/K665G3FW46
27,"Menos mal que solo tiene un like y un RT este jumento.

Y que me disculpen los piajenos de mi tierra, por compararl… https://t.co/cb5N86H77P"
