,Tweets
0,"RT @chicharronpress: -¿A dónde vamos milord?
-A la mierda, Jaime. Nos vamos a la mierda. https://t.co/lV61hM4UDD"
1,Que pena ver personas tan malas haciendose llamar pastores. https://t.co/BjYORjeY7m
2,"RT @AlbertoBelaunde: Ayer @TubinoCarlos decía que no habían bloqueado el dictamen de salud mental. 

Aquí la carta donde retira su firma. S…"
3,"RT @TrujiYo: “Nosotros sí estamos siendo hostilizados, pero no por el abogado (Abanto), sino por nuestra propia institución”

Rafael Vela,…"
4,"RT @danielyovera: ""Tal parece que se quiete obstruir el convenio con Odebrecht"", señala el fiscal Rafael Vela, jefe del Equipo Especial Lav…"
5,Gracias a ustedes que lo hicieron muy entretenido. Estoy segura que ya habrá otra oportunidad. https://t.co/gdpegg5GhO
6,Buenas decisiones donde ha primado la institucionalidad. https://t.co/ftQeWMF1Bj
7,"RT @pucp: [COMUNICADO] La Asamblea Universitaria, reunida en sesión ordinaria el 14 de diciembre del 2018, se dirige a la comunidad univers…"
8,https://t.co/PSapRy12Un
9,https://t.co/NCLydgPiXs
10,https://t.co/au3tqZ9gKs
11,"RT @harrygordillo: El caso de corrupción en #Chiclayo que tiene a su alcalde, David Cornejo, detenido por ser el cabecilla de la presunta o…"
12,"RT @leggiere: — Aquí robé.
— ¿Y allá?
— También. https://t.co/f4rz0GMxPs"
13,Jajajaja https://t.co/zDLCuHy7ui
14,RT @danielyovera: Gonzalo Chávarry pidió aclaración a la Fiscalía brasileña sobre el respaldo que la Fuerza de Tarea le dio al Equipo Espec…
15,"Hasta para ser mezquino el Fiscal de la Nación usa las redes sociales de @FiscaliaPeru 
Una vergüenza mas. https://t.co/P3Dk2Z3T47"
16,"Sin embargo, lo que dijo el rector renunciante fue que él era el único responsable. Y las cartas que usted cita tie… https://t.co/TTgMySnGqk"
17,De nada. Gracias a ustedes! https://t.co/XIcWjX7hQv
18,"¿Me puede dar ese texto? No lo conozco. 
Si me va a citar hágalo con propiedad. 
Mande el texto. Me muero de ganas… https://t.co/qVXCXRnsp0"
19,RT @cefeche: Exijo a la Policia que devuelva todos los equipos y documentos que saquearon en la redacción de Confidencial-Esta Semana. Ello…
20,RT @monvalpa: Hilo interesante. Anímense a leer para entender quién es Willy Serrato. https://t.co/VizVqHXQVm
21,RT @drhuerta: Perjudicar salud mental de 31 MILLONES de peruanos por un entuerto político es muy triste y lamentable. Conociendo idiosincra…
22,"RT @oppenheimera: Presidente Ortega, usted me dijo en una entrevista reciente que en Nicaragua no hay censura a los medios y que ""el pais t…"
23,"RT @cefeche: Denuncio al dictador Daniel Ortega, jefe supremo de la policia nacional, como responsable del asalto policial contra las ofici…"
24,"Me escribe Juan Pérez (es en serio) con 4 seguidores, unido a twitter el 2018 para darme ordenes sobre como debo ha… https://t.co/C1O3AHqmHE"
25,"RT @larepublica_pe: .@rmapalacios: “Creo que Keiko no podrá probar que ella no ha obstruido la actividad probatoria de la Fiscalía"" ▶️ http…"
26,Me alegra. Pero es uno. Hay que esperar la respuesta de la Asamblea que se reúne hoy. https://t.co/OHtLGd5rdZ
27,"El Fiscal de la Nación es un oportunista que no sabe nada de derecho penal. 
Esta conducta lo demuestra. ¿De donde… https://t.co/5YGeehV2x3"
28,Atención. https://t.co/axMIloEmej
29,"Cuando todo esto pase, porque pasará, se harán evaluaciones desapasionadas y ahí se vera lo que estuvo en juego y c… https://t.co/t9RVpHRAZE"
30,RT @sergiobucks93: @rmapalacios Acaso no se dan cuenta que Chavarry esta desviando al fiscal Vela para revisar esta situacion y dejar Lava…
31,El Fiscal de la Nación sabe que no hay materia penal. Mucho menos de lavado de activos. Se trata de un asunto de na… https://t.co/uhDBbx6Ndt
32,RT @MarisaGlave: Y como era de esperarse el señor Mamani NO FUE a la audiencia de levantamiento de inmunidad. Se ha reprogramado para el ju…
33,Me llega información de la @PUCP con versiones muy contradictorias de las mismas autoridades sobre el cobro de mora… https://t.co/h9XHzDcFlR
34,"RT @amtawa: He publicado un episodio en #ivoox ""Keiko apela - Sin Guion con Rosa María Palacios [14/12..."" #pod... https://t.co/wqSCpGs32Z"
35,"RT @amtawa: He publicado un episodio en #ivoox ""A Pensar Más con Rosa María Palacios [14/12/18]"" #podcast  https://t.co/oxWskbbqZh"
36,"RT @EsSaludPeru: @i_hesiodus_i @rmapalacios Disculpe los inconvenientes, pero se trata de un error: Se está realizando una reunión navideña…"
37,https://t.co/B8pL89AS6l
38,https://t.co/pY9ikgLYV0
39,"RT @i_hesiodus_i: @rmapalacios vine al H.Almenara, en la farmacia faltan 50 medicamentos, pero hay pachanga para los empleados, se han llev…"
40,RT @LimaesNuestra: Para todos aquellos que vayan a ver mañana la audiencia de apelación y no tienen claro porque se incluyo a los abogados…
41,Estoy bloqueando muchos. Son cuentas trolls. https://t.co/WyqKrhUXmV
42,"Porque no hay interes es hacer una campaña de xenofobia como pretenden unos.
Ayer hablamos de este fake news. https://t.co/6vpeY6n368"
43,"RT @radio_santarosa: Estamos en #APENSARMÁS con Rosa María Palacios, estamos con Fernando Rospigliosi para comentar sobre la coyuntura polí…"
44,"RT @casosac: @rmapalacios que curioso que se presente está avería recurrente de #Movistar, a escasos metros de Palacio de Gobierno, una zon…"
45,"RT @arlettecontrers: (1) ¡NUEVO JUICIO, MÁS VIOLENCIA!
En julio de 2015 fui víctima de violencia de género, y ahora soy víctima de la viole…"
46,"RT @Pontifex_es: Este es el primer paso para crecer en el camino de la fe: escuchar. Antes de hablar, escuchar."
