,Tweets
0,JAJAJAJA https://t.co/tPy016rp5W
1,Quién ha sido el periodista que mas te ha decepcionado este 2018 ?
2,"@caraujocaraujo @PeruanoComunica @MartinVizcarraC A los que son corruptos y interfieren en investigación,  pero cad… https://t.co/OJwVY7n02n"
3,"RT @elchatoheston: Si los fujimoristas no le hacían campaña a PPK en 1era vuelta, Keiko era fija contra FA y ya sería presidenta.
Y si no h…"
4,"RT @reformoagrario: Trabajando en el VRAEM conocí a Dante Chirisente, soldado indígena reenganchado que servía al país en Pangoa. 21 años,…"
5,RT @Politica_LR: Giulliana Loza recurre a la CIDH y le recuerdan mensaje de Keiko en ‘La Botica’ https://t.co/iYYF8YiaPs https://t.co/3JnuK…
6,"RT @PeruanoComunica: El fujimorismo ahora pide ayuda a la corte interamericana de derechos humanos.

Pero recordemos como trata su vocero o…"
7,"Ese juez tiene unas ganas de sacar a la sra K.
Ahora sale , chavarry saca a los fiscales y feliz navidad para ellos… https://t.co/w2dnvBrImb"
8,"RT @AlbertoBelaunde: Ayer @TubinoCarlos decía que no habían bloqueado el dictamen de salud mental. 

Aquí la carta donde retira su firma. S…"
9,RT @hurgamemoriaPE: Difícil que haya un ser más miserable y envidioso que @PedroChavarryV. El equipo #Lavajato recibe apoyo de sus pares br…
10,RT @rmapalacios: El Fiscal de la Nación sabe que no hay materia penal. Mucho menos de lavado de activos. Se trata de un asunto de naturalez…
11,"RT @rmapalacios: Hasta para ser mezquino el Fiscal de la Nación usa las redes sociales de @FiscaliaPeru 
Una vergüenza mas. https://t.co/P3…"
12,"@PUMAPeru @selenagomez @Jockey_Plaza @CC_MegaPlaza @PlazaNortePeru @LarcomarPeru Bellas! Pa mi flaca en navidad.
Masna"
13,@silvanacanout Calma
14,@robertm_jr_ @LDavelouis Tranquilo
15,RT @LaFactoria_Peru: #Cierre Hoy el Poder Judicial declaró nula la sentencia que absolvió a Adriano Pozo lo que implica que el caso Contrer…
16,"Desde que embajada tuitea?
Perdón me retracto https://t.co/rMWrr8T1rf"
17,"Persecución política 
LADRÓN 
Perdón,  me retracto https://t.co/P7m7TmIHoR"
