,Tweets
0,RT @Politica_LR: #ENVIVO | Caso Odebrecht: Audiencia de apelación de prisión preventiva contra Herz y Figari ► https://t.co/UMdWKJKaIC http…
1,RT @Poder_Judicial_: Culminó audiencia de apelación a la prisión preventiva presentada por las defensas de Keiko Fujimori y Jaime Yoshiyama…
2,Otra MENTIRA del fujimorismo descubierta. https://t.co/gKE4w0gde2
3,RT @larepublica_pe: No te pierdas la #Carlincatura de hoy ► https://t.co/F2qAYmWBuh https://t.co/ByN4L3tGJ0
4,Chavarry ya ni se molesta en disimular. Su desprecio al equipo Lava Jato no podía ser más obvio. Pone por encima su… https://t.co/rSdadunvXo
5,RT @ilanegra: Me alegra que los abogados que defienden a diversos integrantes de Fuerza Popular citen continuamente decisiones y pronunciam…
6,"RT @larepublica_pe: #EnPortada | Fiscal Chávarry se entromete en crisis de la PUCP, pero estudiantes deslindan de él https://t.co/dxukCGsCp…"
7,RT @maralvama: Giuliana Loza dice que testigos protegidos que declararon contra Keiko Fujimori han dado versiones falsas. Sustenta su apela…
8,"-2001-2006 (1er periodo): 34 PL. La mayoría aprobados
-2006-2011(Reelección): 2 PL. Ambos archivados
-2011-2016 (Re… https://t.co/R70UpfBypP"
9,"#VideoColumna | El Perú ya votó y le dijo SÍ a tres reformas y NO a una. Ahora, ¿qué sigue? 🤔
Aquí se los cuento...… https://t.co/Sw07xRemBH"
10,"No debería sorprendernos, ya que de esta misma bancada salió el: ""No me interesa si se perjudican diez mil o cien m… https://t.co/68oV7imaM2"
11,¡Fuerte! CINCO serían los congresistas implicados en caso Los Corchines d la Corrupción. Colaborador eficaz señaló… https://t.co/a7eQZKYWN8
12,RT @Poder_Judicial_: Concluye audiencia. Colegiado anuncia que comunicará su decisión a las partes procesales en plazo de ley. https://t.co…
13,"¡Se corre!
La estrategia de Moisés Mamani es bastante conocida y consiste en dilatar y petear su caso. Él y su abog… https://t.co/ojp9rFAd9X"
14,"Mesias Guevara: ""ya es tiempo de que Cajamarca sea gestionada con profesionalismo y a través del consenso"".… https://t.co/kvfg2xilWd"
15,"Mesias Guevara: ""La situación del Conga puede resolverse a través de un plebiscito"".

#SigridPE por #RTV
En vivo:
https://t.co/AdfZvDXqEi"
16,RT @AlbertoBelaunde: Increíble lo que nos cuenta @JorgeDCG: Fuerza Popular retiró su firma y evitó que podamos aprobar en el Congreso la nu…
17,"Abogado de Oviedo: "" El acogerse a una medida de colaboración eficaz implica que la persona reconozca ser delincuen… https://t.co/ZsuqE5yYVn"
18,"Abogado de Oviedo: ""Él (Edwin Oviedo) no se siente colaborador porque no ha cometido ningún acto irregular""… https://t.co/njPF8bd0ad"
19,"Abogado de Oviedo: ""El acogerse a una medida de colaboración eficaz implica que la persona reconozca ser delincuent… https://t.co/2X2b3Kr0kC"
20,"¡Comenzó #SigridPE por #RTV!
Hoy conversamos con Julio Rodríguez, abogado de Edwin Oviedo. También estaremos con Me… https://t.co/1o6UcAguIs"
21,"¡A las 10:15 am. arranca #SigridPE por #RTV!
Hoy conversaré con:
-Julio Rodríguez, abogado de Edwin Oviedo

-Mesias… https://t.co/VJS4sLhrfr"
22,RT @larepublica_pe: No te pierdas la #Carlincatura de hoy ► https://t.co/ytRl0NqGeD https://t.co/PJcV3pTWu1
23,RT @Caretas: El 28 de diciembre #Cipriani colgará la sotana del Arzobispado de Lima (@arzlima) por órdenes del Papa. ►https://t.co/rWkdtfw6…
24,Toc toc? Señor García? Va usted a escudarse entre sus congresistas o podrá hacernos el favor de ir a las citaciones… https://t.co/HewvtHOCWk
25,"RT @larepublica_pe: Hernán Chaparro, jefe del área de estudios de opinión del IEP: “Vizcarra lo que tiene que hacer es sumar y no quedarse…"
26,"RT @larepublica_pe: Hernán Chaparro, jefe del área de estudios de opinión del IEP: “Vizcarra es el vocero del gabinete en su conjunto”

#Si…"
27,"RT @larepublica_pe: Hernán Chaparro, jefe del área de estudios de opinión del IEP, sobre resultados del referéndum: “La gente está pidiendo…"
28,"RT @larepublica_pe: Hernán Chaparro, jefe del área de estudios de opinión del IEP, sobre resultados del referéndum: “Hay un rechazo al Cong…"
29,"¡Comenzó #SigridPE por #RTV!
Hoy conversamos con Hernán Chaparro, jefe del área de estudios de opinión del IEP, sob… https://t.co/KMq27jg2Sp"
30,Y por qué siempre solucionar la informalidad se ha convertido en sinónimo de aplastar al trabajador? Por qué no dis… https://t.co/wYmflk518b
31,Nuevos falsos aportantes...esta vez en la campaña del Apra. La historia se repite. https://t.co/2mdzI7btbC
32,"En otras palabras, “arrugó” ¿señor García? https://t.co/V9phuueqbr"
33,RT @arlettecontrers: Mañana sabremos si el acusado Adriano Manuel Pozo Arias es condenado o continúa impune por los delitos de violación se…
34,#ULTIMO | @MartinVizcarraC dará un mensaje a la Nación a las 7:00 pm.
35,"RT @WaykaPeru: #AcosoEnElCongreso 🚨 | Más denuncias de acoso salen a la luz tras caso Mamani.
¿Deben ser más drásticas las sanciones 🤔? htt…"
36,"Moisés Mamani, Modesto Figueroa y Luis López Vilela. TODOS de Fuerza Popular. En el caso de Luis López, la congresi… https://t.co/2chTsGYpCr"
37,Es que este año se quedaron sin canasta y les ampliaron la legislatura hasta enero. https://t.co/y82rkOByWJ
38,"RT @jgodoym: Con esto se confirman dos cosas
1. Marcial Rubio ha renunciado. 
2. La propuesta de docentes para un gobierno de transición ha…"
39,"Bien, es el primer paso, pero un tema tan grave no puede quedar en algo tan tibio. Se tiene que investigar y sancio… https://t.co/8dTaqIiMeZ"
40,"RT @larepublica_pe: Marisol Pérez Tello, secretaria general del PPC, sobre Pedro Chávarry: “Debe irse por el bien de su institución”

#Sigr…"
41,"Increíble lo que dice Eduardo Piaggio, acusado por su sobrina de tocamientos indebidos:
1. La culpa. Dice que tiene… https://t.co/dEYvsuxXpH"
42,Más renuncias en la PUCP https://t.co/jWJ8Xd2RWC
43,RT @Politica_LR: Alan García: Fiscalía realiza deslacrado de vehículo para supuesto ‘chuponeo’ https://t.co/srGTSAWkxp https://t.co/T4nUzDT…
44,Seis años han pasado y resulta que ahora ya es una obligación (no un favor o un buen gesto) que la Universidad devu… https://t.co/0DKecbKZ3c
45,Marisol Pérez Tello: “En enero debería estar de aprobándose la ley orgánica de la Junta Nacional de Justicia”… https://t.co/u64Gv53m70
46,"Marisol Pérez Tello: “El acoso político es una forma de violencia"".

#SigridPE por #RTV
 En vivo:
https://t.co/1KVEOYkAnl"
47,"Marisol Pérez Tello: “El caso de la agresión contra Paloma Noceda es un patrón de una conducta machista”

#SigridPE… https://t.co/ijJGfIFSCF"
48,"¡Ya está en vivo #SigridPE por #RTV!
Hoy conversamos con la exministra de Justicia Marisol Pérez Tello. https://t.co/v4FGPZQtJJ"
49,"¡A las 10:15 am. arranca #SigridPE por #RTV!
Hoy conversamos con la exministra de Justicia, Marisol Pérez Tello.

T… https://t.co/aVJyl3QPlg"
50,"""Resulta penoso ver al rector Marcial Rubio, igual que años atrás, empujando a los alumnos y esta vez admitiendo: “… https://t.co/em0TwPcOoO"
