,Tweets
0,"Giulliana Loza, denuncia atentado contra la defensa de #KeikoFujimori. Faltando 48 horas de la audiencia de apelaci… https://t.co/WLt7nepal1"
1,"RT @GiullianaLoza: Quiero denunciar un nuevo atentado contra la defensa de #KeikoFujimori. A sólo 48 horas de la audiencia de apelación, qu…"
2,@Caretas @reyreysincorona ¿amparle? jajajaja Escribe bien oe!!!
3,"RT @laurabozzo: De acuerdo 👏🏻👏🏻👏🏻estás conchudas que ahora se hacen las defensoras de la moral🤗,como Solcito, estuvieron embarradas hasta l…"
4,"Gracias a Vizcarra, los ""migrantes"" tiene más derecho en trabajo, salud, educación, vivienda que los mismo peruanos… https://t.co/Kfc576xNOg"
5,"Pensé que era Federico Zalazar narrando noticias, pero es el presidente @MartinVizcarraC dando un monólogo, alguien… https://t.co/LPQNTCZK3M"
6,RT @suriel: ▶ PPK y Martín Vizcarra recibieron S/ 6 millones para la campaña 2016 de personas que no existen o que no conocen #MensajeALaNa…
7,"RT @blogcyh: Consejo de #ElBúho al @MartinVizcarraC: 

""(...) Si bien ganó al aprismo y fujimorismo en referéndum, eso no va a resolver los…"
8,"@MarthaChavezC @IuliusAlfonsus @OEA_oficial @UEenPeru @ACTransparencia La directiva es esa, todos los subprefectos… https://t.co/hSIDVgryEd"
9,"Marca #VecesNO.
Aquí te explicamos por qué tienes que marcar NO NO NO NO en el referéndum tramposo de Martín Vizcar… https://t.co/3SzPqW6YHS"
10,"Marca #VecesNO.
Aquí te explicamos por qué tienes que marcar NO NO NO NO en el referéndum tramposo de Martín Vizcar… https://t.co/FaHIMY68ZV"
11,RT @AlanGarciaPeru: Gran Alegria y emoción de saludar y reencontrarme con mis compañeros mañana en el Aula Magna de Alfonso Ugarte.7pm. ¡Vi…
12,"#GobiernoVizcaMontesinista  No pretendo defender para nada a Edwing Oviedo, pero está claro que su detención es una… https://t.co/RAvo7crfcN"
13,"RT @meiermq: 1. La camioneta es del .@MininterPeru 
2. Se estaciona frente a casa de .@AlanGarciaPeru 
3. Lleva un letrerito de que dice pr…"
14,"@ManuBat2 Efectivamente, según el concepto de Manco, si yo a un water y le pongo el logo Samsung LCD, entonces él d… https://t.co/pBO0OhCMgr"
15,"RT @elvisocc: Dicen los TROLLS del gobierno, #Cartelmediatico y demas parlantes amigos que el vehiculo con el cartel de ""PRENSA"" no chupone…"
