,Tweets
0,@Angelpaezs Falti angel Páez: Lavador de activos de la mafia caviar
1,@JoseUgazSM También vienen pagos al corrupto estudio Ugaz
2,@FiscaliaPeru @PedroChavarryV @Agencia_Andina @noticiAmerica @atv_noticias @RPPNoticias @larepublica_pe @canalN_… https://t.co/LzjSXd59aI
3,RT @romancendoya: Sorprende el silencio de los grandes despachos de abogados del #Perú respecto a la violación del derecho de defensa de Ke…
4,"En conclusión el #MensajeALaNación se interpreta:

Sigamos con mi show de la reforma judicial mientras yó tapo a mi… https://t.co/kIvytUpE43"
5,@MarthaChavezC en el próximo congreso dará cátedra de que significa el verdadero Fujimorismo. https://t.co/cO0R8iEz8u
6,@JL_ValeraC @ugluis Tenemos millones de talentos en política que se rajan a día poniendo el verdadero pego por el F… https://t.co/xh17xq74CW
7,@canalN_ @raulcastro_pe Jajaja alguien se acuerda del perdedor y serrucho del ppc?
8,"@George_Forsyth @MartinVizcarraC @JorgeMunozAP Mejor te quedas como portero manito.
O mejor declárate como incompet… https://t.co/sH73I1umVa"
9,@KikeBravoPrado Jajajajajajaja que le engañen a sus abuelitas con el debido respeto
10,El ejecutivo el gran responsable del mega robo de Odebrecht desde Toledo hasta Ppk pasando incluso por la sociedad… https://t.co/SuVt2ALLgl
11,"Chile adoptó la decisión pensando en su nación.
Perú con @MartinVizcarraC adoptó la decisión de si dejar entrar a c… https://t.co/t6i6IGvOKb"
12,"@JBCPERU Es bueno que la ambición de poder de José domingo Pérez por fin desnude lo que todos ya sabíamos .
Qué es… https://t.co/nEvb8EoVFw"
13,@RayRayAfrika Ese debe ser el escondite de José domingo Pérez ya que es la Batichica de @IDL_R
14,"Pobre caviar este incompetente de José domingo Pérez.
Recurriendo a la CIDH quienes liberaron a sus siameses terruc… https://t.co/pn9KA9DAXI"
15,RT @romancendoya: Gorriti —conspirador y manipulador—de IDL-Reporteros de la mano del fiscal prevaricador —que obstruye a la justicia reten…
16,@larepublica_pe Desde cuándo las palabras de una fin nadie en política sin inscripción legal como partido político… https://t.co/2d9TpFrjJ5
17,"@KeikoFujimori Estamos contigo líder, candidata 2021 y presidenta de Fuerza Popular.
Lucharemos desde donde nos enc… https://t.co/5ORhRT75En"
18,RT @KeikoFujimori: Mi gran ilusión es que en esta nueva instancia el INDEBIDO PROCESO se convierta en DEBIDO PROCESO. Y digo esto porque lo…
19,RT @KeikoFujimori: 43 días después de haberse iniciado mi prisión preventiva acabo de recibir la noticia que mi familia y yo hemos esperado…
20,"@H_Barriosg @canalN_ @Poder_Judicial_ Tranquilo enfermito ni sabes de lo que hablas.
Los ciudadanos tienen derecho… https://t.co/AtnSMsxWeo"
21,"RT @GiullianaLoza: Finalmente, después de las demoras y postergaciones promovidas por el juzgado de orígen, la apelación de #KeikoFujimori…"
22,@CostaGino Felizmente que ya no veremos en dos años al mafioso Gino Costa.
23,"Esto le pasa por no meter preso al ladrón corrupto Graña.
@PedroChavarryV el río caviar está arrastrandote. https://t.co/xovInz2uZM"
24,"Mientras te pintaron el referéndum que era la gran solución de los problemas graves que tenemos en el país.
Aeropue… https://t.co/mwe9UqQZmx"
25,"Es hora que de el siguiente paso señor fiscal de la nación.
Debe dar a conocer que políticos, periodistas, empresar… https://t.co/iTbU8lspz5"
26,"RT @DN_Mariano: Mientras @MartinVizcarraC jugaba y distraía con referéndum fraudulento, alfiles de un sector de la @FiscaliaPeru negociaba…"
27,"@Gualo27Lope Felicitaciones por tus palabras.
Estos son los verdaderos guerreros como @Gualo27Lope"
28,@josop55 @dsalaverryv @dsalaverryv debe ser suspendido del congreso por falsificar y estafar con sus informes de re… https://t.co/MLh9khg6rs
29,@Macartista @RichardRossiMo1 @NANCYKRISTAL @KeikoFujimori Debe poner mucho empeño en las bases de lima y principalmente en provincias.
30,"@larryportera @jfowks @el_pais @cnddhh Entre inútiles caviares se premian 
Cómo deben extrañar esos jugosos premios de Odebrecht"
31,"RT @meiermq: Vizcarra es Presidente Constitucional gracias al Congreso que tanto desprecia. ¡Fíjate, fíjate, fíjate! ¿Estás en cierre o en…"
32,"Qué pasó @aethorne , ahora usan sus tácticas para evadir la justicia?
Qué caiga todo el peso de la ley.
Y también q… https://t.co/fzJIHWWY2X"
33,@jgavilan2018 La crema y nata Fujimorista tiene que volver.
34,Millones de Fujimoristas no tenemos el honor de conocer en persona a KeikoFujimori ni de estar inscritos en el part… https://t.co/BtM5dPneps
35,@RZP140650 @alvarosarco @jimmyvivar59 El Fujimorismo por convicción más vivos que núnca
36,@YoDesinformo @socioperiodismo @KarlaCalle @AlanGarciaPeru @SolCn Hasta le baja la cabeza en son de súbdita a Alan García jajajaja
37,@meiermq Jajajajajajaja
38,"@YeniVilcatoma2 Más de 2 años nos pasean esos fiscales.
Resultados: 
Keiko Fujimori que nunca fue presidente sigue… https://t.co/jqM8eQhK3F"
39,"RT @meiermq: ¿Qué ha hecho este gobierno por la situación económica del país,en flagrante estado de fragilidad desde Humala, agravado ademá…"
40,"RT @amerinoreyna: Somos de derecha, 
Somos profamilia,
Defendemos la Constitución del 93,
Defendemos a nuestras FFAA y policiales,
Estamos…"
41,RT @meiermq: ¿La trafa del referéndum ya está consumada?
42,"Fuerza Popular en mi corazón siempre.
Alberto Fujimori.
Keiko Fujimori.
Hasta el final con ustedes."
43,"El partido Fuerza Popular perdió esta batalla ante caviares a pesar de su aplastante mayoría.
Muchos traicionaron n… https://t.co/vBffpWsjX4"
44,"Gracias @MartinVizcarraC 
En el próximo congreso tendremos a una de las más agerridas congresistas de la historia d… https://t.co/f1FrxqvS3d"
45,"Se consolidó el fraude de @MartinVizcarraC 
La campaña millonaria se consolidó y ganaron como siempre los mediocres… https://t.co/52ZVUPyWi0"
46,@RichardMontoyaR Sería un golazo pero después de la campaña a favor del si solo queda esperar.
47,"Cumplí con mi deber ciudadano obligado por un gobierno mediocre y corrupto.
Marque #4VecesNO como se debe .
Pero ya… https://t.co/eF9CZGCvLQ"
48,"Sí es así felicitaciones @PedroChavarryV 
No se puede tolerar que jose domingo Pérez actúe impunemente con @IDL_R https://t.co/WLWGf3hoDg"
49,"@Caretas Jajajajajajaja....
Tranquilos mafiosos de @Caretas , ahora lloran con @IDL_R por no tener un juez a su medida."
50,"RT @meiermq: El autoritarismo avanza, mientras la prensa debilita la democracia, ese sistema que garantiza la presunción de inocencia, el s…"
51,"@MartinVizcarraC el más grande inútil de este país.
Al estilo chavista gastando nuestra plata como si fuera de él. https://t.co/bZsEFBNcRq"
52,"RT @Frospigliosi: Las mentiras de Carlos Morán, por Fernando Rospigliosi | Opinión | Columnistas | El Comercio Perú ⁦@Politica_ECpe⁩  https…"
53,@VictorAndresGB José domingo Pérez es el escudo de Guzmán
54,"De Ripley:
El sinvergüenza investigado por caso de corrupción Chincheros participa en firma de contrato.
Gracias Jo… https://t.co/PNzP1Gj4RN"
55,"@julioguzmanperu *El que autorizo comprar equipos de interceptación telefónica en gobierno de Humala.
*El que recib… https://t.co/gGhQXJPkms"
56,"RT @Politico_pe: ""#BREVES Fernando Rospigliosi: “El ministro Carlos Morán es un mentiroso y farsante”. El analista político y exministro re…"
57,"@evelinorcon No es por nada pero hoy los Apristas demostrarán una vez más que no son pocos.
FP lo demostró dos vece… https://t.co/sYuYeNEStk"
58,@noticias_tvperu @alvarezrodrich Ahora mafioso Álvarez Rodrich es compadre de @MartinVizcarraC pues a ambos los une mafia Odebrecht
59,@whuacasi No e preocupes pulpin que Segundo Tapia asumirá como presidente muy pronto
60,"@dsalaverryv aprovecha tus últimos días como presente del congreso y frabela de los caviares.
Y por favor exigir a… https://t.co/1PoVLS9pm5"
61,@ClaraEOspinaG @PoliciaPeru @MininterPeru No estamos en tu país a quien traicionaste dando ubicación de rehenes de… https://t.co/RwS7pm97kx
62,"@ConnectasOrg @MartinVizcarraC @bbcmundo Porque es un inútil en todo sentido.
Vizcarra vive en una nube caviar."
63,@DN_Mariano @MartinVizcarraC @RichardMontoyaR @carlosc00268781 @Gatitadelsur @manarellidiego @CMHNTM @gouden20… https://t.co/UIqF8yIiEf
64,"RT @DN_Mariano: Jose Graña el grandisimo delincuente, que la justicia no le alcance y más bien lo protege, hace campaña mafiosa en referénd…"
65,"@Capital967 Interpelación y censura.
Que aprenda @MartinVizcarraC que no es su chacra el Perú."
66,@Manifiesto_pe @somosperu1 Cualquier disparate es cándidato ahora.
67,"RT @Horacio_Giusto: El progresismo es esa ideología que quiere proteger al ladrón,  asesino y violador pero pretende matar al inocente niño…"
68,"Bueno Salaverry es un alma en pena.
Recordemos la han estafa de sus gastos de representación, lo cual ya lo calific… https://t.co/60ISUuHMSA"
69,"Quien tomó imágenes del vehículo de chuponeo contra @AlanGarciaPeru fue @canalN_ 
Así que dejen de marear prensa me… https://t.co/TzvMKrFQLA"
70,#VacanciaPresidencialYa https://t.co/OkYXp5Yt17
71,"*Corrupto
*Chuponeador
*Mediocre
*Ladrón.
Estos son los valores de @MartinVizcarraC quién debe renunciar a la presi… https://t.co/X8pY8YUAc5"
72,Al mismo estilo de @Cuarto_Poder que fabrica y difama cada domingo . https://t.co/xz7o6vlcoC
73,Es hora que corrupto jefe de la @ONPE_oficial responda por estos actos de manipulación. https://t.co/rVM5glqSd6
74,"Este 9 de diciembre #4VecesNO y agrega encima de la ficha #VizcarraCorrupto 
La @ONPE_oficial totalmente desacredit… https://t.co/yTed6cPN2d"
75,"@CostaGino Y porque mejor no se anula el referéndum trucho y nos ahorramos millones.
Y de paso cortan publicidad es… https://t.co/shyyHoesCl"
76,RT @GiullianaLoza: Quiero informar a la opinión pública y a los medios de comunicación que se sigue afectando el proceso de apelación de #K…
77,@elpanfletope @GiullianaLoza Panfleto anda mete Floro a tu abuelita.
78,"Todo está claro.
La orden viene de @MartinVizcarraC 
El juez concepción Carhuancho a parte de incompetente se ve fá… https://t.co/I0Ep7MGerV"
79,"VIZCARRA tras negativa de asilo a @AlanGarciaPeru menciona que nadie tiene corona en el Perú.
Pues tiene razón ya q… https://t.co/ecKCXdrWux"
80,"@FtimaDanielaTo1 @PedroChavarryV Porque impunidad?
A deberás eres seguidora de fracasados caviares."
81,"RT @ugluis: Este es el momento de enfrentarse duramente con la dictadura vuzcarrista. Independientes, demócratas, restos del fujimorismo, d…"
82,@ronaldgamarra Lo que si hay es una gran mafia liderada por Gorriti.
83,"Gobierno de Uruguay rechazo asilo político a @AlanGarciaPeru 
Ahora el clan mafioso dirigido por @IDL_R pedirá su c… https://t.co/CRUhVFKgVa"
