,Tweets
0,"Ya lo hizo AGP, y cómo pueden ver ha servido. Para que todos se porten bonito. https://t.co/y5YFOPwLLM"
1,No nos hagamos tontos Daniel. Es evidente que se refirió a @AlanGarciaPeru https://t.co/nqrefuoah4
2,Se equivoca Sr porque está poniendo al mismo nivel UN ACTO COMPLETAMENTE LEGAL CON LA FUGA ASQUEROSA DE UN DELINCUE… https://t.co/x7pfv7gHRr
3,"Aquí no estoy metiendo a terceros. @AlanGarciaPeru OPINÓ sobre @KeikoFujimori . Si a ella le parece correcto, es de… https://t.co/86nBuIvPzp"
4,"Porque por más que la presión sea grande, debemos mantener la calma y pensar antes de hablar. Alan García siempre c… https://t.co/vGINe7N1o1"
5,"Sra @GiullianaLoza explíquele a su cliente @KeikoFujimori q la el asilo es un DERECHO,y q tb recuerde q negado el m… https://t.co/lXul96Yn1c"
6,"Así que así estamos... muuuuy bonito, muuuuuuy bonito. https://t.co/k2GW1JcRpU"
7,"Ahora @PedroChavarryV es saboteador... 

-Mala costumbre de estas personitas de no arrobar a los involucrados.- https://t.co/E4QR0bbMro"
8,Sr @JoseDomingoPe lo invito a degustar unos platos en Lince. https://t.co/gj1KLH2fWu
9,No que no era su cuenta🙄... https://t.co/I1jpN2DJ46
10,MAESTRO https://t.co/25DICjkdDa
11,"RT @arzlima: Card. Cipriani: “Mientas no esté el verdadero Jesús, si no creo que Él está a mi lado, me invento cosas y no funciona"".
#Diálo…"
12,RT @KarlaCalle: Tu nivel de sumisión es vergonzoso. https://t.co/5jQmq8Yyeu
13,Ves’te🤣 https://t.co/ctC6KxL1bf
14,"T diré algo, a los delincuentes es a quienes más extorsionan, porque siempre tienen “algo”. El problema es que los… https://t.co/UXfzhpBLwT"
15,"No solo los regalos, TODO lo que dejaron en la casa. 

Para que sirva de algo, aunque sea después de irse. AAAAAAME… https://t.co/G1CL0oRNho"
16,"Lamento decirles q no habrá Rocoto ni camarones,la cocinera Chichi prefirió irse con otro q le paga mejor...

Pero… https://t.co/iYGRwtgqAR"
17,Nunca olvidaré su “¡Trol patética!!!” -Me imagino a Chichi jalándose los pelos gritándome eso y me divierte un mont… https://t.co/1DhI2Dy7ig
18,Pues también Caracol se quejaba de extorsiones. Acuérdense de los audios. https://t.co/OJ1IORnUuM
19,"Representación gráfica de la mermeprensa, el Presidente y el Gran Patrón. 

MÁS CLARO IMPOSIBLE https://t.co/NwEJrzaZQm"
20,Tu nivel de sumisión es vergonzoso. https://t.co/5jQmq8Yyeu
21,"Hola amigos de Lima,no sé si uds sepan q el APRA siempre hace actividades para la Navidad del Niño del Pueblo,sea m… https://t.co/qJLOs1jLyi"
22,Lo q no quisiera es q PARA VARIAR la gente se esté aprovechando del momento para hacerse de un “dinerito extra” uti… https://t.co/zozL3JCM7o
