,Tweets
0,"RT @ccaroc2011: Si una Universidad se apropia de modo fraudulento de dinero de los alumnos puede investigarse delitos patrimoniales, y si l…"
1,Frito Pescadito.Le corresponde 'decidir' a Vela Barba abrir investigación sobre la banda Los Ilegales  del PUCP https://t.co/Uz46MFRy7r
2,@BalbinZavala @vsaldana345 @PedroChavarryV @MadeleineOster3 @pucp Lo mas canalla es q fue   a aquellos padres cuyo… https://t.co/Xm7t0kGjpZ
3,RT @Angel_DelgadoS: ¿El presidente Vizcarra desarrolla una estrategia plebiscitaria que pretende controlar instituciones? #Encuentro #Estad…
4,"@CarlosA22175929 Una decepción Chavarry, se ningunea solo."
5,"@FiscaliaPeru Y cuales son esos ""elementos de conviccion""...acaso los testimonios de chantajeados ""colaboradores ef… https://t.co/zFwJw09T0x"
6,"RT @aaronsalomong: ""El referéndum ha aprobado el financiamiento de los partidos políticos y, como consecuencia, recién se regularán los apo…"
7,"@crisjoelr1 @CeciliaCM23 No se  , el perfil psicologico del monigote te hace pensar que podria ser su cuenta person… https://t.co/3N4nYR1y1d"
8,@LucasAlba17 @juanvilchezs @TatiAleman @RPPNoticias Traslado de personal maquinaria insumos.
9,Lo inaudito es que este Schiappapietra siempre anda buscando vivir del Estado y como su soboneria les resulta utili… https://t.co/ZflWY1Z37W
10,Que mermelero mas IMBECIL Schiappapietra...Es de lo peor el mermelero este y se mete cabe solo y después no sabe como salir
11,@MecheAF @aaronsalomong Recien te pronuncias cuando te afecta
12,@LucasAlba17 @juanvilchezs @TatiAleman @RPPNoticias Ah Y son 'hermanitos' desde los tiempos del fenómeno El Niño do… https://t.co/lW02J4F5HK
13,@LucasAlba17 @juanvilchezs @TatiAleman @RPPNoticias Mal informado. Ni bien aterrizo juramento y al dia siguiente se… https://t.co/v5MCQWvvPv
14,"@Capacapo3 @99marichu Y es lo q Oviedo reclama, q para Caso Los Cuellos Blancos, y lo señala en su carta, no le pre… https://t.co/julywdiETX"
15,"Mientras que el Brasil los jueces del Tribunal Supremo rechazan las acusaciones fiscales elaboradas en base a los ""… https://t.co/jW48u4CUQo"
16,Articulo de Cesar Luna Victoria. Recomendable lectura https://t.co/aeZ8bZBOis
17,"RT @C_Irreverencias: “En el mundo se persigue a capos de la mafia, en Perú a los asesores se les da el mismo trato. Para perseguirlos,se ha…"
18,RT @Plinio2009: Los asesores de Martín Vizcarra cumplen escrupulosamente La Técnica del golpe de Estado de Curzio Malaparte: Demoler a la o…
19,@lahoraeslahora @aaronsalomong El par de fiscalas son gentita de PSanchez lo q significa q como JDP tambien monigotes de Gorriti
20,@lahoraeslahora @aaronsalomong El informe de los Cuellos Blancos es un mamarracho. 16 paginas d transcripciones de… https://t.co/KjmdISXgAY
21,¿Perritos con una actitud 'miau'? Mira estos 9 divertidos caninos que se creen gatos https://t.co/TS4rjJDIpr
22,"RT @kampueromeza: Odebrecht es inhabilitada en Colombia y la multan con 251 mill. de dólares. En Peru, 2do país más perjudicado x la corrup…"
23,"@juanvilchezs @TatiAleman @RPPNoticias Toñito Camayo el ""hermanito""de Vizcarra, con quien se zampaba con Ron Zacata… https://t.co/01odYrC7gi"
24,"RT @renipacsi1: ""Edwin Oviedo"" está siendo presionado, LE OFRECEN LA LIBERTAD A CAMBIO DE INVOLUCRAR A PERSONAJES,TAL CUAL LO HICIERON con…"
25,"@lahoraeslahora @aaronsalomong Asi es INVOLUCRARLOS les basta para encerrarlos en preventiva por 3 años , sin siqui… https://t.co/IkmfPk6AjH"
26,RT @xafu: Edwin Oviedo denunció a fiscales Sandra Castro y Rocío Sánchez de presionarlo para ser colaborador eficaz. A cambio de involucrar…
27,@Unutamyorum_ @TatiAleman @RPPNoticias A Chavarry
28,"@fitoflores @TatiAleman @RasmusEchecopar @RPPNoticias Ojala fuera para ""delatar""es para INVOLUCRAR  a quienes la pe… https://t.co/Plbzos6g8d"
29,"RT @TatiAleman: #LoÚltimo | Edwin Oviedo denuncia presiones de la Fiscalía para acogerse a la colaboración eficaz. 
Asegura que fiscal Sand…"
30,Edwin Oviedo denunció que fiscales lo presionan para ser colaborador eficaz https://t.co/KLEyUuaJLA
31,@HERAL07 AMORDAZADOS por la Merme!!
32,"""Histórico fallo"": Odebrecht es inhabilitada y condenada a pagar 250 millones de dólares en Colombia https://t.co/6WrK59hOf4"
33,ESCANDALO!! En escrito de puño y letra Edwin Oviedo DENUNCIA y Alerta que esta siendo fuertemente PRESIONADO por la… https://t.co/YAIlw4f78g
34,"RT @ugluis: Esto debimos hacer: Tribunal en Colombia ordenó a *ODEBRECHT*:  
1.- Indemnización por  US$ 260 millones por corrupción.
2.- *I…"
35,@vsaldana345 @PedroChavarryV @MadeleineOster3 @pucp Sera xq Rubio y vices decidieron 'hacerse' de dinero de manera… https://t.co/pkrTw2LVUj
36,"RT @JBCPERU: La #democracia no es una fórmula económica para resolver problemas, sino solo es un artificio humano ideado para controlar el…"
37,RT @Rossy6057gmail1: #MafiaIDLGobiernaEnPerú https://t.co/Dobpexgu8M
38,"RT @Jali_Cotrina: Mediante una TINTERILLADA, fiscal Vela solicitó reprogramación d audiencia! Adujo que no les había llegado escrito de ape…"
39,"@PepeChlimper FORTALEZA KEIKO!!!!!! Orgullosa de tu TEMPLE para encarar la maldita persecución de tus enemigos, su perversidad y cobardia!!"
40,RT @PepeChlimper: Fuerza Keiko! No estás sola! Y cada vez son más quienes desde diferentes tiendas reconocen el abuso en tu contra y en con…
41,"RT @felxs01: @LainezLozada22 @socioperiodismo Casi lo mismo, le acabo de responder, menciona al Congreso porque están permanentemente en la…"
42,RT @azabacheCaC: @makbernuy @LainezLozada22 Porque están litigando en este momento uno contra el otro.  Si supone que ha cometido un delito…
43,@Carlos73615922 @GiullianaLoza Mira mas alla de tu adicto https://t.co/nExxVIrrso te das cuenta lo que esta sucedie… https://t.co/48QcRME7IS
44,"RT @Vponce64: Ignorando principios periodísticos, @elcomercio_peru  y medios tradicionales inician campaña para encarcelar a oposición. Acu…"
45,"RT @xafu: Han pasado casi 5 meses desde que @PedroChavarryV asumió como Fiscal de la Nación. Luego de darle todo el apoyo, veo con decepció…"
46,@xafu @PedroChavarryV Pienso exactamente lo mismo.Chavarry Esta en Nada..Buscando pasar desapercibido con el gorro… https://t.co/J5RTXUtTzP
47,"RT @azabacheCaC: Todo mi respaldo al Ministerio Público como organización, pero ¿Investigar a los abogados de la defensa? ¿El mismo fiscal…"
48,90% de probabilidad de que se presente el fenómeno El Niño y el satrapa Borrachito de Poder pensando en cuanto quie… https://t.co/zvSSa9btWj
49,"@JoseDomingoPe @GiullianaLoza Y de que manera ""obstruye"" su justicia?"
50,@socioperiodismo Y por que el Congreso y no el MTC? Ahi no hay nada que legislar sino que supervisar..Ay Mermelumendi!
51,"RT @gvillasis: La jueza Elizabeth Arias debió pronunciarse 48 horas después del pedido de prisión preventiva   contra Félix Moreno, pero re…"
52,"RT @romancendoya: A #JoseDomingoPérez — presunto fiscal— le delata su lenguaje corporal. Resulta histriónico, con megalomanía narcisista. N…"
53,"@hugomartt @GiullianaLoza Adicto hater, te quinciaste pq no es por su 'apariencia', pero si a ti te parece que tamb… https://t.co/UMjERgwlqC"
54,RT @ceanro23: @ernestoam21 Si tan solo hubiese ganado en el CAL el Dr. Villa Stein otro sería el accionar ante este atropello a quienes eje…
55,RT @gmendoza_: @ernestoam21 El Colegio de Abogados de Lima @CALPERUOFICIAL hace rato que está en otra dimensión. Parece que ahora funcionan…
56,RT @ernestoam21: Se están perdiendo las formas elementales de convivencia. La abogada de Keiko Fujimori no puede ser comprendida en la inve…
57,¡Ni con el pétalo de una rosa! - Político Perú https://t.co/jI6fysd1oz
58,@pjdelrio Y anoche tambien dijo que se GANO  a la corrupcion...esteeee....habra que ponerse en #ModoDescerebrado pa… https://t.co/NMm64aMDFP
59,Caso cocteles: incluyen a Giuliana Loza y otros cinco abogados en investigación https://t.co/0jKsTJfI3u
60,@FryGarra04 @GiullianaLoza Arriba AL!!
61,"@catiquinto @Politico_pe @RPPNoticias Pero no vendria a ser lo mismo, Si a 30 dias de vacaciones les restas 8 dias… https://t.co/eMgNvWCj9i"
62,@meiermq Y mermelumendi anda en la mera calle . El Gobierno Federal no contrata con ODB y creo que hoy mantiene una… https://t.co/rJjWKxmhmU
63,@meiermq En EEUU pagaron mas de 2 mil.millones no por coimear en obras sino por utilizar el sistema financiero de E… https://t.co/uyXpLlyygN
64,"@Xileone @MartinVizcarraC La Comision de RREE la preside Galarreta, esperemos lo agende  lo debatan y citen al canc… https://t.co/5QDqPcjoxH"
65,@PedroChavarryV https://t.co/Y9bAxudzLQ
66,"Como lo ha hecho Mexico, donde corrompieron miles de millones menos https://t.co/h2VHk5tI4j"
67,"@maryju333 El monigote estrellado lo saca de pronto solo para joder .Recursero, el miserable"
68,RT @ososantillana2: ¿por qué los medios ligados a las filtracionesxde IDL-R apoyan un acuerdo de colaboración que parece demasiado benefici…
69,RT @H_Abanto: Incorporar como investigada a la abogada de la Keiko Fujimori dos días antes de la audiencia de apelación es una burda maniob…
70,"@NewberNilton Ya no le hace falta el Zacapa anda Borracho de Poder , intoxicado en grado extremo que ya todo lo Alucina"
71,@GiullianaLoza Otro ABUSO recursero del monigote estrellado JDP...involucrar a la abogada GLoza en el esperpento ju… https://t.co/CpMza4jIIH
72,https://t.co/nRsKImPFqV vía @elmontonero_pe
73,RT @vasquezkunze: Vizcarra deja al Perú con más anemia. Cierre de años 2015 (43.5%); 2016 (43.6%);  2017 (43.6%);  2018 (44.7%) Fuente: INE…
74,@MonkeyDmono Lo dudo ya lo descalabro y el sicariato mediatico los tiene paralizados con los soplones y traidores q… https://t.co/MJoXoBqAgH
75,@HERAL07 @slpnewsmx Es q se sienten 'legitimados'(como Vizcarra) y en el Consulado de EEUU en Tijuana han presentad… https://t.co/YoRKWP2PQ7
76,"@HERAL07 @meiermq Ya descalabro al Congreso.Las leyes q se discuten elaboran y aprueban siempre las rechaza ,y ya e… https://t.co/L72rDtjngG"
77,@MonkeyDmono Es que les han hecho creer que la culpa de todo lo tiene el Congreso 'aprofujimorista' y como los merm… https://t.co/XOBdrrhFhe
78,@meiermq No has escuchado anoche q el satrapa ya creo su 'parlamento' de 'notables' encargados de elaborar todas la… https://t.co/ulifo2o7Kg
79,@MonkeyDmono SMILE Pero si resolvio la corrupcion en el pais..Ya desaparecio....Plop!
80,"@JuanSheput @ernestoam21 Q soñador Sheput q cree q el satrapa permitira q el Congreso haga lo suyo, parlar y legisl… https://t.co/AaxA859O3k"
81,"@elmontonero_pe Se equivocó de fiestas y de referendum, al creer q ""entusiasmados"" y ""mayoritariamente"" fuimos a vo… https://t.co/4evaCcaIpP"
82,@IDL_R @gvillasis @cnddhh @romina_mella @Rosa2093 @CruzSilvaDelCa1 @ElPurines @DesautezM @HernanInkarri Jajaja Ese… https://t.co/pf5jVnrDV8
83,@peruenlanoticia Pero si parece .un velorio!! Habria q enviarle la foto a Vizcarra q en su Borrachera de Poder dice… https://t.co/xUIH3oWMbf
84,@mabel_huertas Siempre sucede x vergüenza o evitar el escandalo se evita denunciar y dejamos q recurran a negarlo.… https://t.co/cvAW8DMg4f
85,RT @NicolasLucar: Último minuto! Juan Carrasco de @FiscaliaPeru el fiscal que metió preso a Edwin Oviedo y a dos alcaldes de Chiclayo decla…
86,RT @slpnewsmx: Miembros de la caravana migrante exigieron a EUA una indemnización de 50 mil dólares o de lo contrario entrarán de manera ma…
87,"@ugluis @MartinVizcarraC Es que anda ""Borrachito de Poder"" creyendose q su referendum con fraude fue un plesbicito… https://t.co/QGIdt1jAGX"
88,@kiveranoj De hecho..la próxima encuesta palaciega pondra q el 85%(les fascina este %) de niños con  anemia ya la s… https://t.co/JthgzFEglg
89,@HERAL07 Pero ya escucharemos a la recua de mermeperiodistas y mermeopinologos hablando maravillas de su mensaje
90,"@MaleficaStar Que va , es gracias a la aplicacion para bajar x internet q lanzo el MINSA dirigido a las madres sin… https://t.co/Aqqh53TMKZ"
91,"@crisjoelr1 Algo le dijo a los damnificados, que haria  daria y construiria..bla bla bla"
92,@lordrfadgrmm @meiermq Andamos para atras pero en su Borrachera de Poder y su estado Delirium Tremens (deberia volv… https://t.co/uQMwBwlkag
93,"@juanchijeyy Se me hace que tanta mamarrachada ya no es x el Zacapa , sino que anda ""Borrachito de Poder"" en grado Delirium Tremens"
94,@Josecama10 @CarlosC99307349 Acuerdate de la aplicación  para bajar de internet que saco el MINSA para q las madres… https://t.co/fcREGkwv8C
95,@AmyM1angelmouth @JovenesKeiko Lo peor que lo menciono como si fuera un gran logro de su 'gestión' ...!!
96,"@agente1977c Sobrio..noooo..
Borrachito de poder!!"
97,Todo tiene solucion para un Corazon Bondadoso!! https://t.co/Z2WzUnRRCx
98,RT @ErsteGroup: What would Christmas be without love? #believeinlove #believeinchristmas #believeinyourself https://t.co/QGTNB2rQWt https:/…
99,RT @pincelblanco: Mientras en la selva el emblemático gallito d las rocas está en peligro de extinción. Es necesario q los gobiernos region…
100,"RT @Politico_pe: Alucinante #MensajeALaNación Nueve meses después los verbos siguen siendo: ""Haremos, entregaremos, reconstruiremos, estamo…"
101,RT @Xileone: Qué patético mensaje de @MartinVizcarraC Sigue pechando al Congreso y combatiendo a los partidos políticos. Su negocio es la c…
102,@umpjulius2019 Se te han prendido...A ingeniárselas para q no te silencien!
103,"RT @institutoahorro: ¿quien dijo esto y se ha demostrado todo lo contrario?
22 Ago 2011- rector de la Universidad Católica Marcial Rubio:
“…"
104,@velardealvaro @PasquinDeM Ah pero segun Vizcarra creceremos 4% el 2018 que ya termina y no 2% como señalan todos l… https://t.co/xXL2DDPzMe
105,"@MarbellMS @PasquinDeM Eso de decir que habia reducido la anemia a 44%  en el ultimo trimestre..Que reduccion, si l… https://t.co/PRFeiqlw55"
106,"@DorisAzores Asi andan estos , con un revoltijo en la  cabeza"
107,@adolfolamarque @meiermq CERO comprensión lectora o no escucho la cifra de 44% q menciono el satrapa. Y por el 43.5… https://t.co/jXYklDBtWr
108,@alvarosarco @MartinVizcarraC Y hasta va a elegir a su parlamento palaciego ...lleno de 'notables' para q 'legislen… https://t.co/TmfTOHAWwm
109,@gcano17 @kampueromeza @elcomercio_peru Y Vizcarra Ni una sola frase sobre este acuerdo regalon con los hiper corru… https://t.co/uk1bry8xK7
110,RT @gcano17: @kampueromeza @elcomercio_peru Es estúpido calcular la reparación en base al soborno. Debe ser en base a lo que ganaron o gana…
111,@IuliusAlfonsus 8 meses 8 meses..Menciono q la inversión publica habia crecido 10% ....Bue.... pudo decir 40% tambi… https://t.co/3626CkFOr7
112,El satrapero este dice que su FRAUDE a sido un TRIUNFO contra la corrupcion(Patapufete!) pero no dice nada sobre el… https://t.co/CYL2hUtROm
113,Adivinen QUE!! Se 'disminuyo' la anemia de 43.5 cifra de abril 2018(cuando inicia su mandato)  a 44 % en el ultimo trimestre. PLOP!
114,Ahora esta dando cifras ALUCINOGENAS y asi como se TRAFEAN las cifras de las encuestas ahora TRAFEARA las cifras de… https://t.co/98YOkLlGg7
115,Lindo Oe El satrapa va a convocar a su 'parlamento paralelo' donde el elegira a sus integrantes (el cuento de los '… https://t.co/d3tEe7rVKs
116,"Y fiel a su estilo de vivir una FARSA el satrapa mamarracho comienza ALUCINANDO felicitando el ""entusiasmo"" con el… https://t.co/0c8y0D3dt4"
117,@elhigadodmarita Otro referente del correctismo de la moralidad y honestidad de los ANTIs que desvela su miseria.Y… https://t.co/yhzBDseUrE
118,"RT @Wolfdruida: El gasoducto, un proyecto que se inició con un presupuesto de mil millones de dólares y terminó en 8,000 millones. Con tubo…"
