,Tweets
0,https://t.co/cxhUGPNkHc
1,"Fiscaloco y Gorriti terminan peor que zapatilla.

La fiscalía, a través de su cuenta de Twitter, publicó un documen… https://t.co/UYzCJB9mPi"
2,"Pero como es  rojo no le pasará nada.

La Fiscalía anticorrupción de Junín prepara desde julio de este año la acusa… https://t.co/QD3Iqp8rBJ"
3,"En medio de la audiencia del caso 'Los Temerarios del Crimen', realizada este viernes 14 de diciembre en la ciudad… https://t.co/u7j3iTKFIu"
4,Ahora sabemos porque este fiscal la hace más larga para traer a Toledo de USA. El sano y sagrado cuando le habrá pa… https://t.co/GWZHaDUHye
5,Ahora  sabemos porque este fiscal la hace más larga para traer a Toledo de USA. El sano y sagrado  cuando le habrá… https://t.co/8ZSeaqgnyW
6,Según exalcalde de Chiclayo congresista Clemente Flores llegó por encargo de Vizcarra para favorecer a su candidato… https://t.co/qLbiCXFPqU
7,Según exalcalde de Chiclayo congresista Clemente Flores llegó por encargo de Vizcarra para favorecer  a su candidat… https://t.co/RGQUPAE8h0
8,"Alcalde saliente de Chiclayo, David Cornejo Chinguel envía carta a Fiscal Chávarry para convertirse en colaborador… https://t.co/LTdThJyu6a"
9,"Esta mañana Odebrecht es inhabilitada en Colombia y la multan con 251 millones de dólares. En perusalén, el 2do paí… https://t.co/sm3enxat4X"
10,EL COLMO CARAJO!! ESTE PUTO GOBIERNO NO SOLO ESTA PERMITIENDO QUE ODEBRECHT NOS ESTAFE AL PAGAR SOLO UN RIPIO DE 61… https://t.co/9AdNFNBxYF
11,@suriel jajaja que fue amiguito.... tanto que los  defendías. Poco te  falto  pedirles  que te hagan un  hijo. 😂😂😂😂
12,Cabeza de zapallo no puede ser ni presidente de Apafa y quiere ser presidente del Perú 🤣 https://t.co/KkYok3Gcsq
13,"El colmo: Gobierno de Humala coimeó y regaló millones de dólares a Odebrecht, y hoy estos miserables delincuentes d… https://t.co/9Hbj07qDlg"
14,Denuncia penal contra los miserables delincuentes caviares que desde la administracion asaltaron a los estudiantes… https://t.co/OSuwcnKpMX
15,"Presidente Vizcarra, ya tiene lo que quería. Ahora póngase a trabajar, cabrón."
16,https://t.co/9Q9asHhS1N
17,https://t.co/jJLfxDNlHh
18,https://t.co/hVrHyQrqLB
19,https://t.co/3HozCJQTJ5
20,Presidente mexicano  se copia de proyecto ley de Bartra  y  lanza JÓVENES Y EDUCACIÓN para que pulpines mexicanos p… https://t.co/Wr4jbXwsGp
21,"Es un fracaso.... en vez de bajar la anemia , en lo que ba  de gobierno Vizcarra sube a 49%. Colegio Médico del Per… https://t.co/1wqKwRgIUg"
22,"Es un fracaso.... en vez de bajar la anemia , en lo que ba  de gobierno Vizcarra sube a 49%. Colegio Médico del Per… https://t.co/ujGJC249BT"
23,"El pasado 7 de marzo de este año, el Gobierno aprobó la asignación de S/ 527 millones para obras de saneamiento, ba… https://t.co/01X7ZjIDSu"
24,Entre las obras que estaban previstas con dichos recursos están: la mejora del sistema de evacuación y tratamiento… https://t.co/RLRvnB1Olc
25,"El Perú primero dice Vizcarra, por eso le quitó 527 millones a los más pobres para comprar el edificio más alto del… https://t.co/icV0buQDEc"
26,"Esto lo entiende hasta un simio, pero no un idiota socialcojudo!! https://t.co/uqcAyk8qMj"
27,Parece que todos los chupasangres parásitos del estado están con las horas contadas. JAJAJAJA y ellos en su mayoría… https://t.co/LlILm9xVbu
28,Parece que todos los chupasangres parásitos del estado están con las horas contadas. JAJAJAJA  y ellos en su mayorí… https://t.co/u5OL1T09GY
29,"Olimpiadas  recién se entera.  que los ""FujiApristas"" tienen  los votos de los 2 de las universidades, el voto del… https://t.co/tmfpB9TP9m"
30,"Ahora el  actual congreso puede  interpelar  N veces  a los ministros, forzando a  Vizcarra presentar cuestión de c… https://t.co/uRyIaH4Jfn"
31,"Este el claro ejemplo de un borrego. El creador del mamaracho de preguntas del  referéndum, recién  se dio cuenta q… https://t.co/FtQmsHTXA5"
32,"Increíble pero  cierto. Los rojos  y proterrucos, con dinamita en la mano, defendiendo a ""René"" el Cahvín de Huanta… https://t.co/ZheKKRLLDz"
33,@willaxtv @PBODigital gracias por tumbarnos una cuenta. Ya idearemos la forma de burlar  su censura. https://t.co/Tk6L4BssX7
34,https://t.co/sy22lyLSdc
35,https://t.co/xBJfBLcj8l
36,https://t.co/DpwUQ8umy5
37,Ya es hora de pedir que el voto sea voluntario. No debemos llegar al bicentenario sin ser completamente libres.
38,Chicharrón vs Cabeza de Zapallo. Quién ganará  😟 https://t.co/UcW8qjoZlN
39,La App  #AntiNiño no funcionó en Juanjuí -  San Martin. Más de 350 familias lo perdieron todo tras desborde de Río… https://t.co/viMghT8a5n
40,La App #AntiNiño no funcionó en Juanjuí - San Martin. Más de 350 familias lo perdieron todo tras desborde de Río Hu… https://t.co/b2K26pYKiR
41,"Llegó en Niño. 
San Martín – Juanjuí . Río se desborda  y arrastra viviendas. https://t.co/3R6EiThis7"
42,"LA PEOR TRAICION AL PERU EN TODA SU HISTORIA

Toda esta farsa del inútil referéndum no ha sido más que una cortina… https://t.co/0urXBCERyO"
43,"EMPRESAS CHORAS, CON LICENCIA PARA METERNOS EL DEDO. Miembros del 'club de la construcción' pueden participar en la… https://t.co/7n0IJfXb0r"
44,"EMPRESAS CHORAS, CON LICENCIA PARA METERNOS EL DEDO. Miembros del 'club de la construcción' pueden participar en la… https://t.co/eJkMdYmCGe"
45,Toda una comunidad nativa se intoxican en frontera Perú Colombia. 4 niños fallecen. Toda la comunidad tuvo que cruz… https://t.co/t0hZDMBqHA
46,Como dueles Perú. Ahora la mafia esta con las puertas abiertas de par en par .Los imbéciles tienen lo que se merece… https://t.co/F9OeUj5CyE
47,Sumados a los votos que votaron NO  y   nulos y viciados. llega a 47%. La cosa esta pareja. https://t.co/xrBHNQlD7X
48,https://t.co/umtYBlFo6E
49,Qué paso con la señal de ATV. NO sale el programa de cuarto de pollo de la Bety.
50,Vizcarra: el referéndum no soluciona los problemas del Perú.: https://t.co/K1umwwIxBR a través de @YouTube
51,"RT @TRICICLODELPERU: Solcito Carreño hoy dice que ""Alan jamás debió ser presidente"", que ella ""siempre supo que Alan era déspota, ruín y ma…"
52,Agárrate chicharrón que llegó tu serrucho. 🤣🤣🤣🤣😅 https://t.co/9FpbJZBBnf
53,"Increible, los rojetes amenazan con protestas masivas contra el referendum porque se sienten engañados, jajajajaja: https://t.co/zz2ixNBncT"
54,"@Pulmon_de_Susan @rosamariabartra Tienes razón Pulmon,  no la merecen"
55,Vizcarra: el referéndum no soluciona los problemas del Perú. 🤣🤣🤣😅 https://t.co/AZLX9tjgM6
56,Vizcarra: el referéndum no soluciona los problemas del Perú. :3 :v https://t.co/gtMDXgzHRw
57,¡A bajar de peso en Barranco porque rompen las  bancas! 🤣🤣 https://t.co/7g6zf13fe0
58,"@yamilaosorio vaya, vaya. cosas del Orinoco, que solo la Villarán del sur sabe."
59,RT @KarinaNovoaL: No veo un escándalo por las entradas regaladas por Oviedo a Pablo Sánchez y otros (fuente Caretas) tampoco fue así cuando…
60,Eficiencia en su máximo esplendor: En tan solo 4 días reparan autopista deshecha tras el sismo magnitud 7 en Alaska… https://t.co/220CTsiTBC
61,Olimpìadas Huilca la volvió a hacer. Esta pacharaca cree  que solo los apristas y fujimoristas no podrán reelegirse… https://t.co/0byAYipqyL
62,"El gobierno que lucha contra la corrupción nos ha robado 4, 460 millones de soles en acuerdo que  firmó con Odebrec… https://t.co/VoF0ZMaGar"
63,Esta es la verdadera razón por la que botaron a Salvador Heresi del Ministerio d Justicia. Solo y solo cuando a Ode… https://t.co/gc21XdZHAi
64,Esta es la verdadera razón por la que botaron a Salvador Heresi del Ministerio de Justicia. Solo y solo cuando a Od… https://t.co/PUHOMebbbc
65,"Último minuto!!!!  A las afueras del  chongreso, fotografían  a nuestra chiquita y olvidadiza camarada viendo donde… https://t.co/aljrzUEeTi"
66,Nada más les decimos a los que se sienten “triunfantes”🤭 con el “Si Si Si No” impuesto por el gobierno (que OH! Cas… https://t.co/0MQ10qgKGL
67,Cierto https://t.co/bgaJJ9InDi
68,https://t.co/UcxYJYwF6x
69,@ONPE_oficial @CNNEE @PeruNews @RadioNacionalFM @Agencia_Andina @RPPNoticias @larepublica_pe @canalN_… https://t.co/jcZoycL80b
70,sobran pruebas sobre el fraude descarado...  pero la maldita prostiprensa mermelera calla en todos los idiomas y no… https://t.co/WGd0lUgYQ6
71,Los rojetes y socialcojudos empezaron a darse cuenta de la estafa del referendum que basicamente solo fue una corti… https://t.co/5QLB3Qk94u
72,"La maestra de ceremonias  como cuando era la geisha de Fujimori, la que chupaba guayacol junto a Tolebrio, la que c… https://t.co/CRQk5Z7O7d"
73,"La maestra de ceremonias  como cuando era la geisha de Fujimori, la que chupaba guayacol junto a Tolebrio, la que c… https://t.co/d4VR5VDzjo"
74,Adiós a la minería en el Perú. Vizcarra y  la Comisión de Economía del Congreso que  predice la Techy Bruce le dan… https://t.co/LwQHtNRsnJ
75,https://t.co/uogk7bYrC3
76,"MAS CLARO, NI EL AGUA!
Lo advertimos claramente y con anticipación y aquí esta la prueba. Hasta se sabía los result… https://t.co/6rGwuXzRDq"
77,"gracias a una ignorancia supina que a pesar de 18 años de equivocaciones colocando corruptos, hoy legitíma a otro c… https://t.co/mjuebnazLH"
78,https://t.co/LQeZ1vQW07
79,"Gob. de Vizcarra llego a acuerdo con Odebrecht a una reparación civil d S/. 610 millones, PERO para q nos paguen es… https://t.co/6QURWSkQ7Y"
80,@VertizPamela SI tú después de adorar a Fujimori y Ollanta das clases de moralidad... que crees.
81,RT @alfonsobaella: Hace minutos reportero de RPP pregunta a señora votante sobre sus impresiones luego del resultado del referéndum donde g…
82,"En la primera pregunta HA TRIUNFADO LA ""OPOSICIÓN"" 

Cuando se hayan dado cuenta, habrá sido demasiado tarde. Pero… https://t.co/KAWkUtyiuo"
83,@ONPE_oficial @PeruNews @Agencia_Andina @elcomercio_peru @RPPNoticias @canalN_ @tvperupe @exitosape https://t.co/fB6yzvRQnO
84,@rosamariabartra @Mauriciomulder @VictorAndresGB @meiermq @alvarosarco @Pulmon_de_Susan  @KarlaCalle
85,#SanIsidro: @onp suplanto equipos de voto electrónico por otros. Personal de Onpe obliga a Ingenieros de Sistema qu… https://t.co/RMJpykWgTu
86,#SanIsidro: ONPE Oficina Nacional de Procesos Electorales - Perú suplanto equipos de voto electrónico por otros. Pe… https://t.co/D5T1SfVyrj
87,Referéndum 2018: Onpe suplanto equipos de voto electrónico por otros. Fraude: https://t.co/ieoPwwg5fV a través de @YouTube
88,Se acabó el referéndum y ellos se sacan  las coimas al sol. https://t.co/anUPaxXWL6
89,"Se acabó el referéndum y ellos se sacan las uñas, las pestañas, los tacos, se sacan las coimas al sol. https://t.co/Qlh1NWI22w"
90,Se acabó el referéndum y la cortesana  saca las garras. https://t.co/kSXBmQHhrO
91,"Martha Chávez, Fernán Altuve, Carmen de Lozada y la gente fuerte del fujimorismo. https://t.co/01HqZ88Rfj"
92,El escudero de la corrupción ya no esta tan entusiasta como antes. Acaso no fueron ellos los  que propusieron la no… https://t.co/lbeM8Ir4HF
93,Los pulpines se la pasaran 15 años de su vida pagándole a Odebrecht lo que a sus viejos y a ellos mismos le robaron… https://t.co/wqNoXCil1z
94,Cosas veredes Sancho... https://t.co/avnG1COttS
95,Vizcarra nos metió su nariz bien al fondo. Le pidieron reparación civil de S/. 610 millones solo por solo 4 obras a… https://t.co/iiDCYYoZO6
96,https://t.co/6SPI9KgT9p
97,#4vecesNO https://t.co/O5NDjI6Shw
98,"Gob de Vizcarra llega a acuerdo con Odebrecht. les garantizó inmunidad a sus directivos, le abrió las piernas, digo… https://t.co/McifrlNCHN"
99,Y los testigos de Jehová perdiendo tiempo con la Biblia. Solo era necesario hacer un referéndum y ya. 😅 https://t.co/r3XX3QRGe8
100,"@camilocnn 🤣🤣🤣🤣 Cierto!!! El lunes ya no habrá anemia, el norte del Perú se reconstruirá solo, los chorros y marcas… https://t.co/ZgJR3wbdrr"
101,"FLASSSSSS ELECTORAL!!!

MILAGRO: Hasta los muertos y desaparecidos hace 30 años han votado por el SI-SI-SI-NO!!

Ya… https://t.co/DcNMMRnlVm"
