,Tweets
0,RT @gabrielitaaa10: @GabyPac54589881 @_gonzalez_jordi @blogcyh @crisjoelr1 @delurens @carloswaite @FelicianoGalvan @DEDALO56 A 1 Semana del…
1,RT @LinceAntiTuco: @JoseDomingoPe @GiullianaLoza https://t.co/7DyM1DFbc2
2,RT @lordrfadgrmm: @Manifiesto_pe @FiscaliaPeru @PedroChavarryV @LavaJato_Peru @rosamariabartra @KarinaBeteta01 @VictorAndresGB @kampueromez…
3,"RT @24HorasTV: [VIDEO] #KeikoFujimori: ""Que me quieran dejar sin defensa legal es realmente cruel y perverso"" ► https://t.co/H0rrRLNZSx"
4,@MarcoTulioG ESO SERIA LO MAS LÓGICO PERO TENEMOS A UNA SARTA DE BESTIAS EN EL GOBIERNO QUE SIN PENSAR NI OFRECER S… https://t.co/5ZCobQ2c3s
5,RT @MarcoTulioG: El 19/12 la ONU aprobará la resolución que garantiza el acceso a los servicios sociales básicos para migrantes. Creo que p…
6,"RT @TRICICLODELPERU: Martha Chávez desahueva al mermelero de Graña: ""Hasta ahora no han allanado las oficinas de la corrupta Graña y Monter…"
7,@JBCPERU @MartinVizcarraC @PBODigital MARTIN VIZCARRA ES TODO ESO Y UN CORRUPTO MITOMANO.
8,"RT @JBCPERU: ¿@MartinVizcarraC será un demagogo, farsante o alucinado? Pronto lo sabremos. cc. @PBODigital https://t.co/9yLqtepyKk"
9,"ESTE COMUNISTA LO QUE BUSCA ES METER A SU MANADA EN EL APARATO ESTATAL, A TODA ESA MANADA QUE LO AYUDO A LLEGAR AL… https://t.co/IVbXWuTY6O"
10,"RT @MolinariJulia: @AlbertoBelaunde Premonitorio, te describió tu abuelo."
11,RT @xafu: @JuanMendiz @PipoHUERTA @Carlos_Bruce Esos son almacenes de la empresa de logística AFE. De un tal Justo Gamarra.
12,RT @ExpresoPeru: Existen personas que se rehusan a evacuar los pisos altos del edificio. Otro incendio también se reportó en los cruces de…
