,Tweets
0,@drcesardip @coloradacha A mi tambien... pero NO se necesita ser un experto para identificar la profunda neurosis d… https://t.co/1fCY3qxeQZ
1,"Mi mensaje ""navideño"" para @TechitoBruce ahora que es investigado por la justicia por MAFIOSO es:

""No te resistas.… https://t.co/7NOTdSj3MD"
2,@Grupo_Valentin @ElianaCarlin @HacerPeruPe @canalN_ @GustavoEscribe @gonzalotorres @martinwriepl @pebritish… https://t.co/UjSAXA9t4s
3,"Manya! La ""quita maridos"" ahora publica libros sobre ""peruanas heroicas.""

Me pregunto si @HurgamemoriaPE estuvo en… https://t.co/qd0dS8zovz"
4,@Carlos_Bruce https://t.co/z3iQgCt7Ri
5,"Como consecuencia de tu autoritarismo, confrontacion, y soberbia, asi terminas Carlitos. Lamentamos tu drama famili… https://t.co/av2jYVGqs1"
6,"La mujer mas hermosa de España es un MACHO con PENE.

Milagros del ""feminismo"" y el #EnfoqueDeGenero... 

... aqui… https://t.co/prcxNhkcc5"
7,@weeklystandard The END of the NeoCons... May the proverbial door NOT hit them in the ass on the way out.
8,"Cuando las ""femiNAZIS"" dicen que los hombres son agredidos de manera ""inmensamente mayor"" que una mujer que es una… https://t.co/sBfpZHVyks"
9,"El Peru NO esta solo lleno de MUERTOS DE HAMBRE, tambien esta lleno de PENDEJOS... y esta gobernado por un PENDEJO… https://t.co/rSTbX44Fi2"
10,"La inmolacion de Mavila Huertas, Cecilia Valenzuela, Juliana Oxenford, Rosa Maria Palacios, etc., etc., etc... por… https://t.co/wkUnLjkvNQ"
11,"... a ver, escueleen a Carlos Caro Coria pues giles.... Marcial Rubio deberia estar preso HOY MISMO... https://t.co/JhrjavgHbV"
12,"Soy Yo, o los genios del #MIDIS promueven la lucha contra la anemia con una guapa modelo que carga un cartel que le… https://t.co/dID7ICyzZT"
13,"1. Y eso que MIERDA tiene que ver con @KeikoFujimori?

2. Que Vela se queje ""acoso y hostilizacion"" es francamente… https://t.co/9gSb9SLVn1"
14,"Cecilia Valenzuela ha hecho del periodismo un acto de felacion... Ahora que anda con el espiritu ""navideño,"" deberi… https://t.co/sKoqGpzHgO"
15,"RT @Pulmon_de_Susan: Jose Graña Miro Quesada JEFE de Gastelumendi, Carreño, y Ospina. JEFE de los presuntos “Elegantes del Jr. Santa Rosa”,…"
16,La Sra. @KeikoFujimori ha sido víctima de todo abuso procesal y de sus derechos que Yo pueda imaginar para mantener… https://t.co/5k0iI3Fyd3
17,RT @Pulmon_de_Susan: @elhigadodmarita Luis Davelouis debería ganar ese premio POR GOLEADA. Sus columnas son odas a la mermelada. Sus regord…
18,"RT @Pulmon_de_Susan: TODOS LOS VIDEOS (hasta ahora) de la Comision @LavaJato_Peru. Solo hazle un click abajito👇, y empieza a informarte del…"
19,"Feliz Navidad So Cojudos!
Choprove con su gobierno “de lujo”! https://t.co/tXAAd4B8PW"
20,"RT @GiullianaLoza: Informamos a la opinión pública que, ante la gravedad de las afectaciones en el proceso penal contra #KeikoFujimori ,est…"
21,"RT @KikeBravoPrado: Tanta vaina, ¿ven? Todo es absurdo... https://t.co/mRrpRDDtl8"
22,La madre del año... https://t.co/0g5Dtvzc6T
23,"Claro! Porque el punto de la opinión política es que alguien “te haga like” o que a alguien “le caigas bien”...

De… https://t.co/0l70Dpo4Cz"
24,Yo me pregunto... No le da vergüenza a Mavila Huertas inmolarse por una tira de criminales? Que asco... https://t.co/lgqxAdVZ6U
25,RT @Manifiesto_pe: #Memifiesto | Luego de patinar defendiendo lo indefendible en el caso de las moras ilegales cobradas a estudiantes de la…
26,"RT @TRICICLODELPERU: Martha Chávez desahueva al mermelero de Graña: ""Hasta ahora no han allanado las oficinas de la corrupta Graña y Monter…"
27,"Mejor no pudo decirlo nadie, jamás...

El juez Villa Stein, al fiscal José Domingo Pérez. https://t.co/DfP0GQjpAK"
28,Escuelearon al “patero”... https://t.co/yaum1mVaho
29,Esta mujer es inocente. Debe irse a su casa. Fuerza Keiko! https://t.co/SuTnsNiNOm
