,Tweets
0,"Qué raro que los Progres que taaaaaaanto les gusta las comisiones investigadoras, hasta ahora no hayan pedido que s… https://t.co/zLAwm8Dr4B"
1,"No solo debe investigarse los cobros indebidos por la caviar PUCP; sino también los arbitrajes que hizo la PUCP, qu… https://t.co/R9sTjTgJsa"
2,"¡Miren Pogres y rojos que apoyaron a Vizcarra!
Ya empiezan a surgir los efectos del referendum que nos llevarán ser… https://t.co/6lfFJmrIjP"
3,"Martha Chávez desahueva al mermelero de Graña: ""Hasta ahora no han allanado las oficinas de la corrupta Graña y Mon… https://t.co/b2yxc23NK1"
4,"La concha del año tiene que ir para Auguso Rey, más conocido como camarada Bebita. Criticar la gestión de Lucho Cas… https://t.co/EIVxn4GwyE"
5,¿Por qué hoy no estuvo el nuevo presidente del Poder Judicial Lecaros y Chávarry del Ministerio Público en la reuni… https://t.co/JjgIM8dlup
6,"Dice la abogada Giuliana Loza que ella seguirá defendiendo a Keiko como una ""guerrera"". El fiscal José Domingo Pére… https://t.co/jsYEyWaeP8"
7,"Jaime Bayly a Rosa María Palacios: ""Tú fuiste fujimorista, no te hagas la loca. Trabajaste a sueldo para el montesi… https://t.co/c69F3CCVko"
8,"-Claudia Cisneros: ""Fujimori dictador, hijoeputa,  malnacido"".
-Pamela Vertiz: ""Fujimori esterilizador, ladrón, no… https://t.co/o5cO1SWdGE"
9,Qué super feliz se le veía a Cecilia Valenzuela al lado de Alan García en el 2009. Me recuerda a Pamela Vertiz y a… https://t.co/4lcj5nLxdU
10,¡¡¡¡¡Coooooooooooooooooooooooooooomo que Cecilia Valenzuela le cocinaba a Alan Garcíaaaaaaaaaaaaaaa!!!!!! https://t.co/2GWuUfeVJq
11,"Adivinen quien le pidió una medida cautelar a la CIDH para el fiscal José Domingo Perez: Fue el IDL, sí la ONG de G… https://t.co/wJ8Eh7ZqhM"
12,"¿Ya vieron toda la publicidad estatal que está poniendo Vizcarra en el diario @larepublica_pe ?
Y SON AVISOS EN POR… https://t.co/yW6QeykPll"
13,"El club de la construcción,  encabezado por José Graña,  seguirá operando como si nada; a pesar de habernos robado… https://t.co/ZWr2Im9uCl"
14,"Luisa María Cuculiza desahueva a Verónika Mendoza: ""Eres roja pues mamita, de la izquierda recalcitrante"". https://t.co/ByXn5xg97o"
15,"Rojos estan felices con la No reelección de congresistas. Pero...
NO CANTEN VICTORIA ROJETES.
El 2021 regresan mis… https://t.co/E1zc0vTWwS"
16,"-Solcito, la reconstrucción del Norte va a demorar años y ya se acerca otro fenómeno del niño, ¿qué hacemos?
-No se… https://t.co/UXTh2W5yBO"
17,"-La mayoría de las sesiones del congreso son públicas.
-La mayoría de los juicios en el Poder Judicial son públicos… https://t.co/puvCeDPsdj"
18,¿No les parece raro que la izquierda peruana no pida expropiar los peajes que hoy están en manos de la corrupta Ode… https://t.co/zjlKgAuj7b
19,"-Gobernadora Yamila Osorio,  una aeromoza ha acusado a Mamani de tocarla indebidamente, ¿qué opina?
-Debe ser desaf… https://t.co/2nmf0ZzETd"
20,"Nadincita Yamila Osorio, gobernadora de Arequipa, hasta hace poco pedía que Mamani sea linchado por tocar a una aer… https://t.co/3pxHAwrihd"
21,"Solcito Carreño hoy dice que ""Alan jamás debió ser presidente"", que ella ""siempre supo que Alan era déspota, ruín y… https://t.co/K7iA6NlblS"
22,"Rosana Cueva: ""¿Por qué se envía un auto con esas características a la casa de Alan García si él ya contaba con res… https://t.co/p5mdArgI2E"
23,"Típico rojete de ventana: tilda de ""mariquita"", ""corrupto"" y ""choro"" a cualquiera cuando está en mancha; pero cuand… https://t.co/qTuD6qJoJk"
24,Odebrecht no hizo ninguna obra en Estados Unidos; sin embargo pagará a ese país 2600 millones. Aquí sobornó preside… https://t.co/h9YfXAv29i
25,"Les faltó incluir el audio del Juez César San Martín, donde le pide favores al hoy preso, su ""hermanito"" Walter Río… https://t.co/mc0r0aMxzB"
26,Si el pueblo es el que manda ¿Por qué no se aplica la pena de muerte para violadores? ¿Por qué se insiste con la id… https://t.co/O41wB0pVdK
27,"¿Alguien dijo que hay congresistas que realizan tocamientos indebidos a sus colegas parlamentarias?
CLARO QUE SÍ, H… https://t.co/ICXVfojqmS"
28,"RT @4vecesno: En Latina Noticias TV, entre los periodistas Lorena Álvarez y ""Coqui"" Gonzáles hicieron propaganda a la intención de voto que…"
29,Gorriti y su mafiosa IDL han entrado en pánico; ya no controlan la Fiscalía con Pablo Sánchez y tampoco el Poder Ju… https://t.co/vYn8rN6T2q
30,¡NO A LA IDEOLOGÍA DE GÉNERO; POR ESO ESTE DOMINGO MARCA 4 VECES NO! https://t.co/jcbASwMzMV
31,"Rosa Bartra al Ministro Moran: ""Señor ministro, si usted dice que esos equipos son para hacer monitoreo de imágenes… https://t.co/iQDTjIQqQF"
32,Duro golpe para la caviarada la elección de José Luis Lecaros como nuevo presidente del Poder Judicial. Ellos querí… https://t.co/BDHguqdbI0
33,"Edwin Oviedo: ""Le regalamos entradas para los partidos de Perú a Duberli Rodriguez del Poder Judicial y a Pablo Sán… https://t.co/GcdQ9ul7fK"
34,"-Iban a entregar el aeropuerto de chinchero a la hermana del Premier Zavala: ""Vizcarra no sabía"".
-La Ministra de C… https://t.co/CDglCBT5Mk"
35,Los del canal de Graña se han pasado todo el día diciendo que los equipos encontrados en la camioneta no eran para… https://t.co/p7pSegzeUj
36,"CAVIARES:
-""Fuji tenía que saber lo de Barrios Altos y La Cantuta"".
-""Keiko tenía que saber que Yoshiyama recibió p… https://t.co/xe2RrDSpdN"
37,"Si fuera Mamani el que hubiera empujado y golpeado a esa alumnas, ya estaría siendo crucificado por Claudia Cisnero… https://t.co/SAQ0LDHFZJ"
38,"¿Han escuchado a Mávila Huertas, Mermelumendi, Solcito, Augustito Thorndike o al ""moralista"" Federico Salazar, pron… https://t.co/HXlsrD5CrZ"
39,"Dice el ex ministro de Humala, Pedro Cateriano, que ""Alan tiene que pagar, porque él recibía órdenes de Odebrecht p… https://t.co/ti0bzpt4Ar"
40,"No te olvides de tu jefe José Graña, que no sólo tiene corona, sino también la concha más grande del mundo; que usa… https://t.co/uCjuHhwCWA"
41,Volvió a morir otro trabajador al que su jefe lo encerró con candado en Mesa Redonda. Vizcarra cree que con leyes y… https://t.co/AW1V1HH96M
42,"Renunció Patricia Balbuena al ministerio de cultura por el choreo en esa institución.
Dicen que la reemplazará Nata… https://t.co/tej9MbQcw0"
43,El presidente Vizcarra dice que el aeropuerto de Chinchero si va; que todo será de maravillas y que el Estado ahorr… https://t.co/SAJmqFCs9E
44,"Con Phillip Butters, radio Exitosa estaba segundo en sintonía y le hacía la pelea a RPP. Desde que salió Butters es… https://t.co/mRSvuopNBJ"
45,"¡Qué raro que hoy todos los medios  le pregunten a Popy Olivera por Alan y por Keiko, y no le pregunten por haber e… https://t.co/CqrQvgTGnI"
46,"""HOY DAMOS INICIO A LA CAMPAÑA DEL NO A LA REVOCATORIA"", decía la Charito ante José Ugaz, Carlín, Jacinto Diaz, Yer… https://t.co/AlviB8IbVD"
47,"El Comercio se limpia y decide echar de sus filas COMO A UNA CACA, repito, COMO A UNA CACA a Carlos Galdós a través… https://t.co/bW4ZVjyjlx"
48,"Escuchen a La Charito como pedía votar por el ladrón PPK, igual como lo pidió por Susana Villarán. Miren quien más… https://t.co/2wEPdVBfgN"
49,"Phillip Butters: ""Mark Vito debió reventar a Carlos Galdós por ofender a su esposa"". https://t.co/9biR8lcLPV"
50,"Los comunicadores deberían pasar por una prueba antidoping, antes de salir a conducir algún espacio en radio o TV.… https://t.co/aAOka5UI4u"
51,"Carlos Galdos: ""Keiko no tiene agua para lavarse un pezón ni el vello púbico"".
¿YA SALIÓ LA MINISTRA DE LA MUJER A… https://t.co/qqXqMHNsUy"
52,"-Oye Victor Prado Saldarriaga, tú que eres presidente del Poder Judicial, dame una manito para tapar el robo en el… https://t.co/puayXCbja9"
53,"Milagros Leiva: ""El fiscal José Domingo Pérez filtra información a cierta prensa amiga. Él pudo impedir que José Gr… https://t.co/AUbOVW8xUE"
54,"-Mechita, ¿qué opina del Fiscal de la Nación?
-Debe ser destituido.
-¿ y qué opina de Keiko?
-Está bien presa.
-¿Y… https://t.co/LnK7Et2p14"
55,"RT @JMendoza_Peru: Por qué hay persecución política?
-Keiko Fujimori presa y Alan Garcia con impedimiento de salida sin juicio ni denuncia.…"
56,"De los creadores de:
""HUMALA ES LA GRAN TRANSFORMACIÓN"",
""NO A LA REVOCATORIA"",
""SOLO QUEDA MARCAR PPK"",
""YO SI SIE… https://t.co/orRInvb5vi"
57,"Hoy han salido la piara caviar de siempre, gritando a los cuatro vientos que no existe persecución política en Perú… https://t.co/HeRcHPn27P"
58,Ya va a ser un mes que el fiscal Domingo Pérez no entrega las carpetas sobre caso Chinchero que involucra al presid… https://t.co/z5qnF9aKvc
59,"ANTES DE QUE ALAN PIDA ASILO // DESPUÉS DE QUE ALAN PIDIÓ ASILO.
 ¡Alan le quitó la cara de loco en una, al loco Do… https://t.co/PVrYUy1CZH"
60,"-""Señora Ministra de la mujer, han violado a una menor de manera cruel y salvaje. Se requiere su presencia"".
-""Voy… https://t.co/suhLZOmf70"
61,"Si Uruguay le concede el asilo a Alan García, quedará en evidencia lo que está ocurriendo: la vil persecución polít… https://t.co/hqUiiW2rC0"
62,La esposa del fiscal Domingo Pérez fue ascendida durante el gobierno de Vizcarra como Jefa de Compras con un suelda… https://t.co/j2OgUfkBhk
63,"Mark Vito: ""El Fiscal dice que hay un vínculo entre Keiko y yo. Claro que hay un vínculo. Sí, estamos casados; sí,… https://t.co/wEl8KKeFAS"
64,"PERIODISTA DE CNN DESAHUEVA AL CONGRESISTA ECOTERRUCO MARCO ARANA: ""¿Dónde están las pruebas contra Alan García? Od… https://t.co/aBIr32QOXD"
65,"El 2021, si es que llega, Vizcarra dejará el poder. No tiene bancada, solo ayayeros de turno que lo adulan por un p… https://t.co/wtXBjk2CHq"
66,Aquí la doctora Carmen González te explica porqué se merecía que golpearan al anciano de 80 años Alva Castro. Me re… https://t.co/4sElU9mq0h
67,Yo no sé qué espera el @congresoperu para emitir comunicado sobre la violación de la defensa y persecución política… https://t.co/BBfEyupqbR
68,"No contentos con encarcelar a Keiko, congelar sus cuentas, difamarla todos los días en medios, colocarle chaleco de… https://t.co/Y2UGl1HKDZ"
69,Espero que sea usted el primero se sirva de esta ley de salud mental para hacerse revisar el cerebro; porque tanta… https://t.co/94rJzXv9si
70,La piara caviar presionaba al Estado a respetar las resoluciones de la Corte Interamericána donde manda indemnizar… https://t.co/4zyAkPIr6z
71,"Opositores a Vizcarra:
-Keiko (presa).
-Alan (con impedimento de salida).

OFICIALISMO:
-PPK (libre)
-Ollanta  (lib… https://t.co/y1sQkOgpBG"
72,"-Antes de detener a Keiko, IDL muestra chats
-Antes de detener a Alan, IDL muestra refrito contra Alan.
-Antes de a… https://t.co/RL6dMYk4PZ"
73,"-12 millones gastó en la megacomisión solo para investigar a Alan.
-Interceptó las comunicaciones a opositores, usa… https://t.co/PltLeG6le0"
