,Tweets
0,#4VecesNO #4VecesNO #ReferendumViciado #ReferendumViciado https://t.co/wSQJnX0XNp
1,#ReferendumViciado #4VecesNO https://t.co/uf4nWuA29J
2,#ReferendumViciado #4VecesNo #ReferendumViciado #4VecesNo #Referéndum2018 https://t.co/k7FBFGbIHb
3,#ReferendumViciado #ReferendumViciado #ReferendumViciado #ReferendumViciado #ReferendumViciado #ReferendumViciado c… https://t.co/n66vVMNh0M
4,#ReferendumViciado #ReferendumViciado #ReferendumViciado #ReferendumViciado #ReferendumViciado gracias a la… https://t.co/XChG3iKVpo
5,"RT @alvarosarco: Me parece bien que se vea el asunto de Moisés Mamani el sábado, pero también debió verse para ese mismo día el caso de Mar…"
6,"RT @romancendoya: ¿Se habrán enterado en Uruguay de que el juez Caruancho retiene los expedientes de Keiko Fujimori 24 días, y los tramita…"
7,#4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo… https://t.co/8OCt4nrDjS
8,#4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo… https://t.co/Gnbs4s8n1l
9,#4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo… https://t.co/nDeIPWvXqd
10,#4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo… https://t.co/1KsuQ5n0Lr
11,RT @TJCmagno: ¿Por qué la @FiscaliaPeru tiene en stand by casos d Toledo/Villarán/OH-NH/Villarán? ¿Acaso necesitan el visto bueno de Gorrit…
12,#UnPeruSinPlastico https://t.co/dOTK19RhTB
13,#4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo… https://t.co/JLYk4jwWJ4
14,#CartelMediatico #prensabasura #4VecesNo #4VecesNo #4VecesNo #4VecesNo https://t.co/SzwWV7isvb
15,#ReferéndumTrucho no quiere meter este gobierno con manipulación de información y proselitismo que hace la… https://t.co/Q0osk8u0H9
16,#Chinchero #Odebrecht Otra vez con la corrupción??? https://t.co/x5lC4fA8re
17,"RT @Merlina_Peru: Con el referéndum:
1. Vizcarra es títere de los caviares? SI
2. Medios seguirán recibiendo 1 millón al día por publicidad…"
18,"RT @jorgevillenal: Otra estafa para enriquecer a burócratas y políticos corruptos 
No pueden construir una Carretera Central decente que un…"
19,#CartelMediatico #4VecesNo #4VecesNo #Odebrecht #LavaJato #4VecesNo https://t.co/6FNo9udtNd
20,#4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo #4VecesNo https://t.co/csNf3qqpg0
21,#DebidoProceso #DebidoProceso #DebidoProceso #KeikoFujimori #KeikoFujimori #DebidoProceso Basta de abuso de ese jue… https://t.co/nvJzYZF0cf
22,Ejecutivo quiere manipular la votación a su capricho del #ReferéndumTrucho utilizan a la @ONPE_oficial para cumplir… https://t.co/fX9gFNeqX1
23,#4VecesNO por eso yo marco #4VecesNO #4VecesNO #4VecesNO #4VecesNO #4VecesNO  la tengo bien clara #4VecesNO… https://t.co/p37UuQl1gA
24,#DebidoProceso #DebidoProceso #DebidoProceso #KeikoFujimori #4VecesNO #4VecesNO #4VecesNO #4VecesNO https://t.co/b6NAqV705d
25,#4VecesNO #4VecesNO #4VecesNO #4VecesNO #4VecesNO #4VecesNO yo votaré #4VecesNO #4VecesNO #4VecesNO #4VecesNO… https://t.co/daeppQhBSy
26,"#NadieTieneCorona pero al parecer para algunos personajes que el periodismo avala sí,  son intocables a otros ya hu… https://t.co/85rueRdjaF"
