,Tweets
0,RT @RZP140650: JOSE UGAZ EXTORCIONABA A LOS CORRUPTOS FUJI  - YO CONOCÍ EL CASO DE LOS 3 HIJOS DEL GENERAL MALCA LES PIDIÓ 1 MILLÓN DE DÓLA…
1,RT @LainezLozada22: ESCANDALO!! En escrito de puño y letra Edwin Oviedo DENUNCIA y Alerta que esta siendo fuertemente PRESIONADO por la fis…
2,"RT @PipoHUERTA: ESTO ES UNA MUESTRA DE COMO ROBAN Y COIMEAN EN LA FISCALIA, CHANTAJEANDO A INVESTIGADOS, TESTIGOS Y LOS QUE SE ACOGEN A CON…"
3,"RT @DanielCordovaC: Cuando el complot mediático para sacarme del Minsiterio de la Producción , esta señora twitteó que despedir a un vicemi…"
4,RT @RichardRossiMo1: @GdN65 @AlbertoZevallo5 Las contradicciones de un incompetente!
5,RT @marcarluna89: @AlbertoZevallo5 Tarde o temprano ya se el caerá el teatrito del referendum
6,"RT @Wolfdruida: Hoy la justicia peruana tiene una prueba de fuego, elegir los estándares contemporáneos donde prima la presunción de inocen…"
7,@ArnaldiParedes @laconchacaviar jajajaja gracias...
8,@ArnaldiParedes @laconchacaviar Por qué te preocupa lo que YÓ CREA?... disfruta las CONSECUENCIAS de lo QUE TÚ CREE… https://t.co/mpE8o0s8AS
9,RT @vince_bryce: @presidenciaperu @MEF_Peru @MartinVizcarraC @Agencia_Andina @noticias_tvperu @MimpPeru Mientras mantiene secuestrada a una…
10,RT @Tvnovias: @presidenciaperu @MimpPeru @MartinVizcarraC @Agencia_Andina @noticias_tvperu Señores recuerden que están para trabajar. Y rob…
11,"RT @GustavoOrozcoH: Ahí tienes tu:

SI. SI. SI. NO!!!

Ahora JODETE!!
Y viene mucho más!!! https://t.co/Nnet4x6SDe"
12,@kampueromeza @maryju333 Sobre todo NO IGNORAR OLÍMPICAMENTE las conclusiones de la INVESTIGACIÓN CONGRESAL... de E… https://t.co/vYgOl9Tqzt
13,RT @vince_bryce: @palacastrillon Para mi Keiko TIENE que denunciar en instancias internacionales persecución política de parte del dictador…
14,"RT @mlukacs: Quien firma la carta es Raquel Ferreira, Procuradora General de Brasil, no @PedroChavarryV. Quien hace la aclaracion es la pri…"
15,"@gvillasis Sabotee algo INEFICAZ Y SELECTIVO? por favor, NO TODOS estamos ADOCTRINADOS por el DINERO..."
16,@Agencia_Andina @MartinVizcarraC Alguien que le explique al ACEDITARIO que tiene el ENCARGO de presidir SIN DISTINC… https://t.co/BBgGNI9l2V
17,@GdN65 Es un demagogo más... y muchos le creen...
18,RT @GdN65: Y por que la discriminación ...por que le da la gana? https://t.co/iwOvRdckAx
19,RT @CarlosV66490803: @MolinariJulia @AlbertoZevallo5 @peru21noticias Así es la llegada de Cecilia Valenzuela a puesto el Periódico en una p…
20,RT @BetoLeonVigo: @GustavoOrozcoH @AlbertoZevallo5 Comenzamos a vivir en un período de comisiones de notables elegidos a dedo pasamos de un…
21,@BetoLeonVigo @GustavoOrozcoH Una de las razones que MUCHOS NO ENTIENDEN...
22,@ArnaldiParedes @laconchacaviar Miedo a que sea verdad?... se te nota bastante preocupado...
23,"@PaOliTa1406 @josepimentelali Veneno?, Rabia?... quienes NO NEGARON NUNCA solicitudes del EJECUTIVO para LEGISLAR?.… https://t.co/SNlhLuzfVR"
24,"@ArgosMozart @UlisesUrra @KeikoFujimori Para que tomes en cuenta, saques conclusiones propias y NÓ SÓLO LO QUE DICE… https://t.co/4Mzs1yg737"
25,@ArnaldiParedes @laconchacaviar Hasta lo indicado en  esa noticia puede haber sido pensado y/o puesto en marcha...… https://t.co/VPdZSkXzsA
26,@federicomerani Gracias amigo...
27,"""el presidente de la República Martín Vizcarra demostró que, a pesar de su retórica buenista, continúa actuando con… https://t.co/XdvDkLZRf1"
28,"VIZCARRA SIGUE buscando CONFRONTACIÓN... 
Mala nota, presidente Vizcarra https://t.co/MlLrPrr4OU"
29,"""Vizcarra debe reconocer que el país sigue tan polarizado como durante la segunda vuelta electoral.. dejaría al Con… https://t.co/KBHMdD3EYZ"
30,"""Vizcarra debe reconocer que el país sigue tan polarizado como durante la segunda vuelta electoral. Si más de sabid… https://t.co/zeupCVK7OH"
31,Un buen día amigos... y realmente necesitamos lo sea...
