,Tweets
0,Me parece o va renunciar? 🤔🤔🤔 https://t.co/tIbFj1MRm1
1,Que predique con el ejemplo y pague a los que su Constructora tiro perro muerto en Trujillo. https://t.co/BqaM5GUTLB
2,...y VILLANUEVA le ordena al Congreso restringir o eliminar la inmunidad parlamentaria. Somos un país bananero. Es… https://t.co/88bbWY52dd
3,"#LaMochilaDeMávila contenia entradas de la final de la Copa Libertadores. Si, eso era!"
4,El 90% de una encuesta llevada a cabo por IPSOS (proveedor oficial de Vizcarra) con una muestra de 1500 personas. S… https://t.co/5bG37K5yxm
5,#LaMochilaDeMAVILA Si no tenía la laptop y contenía carísimas y valiosas botellas de agua...Aurum? https://t.co/vRPnULSjps
6,Hasta donde han llegado estos miserables! https://t.co/H6zOqZKWWB
7,#ENCUESTA ¿Quien cree usted que a fuerza de constancia y mérito propio se hace acreedor del -pareciera- codiciado t… https://t.co/zObrkz09Y2
8,Es un escándalo! https://t.co/Pv9Gjm5XIt
9,¿Y? 🤔🤔🤔 https://t.co/OOdCNmy9qM
10,Que carajos! WAF! El Tome? https://t.co/4QrDNsjL5u
11,Según “colaboradores eficaces” apretados y adoctrinados en que y cómo responder. Hasta el keke! https://t.co/Xg9KgR2zMl
12,"Muy cierto, si! https://t.co/9YDLzoEdX8"
13,Mier...! Eres un personaje de peso! 🤣🤣🤣🤣🤣 https://t.co/9izPdudsn5
14,"Cuya opinión o sugerencia, si es que favoreces la abogada de KEIKO, nadie hará caso. https://t.co/6njoCBR4Fz"
15,🤔??? https://t.co/d0vTfaOA8m
16,Esteee...sabias que ODEBRECHT sigue construyendo en otros países y que los proyectos en Peru son los menos? https://t.co/yuA8yclta9
17,Wrong! Eso es un adelanto a ser pagado en tres años. https://t.co/QU4rDQ8czC
18,No se si eres ingenua o te haces. https://t.co/kQh28x5keW
19,Exactamente https://t.co/NGpYpzTBU4
20,Ja! Eso es chantaje! https://t.co/ypTeNGExlP
21,Genial! Que otra constructora culmine las obras. O acaso es la única en el mundo? https://t.co/aqFHn0iP01
22,Lamentable y vergonzoso! https://t.co/yCUjJSauoN
23,"Bien, pero que muy bien! Esos miserables no pueden cometer semejante latrocinio y andar sueltos. Esos son los choro… https://t.co/duapAjogDy"
24,"Naaa! Siempre está el seguro subsidiado por el estado, una suerte de SIS. https://t.co/GO9c9MMTqm"
25,Increíble!! BARATA confesó haberle dado 3 millones de dólares a VILLARAN pero sigue libre. 🤔🤔🤔
26,A la altura del que este chato apoyo alguna vez: OLLANTA https://t.co/CvUPVykakY
27,"Con amenazas? O sea, si no dices lo que te ordenamos contra fulano de tal, te jodes? En serio? https://t.co/SYm3aAarzP"
28,Al amigo @socioperiodismo le parece justo y hasta ventajoso para Peru https://t.co/cmIltUSnWF
29,La mochila contenía botellas con agua bendita pues. https://t.co/GlTGA5WvZM
30,...eso comprueba que algunos Ministerios están demás! https://t.co/6N0zI45tpb
31,"Es como si te incluyeran junto con el bufete de abogados UGAZ y Forno, solo por haber asesorado a ODEBRECHT. https://t.co/bZ0ENvK6ll"
32,El Presidente del Poder Judicial ya extendió su apoyo al #FiscalChavarry. https://t.co/G2866GpkQw
33,"Esa es una táctica que usaron Aprodeh, IDL y CDDHH con los militares. Ellos te decían que declarar y contra quien a… https://t.co/qbSTylREhf"
34,Mier...!! Se jodio la cosa!! https://t.co/IyaxP1uQcv
35,"Veamos. La constructora GyM -de tu patrón JoseGraña- y ODEBRECHT también usaban los mismos abogados, no? https://t.co/5PPNA4abup"
36,Yo no alcanzo a entender a @socioperiodismo. ¿Que pretende? ¿Que busca con su cerrada defensa de Odebrecht? ¿Que el… https://t.co/38F7uUwXmL
37,"Quizá no hay una #derecha popular cabalmente representada en estos momentos tan difíciles, pero créanme que estamos… https://t.co/nDK0V8BxKU"
38,"@Esquerra_ERC @najat_driouech “VOX no es la NUEVA DERECHA POPULAR, es la misma derecha franquista de siempre”, denu… https://t.co/qeQLEUVdJ5"
39,Todo este infame estado de cosas en el pais no estaría sucediendo si el espectro político local contará con una… https://t.co/wv0JsfmeZY
40,Muy cierto! https://t.co/o0BZs5Yr8f
41,Ese si es el ejemplo comprobable de una institución tomada por una organizacion delictiva con RUBIO a la cabeza. Ya… https://t.co/uLGziKLugf
42,YES!! That’s the one! https://t.co/s2o7aAMVBm
43,No es mala idea! 🤔🤔🤔 https://t.co/v1a3AIlYz2
44,...y la mejor manera de evitar los astronómicos cobros del dentista es evitar usar los dientes y muelas. Genio!🤣🤣🤣 https://t.co/yg1ryZxVsb
