,Tweets
0,"RT @IrisMata12: Hace algunos años, el Cardenal le cantó las verdades a Marcial Rubio, le exigía que se cumpla el reglamento por esto lo sac…"
1,"RT @FernanAltuve: @diariocorreo Toledo prófugo, nadine y Villaran impunes, PPK y consorciadas intocables, Pucp agiotista, fiscalía con filt…"
2,"RT @Politico_pe: O sea, un subordinado sí puede pedir la renuncia de su jefe en cámaras, sí puede pedir que un organismo extranjero interve…"
3,"RT @exorcizo_te: ""Progress"" https://t.co/4G60IU91YM"
4,RT @AlcortaLourdes: Considero importante q Presidente Com RREE Congreso invite a Canciller Popolizio para q informe sobre controvertido Pac…
5,RT @PadreLGaspar: “Exigimos investigar a fondo las responsabilidades legales q se deriven de estas políticas institucionales q han afectado…
6,@elhigadodmarita Que difícil !!! Son demasiados !!!
7,"RT @limadeayer: Los invito a ver cómo es el Periodismo en el Perú 🇵🇪 si hay que cambiar a congresistas, fiscales, jueces, presidente hay qu…"
8,"RT @gonzalesposadal: Ortega es responsable de 515 asesinatos, 1,600 heridos, 674 presos políticos y q 40 mil nicaragüenses huyan a Costa Ri…"
9,"RT @aaronsalomong: #AHORA | Edwin Oviedo denuncia que las fiscales Sandra Castro y Rocío Sánchez lo presionan para delatar a jueces, congre…"
10,"RT @AgustinMarraTw: Morgan Freeman, el cual fue acusado de acosar a 8 mujeres, se determinó que todo fue falso, testimonios, testigos, prue…"
11,De los creadores de la “Aplicación móvil contra la Anemia” y el “Dinosaurio de la Sangrecita” ahora viene “Entierra… https://t.co/FIBL021VXP
12,"RT @laconchacaviar: #Últimominuto | Alcalde saliente de Chiclayo, David Cornejo Chinguel se convierte en colaborador eficaz y delata a Clem…"
13,RT @MilleDescubren: Millennials arruinando todo desde tiempos inmemoriales. https://t.co/IxKOIXOAEw
14,Ojalá la prensa nacional le brindara a Miss Perú la misma cobertura que le da a representante de España
15,"RT @AlanGarciaPeru: Asistiré, como agraviado, a la nueva citación de la fiscalía por el caso de la interceptación. Ésta, y el ""reglaje"" son…"
16,"RT @Manifiesto_pe: #LoÚltimo | Edwin Oviedo denuncia que las fiscales Sandra Castro y Rocío Sánchez lo presionan para delatar a jueces, con…"
