,Tweets
0,"RT @GustavoOrozcoH: -Despiadado arribista
-Pobre diablo con ganas de sentirse “alguien”

Muy exacta descripción de un desgraciado con poder…"
1,@habanero58 @clavicordio 😞😞😞
2,@clavicordio 😞😞😞
3,@elvisocc Que difícil elección !!! EMPATE
4,"RT @Santiag99504173: @MilagrosLeivaG Dos año y medio ? 
Se va quedar en el poder mucho mas ! No viste a Evo ?"
5,No abrir Es virus 🦠... ahora si eres Troll ábrelo con confianza
6,@AsesoI Un rollo...lo abrinpensando que era una respuesta a una consulta que hice ... mejor cambien SU CLAVE
7,@mLw1o Así es
8,"https://t.co/5BfVzx3sPr
visit this in 10 seconds  to receive good news :)
  Ariana"
9,@Gatitadelsur @PerspicazU @FiscaliaPeru @PedroChavarryV @Peru21 Tremendo rabo de paja tiene la Chichi con Alfredo T… https://t.co/sGlJxX5Tlz
10,@Gatitadelsur @PerspicazU @FiscaliaPeru @PedroChavarryV A los niveles que ha llegado la Chichi convirtiendo a Perú 21 en un pasquin basura
11,AMIGOS NO ABRÍR NINGÚN  ARCHIVO MÍO !!!!
12,@Gatitadelsur @leo_valra @KeikoFujimori @IDL_R #KeikoLibertad  #KeikoLibertad #KeikoLibertad  #KeikoLibertad #KeikoLibertad  #KeikoLibertad
13,@leo_valra @KeikoFujimori @IDL_R #KeikoLibertad  #KeikoLibertad #KeikoLibertad  #KeikoLibertad #KeikoLibertad  #KeikoLibertad
14,"@MartnBlancoT @contracaidas Un enfermo mental. Héroe de pulpines, social cojudos, caviares, mafiosos, rojos, mermel… https://t.co/Ulq08JXYva"
15,RT @hitlodea: ¿Las que no fuimos abusadas seguimos siendo mujeres o ya nos echaron del género?
16,@leo_valra @IDL_R @Poder_Judicial_ Tal cual ... que no extrañe que también Montesinos esté a sueldo
17,martin vizcarra: Perú Rechaza el Pacto Global de Migración ONU - ¡Firma la petición! https://t.co/lRpkljkWjc vía @ChangeorgLatino
18,@rlazarteca @MecheAF El fiscal guerrillero y su peor es nada C Carhuancho se zurran en todo La ley les llega al cue… https://t.co/RYyy96KLmR
19,"@AguirreBeto1997 @MecheAF Los 2 y ya le lanzaron a sus esbirros, hienas, gallinazos, sicarios y a todos los carroñe… https://t.co/8cjg4AVL8t"
20,@GPapadapolis @Wolfdruida @MecheAF 🤔 No estaría tan segura La prensa NO le es leal a NADIE solo a quienes le pagan… https://t.co/AjmdS51ZL6
