,Tweets
0,RT @MilagrosLeivaG: En serio cree que a un periodista le divierte abrir heridas? Esas mujeres agredidas van a un set porque nadie las escuc…
1,¿Ahhh? https://t.co/9spYQL3M7l
2,"La señora .@KeikoFujimori tiene que jugar en el tablero de los comunistas, no hay hipocreasía ni sinverguencería, m… https://t.co/X3NpbDUDpH"
3,RT @ABC: More schools are starting classes later to let students sleep. https://t.co/YOvKMneNkr https://t.co/Bh1zYdkhIU
4,¿Y qué está haciendo el actual gobierno para protegerlas? ?Nada! https://t.co/C98Yb5FlVf
5,RT @peru21noticias: Recepcionista impidió intento de violación de una joven en hostal de Trujillo [VIDEO] https://t.co/3ywAZxRWXl https://t…
6,"RT @NatGeo: A series of recent sting operations has led to dozens of arrests, thousands of reptiles seized https://t.co/eF6st1mrYt"
7,"Solo para recordar que la Constitución del ""dictador"" fue firmada por Henry Pease. ¿Cómo es eso de ser dictador y h… https://t.co/EeR72hUq8r"
8,RT @PopularPups: my new favorite video 😂😂 https://t.co/sl1tDLvi4B
9,"Tres años de ""preventiva"" para investigar si es culpable de la ocurrencia del Fiscal JDP. Perú que le llaman. https://t.co/G2b4k9FItV"
10,@sicariuspolitik https://t.co/Ffu8FiySxQ
11,"RT @MilagrosLeivaG: Pero en el Perú pueden seguir trabajando como si nunca hubieran aceitado. Un asco. Hubieran pagado su reparación, conta…"
12,"RT @pedrojosecama: #KeikoFujimori no pudo enviar en 10 minutos un mensaje mejor desde su injusta prisión, donde reafirmó su condición d ino…"
13,"RT @MarioS759: BRASIL DESINFLA BLUFF DE APOYO A VELA
Respaldo del equipo Lava Jato de Brasil al fiscal Vela no es institucional, señala Fis…"
14,RT @MadeleineOster3: Último periódico independiente y critico del gobierno de Maduro. Ahora los venezolanos solo leerán medios controlados…
15,"RT @Yankele_Katz: El príncipe saudí Kahtani,51, con su esposa Nawaf de 6. Y Arabia preside la comisión de derechos humanos en la ONU😂 https…"
16,"RT @TatiAleman: #LoÚltimo | Edwin Oviedo denuncia presiones de la Fiscalía para acogerse a la colaboración eficaz. 
Asegura que fiscal Sand…"
17,RT @KarinaNovoaL: No veo un escándalo por las entradas regaladas por Oviedo a Pablo Sánchez y otros (fuente Caretas) tampoco fue así cuando…
18,"RT @FernanAltuve: @diariocorreo Toledo prófugo, nadine y Villaran impunes, PPK y consorciadas intocables, Pucp agiotista, fiscalía con filt…"
19,Ka nuez debe ser grandota porque Giuffra anda muy contento y sin que nadie lo moleste. https://t.co/OqcFI07bm1
20,"RT @Manifiesto_pe: A diferencia de lo ocurrido en el Perú, Colombia inhabilita por 10 años a Odebrecht y le impone multa de US$ 251 millone…"
21,Odebrecht!!! https://t.co/2BL1ZGdRMk
22,"RT @jimmybussol: Se arañaron hasta sacarse sangre, por las canastas navideñas del Congreso, pero se volvieron mudos los periodistas arrastr…"
23,😳 https://t.co/dOU59jimqd
24,"RT @C_Irreverencias: Mi columna de hoy, es viable el Peru o estamos en camino de regreso a los 80s? 
https://t.co/Ny2MdFa7BT"
25,"RT @kampueromeza: Y los de Odebrecht dicen q en esa obra no pagaron coimas y que todo fue lícito. Habrá q creerles? Considero q NO, en ésta…"
26,RT @Angel_DelgadoS: ¿El presidente Vizcarra desarrolla una estrategia plebiscitaria que pretende controlar instituciones? #Encuentro #Estad…
27,"Giuffra diciéndole a Mamani, ""ya sabes cómo es la nuez"" https://t.co/vMDQhXQgM9"
28,😍😍😍😍¿Vao? https://t.co/RRnhnQwUUR
29,"¿En el modo que tenías ud. cuando trabajó para el ingeniero ..@albertofujimori hasta el 2000, será? https://t.co/BFn9nPn24X"
30,La renuncia de PPK y luego verlo feliz en tu matri...😂😂😂 https://t.co/wEa9Sih0PG
31,"RT @PKSConsultores: Nueva regla no escrita, si eres abogado y defiendes a los adversarios del gobierno, serás perseguido también."
32,"RT @PBODigital: #KeikoFujimori indica que testigo protegido ha dicho diversas mentiras sobre su caso, pero que sus declaraciones no han sid…"
33,"""decir que estamos ante un nuevo amanecer con Vizcarra, que somos espectadores del nacimiento de un Perú distinto,… https://t.co/FtMLi4ttWq"
34,"-¿Carhuancho Charla-Coctéles? 
-¡Tres años de prisión preventiva mientras investigamos! 
Previamente tres días de l… https://t.co/MGJXDMl438"
35,"RT @MarthaChavezC: César, considero que si bien la Constitución prevé el derecho a ser asistido por abogado al comparecer ante cualquier au…"
36,"RT @frmdg2001: @SolCn Una cosa es ser informado y otra presionado, y aquí la denuncia es clara;o ahora su Señoría, la reina de la verdad ab…"
37,RT @aaronsalomong: Es realmente increíble que el gobierno del presidente Martín Vizcarra solo haya ejecutado 20% del presupuesto para la re…
38,"""Los partidos políticos tienen el deber de frenar las apetencias de un advenedizo que no tiene ningún “contundente”… https://t.co/WeO09bsedi"
39,"@ClaraEOspinaG Ajá, sí como no...https://t.co/veGZb4ISPC"
40,"Familia Solarte, dueña de Cass Constructores. Padre hija estuvieron presos, acusados por 2 delitos. Si no sabían na… https://t.co/OwTI7mOPRR"
41,RT @Lasc2010: @meiermq #Caretas Mi entrevista en Caretas. Pro senderistas dicen que coordinan con Antauro Humala para llegar a nueva Consti…
42,RT @ferblog: El problema de @JoseDomingoPer y #Carhuancho es que ambos resuelven aplicando el #CodigoDeHamurabi a la políticos y partidos d…
43,"RT @JBCPERU: Téngalo por seguro, esta noticia no saldrá en ningún lado y nadie le dará “bola” a este testigo. ¿Atacar a Papá Noel #Vizcarra…"
44,RT @MarthaChavezC: El mismo mecanismo utilizado por procuradores y políticos toledistas a inicios del 2001 y hoy el fiscal figuretti! --&gt;…
45,La verdad solo daña a quien quería imponer su patraña https://t.co/O6BHWPUGGd
46,¿Y cómo piensan implementarla? https://t.co/sC0LT2DsXn
47,"De la creadora de ""Keiko es investigada por la DEA"", ahora llega ""Las noticias falsas son mías, solo mías"", present… https://t.co/Yb9PtvUeq3"
48,RT @FiscaliaPeru: #FiscalíaInforma | Mediante comunicación oficial el Ministério Público Federal – Procuradoria-Geral da República de #Bras…
49,RT @malditaternura: Venganza consumada. Esperaron que baje la marea para despedir al mozo que osó denunciar los robos de sus propinas en La…
50,Oh tu sabes quiénes son los jueces que sirven a Sendero? https://t.co/I1fIXtyHzO
51,"Veremos, pues, cuando salgan los nombres de los ""senderistos"" en el PJ. Allí me vuelves a escribir ¿ya? https://t.co/Jwh3JGIrkd"
52,RT @mauriciomacri: Hace un momento hablamos con Jair Bolsonaro por teléfono. Acordamos encontrarnos el 16 de enero en Brasilia para empezar…
53,"RT @PedroChavarryV: Ante importante información recibida de cobros irregulares a alumnos de la @pucp, que incluso fueron admitidos por su e…"
54,#PersecuciónPolítica https://t.co/im2gsA6X6H
55,"RT @Politicida74: -Feministas que defienden al Islam
-Castristas que defienden la democracia
-Chavistas que defienden DDHH en Latinoamérica…"
56,"RT @MarthaChavezC: Y brotarán como hongos! Salió en Chiclayo un émulo de fiscal Pérez, que por el solo dicho de un investigado, termina imp…"
57,@imejiapalomimo @Plinio2009 ¿Qué tiene que ver su respuesta con la afirmación de @Plinio2009 ?
58,RT @FullSail: Congrats to our newest graduates! You did it! 🎓🎉 #FullSailGrad #FullSail https://t.co/4H0Za5S5yb
59,"RT @marianoobarrio: “Soy un varón criado en una sociedad patriarcal"", dijo el senador provincial Jorge Romero, de La Campora, para explicar…"
60,Por chistosita...! https://t.co/q4j7zgdlkA
61,"RT @reyreysincorona: Dos preguntas Alan:
1) La ONG Transparencia, que presides, se va pronunciar sobre los hechos delictivos descubiertos e…"
