,Tweets
0,@LuisJoseGiove @MezoneRives @SolCn X billete
1,"@diariocorreo @fannyaparicio1 Y q quería, después de la espantosa acusación, ni un postulante a derecho podría sost… https://t.co/Y4VVoTpgYt"
2,"RT @jrivasb15: A propósito ¿que es de Camayo, ese que le compraba ron Zacapa y chupaba en su casa, con Vizcarra?"
3,RT @MarthaChavezC: @JorgeDCG @Minsa_Peru @pessahsilvia @congresoperu Qué injusto este tuit Cong. Del Castillo. Su proyecto es uno de 10 pro…
4,"RT @ElianaSotoVera: Este es el vídeo de resguardo a las últimas botellas de agua DEL MUNDO.
Ay que ser bien tarada, para esgrimir tremenda…"
5,"RT @vcabalg: ¿Sabotear? 
El Fiscal de la Nación del Perú NO HA ESCRITO ese comunicado, lo ha escrito la Fiscalía de Brasil preocupada por e…"
6,RT @MolinariJulia: Rafael Vela casi llorando se victimiza en audiencia de @KeikoFujimori  contra su superior el FN @PedroChavarryV realment…
7,"@elhigadodmarita @MezoneRives X idiotas,"
8,"@eldiarionegro Tontin, lee, pero no l a República, ni comercio ni veas la tv de mermeprensa, para una buena info, e… https://t.co/grrVE8CbDc"
9,"RT @HReinozo: Buena Dr. Villa Stein.
#KeikoPresaPolitica https://t.co/hIhy2boVce"
10,@Pulmon_de_Susan Billete manda
11,"@vozdelatierra @congresoperu Padrecito, las votaciónes de su grupete son peores q el fango, o no"
12,"RT @ffelipa63: Mavila:""ud cree q Rafael Rey y José Chlimper deben irse del bcrp""?
Abusada:""Mavila, ni ud ni yo debemos discutir la remoción…"
13,"RT @jimmybussol: Alo, alo @MartinVizcarraC ahora que harás, o es que aquí; no hay lucha contra la corrupción??? https://t.co/SrMd085Q2x"
14,"@socioperiodismo Y q todos q protejen a odebrech, dice  algo?"
15,@vozdelatierra @Defensoria_Peru @FiscaliaPeru Padrecito un par de aves para calmarse
16,@ronaldgamarra La ley del chantaje o no boga
17,@socioperiodismo @elvisocc Los premios? o las comisiones?
18,"@guerra_mau @mercedesaraozPE Famoso con mechita? No peeeeeeee, creo q x el contrario"
19,RT @JVillaStein: @JoseDomingoPe @GiullianaLoza Sólo un despiadado arribista puede pretender encumbrarse a expensas del perseguido;del desdi…
20,"RT @vince_bryce: MENTIRA AL DESCUBIERTO DE DOMINGO PEREZ Y VELA , NO EXISTE UN PACTO ENTRE FISCALIA BRASILERA Y FISCALIA PERUANA , SOLO ES…"
21,"@PepeChlimper Totalmente d acuerdo, pero, x qué tanta pasividad d FP? No somos un ""partido politico""? un poco más y… https://t.co/Np8ffByBfd"
22,"RT @laconchacaviar: Les presento a @MavilaHuertasC del 8, quien diría que el #ChavoDelOcho se ""reencarnaria"" en una mujer. https://t.co/R4z…"
23,RT @Rossy6057gmail1: #MafiaIDLGobiernaEnPerú https://t.co/Dobpexgu8M
24,"Wagner q opinas d los ladrones d la PUCP?, o no quieres opinar x q mamarracho Vizcarra ya anunció q convocará junta… https://t.co/3wh8yBY15T"
25,RT @eudmed: Mañana mi columna en el @diariocorreo explica las dos grandes razones por las que es perjudicial el trato con la corporación ga…
26,"RT @jjoya10: Lucho Cáceres? No fue ese patita que fue captado por las cámaras de Magaly alcoholizado y drogado??? 
Ese que en esa época par…"
27,"RT @MarthaChavezC: Hoy hacen 13 años que el Congreso me repuso en la función congresal luego que por sentencia de última instancia, unánime…"
28,"RT @Santiag99504173: Es por esto que el fiscal se ensaña con Keiko Fujimori, y anularon el indulto a Alberto Fujimori??  Será una VENGANZA…"
29,@Angelpaezs Y chicho?
30,"RT @LainezLozada22: @PepeChlimper FORTALEZA KEIKO!!!!!! Orgullosa de tu TEMPLE para encarar la maldita persecución de tus enemigos, su perv…"
31,"RT @KikeBravoPrado: CAL no encuentra delitos de @PedroChavarryV  en las acusaciones de sus opositores políticos. EX Decanos verán el tema,…"
