,Tweets
0,"RT @amerinoreyna: Sala Penal: Acusaciones sin sustento técnico, parece q se le volteó la torta a JDP y cía. Mucho Netflix."
1,@KarlaSchaefer Muchas felicidades
2,@_gonzalez_jordi 🤗😘😘😘😘
3,@JMNH74 Jajajaja te pasas...
4,@_gonzalez_jordi 😒😒😒
5,@_gonzalez_jordi 😒😒😒😒
6,@Rommel_2019 😂🤣🤗
7,#NuevaFotoDePerfil Siempre FELIZ!! 😘😘🤗 https://t.co/6Etg3lwQha
8,@Vittorio224 😘😘😘
9,"@Yoe_Gal_ Todo está podrido, desde el presidente..."
10,RT @PepeChlimper: Fuerza Keiko! No estás sola! Y cada vez son más quienes desde diferentes tiendas reconocen el abuso en tu contra y en con…
11,#NuevaFotoDePerfil 👸😘 https://t.co/6XIR8tvxIP
12,"RT @Jackmvsanchez: En adopción, llega con comida para un mes y esterilizado. Porfavor si pueden RT. Gracias @_gonzalez_jordi @Kelitagrand2…"
13,Así es!!! https://t.co/lgKUabCCoY
14,RT @mili_Brujita: Solo para inteligentes!!! 😘😘😘😍😍😍😍😍 https://t.co/sQp0uw6P9d
15,Entiendan imbeciles!!! https://t.co/fjk0hd0vv2
16,RT @MarthaChavezC: Qué divertido ver como pongo en frenética actividad a la incubadora de trolles que resultan mandados a la mi...sma bande…
17,"La huachaferia en todo su esplendor...
Q viejo para más ridículo!! https://t.co/Fd8m9dF9iW"
18,"RT @SignoriTita: Al parecer REGRESA EL FUJIMORISMO DURO al CONGRESO, gracias a Vizcarra con su referéndum viciado. Lo q me alegra es que po…"
19,X fin te largarás a tu casa lastre del congreso... https://t.co/3EhZrWI5ak
20,Ridículos!!! https://t.co/YvPD3QmsGq
21,Pobre bruta!! Lo único bueno de este diske Referéndum es q no veré la cara de estas oportunista... https://t.co/T9iPDlPIDa
22,"RT @mlukacs: ¿Que ""respaldo popular"" celebra Vizcarra si 1. la inmensa mayoria no sabe por que y para que voto? 2. los resultados de encues…"
23,"@jorgelu86350621 @RichardMontoyaR Pobre imbecil no te das cuenta, q quien pierde es el Perú"
24,"Al parecer el referéndum de la trampa se impuso...
 El Perú rumbo a un gobierno dictador y nos iremos ala m.... Ahora pues!"
25,@nidia19861 Así es Palomita 😘
26,@Mancoinca2 😊😘
27,@solisb_angel 🤗🤗😊😘
28,@IuliusAlfonsus @Sollalli Saludos 😊
29,@1Ricper 😘😘😘🤗
30,Gracias bb 😍😘😘😘 https://t.co/Qlvhp8qzZ9
