,Tweets
0,RT @jorgevillenal: De los creadores de la “Aplicación móvil contra la Anemia” y el “Dinosaurio de la Sangrecita” ahora viene “Entierra el C…
1,"RT @oscarbuezodemd: #Encuesta 
¿Cuál cree usted que fue el mejor programa político dominical de la Televisión peruana en 2018?"
2,@MilagrosLeivaG 🤢🤢🤢🤢
3,@dsalaverryv Será real esas visitas Vagoneta 🤔
4,RT @JMNH74: Cuando estás jodido se ven a los verdaderos amigos! Esta visita a #Oviedo habla muy bien de #RicardoGareca https://t.co/iRpJ71j…
5,"RT @PabloUrri: Hay un incendio frente a la SUNAT(antiguo hotel Crillón).
Felizmente no fue cerca a la 2da Sala de Apelaciones, xq sino le e…"
6,"RT @PabloUrri: Otra violación del debido proceso de Keiko.
2da Sala de apelaciones no determinará su resolución en 48h como establece la le…"
7,"RT @GiullianaLoza: Privar de la libertad a una persona por suponer ""una futura acción de fuga"", utilizando ejemplos para compararla indebid…"
8,"RT @GiullianaLoza: La prisión preventiva requiere de una motivación cualificada. No debe sustentarse en la ""presunción"" del peligro procesa…"
9,RT @GiullianaLoza: Tal desnaturalización se ha efectuado con la finalidad de no cumplir con el procedimiento legalmente establecido de corr…
10,"RT @GiullianaLoza: Se ha desnaturalizado la figura del #TestigoProtegido, asignándole tal condición a quien, según la fiscalía, sería partí…"
11,RT @GiullianaLoza: En base a #TestigosProtegidos que mienten se pretende seguir privando de su libertad a #KeikoFujimori. Sin corroboración…
12,"RT @GiullianaLoza: La fiscalía se sustenta en meras ""inferencias"". Ningún elemento de convicción de cargo. ¿Así pretende que #KeikoFujimori…"
13,"RT @laconchacaviar: ¿Quien es la periodista más llorona, fingida y dramática del 2018?

CC: @MilagrosLeivaG"
14,"RT @BenditaVerdad: Muchas veces pedí por su padre, ahora pido por la injusticia que se le hace donde EL ESTADO, LA JUSTICIA Y LA PRENSA son…"
15,RT @Gatitadelsur: @RichardMontoyaR @KeikoFujimori #KeikoLibertad #KeikoLibertad  #JusticiaParaKeiko
16,@MilagrosLeivaG #VizcarraDictador
17,RT @ugluis: Lo mismo debemos hacer aquí. https://t.co/IAQi4nlqy7
18,RT @JVillaStein: @JoseDomingoPe @GiullianaLoza Sólo un despiadado arribista puede pretender encumbrarse a expensas del perseguido;del desdi…
19,"RT @RichardMontoyaR: A las 3:27 pm , en los exteriores de la Sala Penal Nacional Fujimoristas apoyando a Keiko Fujimori @KeikoFujimori  y s…"
20,@elvisocc @demuestrenlopue Reñida #MERMELERO2018 🤔
21,RT @elvisocc: #ENCUESTA ¿Quien cree usted que a fuerza de constancia y mérito propio se hace acreedor del -pareciera- codiciado título del…
22,"RT @PabloUrri: Un proceso judicial en Estado de derecho NO extorsiona a testigos,NO amedrenta a militantes,NI apresa antes de acusar formal…"
23,"RT @gildatrkovic: @exitosape @frank_1483 KEIKO es víctima del sistema perverso q implantó #MafiaIDLGobiernaEnPerú, mal nacido Gorritti mint…"
24,"RT @lordrfadgrmm: El lloriqueo, en vivo y directo, de fiscal Vela (presión, acusaciones por mala praxis, etc.) ante la audiencia. ¿Quien ha…"
25,"RT @PabloUrri: Peruano si no protestas ante la persecución política a opositores HOY q acosan no a coimeros,  sino a líderes opositores, se…"
26,"RT @JovenesConFP: Investigación, si. Venganza, no.

¡Justicia y #KeikoLibertad! https://t.co/aMIrLFfWQG"
27,"RT @gildatrkovic: @lordrfadgrmm #KeikoPresaPolitica 
#MafiaIDLGobiernaEnPeru 
#OdebrechetGanóReferendum 
#VizcarraDictador 
#KeikoPresaPoli…"
28,"RT @amerinoreyna: Sala Penal: Acusaciones sin sustento técnico, parece q se le volteó la torta a JDP y cía. Mucho Netflix."
29,RT @exitosape: #Exitosa te informa: Seguidores de @KeikoFujimori le expresan su respaldo durante audiencia de apelación a prisión preventiv…
30,@PerritoVR Madre una sola 🙏hasta en el Cielo
31,RT @sanesp1959: En el Perú se requiere no una reforma sino una revolución en el Poder Judicial y el Ministerio Publico. No es posible q un…
32,"RT @palacastrillon: Los 3 cruces de la av. Tacna con Colmena, esta llena de simpatizantes Fujimoristas. Todos gritando a una sola voz #Keik…"
33,"RT @MIKI_Torres_: @GiullianaLoza al Fiscal Vera: me queda claro que mientras el fiscal ve series en Netflix, mientras nosotros estudiamos c…"
34,"RT @leo_valra: Rafael Vela esta siendo, en este momento, un Domingo Perez corregido y aumentado.
Las mismas barbaridades, supuestos en test…"
35,"RT @laconchacaviar: Escucho a #KeikoFujimori y puedo decir que está más fortalecida.

🔴 #Vizcarra, tus intenciones de callar al #Fujimorism…"
36,"RT @laconchacaviar: #AudienciaKeikoFujimori | Fiscal Vela sostiene que el fiscal #JoséDomingoPérez es hostigado, perseguido y desprestigiad…"
37,"RT @laconchacaviar: #Últimominuto | juez César SAHUANAY a Rafael Vela sobre los memes: 

Señor Fiscal Vela, los memes o toda información qu…"
38,"RT @Wolfdruida: Hoy la justicia peruana tiene una prueba de fuego, elegir los estándares contemporáneos donde prima la presunción de inocen…"
39,RT @lordrfadgrmm: Fiscal Vela pretende decir que pidiendo PRUEBAS por parte de la defensa es propio de organizaciones criminales. El NO POD…
40,"RT @suriel: ¿Esta imagen es real o es fake pic, @MineduPeru?  ""¡Ojo! Señores padres d familia, soy un papá q tengo 1 niña en edad escolar y…"
41,RT @Carlosmatarami3: @KeikoFujimori #KeikoLibertad #debidoproceso #KeikoNoEstaSola
42,"RT @PabloUrri: Peruano deja de ser cándido!
Q no te engañen haciendote creer q luchar contra la corrupción es extorsionar a la oposición,en…"
43,RT @mlukacs: Solo deseo manifestar que eres un pobre diablo envalentonado por la proteccion que te brindan IDL y sus patrones en el extranj…
44,"RT @PabloUrri: Si Odebrecht y sus mafiosos corrompieron a presidentes,alcalds q GOBERNARON y manejaron presupuestos;
Si esos serviles puest…"
45,"RT @JovenesConFP: Keiko no esta sola, aquí estamos con ella. #KeikoLibertad https://t.co/q16ZbZSbNU"
46,"RT @MIKI_Torres_: Escuchando a @GiullianaLoza cómo desbarata uno a uno los argumentos de la fiscalía. Ahora entiendo, porqué el fiscal J Do…"
