,Tweets
0,"RT @leo_valra: @romancendoya El neo comunismo se a instaurado, sin opisitores manejar todos lo poderes del estado les asegura no solo impun…"
1,"Espero que se hayan convencido de la falsedad y el doble rasero de la MLeyva, sobre todo aquellos que decían que ha… https://t.co/2msgrOgpCV"
2,Fiscal Domingo Pérez = Vergüenza nacional  !
3,@TuKuyRiKuy4 Tú lo has dicho : su interés por la lucha contra la corrupción es puro cuento...
4,@CeciliaCM23 @CarlosC99307349 Así es...
5,@aldevi80 Un corazón enorme pero cero fútbol..
6,FP debe decirle a Vizcarra que se meta su diálogo por donde no le entra el sol !
7,@E_FLEISCHMAN @ClubSCristal Exactamente
8,@elhigadodmarita @MarioArboledaO1 Propongo a Gorriti como mermelero mayor
9,"@RobertNob59 @vloayzasalazar Mucho ruido y pocas nueces.. Esa señora ""periodista"" no merece nuestra atención. Una mermelada de quinta más..."
10,"Ya acabaron la pantomima y el Circo.Ahora queremos soluciones,  justicia de verdad y Cero Demagogia. Se supone que… https://t.co/YRNOUa23ss"
11,@mlukacs @ormusverum Así se habla Miklos 👏👏👏
12,"Lo dijo Mulder y lo suscribo : referéndum fraudulento  y viciado de nulidad, que solo busca legitimar a un pésimo líder que nadie eligió..."
13,"Se volvió a expresar el "" Electarado "". Los pueblos tienen los gobernantes y las leyes que se merecen. Lo que venga… https://t.co/Cfh84fiHTL"
14,RT @alvarosarco: Los asquerosos del Grupo RPP en plena operación de endiosamiento de José Domingo Pérez. Exageran su importancia y su popul…
15,@jUdiTh_oLI @JoseNoriega1969 Estoy de acuerdo
16,"RT @alvarosarco: Para la izquierda que nos arruinó en los setentas y nos ensangrentó en los ochenta, este referéndum es el primer paso para…"
17,"RT @agildemeisterrh: Según simulacro confidencial de Ipsos, el gobierno alcanzaría sus objetivos en el referéndum de mañana. No hay nada de…"
18,"RT @Renzoiban: Hay gente muy inteligente, perspicaz, buena y demócrata que se vuelve bruta, cándida, mala y facha con tal de no concederle…"
19,"RT @Gatitadelsur: @cenvall #4vecesNo #4vecesNo #4vecesNo #4vecesNo 
Referéndum VICIADO ! 
REFERÉNDUM CORRUPTO!"
20,"RT @JBCPERU: Está claro que el ministro del Interior miente, y lo hace por una comprensible razón: si reconociese la verdad tendría que ren…"
21,@sicariuspolitik Exactamente. El pusilánime Paniagua fue endiosado por los caviares y acciopopulistas debido a que… https://t.co/jnIZBnZb1Q
22,@mal_menor @rcruza Hace MUCHO honor a su apellido...
23,"RT @LSamameG: NO TENEMOS POR QUE SOPORTAR A LOS ROJETES, PROGRES NI CAVIARES: AL MENOR INSULTO BLOQUEARLOS.
FUERA MIE..A!!!
@KarlaCalle @ve…"
24,RT @MLeonBarndiaran: @Politica_LR Como va a “denunciar” una elección a todas vistas dentro del cauce normal.  Otra elaboración tipo “fake n…
25,Si nadie tiene corona Vizcarra debe ser vacado por autoría mediata. El argumento que no sabía nada es un insulto a… https://t.co/p3yZeYwvR5
26,@cherrerafe @Contened Los monos resultan ser aquellos que los eligieron
27,"RT @alvarosarco: Como Francesco Petrozzi, Daniel Salaverry es otro pobre diablo que se acerca al gobierno para alcanzar un ministerio. No t…"
28,#4VecesNO !
29,#VizcarraChuponeador  !
30,Si nadie tiene corona Vizcarra debe ser vacado por autoría mediata. El argumento que no sabía nada es un insulto a… https://t.co/OAuBrZbLVU
31,Queda demostrado que acusación contra Mamani es fabricada
32,"Argentina aprueba uso de armas a Policía, sin necesidad de mediación previa"
33,@JoseNoriega1969 @miguelsanchezs Más grande que la de  Campo de Marte...
34,@jomeraga @PedroChavarryV A ver
35,Todos sabemos quien es el fiscal de la mafia odebrechista...
36,@JBCPERU @piet_diaz Que íntegro  !!
37,La negativa de asilo a AGP no legitima en absoluto a Vizcarra y tampoco diluye la percepción de persecución polític… https://t.co/U0FMbzxGhy
38,"RT @JBCPERU: #MarthaMeir:”#CADE se ha convertido en una excusa para la juerga, el intercambio de tarjetas y el lobby. El solo hecho de que…"
39,#VizcarraSinverguenza #ReferéndumViciado
