,Tweets
0,Milagros Leiva. Cuál fue noticia más dolorosa del 2018? :
1,"@elhigadodmarita @MartinVizcarra Voten pee, q a mí no me dan bola como a Ipsos. Jajaja https://t.co/EAPZ6JbzkH"
2,"#mermelero2018 Encuesta para la mayoría d peruanos intolerantes a mermelada, adulones y chupes d Chinchero Vizcarra… https://t.co/z1wHX2Bd5B"
3,"Encuesta para la mayoría d peruanos intolerantes a mermelada, adulones y chupes d Chinchero Vizcarra. A quien quemaría este 31 de diciembre?"
4,"@elhigadodmarita @MartinVizcarra Querida tú tienes más pegada, hazte un sondeo pls. 1a.pregunta: A quién metería fu… https://t.co/3Gcw1bqHEO"
5,"@elhigadodmarita @MartinVizcarra Pucha q con doña Milagros, lo q hace con una mano lo destruye con la otra. Ese son… https://t.co/wKxvRw4I5r"
6,@saprobiont https://t.co/uSdRW84mWK
7,@PsiHarleen OK Harley solo xq eres mi chica comic favorita y eres un poco desequilibrada no t haré problema. Sólo a… https://t.co/6PKCDW78Ty
8,"@21mariluz Srta Jessica he ahí el detalle: Vela no tenía argumentos, sino para qué gritar"
9,@PsiHarleen Jajaja sólo Harley Quinn podía defender a los nakaros... Y encima la loca admite q los pobres tienen la mollera apagada
10,"@MilagrosLeivaG Chsss no ps falta Maléfica, la Bruja de Blair, La Monja y la chibola de El Aro, la q sale d la pantalla"
11,@miriamg75300199 https://t.co/TKKAVqgEej
12,"Oigan nakobtusos, pueden con sumo esfuerzo activar esa vaina q tienen entre una oreja y otra y luego tuitear?"
13,@MilagrosLeivaG Ya ps srta Milagros a esas encuestas le falta sello d recibido d ATV desde Palacio
14,"@gvillasis Sabotaje difundir LA VERDAD? Ah, claro eso d verdad y decencia los nakos las conocen tanto como los limeños a la nieve"
15,"@MilagrosLeivaG Ninguno, a menos q cambie pregunta a cual d éstos quemará el 31?"
16,"@noakeikope Si oe q vergüenza q no se deje perseguir, acosar, encarcelar y difamar. Se habrá visto tamaña desfachatez"
17,"@marcoskc Ah ya, o sea, para ti el Estado de Derecho, principios jurídicos d presunción d inocencia, debido proceso… https://t.co/8cvywU6a8B"
18,"#KeikoFujimori no pudo enviar en 10 minutos un mensaje mejor desde su injusta prisión, donde reafirmó su condición… https://t.co/mh9qAECf0Y"
19,"Fiscal Vela ha llevado función de fiscal d la República a su nivel más bajo, escabroso y fanagoso de su historia, g… https://t.co/ur4Z7w8fgN"
20,"Rafael Vela ha llevado función d fiscal d la República a su nivel más bajo, escabroso y fanagoso. Pasó d gritar are… https://t.co/SvnuMSf3AK"
21,@elhigadodmarita Sólo 3 categorías: Potecito (soboneria caleta) bebé; pote (soboneria esporádica dep x donde sopla… https://t.co/bXjPDVNL2j
22,Y si la CIDH ordena procesar a fiscalete desequilibrado d JDPerez e indemnizar a Keiko?? Ver a nako chacales convul… https://t.co/R8iniHVZYs
23,"""Y si eran botellas de agua?"" Del Castillo parecía monje budista para aguantar tamaña burrada. 40 policías para pro… https://t.co/XhoRHW5x8V"
24,#mafiaidlgobiernaenperu si tienen tiempo les ruego leer una crónica q pretende dar una idea d uno d los taitas d la… https://t.co/QJHdnD8APC
25,"#luisbedoyareyes el Tucan, por quien fui a mis primeros mítines políticos en 1985, suelta epitafio a Vizcarra: ""Sam… https://t.co/p89LuKN7Zf"
26,"La cosa paso d castaño a castaño oscuro. Ahora Alberto Fujimori y Keiko recurriendo a la CIDH, madriguera d caviarr… https://t.co/YW9QhnuaEz"
27,"@KarlaCalle Es cuestión d averiguar el IP creo y seguro se halla conexión, sino hace rato JDPerez hubiera denunciad… https://t.co/Cnf01sDUDL"
28,"Escoria naka, camorra caviar, sigue intocable preparando la destrucción física y moral d ex pdte Alberto Fujimori y… https://t.co/czVHju8dwA"
29,"@KarlaCalle Yo asumo un 30%, un tercio d la nación q no razona, odia, rompe, insulta y sobra como elemento útil par… https://t.co/lLmpsxfJV5"
30,"@ale_ajedrez Dios es justo y da como reparte a todos x igual, cócteles, Chinchero, revocatoria, Graña y Montero, Vi… https://t.co/jIgGynSybZ"
31,"@meiermq Esto ya no es la ley del embudo, es toda una Constitución..."
32,"Durante aud d apelación d Vicente Silva Checa, nakos se resignan (Dios quiera) a liberación de Keiko Fujimori este… https://t.co/5h3dtDwOQ1"
33,"@VeroLinaresC Y estimada srta Verónica, ha mejorado su trabajo enormemente, en cuanto a su imparcialidad, pero le f… https://t.co/c92vPqy0D3"
34,"@VeroLinaresC Crispación? Esto no es una mecha d cantina, colega. Es un pdte con investigaciones fiscales q busca s… https://t.co/UtVDySFBzG"
35,“El país es testigo de una manipulación del sistema penal y una criminalizacion de la defensa q no tiene registro n… https://t.co/U8Dvs9j2Rz
36,#fujimoristaqueserespeta la falange legal d la nakocamorra en división galopante xq no todos tienen cara de palo ni… https://t.co/0MMeO8Y7fv
37,"@KarlaCalle Una enésima decepción para mí d C Hildebrandt, acepta notas d sus calichines q 20 años atrás tacho d ba… https://t.co/6YQ4SbQwN8"
38,#fujimoristaqueserespeta posible liberación d Keiko Fujimori provoca a sumo sacerdote d nakosecta síntomas d ecolal… https://t.co/7aOJYvtNmx
39,Vísperas d posible liberación d Keiko Fujimori provoca a sacerdote d nakosecta presentar síntomas d ecolalia con po… https://t.co/mzPSkm7Jbe
40,"Félix Moreno con uñas tan largas como su tocayo el gato y con indicios más comprometedores q un meme, lo q cuelga G… https://t.co/6egzyJH8jW"
41,"Giuliana Loza ""Se está maniatando el DERECHO DE DEFENSA"", no soy abogado pero esto suena tan grave como excomunión… https://t.co/id6xQlL2et"
42,@malditaternura Esteeeeee
43,Sr pdte del PJ y sr Fiscal de la Nación si se va a seguir avalando persecución política de JDPerez contra Keiko Fuj… https://t.co/JuLfK1HlB5
44,"Qué marcharon contra Chavarry?? Avisen ps para no ver a Carlos Álvarez, uds dan más risa https://t.co/VSEwdJFWrb"
45,@elhigadodmarita Jasón Diaz empezó a lamer todas las medias q le pidan x ser ministro de Cultura. Ojalá fuera sólo… https://t.co/dA11ClpUra
46,"#MensajealaNación d 10 peruanos, 7 fueron a votar el 9 de diciembre un ausentismo no visto desde consulta d 1993, a… https://t.co/I4HMfnijjd"
47,@KarlaCalle https://t.co/zNIMiR30Oa
48,@KarlaCalle @CIDH @IDL_R Ok aunque CIDH es la matriz d IDL pero uno nunca sabe...
49,"#AlianzaLima no me digan nada, ptm, no me digan nada... https://t.co/ScKOkHHjdr"
50,"Damas y caballeros, éste es José Domingo Pérez, fiscalete d 4a convertido en ""super héroe"" d Marvel x nakocamorra y… https://t.co/oIxL3yJNlB"
51,El sr Zuckerberg sí que sabe cómo tener a uno tranquilo mientras vende o SUMINISTRA tu información personal a otras… https://t.co/OJuBYVPALi
52,@MolinariJulia @ACTransparencia @ProeticaPeru @MartinVizcarraC Perdieron presidencia del PJ entonces ahora quieren… https://t.co/bNabjMyiTi
53,"@eduardo_yayo @IposPeru Y tu cuando te den día libre en el Presbítero, no t olvides tu lápida siempre sal con tus documentos"
54,"@IposPeru @eduardo_yayo Toma tu pastilla y q te acuesten oye, estas molestando a los adultos"
55,"@romancendoya @MarthaChavezC Pucha maestro, lo de ""presunta"" ya estaría demás. Solo falta un meme y su secretaria s… https://t.co/zsfSLXQeKB"
56,"@IposPeru @eduardo_yayo Cuando termines el colegio especial y controles salivación, tal vez te pregunte algo"
57,@eduardo_yayo https://t.co/aXiHEwYTKj
58,@eduardo_yayo La salada es ésta naka q lo único bueno q tiene es ser hincha de Alianza https://t.co/9WFxkDcGul
59,@eduardo_yayo Basura!!! https://t.co/Qnod9ukMzU
60,@eduardo_yayo Maldito... Métete a nakotroll hace falta gente con estudios superiores
61,@victorhugazo Cuidado nakotroles intentando trabajar... A éstos no los contrato ni gratis... https://t.co/v9Ibb3XiTb
62,"#MensajeALaNación y éste sigue hablando? Ahhh, está dando su discurso de ""victoria"" por rifaréndum del 87% ante la… https://t.co/IKGx9110RZ"
63,"Presidente Vizcarra y éste sigue hablando? Ahhh, está dando su discurso de ""victoria"" por rifaréndum del 87% ante l… https://t.co/kw4ELe00wi"
64,"#alianzacristal cuenta con 6 bicampeonatos en 1a Div en 117 años. Si logran el 7°, pasaran a la historia COMO BICAM… https://t.co/tTout3BUQs"
65,aprovechando el #alianzacristal Martín Chinchero Vizcarra mandaría mensaje a la Nación (q genera tanta expectativa… https://t.co/pS6PLIC9vT
66,"#ArribaAlianza cuenta con 6 bicampeonatos en 1a Div en 117 años. Si logran el 7°, pasaran a la historia COMO BICAMP… https://t.co/QoKNqWQZfg"
67,@Pulmon_de_Susan Otro Premio IPYS como El Adulon y Pseudo periodista del Año.
68,"En conclusión, los pulpines recién van a conocer una verdadera dictadura con policía política, chuponeo, cárcel x m… https://t.co/Cl8T95mUhP"
69,Provecho tío Marcial... https://t.co/x3zAxIeydg
70,"@UrsulaLetonaP @KeikoFujimori @MavilaHuertasC Bien sra Letona, su lealtad a pesar d los problemas la enaltece. Mi total respeto."
71,"Pucha colorado, espera sentado ya q es como solicitar a Al Capone q se ponga al día con la SUNAT https://t.co/AixEfxAKYU"
72,"@elhigadodmarita Pucha si la cosa es así, dónde dan carné d caviar para chupar un par de medias, conseguir un cargo… https://t.co/aLDJUmSw8j"
73,"RT @KikeBravoPrado: Aereolinea @LATAMAirlines cancela viaje, en un acto inhumano, de una persona con cáncer con boleto reservado. Difundir,…"
74,"#RepublicaClaroQueSi como peruano me corresponde cerrar la boca, pero tengo sangre castellana y d alma y corazón co… https://t.co/5gfHDqE5yX"
75,"@piratasurf43 @KeikoFujimori Enséñame la sentencia d la Corte Suprema y me callo la boca, a menos q seas tú Jesucri… https://t.co/uFxEpCAq6O"
76,"@KarlaCalle No entiendo xq se esmeran en decirle a uno don nadie o poquita cosa, pero religiosamente están ahí con… https://t.co/ubLKbo0MnL"
77,"@piratasurf43 @KeikoFujimori Eso no es franela, es convicción del hombre leal q no gana un puesto, un empleo o un s… https://t.co/OSL34Zk47m"
78,"@KeikoFujimori Muchos si no millones esperamos ansiosos su libertad sra Keiko, ese día ud, en la historia, habrá su… https://t.co/yhNJkka3xS"
79,Cómo se nota que infame reinado del terror d Carhuancho y JDPerez también acabará en la guillotina y Keiko Fujimori… https://t.co/zmcisrRuzB
80,@elhigadodmarita Bacan ya era hora q hayan textos y estudios académicos d esa plaga. Nos falta un nuevo Carrion par… https://t.co/Kjyj3FLSXj
81,"@elhigadodmarita @shagui19022193 Cucaracha de grifo Augusto Thorndike, dizq hijo d don Guillermo con quien trabaje.… https://t.co/NSsceLr7bi"
82,"@JBCPERU Pedir a nakaros cojan un Baldor es como pedir a Toledo q se entregue a la ""justicia"" peruana o a JDPerez leer código penal"
83,#ElUltimoBastion incluir en argum mulata periodista en 1820 es 1 atentado a context historic y x último bronquita i… https://t.co/8ecHqbs3qL
84,"#ElUltimoBastion sólo el diablo debe saber xq hay tanto pétalo d flor a este montaje d teatrin, con argumen d Bruño… https://t.co/svNJPYpQca"
85,"El hereje gato despensero y ex rector d la PUCP, cantera d nakos descerebrados, Marcial Rubio quien dijo el 2011:""C… https://t.co/53RCrDqtK9"
86,#llorocomolaleivacuando observo supuestos periodistas en bullying contra colega quien podrá cojear prof d alg cosas… https://t.co/f2wTMPEZQc
87,"#tomalacalle para impedir choteen a ntros ""héroes"" q canean ""valientemente"" a madres y ancianas enfermas; q utiliza… https://t.co/agkR5AtNKQ"
88,RT @PedroChavarryV: Gracias a las personas que valoran mi trabajo. https://t.co/bBF5ekmK23
89,"My week on Twitter 🎉: 22 Mentions, 1.01K Likes, 272 Retweets, 283K Retweet Reach, 9 New Followers. See yours with… https://t.co/r95Yura0iZ"
90,"#odebrechtganoelreferendum y los nakaros, pulgas y chinches q milonguearon al pueblo con su lucha anticorrupción y… https://t.co/W43zbarpMt"
91,@Sr_Quest Este nivel en lo patético deja chicas a películas hindúes del City Hall
92,"Sr Pedro Chavarry, x favor, puede como su subordinado mequetrefe JDPerez, inventar indicios y meter presa a este am… https://t.co/ByFysk3u9D"
93,"Pulpines, Pulpines miren, miren cómo los lornean con tómbolas o rifarendums, su ""héroe"" d comic JDPerez arregla con… https://t.co/jtPVePFY5S"
94,Con Rafael Rey hacen cuestión d Estado x un zopapo pero el gobierno chuponea a un ex pdte del Perú y encima con esp… https://t.co/6aBRHrlj66
95,@meiermq Y eso que nadie habla de ésto https://t.co/ryEjwDZmHd
96,Uyuyuy el zopapo de Rafael Rey pasó al olvido ante este puñetazo al plexo d mafia nakara. Biiiiien https://t.co/PhUIvRXU9A
97,"@Manifiesto_pe @reyreysincorona Por fin algo de civilización en estos tiempos d nakaros, Carhuanchos y JDPerez"
98,"@yerko125 Ahí está tu coboyada, pero real xq así se robaba elecciones en el Perú de 1872"
99,@Reydem4 @CaldasFig @LDavelouis primera vez q un robafrases pone al autor del supuesto botín
100,@Pilosofy Jajaja esa si está buena... Crónicas marcianas... Me reiría más si no tuviera razón
101,EN ESTE VÍDEO SE DENUNCIA CÓMO MIEMBROS DE MESA SON OBLIGADOS POR SUPERVISORES ONPE A USAR TARJETA SOFTWARE Y CABIN… https://t.co/AD6Dwy7avJ
102,"NO, vicealmirante Carlos Tubino, el pueblo no se equivocó. Vídeo prohibido  revela miembros d mesa obligados a usar… https://t.co/IDfr1sz4Rs"
103,#YoDefiendoLosDDHH se llenan hocico las ONGs nakas en el Perú... Pero de ellos no. https://t.co/Q3wZmI1nZG
104,"Cuando vean un nako faltoso, HAGAN PATRIA, como Rafael Rey https://t.co/Q5V0sjMiib"
105,@elhigadodmarita Ahora parece la cosa pinta color d hormiga. Dirigente del Paris Unité -SGP (sindicato d policías)… https://t.co/YagCtzKCJL
106,"@CaldasFig @LDavelouis Señor, sólo explíqueme este escenario: Ud es hincha d un equipo q sale d la nada, con jugado… https://t.co/OFnB2OZTaC"
107,"#ElPerúPrimero a estar rodilla a tierra y fusil enristrado. Nakos van a x disolver Congreso actual, sabotear campañ… https://t.co/zK0VGkk821"
108,"Dr Ricardo Pun-Chong es d aquellos hijos q enorgullecen a la Patria. Mi madre murió d cáncer como la de él, pero ha… https://t.co/T6aLUkx98a"
109,"@Avicena_Kotler @deslengua_2 Oiga, pero ese pdte d mesa violo 2 artículos d Ley Org d Elecciones? Filosofía naka: Y?"
110,"Jajaja... Ganamos, ganamos, ga... Ganamos? Nakos en unos días van a sentir el zopapo a lo Rafael Rey https://t.co/8L4KsX4OhY"
111,"Chicho Mohme girl, naka incurable, deja a Rafael Rey como Barbarroja x zopapo a imbécil q violo Art 384 d Ley Org d… https://t.co/TpGyZarYlO"
112,@DanielMalpica13 Si entiendes al nacionalsocialismo como un fenómeno social q se ve bacan en las películas como un… https://t.co/0QV51nN8m3
113,@DanielMalpica13 Mira hay intelectos q entienden e interpretan lo q leen y las molleras q memorizan textos y repite… https://t.co/j6pPhaLmTX
114,@sigridbazan Art 389.- Es reprimido con pena privativa de la libertad no menor d 2 años aquél que atenta contra la… https://t.co/oSbolfX8tp
115,"@DanielMalpica13 Ves un jajaja? Ves burla en mis palabras? Es una ADVERTENCIA zoquete, cojudo x vocación... Si en l… https://t.co/eWQ9EEvavu"
116,"@CaldasFig @LDavelouis ""Un patriota debe estar siempre listo para defender su país contra su gobierno"". Edward  Paul Abbey"
117,@LDavelouis Don Nadie? Mi nombre está ahí hmno y si soy nadie anda al psiquiatra q tuiteas contigo mismo
118,@Chiquiro20 Jajaja yo el imbécil... Lo único bueno del fascismo es q su eugenesia libraría al mundo d gente como tú
119,@RicardoMor18 @IposPeru El único capaz d gobernar? Y Keiko q es?
120,@RicardoMor18 @IposPeru Culto al líder? Entonces el partido demócrata en fascista x rendir culto a Lincoln?
121,@IposPeru Chinchero Vizcarra con Camayo? https://t.co/YMYYCVkiWG
122,"@LDavelouis Sí, hay un nombre para eso: inteligencia esa q siempre está en contra d todo gobierno. Y verdad, no deb… https://t.co/yszQz2xwEP"
123,@IposPeru https://t.co/WVBiKYOQ2C
124,"@LDavelouis Eso es lo bueno d tener a uds d enemigos, son tan clamorosamente escasos para sostener un argumento sin… https://t.co/6lAO8Tiget"
125,"@LDavelouis Pucha q línea has tomado q t alejas + d la Tierra, Vizcarra es un perdedor, no es nadie, un paria sin p… https://t.co/9F6ws08fIn"
126,#VizcarraElCircoSeAcabo adivinen en q se parecen estos 2 patitas con Martín Chinchero Vizcarra... Los 3 ganaron ref… https://t.co/ytXZJjV0bl
127,"@LDavelouis Aceptalo, solo Idi Amin, Franco y Chinchero Vizcarra llaman a esta tómbola un referéndum. Vende esta po… https://t.co/pXH4NgymGQ"
128,"@LDavelouis Mientras regresas d Júpiter t adelanto q, raro, el 87% d Ipsos - ONPE expresó su euforia mirando Boca-R… https://t.co/zUZssj1jmw"
129,"@LDavelouis A ver, agarra tu Baldor y retorno d Júpiter: ausentismo 25%, opositores a nako régimen:15%; blancos y n… https://t.co/ZrN9dPSNS8"
130,"@sigridbazan Felicitaciones, igual que yo... https://t.co/lVXM4TyGeN"
131,"#YahoraQue y éste como rico se cree ganador. Idi Amin, Franco, Martín Chinchero Vizcarra y este pelotudo creen q en… https://t.co/zFWk578Oub"
132,#VizcarraElCircoSeAcabo yeee ganamos con + del 80%...yeee...yee... ye...ptm https://t.co/uRT3HdojOk
133,"#YahoraQue ps a ver, meten presa a Keiko, sabotean mayoría opositora jubilandola del Congreso, chuponean a 1 ex pdt… https://t.co/b9iqAek0sK"
134,"My week on Twitter 🎉: 3 Mentions, 919 Likes, 235 Retweets, 269K Retweet Reach, 4 New Followers. See yours with… https://t.co/KOxcrNaxR1"
135,"My week on Twitter 🎉: 3 Mentions, 919 Likes, 235 Retweets, 269K Retweet Reach, 4 New Followers. See yours with… https://t.co/uILvydSTXQ"
136,"My week on Twitter 🎉: 3 Mentions, 919 Likes, 235 Retweets, 269K Retweet Reach, 4 New Followers. See yours with… https://t.co/CB5KNK1g2h"
137,"My week on Facebook 😊: 35 Post Impressions, 39 Page Impressions. See yours with https://t.co/O48AhN7xvF"
138,"My week on Twitter 🎉: 3 Mentions, 919 Likes, 235 Retweets, 269K Retweet Reach, 4 New Followers. See yours with… https://t.co/H2XpEPzQkK"
139,"#SiSiSiNo Esto no es pica ni mala leche...solo historia y sentido común. 

https://t.co/CtHYvaXAzi"
140,@ChaponanJohn @VeroLinaresC @MartinVizcarraC ya huevon me hartaste matón de mierda. La Dir de Delitos Cibernéticos… https://t.co/7NNnDiXc1v
141,"@KarlaCalle Me intriga dónde lobotomizan a estos muchachos, carecen d interpretación individual, repiten y difunden… https://t.co/1l1jsDEAef"
142,"@ChaponanJohn @VeroLinaresC @MartinVizcarraC Ahora si quieres venir, y lanzas el 1er puňete, asume consecuencias q… https://t.co/oX9eUMbeTz"
143,"@ChaponanJohn @VeroLinaresC @MartinVizcarraC No soy cacanero y como cantaba Vicentico Valdez ""yo no soy guapo, seño… https://t.co/raPXZHBvxS"
144,@Dianarc12 Paciencia y un helado
145,"A la servidumbre d Palacio q dijo eso le respondo: soy Pedro José Cama Calderón, ciudadano de la República del Perú… https://t.co/sMOcqONGSI"
146,"Chess, me tomé el tiempo d leer toditos los insultos d nakos q d ladrar y echar espuma bien atado en reja d Palacio… https://t.co/c9jMkDaqmO"
147,@Bean666Mr Salazar está ejerciendo uno d los 1ros deberes del periodista: ORIENTAR al pueblo y amenguar su indignac… https://t.co/rCRXrpti8Y
148,"#Voto2018Referéndum jajaja, mi padre me aconsejaba siempre prepárate para lo peor. Así t evitas amargones como éste. https://t.co/VPAjFtMIZS"
149,"RT @JovenesKeiko: #Referendum2018
#YoVotoPorLaPatria
DECIDE
#Voto2018Referéndum https://t.co/xVQwwjLhci"
150,@ChaponanJohn @VeroLinaresC @MartinVizcarraC Aunque seguro ya das servicios en Palacio a tanto depravado y  choro q pulula x ahí
151,@ChaponanJohn @VeroLinaresC @MartinVizcarraC Injustamente presa cuando sorrosquetes como tú q gozas ver sufrir a un… https://t.co/zM3deIqVoZ
152,"#Voto2018Referéndum, retraso masivo en instalación d mesas y ausencia clamorosa d personal d ONPE. Será q no les in… https://t.co/ViySof6BoZ"
153,"Our biggest fans this week: @Retwiteadero, @elsacasas, @jimmybussol. Thank you! via https://t.co/yE1GXLWxks https://t.co/RJAJR1SZ49"
154,"#Voto2018Referéndum qué le pasa a este patín, está muy extraño. Para todo se hace humo https://t.co/Rqy4hVcrx9"
155,"#Voto2018Referéndum urna ONPE en mesa NO instalada. Q extraño, fraude? No sean malpensados, carajo https://t.co/2id88Lkjzb"
156,@VeroLinaresC @MartinVizcarraC Ese flaco es más boludo q ahorita lo cogen también d pdte pero d mesa
157,@zorka_lushka https://t.co/c2Ug1pAXu5
158,"#Voto2018Referéndum jajaja, así se critica en el Perú, con todo garbo y lisura. Este ""periodismo anticorrupción"" es… https://t.co/4BTR1hsYJl"
159,@heduardo50 https://t.co/hrLvyZgYEj
160,"@zorka_lushka Fujiapristas? No era suri y literalmente hormigas, dice q en San Martín las comen como canchita"
161,#Voto2018Referéndum premier Villanueva empujandose gusanos y hormigas (preparándose x si no les liga fraude) en viv… https://t.co/sW1pIVYq6F
162,"#Voto2018Referéndum Teleprompter girl elevando a DEFCON 1 la vergonzosa pateria d Canal Ñodebrecht, encima la pumpk… https://t.co/BQeplkHBOw"
163,Vamos Perú a joderle el domingo a Martín Chinchero Vizcarra https://t.co/nBz9QMj11y
164,"#Voto2018Referéndum ya, más fácil no puede ser... https://t.co/NrZb1jQtiI"
165,@sigridbazan @larepublica_pe NO-NO-NO-NO LO LEAN NI LO VEAN https://t.co/oV1yISyJPS
166,#Voto2018Referéndum. También repetir 4 veces https://t.co/L2o9zD3q8b
167,#Voto2018Referéndum repetir 4 veces https://t.co/K0p6XUEEuo
168,#Referendum2018 también repetir 4 veces https://t.co/nc98OwhrT1
