,Tweets
0,RT @KierRafael: @soypedropedrosa @realDonaldTrump Ufff esperemos que no!! No puede ser que la humanidad se preste a hacerle promoción a eso…
1,"RT @soypedropedrosa: Ángel Ponce (quien se hace llamar Angela) será Miss Universo, no porque sea la mujer más bonita (ya que ni siquiera es…"
2,@VozLiberal Que trate Solcito de aprender a decir la VERDAD.
3,"RT @VozLiberal: A ver, te explico: es una aclaración muy oportuna para impedir que la prensa basura y mermelera engañe al pueblo peruano co…"
4,@debbiereynaud Marxismo cultural !!!!
5,"RT @debbiereynaud: Hoy vi este cartelito y se me revolvieron las visceras!

Cada niña y niño en igual de condiciones que vuelva sano y salv…"
6,RT @VozLiberal: Patética defensa del inútil Ministerio de Cultura por parte de @GzegarraM que cree que la cultura depende de una burocracia…
7,@sobrelibertad @JMilei @GloriaAlvarez85 @QuotesforGoal @eco_liberal @Im_Just_Based @manuel_llamas @la_emboscadura… https://t.co/bGGRZbzMkI
8,RT @sobrelibertad: “El culto al Estado es el culto a la fuerza. No hay amenaza más peligrosa para la civilización que un gobierno de incomp…
9,RT @jfrequejor: @ExpresoPeru @presidenciaperu @pcmperu @PeruPaisDigital @congresoperu @Poder_Judicial_ @FiscaliaPeru @TC_Peru @Defensoria_P…
10,"RT @ExpresoPeru: Esta es nuestra portada EXPRESO, jueves 13 de diciembre del 2018. @presidenciaperu @pcmperu @PeruPaisDigital @congresoperu…"
11,RT @astorga_rodrigo: A nadie le cabe duda de que el Perú lo gobierna una mafia #MafiaIDLGobiernaEnPerú
12,"RT @elchato25: @laconchacaviar Colaborador eficaz significa que tiene pruebas. Vamos a ver qué excusas pone Vizcarra ""el gran luchador cont…"
13,RT @catacccaos: @laconchacaviar que lo encierren 36 meses..ya despues vemos si es culpable o inocente...#nadietienecorona
14,"RT @mantocapocho: @laconchacaviar Hay que guardar bien esta denuncia, para cuando Vizcarra termine, su gobierno porque ahora no pasará nada."
15,"RT @arqmillones: @laconchacaviar ahora ....solo queda el pedido de prisión preventiva para Vizcarra, Bruce..Flores y Mechita...nadie tiene…"
16,"RT @alexiplusmetal: @laconchacaviar Tranquilos, debe investigadores porque mamarracho puede decir que tomaron su nombre, esto debe ser corr…"
17,"RT @laconchacaviar: #Últimominuto | Alcalde saliente de Chiclayo, David Cornejo Chinguel se convierte en colaborador eficaz y delata a Clem…"
18,"RT @yturbe_: La denuncia de Oviedo es gravísima, se está convirtiendo en una práctica habitual extorsionar gente para que se le considere c…"
19,RT @MALCOM_X_: @Gestionpe Cuentan que domingo perez era asiduo concurrente a papa piraña en las noches locas cuando trabajaba en iquitos ht…
20,"RT @CesarNakazaki: Si la abogada acude a la Comisión IDH está mal, pero si recurre Fiscal está bien? https://t.co/sU8D2iIZ4O"
21,RT @Herbertandreus: @tere_marinovic Una de las causas de la bancarrota y posterior caída del Imperio Romano
22,RT @tere_marinovic: La inmigración descontrolada es el caldo de cultivo perfecto para el racismo.
23,"RT @TatiAleman: #LoÚltimo | Edwin Oviedo denuncia presiones de la Fiscalía para acogerse a la colaboración eficaz. 
Asegura que fiscal Sand…"
24,"RT @aaronsalomong: #AHORA | Edwin Oviedo denuncia que las fiscales Sandra Castro y Rocío Sánchez lo presionan para delatar a jueces, congre…"
25,"RT @OccupySchagen: #Occupy: When you also refer to how regional alliances are now being replaced by cross-continental alliances, this is a…"
26,"RT @elhigadodmarita: Dios mío... a dónde llegan algunas mesalinas mediáticas. En vez de especular que en la mochila ""habría agua"" mejor deb…"
27,RT @E_Hernanson: @AgustinLaje Los medios están al servicio de éste bodrio feminista que sólo busca enfrentarnos. https://t.co/sDCainPdgg
28,"RT @DiazFcarladiaz: @AgustinLaje Espantoso, ellas quieren abusar de todos. Son las verdaderas enfermas. Lo que quita credibilidad a chicas…"
29,"@AgustinLaje Es el marxismo cultural, acaso no nos damos cuenta?"
30,RT @djameqetxpliq61: @AgustinLaje ahí te dás cuenta que algo no funciona bien..esto es una campaña misándrica para derribar los estereotipo…
31,RT @AgustinLaje: ¿Se imaginan esta declaración en boca de un actor hombre? El feminismo no es igualdad; es hipocresía. https://t.co/O9YMo36…
32,"RT @VozLiberal: ¿Se han dado cuenta que cada vez que algún charlatán quiere vendernos basura costosa empieza metiendo el floro de ""es un de…"
33,"RT @cohe_sonia: @laconchacaviar @rubenllerena Lúcar,mis respetos maestro!!!!!"
34,"RT @NellyAvilaV: @laconchacaviar El único que cumple los requisitos es Lucar,"
35,RT @Yoe_Gal_: @laconchacaviar Ahí le hablan Sr @NicolasLucar!!! El galán del ascensor!!!
36,RT @Alan_4u: @laconchacaviar La película se llamará: “El elevador pachamanquero”. Otro requisito es q el actor sea casado con la hija del d…
37,"RT @laconchacaviar: Necesito un actor para grabar escenas románticas en un ascensor.

No importa si es periodista. Gracias desde ya por la…"
38,"RT @samaelloord: De  Q corrupción habla, si el TOPO ya se alineó a la mafia.... ppk, odebrecht.   ¿ahora blindada a las ratas q nos gobiern…"
39,"RT @spaceman005: @AdrianzenEduard Excelente. Adoptar una mascota implica muchas responsabilidad, la cual se debe aprender desde que somos n…"
40,"RT @AdrianzenEduard: Uno de los memes más sensatos que he visto, a propósito de las fiestas, y de los niños que quieren ""una mascota de reg…"
41,RT @EscuelitadeAldo: @PedroChavarryV @pucp PRISION PREVENTIVA PARA LOS MISERABLES CAVIARES DELINCUENTES QUE ESTUVIERON DELINQUIENDO EN LA P…
42,RT @LainezLozada22: @vsaldana345 @PedroChavarryV @MadeleineOster3 @pucp Sera xq Rubio y vices decidieron 'hacerse' de dinero de manera ileg…
43,RT @oyukikoji: @PedroChavarryV @pucp Por eso la fiscalia está de patas pa' arriba. Usted debe ORDENAR que se imvestigue. Si Usted pregunta…
44,RT @anatari33: @PedroChavarryV @pucp Por Dios santo Basta ya de injusticia qué pasa con los peruanos yo soy víctima de su injusticia soborn…
45,RT @RoxanaR77192245: @PedroChavarryV @pucp Retire al fiscal Perez que es un peligro para la sociedad es odio lo que él profesa y no la misi…
46,"RT @PedroChavarryV: Ante importante información recibida de cobros irregulares a alumnos de la @pucp, que incluso fueron admitidos por su e…"
47,RT @ce_emovere: La acción cura el miedo. Aísla tu miedo y entonces emprende una acción constructiva. La inacción (el no hacer nada por reso…
48,"RT @madrid13nadamas: La última gilipollez de las feminazis:
 ""las mujeres no tenemos que comer huevos porque los hombres explotan sexualmen…"
49,"RT @Politico_pe: .@vasquezkunze: ""La anemia no solo NO ha disminuido, como afirmó Vizcarra, sino que --por el contrario-- durante sus nueve…"
50,"RT @elhigadodmarita: Entre ustedes se untan betùn, se pasan la franela y se sacan brillo.Son patéticos. Lo único que parecen hacer es trafi…"
51,RT @gabrielitaaa10: @ExpresoPeru Se instaló un GOBIERNO Dictador Que junto algunos Fiscales han politizado la JUSTICIA. Sin importarles los…
52,"RT @CarlosBarrax_97: ""Porque conoce el corazón humano, porque está divinamente hecho, el cristianismo abraza y magnifica el culto a la cele…"
53,RT @Pulmon_de_Susan: Surreal! Ahora Jose Domingo Perez incluye a LA ABOGADA de @KeikoFujimori en el caso de corrupcion... a 48 horas de su…
54,RT @dil_dilber: @AuchnowDaniel @MartinVizcarraC Este gobierno de @MartinVizcarraC Apesta en su mensaje ni siquiera la mencionada a la organ…
55,"RT @ricuritaone: @AuchnowDaniel @MartinVizcarraC Sin lugar a dudas, estamos a la espera de @jairbolsonaro se hará sentir cuando suba al man…"
56,"RT @AuchnowDaniel: “Parece que procurador ha defendido intereses de Odebrecht”
@MartinVizcarraC Gobierna a sus propios intereses con Odebre…"
57,RT @realpolitikp: Sólo un pobre diablo que busca protagonismo tiene la suficiente pobreza en la mente para referirse así sobre personas jóv…
58,"RT @mantocapocho: @suriel @REQENAE59 @PoliciaPeru Yo creo que todavía es muy pasivo, si fuera al revés qué crees que hubiera pasado, has pe…"
59,"RT @RichardMontoyaR: El Dictadorzuelo Vizcarra dice que no más al financiamiento ilegal 👏 , que este señor de el ejemplo con los 6”millones…"
60,"RT @institutoahorro: ¿quien dijo esto y se ha demostrado todo lo contrario?
22 Ago 2011- rector de la Universidad Católica Marcial Rubio:
“…"
61,RT @margamedonzac: Con ustedes el nuevo Gerente de Comunicaciones de Odebrech @socioperiodismo https://t.co/JsWeyKjijf
62,"RT @PrimerPedal: A ver pues caviarada:
El Cardenal Cipriani hace siete años lo advirtió  y entonces todos ustedes lo atacaron.
Hoy, los Est…"
63,RT @TJCmagno: Sigue el circo. Mensaje d @MartinVizcarraC. Cree que su referéndum mamarracho lo legítima. Ahora presenta proyectos de ley y…
64,RT @SofiaGallegosP: Qué pena por mis colegas de @RPPNoticias Hoy muchos de ellos fueron despedidos sin motivo alguno. ¿Así festeja su navid…
65,RT @JjProfesionales: En Perú la corrupción está ganando por goleada hasta hacen su referéndum y hacen pagar a la empresa corrupta de Odebre…
66,RT @LainezLozada22: Adivinen QUE!! Se 'disminuyo' la anemia de 43.5 cifra de abril 2018(cuando inicia su mandato)  a 44 % en el ultimo trim…
67,RT @PedroChavarryV: Gracias a las personas que valoran mi trabajo. https://t.co/bBF5ekmK23
68,"RT @lorenacorrea69: Será que Vizcarra piensa que el domingo pasado fueron elecciones presidenciales, salió ganador y hoy da su discurso de…"
69,RT @robertodlg: Bien machitos  para pechar pero se mariconean cuando les cae la ley https://t.co/bVwJvqtc9x
70,RT @suriel: ▶ PPK y Martín Vizcarra recibieron S/ 6 millones para la campaña 2016 de personas que no existen o que no conocen #MensajeALaNa…
71,"RT @suriel: ATENCIÓN: quiero q usted vea este vídeo y me diga si, realmente, es adecuado, el protocolo de detención que han ejecutado estos…"
72,RT @gcano17: @Manifiesto_pe @IDL_R @CIDH @FiscaliaPeru @PedroChavarryV @VictorAndresGB @kampueromeza @LavaJato_Peru @rosamariabartra @Karin…
73,"RT @rjvct: Presidente @MartinVizcarra confundió las fechas.
Pensó que es un 28 de julio y se ""mandó"" con un discurso de promesas.
Será que…"
74,"RT @ByDebrey: Francisco @Pontifex_es 

¿Porque no pedís un informe de la crisis humanitaria en #Venezuela, de los abusos del terrorista de…"
75,"@cevalenzuelav Chi Chi, LA COCINERA DE ALAN? Chi Chi!!!!!!
Ahora le cocina al reverendo encuestador."
76,RT @hugo_eddi: @cevalenzuelav También a Vladimiro y Oscar López Meneses no chichi
77,"RT @dark_loco: @cevalenzuelav Madame chichi, la mayor mermelera de Vizcarrita"
78,RT @margamedonzac: @cevalenzuelav Directora de un medio de “comunicación” acusado de preparar rocoto relleno en la casa de @AlanGarciaPeru…
79,RT @cevalenzuelav: Trol patética!Jamás he cocinado en la casa de Alan García.Jamás.Ya aburres.Tu campañita de intimidación y desprestigio n…
80,"RT @Politica_ECpe: Carlos Tubino dice que se ha creado una ""policía política"" que sigue a Fuerza Popular y el Apra ►https://t.co/XTCpgaMwlx…"
81,"@angbiro @MarthaChavezC No es que estemos locos, al pueblo peruano lo han EMBRUTECIDO."
82,"RT @MarthaChavezC: La ""corona"" se la regaló el gobierno de M. Vizcarra y el fiscal cuya esposa tiene cargo de confianza en el MEF. https://…"
83,@socioperiodismo Que Odebrecht esté vivita y coleando es la verdadera DICHA de éstos corruptos.
84,"RT @laconchacaviar: #PeruvianConchaAwards

🔴 Categoría jueces o fiscales."
85,"RT @KeikoFujimori: Mantengo la esperanza que las instancias superiores, con mayor objetividad y experiencia en el Poder Judicial, puedan co…"
86,RT @KeikoFujimori: Mi gran ilusión es que en esta nueva instancia el INDEBIDO PROCESO se convierta en DEBIDO PROCESO. Y digo esto porque lo…
