,Tweets
0,@Minsa_Peru Los primeros pacientes: el Ejecutivo!!!!
1,"RT @eusebeias: DIGA LO QUE DIGA VELA, LOS 
HECHOS DEMUESTRAN QUE EL
FISCAL DE LA NACIÓN  CHAVARRY 
ES EL QUE ESTÁ SIENDO HOSTILIZADO
HASTA…"
2,RT @JBCPERU: #Perú21 alcanza niveles inconcebibles de intolerancia y desinformación. ¿Querrán superar el estilo pestilente de #CésarLévano?…
3,"RT @FernanAltuve: @diariocorreo Toledo prófugo, nadine y Villaran impunes, PPK y consorciadas intocables, Pucp agiotista, fiscalía con filt…"
4,@OFMTWT @MIKI_Torres_ @GiullianaLoza #VizcarraDictador
5,@JoseDomingoPe @GiullianaLoza Y cuando investiga a los presidentes delincuentes y a los gobiernos locales y regiona… https://t.co/V7QrTDvv2o
6,@JoseDomingoPe @GiullianaLoza #VelaYPerez terroristas defendiendo a ODEBRECHT #raterosDeLujo Presidentes sueltos y… https://t.co/I9kmsEe4k4
7,@MIKI_Torres_ @GiullianaLoza #VelaYPerezRaterosDeLujo Odebrecht sigue manejando al Gobierno!!!
8,"RT @MIKI_Torres_: Escuchando a @GiullianaLoza cómo desbarata uno a uno los argumentos de la fiscalía. Ahora entiendo, porqué el fiscal J Do…"
9,"RT @PedroChavarryV: Ante importante información recibida de cobros irregulares a alumnos de la @pucp, que incluso fueron admitidos por su e…"
10,"RT @jimmybussol: Alo, alo @MartinVizcarraC ahora que harás, o es que aquí; no hay lucha contra la corrupción??? https://t.co/SrMd085Q2x"
11,"@noticias24 Ja ja ja igual lo ha hecho en otros certamen Venezuela. Colombia, y Puerto Rico, cual es la indignación😂😂😂😂😂"
12,"RT @Politica_LR: Edwin Oviedo: ""La fiscalía viene presionándome para ser colaborador eficaz"" ►https://t.co/M6f44z5iuw https://t.co/bvNlm0mf…"
13,"RT @GanozaMonica: #MafiaIDLGobiernaEnPeru 
#MafiaIDLGobiernaEnPeru 
#MafiaIDLGobiernaEnPeru 
#MafiaIDLGobiernaEnPeru"
14,"@KikeBravoPrado En el Perú, cualquiera es CEF, ya mismo le aceptan ser colaborador a #Toledo😂😂😂😂😂😂😂"
15,RT @KeikoFujimori: p. Keiko Fujimori: Mensaje a menos de 24 horas de mi audiencia de apelación: https://t.co/8JmjeLb7kw
16,"@AnitaCecilia8 @Marco33445566 @LuzSalgado_R Cuando este instalado la JNJ, se cambiaran 59 artículos de la Constituc… https://t.co/XUjxkO2GFa"
17,"@POLITICATOTALpe Y como lo va hacer, si todavía no se ha reunido con #Lecaros y #Chavarry!!!!"
18,RT @RZP140650: ESTARÁ DROGADO..!! https://t.co/VRT0n5gOWm
19,"@exitosape La reforma laboral van a meter a los extranjeros en los Ministerios, todos los borregos de este gobierno… https://t.co/cKUZHNvH2g"
20,@ugluis @ronnyrosales8 Las mentiras ya no sorprenden😂
21,@Rommel_2019 @_gonzalez_jordi @sigridbazan Otro loco más en el mundo😂😂😂😂😂😂
22,"@socioperiodismo @JorgeDCG El país entero necesita psiquiatras, psicólogos hospitales para salud mental, no se dan… https://t.co/oLskYSk0Av"
23,"@gildatrkovic @JuanSheput @PPKbancada 😂😂😂😂😂 según el será Miraflores 2, pero no especificó si San Juan de Miraflore… https://t.co/Q9yqy2lnaY"
24,"RT @TaxJfms: @KikeBravoPrado Kike y esto⤵️ Te imaginas como estarán los abogados del “capitán Carlos” Ollanta Humala Tassos,quienes tienes…"
25,"RT @leonicogabriel: PERO LO QUE YA LINDA EN GRAVEDAD EXTREMA ES QUE SE INVOLUCRE A LAS Y LOS ABOGADOS DE KEIKO EN EL PROCESO, PARA DEJARLA…"
26,"RT @RPPNoticias: Niña migrante de 7 años murió deshidratada tras ser detenida en Estados Unidos. 
https://t.co/SPLatgupCA"
27,@JuanSheput @PPKbancada Ya llega Muñoz a cambiar Lima😂😂😂😂😂😂
28,"@JuanSheput @PPKbancada La JNJ no servirá de nada, la mafia gobierna los tres Estados, y Vizcarra sólo sirve para mesa de parte😂😂😂😂😂"
29,@VeroLinaresC Con dos presidente q están de salida y uno a punto de de irse a su casa por traidor!!! Plop dos veces plop😂😂😂😂😂
30,"@VeroLinaresC Oh my gad, lol😂😂😂😂😂😂"
31,@delurens @goferlan @elchato25 @laconchacaviar @ugluis @JBCPERU @Phill_Butters 😂😂😂😂😂😂😂😂
32,@elchato25 @laconchacaviar @delurens @ugluis @JBCPERU Que cosa? No me hagas reir😂😂😂😂😂
33,"RT @barencos: “Hago un llamado a todos los colegas,Colegio de Abogados,Defensoría del Pueblo,medios de comunicación y a todos los peruanos…"
