,Tweets
0,"RT @dmarsi: #LamochiladeMavila 
#LamochiladeMavila 
#LamochiladeMavila 
#LamochiladeMavila 
#LamochiladeMavila 
#LamochiladeMavila 
#Lamoch…"
1,"RT @pedrojosecama: #KeikoFujimori no pudo enviar en 10 minutos un mensaje mejor desde su injusta prisión, donde reafirmó su condición d ino…"
2,RT @sanesp1959: En el Perú se requiere no una reforma sino una revolución en el Poder Judicial y el Ministerio Publico. No es posible q un…
3,"RT @TubinoCarlos: Hoy como todos los años atendimos a 5,000 niños Ucayalinos en el Coliseo Cerrado de Pucallpa, con Show Navideño y su resp…"
4,"RT @AlcortaLourdes: Que cosa...?? Por más d 30 años...?? Como pudo llegar a general ? Por q no lo denuncio antes ?y si lo hizo, q paso ?Nad…"
5,"RT @CesarZumaetaF: #GUZMAN EL #FANTASMA: Poco se lo ve pero figura bien parado en las encuestas. No condena, no se indigna ni frunce la fre…"
6,RT @GiullianaLoza: Tal desnaturalización se ha efectuado con la finalidad de no cumplir con el procedimiento legalmente establecido de corr…
7,RT @AlcortaLourdes: Eso NO HA DICHO Fiscal Chávez Cotrina. Vi entrevista completa.Hablo muy bien d TODOS. Siempre respaldo labor d Fiscales…
8,"RT @AlvGutierrezCue: Gobierno no puede llamar al diálogo  siguiendo atacando al Congreso. Si dicen ser transparentes, por qué Villanueva no…"
9,"RT @GiullianaLoza: Se ha desnaturalizado la figura del #TestigoProtegido, asignándole tal condición a quien, según la fiscalía, sería partí…"
10,RT @H_Abanto: José Ugaz se retrata tan bien al juzgar mi pedido de exclusión de Vela Barba por concertar con Pérez Gómez una estrategia par…
11,"RT @GiullianaLoza: La prisión preventiva requiere de una motivación cualificada. No debe sustentarse en la ""presunción"" del peligro procesa…"
12,"RT @JBCPERU: En @PBODigital, una de las raras tribunas libre de mermeleros. @MartinVizcarraC pretende reemplazar el @congresoperu https://t…"
13,"RT @CiudaPachacutec: Si mañana sueltan y ratifican indulto a Alberto Fujimori el lunes tendríamos marcha de los rojetes, caviares y pulpine…"
14,"RT @TuKuyRiKuy4: Tan ""eficientes"" que gracias a su ""extraordinaria"" labor se investiga el caso Chinchero y  purgan prisión los corruptos y…"
15,"RT @vince_bryce: Keiko , debe aliarse con Mandatarios anti comunistas, como @jairbolsonaro de Brasil y reunirse con el ( si puede ) o llama…"
16,RT @GiullianaLoza: En base a #TestigosProtegidos que mienten se pretende seguir privando de su libertad a #KeikoFujimori. Sin corroboración…
17,"RT @PDigitalPeru: Hasta cuándo vamos a soportar las mentiras de estos fiscales y sus patrocinadores??
Ministerio Público de Brasil aclaró q…"
18,"RT @carlosc00268781: Si un árbol se vende a sí mismo como de peras pero produce plátanos, uno sin ser muy inteligente sabe que es un engaño…"
19,"RT @JBCPERU: ¿@MartinVizcarraC será un demagogo, farsante o alucinado? Pronto lo sabremos. cc. @PBODigital https://t.co/9yLqtepyKk"
20,RT @CesarNakazaki: Hoy hubo intensa audiencia de apelación en prision preventiva de Caso FP; Fiscal Vela sin duda de los mejores oradores d…
21,"RT @victori39804465: MAFIA AL DESCUBIERTO! 
PEREZ-GORRITI
GORRITI-PÉREZ.
TU ME FILTRAN INFORMACIÓN Y YO TE DEFIENDO! #MAFIOSOS! https://t.c…"
22,"RT @MilagrosLeivaG: Y ellos tampoco lo respetan es más le dicen de todo a través de otros, la verdad Pedro es que todos se detestan en el M…"
23,"RT @MIKI_Torres_: Escuchando a @GiullianaLoza cómo desbarata uno a uno los argumentos de la fiscalía. Ahora entiendo, porqué el fiscal J Do…"
24,"RT @demuestrenlopue: Basta con ver una película de Netflix  para saber señor magistrado que esta pasando aquí....
FISCAL VELA
Donde estamos…"
25,RT @ugluis: Es una vergüenza que Torre Tagle haya firmado ese acuerdo internacional. Es lo más anti soberano y anti patriota desde la Guerr…
26,"RT @mariomantilla7: No cabe duda que Pérez es auténtico operador político: si incorpora a Abog Loza por obstrucción, debe investigarse en o…"
27,"RT @betoasaberatv: Sin propina, ni empleo. Despiden al mozo que denunció abusos en restaurantes de lujo.

Mira el programa en @atvpe  https…"
28,"RT @elhigadodmarita: Dios mío... a dónde llegan algunas mesalinas mediáticas. En vez de especular que en la mochila ""habría agua"" mejor deb…"
29,RT @ugluis: Lo mismo debemos hacer aquí. https://t.co/IAQi4nlqy7
30,"RT @GiullianaLoza: Privar de la libertad a una persona por suponer ""una futura acción de fuga"", utilizando ejemplos para compararla indebid…"
31,"RT @2018Ntv: [EN VIVO] Mercedes Aráoz: ""Un fiscal que quiere hacerse famoso no tiene que usar el nombre de la Vicepresidenta"" #2018N vía @c…"
