,Tweets
0,RT @ChoyPioSui: Caimos en dictadura... esa es la noticia que afecta al 100% de la poblacion. https://t.co/gViEnS0VdT
1,"RT @sicariuspolitik: Uy. alábate corruptroll. ¿Genio? 
¿Cómo te duele, no? Sóbate
¿Tú crees que puedes ofender como te da la gana? Te duele…"
2,RT @meiermq: Ka nuez debe ser grandota porque Giuffra anda muy contento y sin que nadie lo moleste. https://t.co/OqcFI07bm1
3,RT @DanielNorero: Nuevo estudio sueco indica que la agricultura orgánica/ecológica tiene un 50 y hasta 70% mayor impacto ambiental que la a…
4,@peru21noticias @chome #CHICHI das asco a tu vejez eres una obsesiva compulsiva necesitas tratamiento con psicofarm… https://t.co/SdSKwrwmSo
5,@juanleo27100858 Como ves soy de derecha chola empresario y culto podemos tener un intercambio de conocimientos alturados tu eliges el tema
6,@juanleo27100858 Jajajaja la República!!!  y dices que estudias Ing no se si la culpa es tuya o de tus profes 😂😂😂
7,RT @MALCOM_X_: Vizcarra es un inutil https://t.co/Bn7Lid2kF0
8,Esto está en camino a punto de dar la estocada final https://t.co/JwjLZ8kkCI
9,@Carlos_Bruce Afirmas que no es cierto?  bueno el Twitter no es el tribunal que es donde tienes que probarlo
10,@elvisocc Falta Cesilia Valenzuela la CHICHI
11,@juanleo27100858 @catiquinto Si eres experto envía el link para saber a que audio te refieres
12,"RT @Jali_Cotrina: Las personas q odian tan intensamente como Cecilia Valenzuela, y q acepta encargos de atentar contra el buen nombre de la…"
13,@juanleo27100858 @catiquinto ZonzoNETE tu fuente de información son los diarios de Graña si estudias Ing. Contrasta… https://t.co/ApGWHxEmG8
14,@juanleo27100858 @catiquinto No bobo fue elegido antes del escándalo cuellos blancos y rectificado después con votos de la junta de fiscales
15,"RT @Wolfdruida: Vizcarra @MilagrosLeivaG Dice que va a combatir la corrupción, cuando la corrupción es el propio gobierno. https://t.co/jCa…"
16,@juanleo27100858 @catiquinto Sale en un audio sin ningún acto delictivo que parte no entiendes para hacerte comprender con manzanitas
17,@lito0404 Cc @lito0404  Claro pe' mano el GORDO VAGO es un bebé de pecho a lado del LADRÓN PPK Y el LADRÓN  OLLANTA 😂😂😂😂
18,@neohelden No le pares bolo a mi Amix @lito0404 el es defensor de los molinos de viento
19,@richobig5 @DuchoDepe El mecanismo 2 es ficción Netflix sólo hizo una temporada el fiscalito hace ficción en la justicia
20,@diariocorreo Allí te mando a la ministra del medió ambiente @MinamPeru que es Zurda para que te reviente cohetes ecológicos 👈👈😂😂
21,Que la ministra del medio ambientes @MinamPeru le reviente cohetes ecológicos 👇👇👇😂 https://t.co/WCPdc4NGj7
22,@peru21noticias Jajaja CHICHy estás con una diarrea incontenible
23,"RT @eatcookwrite: In which I fail to get three experts to tell me what I want to hear...
https://t.co/U5YtzkffGO"
24,@richicuenca @juanalvarezm Juancito tu formación académica es deplorable muy pobre en conocimientos
25,Éste es el prototipo de Fiscales escueliados por los ONGs progres el odio es su divisa 👇👇😠😠 https://t.co/IzGC31v6Wa
26,"@richicuenca Un ejemplo muy claro un billete de ""valor"" 20 soles ese valor solo existe en tu imaginación el mismo b… https://t.co/GQUHsZWuwh"
27,@MichaelThallium @richicuenca Gracias
28,@lito0404 Amix lito tu que eres en defender las cosas.más utópicos y extravagantes el satélite de PERÚ ya tiene la… https://t.co/3KS07R4sea
29,ZonzoNETE la salud mental no necesita leyes necesita psicofármacos buenos y baratos en el Perú los medicamentos gen… https://t.co/3LvYAbThtG
30,"RT @GustavoEscribe: No le permito que me diga intelectual. Ni en broma.
Modérese, por favor. https://t.co/i7RyHG2bsv"
31,RT @cseminario53: Qué barbaridad https://t.co/oXDAZaB60s
32,"@mikeliturriaga @JulioBasulto_DN Los ""Orgánicos"" es una especie en extinción 👈😂"
33,@VasquezBazan @patriaroja Cesitar ve con quien te juntas CARAJO ———&gt; @patriaroja
34,@patriaroja Oe Bolsonaro esta tras tu cuero. Que le digo? le doy tu dirección? Quiere ofrecerte unas galletitas tie… https://t.co/pAqaB7hPx1
35,@cortes_matrona @JulioBasulto_DN Bien por tu iniciativa de usar las redes eres toda un startups!
36,@PaulusHC ANTAURO sólo quiere un buen wuiro el resto es marinera
37,@KikeBravoPrado @PedroChavarryV Algo bueno del CAL todavía no cae en manos de los ROJOS habla dictadorzuelo @MartinVizcarraC
38,@JoseDomingoPe @patriaroja @GiullianaLoza Oe ocupas por encargo la guillotina y como no puedes cortar cabezas usas… https://t.co/PCyiF0YDWv
39,@SalitaSin @AlanGarciaPeru Joder el tío #Mulder es político ojalá hubiera otro de igual talante en la izquierda
40,@meiermq @Gyf96Rony Claro que es cierto sale #Chavarrí  y entran todos TODOS Los fiscales han sido escueliados por @IDL_R  @IDL_Rivera
41,@pessahsilvia @rocioleonrodrig @AlbertoBelaunde @JorgeDCG Solamente romper el monopolio de las medicamentos pagamos… https://t.co/xlb5ogleGI
42,@arturogoga La mejor contraseña es dos nombres cualquiera con un espacio en blanco
