,Tweets
0,"@reyconbarba Tremendo programa, no hay ninguno como este team que analizan la política como es debido !! Felicitaciones caramba !!!"
1,"RT @romancendoya: Ipsos —dentro de su servilismo al gobierno— manda “en secreto” su simulacro de votación, que es otra felación — una más—…"
2,RT @TRICICLODELPERU: Si el pueblo es el que manda ¿Por qué no se aplica la pena de muerte para violadores? ¿Por qué se insiste con la ideol…
3,RT @Xileone: Las redes sociales están saturadas con las pruebas del fraude electoral de mañana. Los centros de votación ya tienen la cartil…
4,"RT @mapapozo: Martín Vizcarra: ""Estamos cambiando la forma de gobernar. El pueblo es el que manda""
Entonces:
- El pueblo manda que deje de…"
5,RT @LuzSalgado_R: @ugluis @MarthaChavezC Y la ONPE? Transparencia? Los Medios Televisivos? Los acuciosos investigadores seguro han descubie…
6,RT @camcesar: Funcionario nombrado por Martín Vizcarra cuando fue titular del MTC favorece a cuestionadas empresas a las cuales asesoró. ht…
7,RT @GiullianaLoza: He tomado conocimiento sobre una demanda de Habeas Corpus presentada a favor de #KeikoFujimori. La defensa no ha present…
8,RT @Manifiesto_pe: #ZonaRoja | ONG @IDL_R en contra de elección de José Luis Lecaros Nuevo Presidente del @Poder_Judicial_. ➡️https://t.co/…
9,"RT @josepimentelali: Ministro, desde cuando el personal DIGIMIN que depende de usted directamente se encarga del resguardo de dignatarios?…"
10,"RT @JovenesK: #TePrometoKeiko
Mensaje de los jóvenes fujimoristas a nuestra lideresa @KeikoFujimori a más de 4 semanas de su injusta prisió…"
11,"RT @romancendoya: ¿Se habrán enterado en Uruguay de que el juez Caruancho retiene los expedientes de @KeikoFujimori 24 días, y los tramita…"
12,"RT @meiermq: .@FiscaliaPeru .@PedroChavarryV para cuándo esta denuncia? O al oficialismo no se le toca? 
Ya pasó por Ética el señor “mago”…"
13,@alfonsobaella @AlanGarciaPeru @MartinVizcarraC @PoliciaPeru A todas luces existe #PersecuciónPolítica en el Perú p… https://t.co/3mjCORKQjp
14,RT @alfonsobaella: Vehículo de la policía con equipos de escucha a metros de la casa de @AlanGarciaPeru haciendo qué? @MartinVizcarraC @Pol…
15,@mlukacs Todo esta preparado por este ejecutivo dictatorial !!! #4VecesNO  #VizcarraMienteAlPais
16,RT @mlukacs: Faucett con Venezuela... este Referendum esta viciado desde su origen y su predecible resultado debera ser invalidado apenas c…
17,"RT @romancendoya: ¿Se habrán enterado en Uruguay de que el juez Caruancho retiene los expedientes de Keiko Fujimori 24 días, y los tramita…"
18,"@ZambranoOj @canalN_ Jajajajaj No me hagas reír, el odio les hacer decir estupideces !!!!"
19,"@GiullianaLoza Que inepto este pseudo juez, eso lo hace a propósito, con alevosía y ventaja !!! Carhuancho esta abu… https://t.co/C4Cnd1b27N"
20,"RT @GiullianaLoza: Cuando finalmente se eleva el expediente, se envía incompleto, por lo cual la Sala de Apelaciones se ve obligada a devol…"
21,RT @PedroChavarryV: Tomo estas cifras con responsabilidad y como una oportunidad para resaltar el valor del trabajo en equipo que cada fisc…
22,"RT @rsousaperu: Denuncia periodística contra el Presidente del Congreso D. Salaverry, sumada a la reiteración de otras denuncias contra con…"
23,RT @laurabozzo: Esta fue la campaña que hicieron en mi contra los mismos que hoy manejan el Peru😡36 meses arrestada por mentiras de testigo…
24,RT @ErickOsores: Notable Federico Salazar. Siempre un paso adelante del resto. https://t.co/RkmB2LDLDy
25,RT @aaronsalomong: Oficina de Control Interno abre proceso disciplinario a fiscal José Domingo Pérez por supuestamente filtrar cuestionario…
26,"RT @ConvocaPe: #LOÚLTIMO Control Interno de la Fiscalía abre proceso disciplinario contra el fiscal #DomingoPérez por no guardar la ""discre…"
27,"RT @MEMEOPERU: ¿Ya se enteraron del nuevo hit de ""El Tromercio""? Seria bueno que @larryportera los arrobe aquí también a sus amigos @renega…"
28,RT @MEMEOPERU: @ONPE_oficial hacemos que tu voto cuente. 😘  #4VecesNo https://t.co/wWVkq1oGbc
29,RT @KeikoFujimori: p. KF: Llevo ya más de un mes en prisión a la espera de que la justicia prevalezca en las instancias superiores. Esto es…
30,RT @AlcortaLourdes: Ahh...ya...ylo hizo xq...se le ocurrió...?X convicción...?X buena gente...?QUIEN LA MANDO?QUIEN ORDENÓ? sabe Dios a cua…
31,"RT @JBCPERU: Impresionante artículo de #FedericoSalazar que sorprende por su valentía, claridad y solidez conceptual. “Esta reforma que pro…"
32,"RT @Manifiesto_pe: Phillip Butters llama ""mamarracho"" al referéndum, llama a votar cuatro veces por el NO y dice que @KeikoFujimori está en…"
33,RT @KeikoFujimori: Sigamos con fe en el camino de la unidad porque son los momentos más difíciles los que más fortalecen a una familia. No…
34,"RT @Frospigliosi: ¿Cómo va a lidiar el presidente Martín Vizcarra, al que solo parece preocuparle su popularidad, con estos problemas que a…"
35,"RT @eudmed: Este Congreso se hizo cómplice del Ejecutivo al aprobar el Referéndum ""a la loca"". Así que le queda a los ciudadanos libres y p…"
36,"RT @ugluis: Este es el momento de enfrentarse duramente con la dictadura vuzcarrista. Independientes, demócratas, restos del fujimorismo, d…"
