,Tweets
0,"RT @JBCPERU: En @PBODigital, una de las raras tribunas libre de mermeleros. @MartinVizcarraC pretende reemplazar el @congresoperu https://t…"
1,"RT @JBCPERU: ¿@MartinVizcarraC será un demagogo, farsante o alucinado? Pronto lo sabremos. cc. @PBODigital https://t.co/9yLqtepyKk"
2,"RT @ppmarino: ¡¿20%?! Y la posibilidad del fenómeno El Niño el próximo verano, en nuestro país, es de 73%. https://t.co/RanbrclSkV"
3,@ppmarino Igual para ti Pepe 🤗
4,"RT @vcabalg: ¿Sabotear? 
El Fiscal de la Nación del Perú NO HA ESCRITO ese comunicado, lo ha escrito la Fiscalía de Brasil preocupada por e…"
5,"RT @MadeleineOster3: ""No vayan a nombrar a Marcial Rubio como nuevo jefe de la Sunat! ¡Nos dejaría sin un mango con las moras que aplicaría…"
6,"RT @xafu: La Vicepresidenta del Perú involucrada en una red de corrupción. En Ecuador, la VicePresidenta renunció para ser investigada. ¿Le…"
7,"RT @Politico_pe: .@vasquezkunze: Señora Pepi Patrón, no sea cínica. Está usando su condición de mujer para evadir su responsabilidad más cl…"
8,RT @Dianasemi: La ignorancia es atrevida....
9,RT @ugluis: Es una vergüenza que Torre Tagle haya firmado ese acuerdo internacional. Es lo más anti soberano y anti patriota desde la Guerr…
10,"RT @Patricia_Neyra: Ahora sí no??? Ahhh pues, ahora prueba de TU propia medicina!!! https://t.co/9rytsdeADn"
11,RT @meiermq: La renuncia de PPK y luego verlo feliz en tu matri...😂😂😂 https://t.co/wEa9Sih0PG
12,"RT @aaronsalomong: ""El referéndum ha aprobado el financiamiento de los partidos políticos y, como consecuencia, recién se regularán los apo…"
13,RT @aaronsalomong: Es realmente increíble que el gobierno del presidente Martín Vizcarra solo haya ejecutado 20% del presupuesto para la re…
14,"RT @Politicida74: -Feministas que defienden al Islam
-Castristas que defienden la democracia
-Chavistas que defienden DDHH en Latinoamérica…"
15,"RT @FernanAltuve: @diariocorreo Toledo prófugo, nadine y Villaran impunes, PPK y consorciadas intocables, Pucp agiotista, fiscalía con filt…"
16,RT @meiermq: Ka nuez debe ser grandota porque Giuffra anda muy contento y sin que nadie lo moleste. https://t.co/OqcFI07bm1
17,RT @JBCPERU: Ministerio Público de Brasil aclaró q apoyo a equipo de fiscales peruanos no es institucional. Obvio!! ¿Se imaginan a fiscales…
18,@ricardovlago https://t.co/FqoO7l9uTa
19,"RT @meiermq: Giuffra diciéndole a Mamani, ""ya sabes cómo es la nuez"" https://t.co/vMDQhXQgM9"
