,Tweets
0,"RT @piernona1: Que esperan para trabajar estos??? O quieren hacer más tiempo? El Referéndum ya pasó ya, QUE ESPERAN??? https://t.co/PCZItHR…"
1,"RT @piernona1: Pero ""Los Humala"" siguen libres a pesar de su culpabilidad en toda su Gestión?
 https://t.co/kb7nRCltYz"
2,"RT @cenvall: Vela: me hostilizan en MP
ACUSA A SU JEFE CHAVARRY?
Debe poner órden el FN ante falta de respeto de subordinados.
Escalada con…"
3,"RT @Ch_Transparente: A raíz de las dos últimas elecciones de partidos políticos fallidas, a causa del ""Voto Electrónico"", les queremos reco…"
4,"RT @FernanAltuve: @diariocorreo Toledo prófugo, nadine y Villaran impunes, PPK y consorciadas intocables, Pucp agiotista, fiscalía con filt…"
5,"RT @TrendsLima: #justiciaparakeiko es ahora una tendencia en #Lima

https://t.co/I62JZfA1ms https://t.co/nwvUDZr4lW"
6,RT @Wolfdruida: Es momento para que el @Poder_Judicial a través de la Sala de Apelaciones corrija las graves violaciones al debido proceso…
7,"RT @sullama: @KeikoFujimori  “ Sres, magistrados pido se me respete el debido proceso, la presunción de inocencia y mis derechos “
#Justici…"
8,"RT @Caro60: @MIKI_Torres_ Fiscal Vela perdió la brújula!! Qué miedo  tener fiscales de ese calibre,que buscan desesperadamente inculpar a q…"
9,"RT @Wolfdruida: Es momento de parar las arbitrariedades de un fiscal desbocado, inflado por el poder mediático, y un Juez COPYPEGA totalmen…"
10,"RT @TuKuyRiKuy4: ¡BURDA MANIOBRA! que todos los peruanos debemos rechazar, porque
ante todo debe primar el respeto por el derecho de una pe…"
11,"RT @lordrfadgrmm: El lloriqueo, en vivo y directo, de fiscal Vela (presión, acusaciones por mala praxis, etc.) ante la audiencia. ¿Quien ha…"
12,"RT @Doris63158461: Esperanza en un buen desempeño del Poder Judicial..15 de diciembre.
#JusticiaParaKeiko"
13,"RT @Doris63158461: Diciembre, mes de AMOR Y JUSTICIA.
#JusticiaParaKeiko"
14,"RT @Doris63158461: Esperamos con gran deseo la realización de la verdadera JUSTICIA  Para nuestra Lideresa
#JusticiaParaKeiko"
15,RT @DN_Mariano: @Poder_Judicial_ debe enmendar plana errores de Carhuancho y Pérez para recuperar principio elemental de presunción de inoc…
16,"RT @carlosc00268781: #JusticiaParaKeiko 
El Tribunal que verá la apelación de Keiko, no solo hará justicia, sino que al hacerlo, devolverá…"
