,Tweets
0,"Tan ""eficientes"" que gracias a su ""extraordinaria"" labor se investiga el caso Chinchero y  purgan prisión los corru… https://t.co/sN4mU9Gfea"
1,RT @JVillaStein: @JoseDomingoPe @GiullianaLoza Sólo un despiadado arribista puede pretender encumbrarse a expensas del perseguido;del desdi…
2,"Quien des-gobierna, confronta y polariza y todos los áulicos que desde el 2001 arrullan a los grandes saqueadores d… https://t.co/NUtYpuBRFy"
3,"Keiko Fijimori ""Solicito que se me respete el debido proceso, la presunción de inocencia, el estado de derecho y qu… https://t.co/duIBvbHEo4"
4,Que el presidente @MartinVizcarraC se deje de hacer demagogia.Q priorice el Norte donde hasta el momento solo hay u… https://t.co/o0eSzOeikd
5,Keiko Fujimori https://t.co/ZqUwLuD6OU
6,"RT @arzlima: Card. Cipriani: “No prostituyamos la búsqueda de la verdad y la justicia comprando conciencias"".
#DiálogoDeFe"
7,Rosa Bartra. https://t.co/RBD5fWiahF
8,"RT @MIKI_Torres_: Escuchando a @GiullianaLoza cómo desbarata uno a uno los argumentos de la fiscalía. Ahora entiendo, porqué el fiscal J Do…"
9,"RT @JovenesConFP: Aquí estamos, de pie y con la frente en alto. ¡Somos fujimoristas! Exigimos #KeikoLibertad https://t.co/OFgqy39RlT"
10,RT @CesarNakazaki: El Caso de Fuerza Popular es una cadena de arbitrariedades; 24 detenciones anuladas; desacumulacion de requerimientos de…
11,"RT @Wolfdruida: Sres. Sala de Apelaciones, Sr. Juez Salhuanay, A veces sentimos que es imposible enfrentar a un inmenso poder, pero la hist…"
12,"RT @Wolfdruida: Hoy la justicia peruana tiene una prueba de fuego, elegir los estándares contemporáneos donde prima la presunción de inocen…"
13,"@MIKI_Torres_ Estos operadores políticos de la mafia han perdido la brújula de la justicia, y en su afan de venganz… https://t.co/T6gF6SmQDL"
14,RT @MIKI_Torres_: El mundo al revés el fiscal Vela argumenta q la operatividad de Fuerza Popular es = a la de movimientos terroristas. Algu…
15,RT @Xileone: Este payaso que usurpa la identidad del fiscal demente debería ser denunciado. Ahora pretende que las víctimas de la insanía m…
16,"En un país donde se respetan las leyes, los Derechos Humanos y el debido proceso, hoy se debe y tiene que imponer l… https://t.co/snQCh3P9mY"
17,Al operador politico disfrazado de fiscal tarde o temprano le reventará en la cara los desmesurados abusos y el suf… https://t.co/3S9b3EPlle
18,"RT @Manifiesto_pe: Phillip Butters recuerda que fiscal José Domingo Pérez, cuando trabajaba en la región Moquegua, acusó a dos personas y l…"
19,RT @PepeChlimper: Fuerza Keiko! No estás sola! Y cada vez son más quienes desde diferentes tiendas reconocen el abuso en tu contra y en con…
20,"RT @GiullianaLoza: Informamos a la opinión pública que, ante la gravedad de las afectaciones en el proceso penal contra #KeikoFujimori ,est…"
21,"RT @palacastrillon: Amigos militantes y simpatizantes de ""Fuerza Popular 🍊"", este sábado 15 de Diciembre a las 8:00 am, en la Sala Penal, A…"
22,@MarthaChavezC Muchos no olvidanos aquella perversa cacería de brujas del entonces idolo de barro Alejadro Toledo.C… https://t.co/BYyAnWF40u
23,"RT @MarthaChavezC: Hoy hacen 13 años que el Congreso me repuso en la función congresal luego que por sentencia de última instancia, unánime…"
24,La venganza y perversa persecución de la q es objeto Keiko Fujimori no puede continuar en un país donde se dice hay… https://t.co/FxBclWgmoQ
25,¿El pueblo estará bien enterado del mega robo Lava Jato sobre el cual el presidente nuncaaaa se pronuncia y sobre l… https://t.co/1FY3KNSQIp
26,"RT @azabacheCaC: Decisiones como la del Fiscal Pérez, que investiga a una abogada de la defensa, producen desconcierto.  Se me ha preguntad…"
27,RT @Wolfdruida: Sr. Vizcarra el pueblo no lo eligió. Ud. es un Presidente accidental que debe dedicarse a buscar el bienestar de la poblaci…
28,@CristiGendirey @GiullianaLoza @IDL_R 😂😂
29,RT @GiullianaLoza: Ante este nuevo intento por afectar el derecho de defensa de #KeikoFujimori así como la limpia trayectoria de los abogad…
30,"RT @KarinaBeteta01: Con la incorporación como investigada de la abog. Giuliana Loza en el caso Cocteles a 2 días de la vista de la causa, e…"
31,"RT @MarthaChavezC: El titular debió ser ""Rechazan pedido DE LA FISCALÍA..."" A la dupla Pérez-Concepción no le bastó demorar un mes para ele…"
32,"Gobierno de Humala coimeó y regaló millones de dólares a Odebrecht, y hoy esta empresa extranjera seguirá robando,… https://t.co/E6y49gGNYN"
33,RT @IuliusAlfonsus: Se ha envanecido el fiscal q lleva el proceso en contra el fujimorismo. Los periodistas insisten en denominar el caso c…
34,"RT @MarthaChavezC: Pero M. Vizcarra anda paseandose por el pais para hablar de la labor de otros poderes del Estado, hace desplantes a alto…"
35,"RT @azabacheCaC: Todo mi respaldo al Ministerio Público como organización, pero ¿Investigar a los abogados de la defensa? ¿El mismo fiscal…"
36,"RT @CeciliaCM23: Y tú cómo te llamas? 
Felix moreno
Ok, vaya libre 
Y tú cómo te llamas?
Susana Villarán
Ok, vaya libre
Y tú cómo te llamas…"
37,"RT @realpolitikp: Incluyen a Giuliana Loza en investigación, allanan su estudio. ¿ Qué sigue? Van a allanar el colegio de las hijas, e incl…"
38,"RT @romancendoya: A #JoseDomingoPérez — presunto fiscal— le delata su lenguaje corporal. Resulta histriónico, con megalomanía narcisista. N…"
39,@laconchacaviar 😂😂😂😂😂
40,@felxs01 El irresponsable Presidente no se da cuenta que delibiltando al Congreso debilita a la democracia. La hist… https://t.co/sQoPwVIiz1
41,"RT @felxs01: En cualquier país democratico del mundo, una propuesta para quitar la Reelección Parlamentaria, y ahora quitar la Inmunidad Pa…"
42,RT @romancendoya: Sorprende el silencio de los grandes despachos de abogados del #Perú respecto a la violación del derecho de defensa de @K…
43,@CristiGendirey @GiullianaLoza @IDL_R No sé porque se me ha dado por llamarlo Juan en lugar de José Pérez al operad… https://t.co/AuZc6tPhMb
44,RT @luchogalarreta: El abuso y violación a todo derecho constitucional contra @KeikoFujimori de tener un debido proceso ya es VERGONZOSO. ¡…
45,RT @MarthaChavezC: A ver qué dice la decana del Colegio de Abogados de Lima. @DecanaCALPortoc https://t.co/X26OQKZwpV
46,RT @ernestoam21: Se están perdiendo las formas elementales de convivencia. La abogada de Keiko Fujimori no puede ser comprendida en la inve…
47,"RT @LuzSalgado_R: Como Secretaria General Nacional del Partido Político Fuerza Popular elevo mi preocupación al Poder Judicial, al Defensor…"
48,"RT @TammyArimborgoG: Este es el ""estado de derecho"" que vive el Perú!  Donde no se respetan los derechos humanos de la lideresa de la oposi…"
49,"RT @Angel_DelgadoS: La inclusión de Giuliana Loza, y de otros 5 abogados, en la investigación del caso Cocteles, constituye una violación a…"
50,RT @elvisocc: Se volvió loco el cabron o sus jefes de IDL en contubernio con VIZCARRA la quieren dejar sin defensa. https://t.co/cMpXI3VOLh
51,"RT @meiermq: Sr .@WGutierrezPE, confiamos en que la .@Defensoria_Peru sabrá salvaguardar las garantías del debido proceso de este ya bastan…"
52,"RT @IuliusAlfonsus: Estimado Dr. @PedroChavarryV como Ud., lo ha notado cientos de miles de peruanos nos hemos solidarizado con su causa. C…"
53,"¡Qué demagogo resultó ser este presidente por Dios!. La JNJ aún no nace y ya habla de triunfo, como si el nombre de… https://t.co/8KebTl0KHY"
54,RT @YeniVilcatoma2: Evidente. @MartinVizcarraC no quiere ningún tipo de fiscalización ni investigación. Pide la cabeza de Chavarry y ahora…
55,"RT @GiullianaLoza: Quiero denunciar un nuevo atentado contra la defensa de #KeikoFujimori. A sólo 48 horas de la audiencia de apelación, qu…"
56,@luchootoya No te equivocas.#PerezFueraDelCasoKeiko
57,"RT @LuzSalgado_R: @GiullianaLoza El colmo la quieren dejar sin defensa a Keiko, ni siquiera los defensores de los terriristas han sufrido t…"
58,RT @luchootoya: Con toda la “mala leche” de este fiscal estoy casi seguro que sus iniciales son HDP y no JDP. Me equivoco? https://t.co/9nA…
59,"@GiullianaLoza Un fiscal como Juan Pérez que tiene como fin encarcelar a una persona por odios y por consignas, no… https://t.co/dFgJeTRB1X"
60,"¡BURDA MANIOBRA! que todos los peruanos debemos rechazar, porque
ante todo debe primar el respeto por el derecho de… https://t.co/aWpoif0ErY"
61,"RT @Xileone: Cierto. Su lucha es contra el Congreso, el Fiscal de la Nación y los partidos políticos. Pero no contra los corruptos de Odebr…"
62,RT @GirasolPeru: @TuKuyRiKuy4 Habla de corrupción y permite q Odebrech contrate con el estado. Habla de corrupción y Chichero está en march…
63,RT @gonzalesposadal: Los 12 países del grupo de Lima deberían dirigir una nota al presidente Putin expresando que el Gob de Maduro amenaza…
64,RT @elhigadodmarita: Cómo se puede ser tan soberanamente imbécil? Llamar “victoria histórica” a un referéndum “ganado” utilizando a medios…
65,@MarthaChavezC Y habla de fortalecer las instituciones cuando hace todo lo contrario. Le resultó rentable confronta… https://t.co/NRFbGIuz3w
66,RT @MarthaChavezC: Acabado el distractivo del referéndum ahora M. Vizcarra apunta a la inmunidad parlamentaria (que rige también para el De…
67,Vizcarra dice luchar contra la corrupción pero en ningún mensaje a la Nación se refiere a Lava Jato el caso de corr… https://t.co/W2K3rAuM2R
68,"RT @rsousaperu: ¡Qué clase de diálogo con los partidos políticos propone el Presidente Vizcarra, cuando tienen presa a la líder del partido…"
69,No hay nada que hacer el fútbol no va con Vizcarra. El domingo pasado para ver Rive-Boca más de 5 millones de perua… https://t.co/jLGM8I2Urz
70,"RT @josepimentelali: Cifras  Reales 
Trafaréndum 
22'227,581 electores.
5'658,002 no votaron
3'313,916 blanco o nulo.
13'255,663 votos váli…"
71,"Qué tal cuajo señorita Osorio, le desea éxitos a un VIOLADOR y se pregunta qué quieren q le desee. Lídere marchas d… https://t.co/DlYhuy1HyI"
72,"Lo irónico es que el Perú tenga como ministro de justicia a un ""hombre"" que durante 24 años se burló y negó a su pr… https://t.co/SGeVohYsmd"
73,@gonzalesposadal @jdealthaus Para que darles el gusto de salirse. Si insultan bloqueo inmediato y al desagüe.
74,"RT @TJCmagno: ¿Sabes quien es Colchado? fue peón de Ollanta y mano derecha de Iván Vega, operador político de Nadine. ¿Sabes quién es Morán…"
75,RT @LuzSalgado_R: Reconocimiento a ex constituyentes al cumplirse 25 años de ser Promulgada la Constitución de 1993 https://t.co/Zw6gSlW5OS
76,RT @romancendoya: Gorriti —conspirador y manipulador—de IDL-Reporteros de la mano del fiscal prevaricador —que obstruye a la justicia reten…
77,En periódico mural d la @PoliciaPeru se difunde caricatura sobre Keiko Fujimori del recalcitrante antifujimorista H… https://t.co/vJ2zOAP9Vi
78,"RT @KeikoFujimori: Mantengo la esperanza que las instancias superiores, con mayor objetividad y experiencia en el Poder Judicial, puedan co…"
79,RT @KeikoFujimori: Mi gran ilusión es que en esta nueva instancia el INDEBIDO PROCESO se convierta en DEBIDO PROCESO. Y digo esto porque lo…
80,RT @KeikoFujimori: 43 días después de haberse iniciado mi prisión preventiva acabo de recibir la noticia que mi familia y yo hemos esperado…
81,RT @TubinoCarlos: @GiullianaLoza Esperamos “JUSTICIA” con @KeikoFujimori es inadmisible que en un país democrático la líder del principal P…
82,RT @oscarevaldes: Es inconcebible que empresas internacionales con cómplices empresarios nacionales han saqueado el PAIS puedan seguir cont…
83,"RT @Pontifex_es: Pidamos a la Virgen María, Nuestra Señora de Guadalupe, que siga acompañando y protegiendo a los pueblos del continente am…"
84,@GiullianaLoza ¡Justicia para KeikoFujimori! perseguida e injustamente encarcelada por una mafia que ya vemos como… https://t.co/foWbzuUMYO
85,"RT @GiullianaLoza: Finalmente, después de las demoras y postergaciones promovidas por el juzgado de orígen, la apelación de #KeikoFujimori…"
86,"Qué estan haciendo contra el reciente electo gobernador de Arequipa, Elmer Caceres Llica, quien violó a tres mujere… https://t.co/q25vCw3DEe"
87,"RT @CNNEE: ÚLTIMA HORA
Evacuan sede de Facebook por amenaza de bomba https://t.co/eKgcHgvoUL"
88,"@MarthaChavezC Cuando no la caviarada, todo lo que tocan lo pudren. Estos no tienen ningún activo que mostrar al pa… https://t.co/Fnwvsb3jQQ"
89,RT @MarthaChavezC: Cuántas injusticias y abusos se habrían evitado de haber asumido el Cardenal Cipriani el cargo de Gran Canciller de la P…
90,"RT @carlosc00268781: Somos 22'227,581 electores; 5'658,002 no votó; 3'313,916 votó nulo o blanco; quedan 13'255,663, el 75% votó sisisino e…"
91,@KarlaSchaefer Falta que las grandes empresas dejen de ser grandes compradores. Las más afectados son las Mypes. Mucho ojo con ese tema.
92,Indignadito selectivo ya estas preparando tus pancartas  para tu marchita contra esta burla👇al país.… https://t.co/Q4QpaGaEks
93,"RT @ernestoam21: Para fiscalizar, el congresista necesita de inmunidad (en el ejercicio de sus funciones) de lo contrario sería presa fácil…"
94,RT @agildemeisterrh: @TuKuyRiKuy4 @MartinVizcarraC Esto es increíble: la empresa que robó y sigue robando miles de millones de dólares en o…
95,"RT @LuzSalgado_R: Hay temas muy importantes que se tienen que legislar por tanto estoy de acuerdo en ampliar legislatura , siempre se ha he…"
96,"Rabioso, sabias que gracias al referéndum, Fuerza Popular
será el más beneficiado con el financiamiento a los parti… https://t.co/o0OYNd508G"
97,Barata será colaborador eficaz para perseguir a quienes no estén alineados con la mafia caviar y… https://t.co/WgFT8Px4B6
98,RT @alvarosarco: Pese a que el llamado Club de la Construcción ganó contratos con el Estado vía acuerdos ilegales y licitaciones fraudulent…
99,"RT @Wolfdruida: Aprovechando el proceso de consulta popular, el equipo especial de la Fiscalía le hizo un regalo de Navidad a Odebrecht fir…"
100,"No hay cheque en blanco para hacer locuras o pretender perpetuarse en el poder: 
-  Más de 5,4 millones no votaron… https://t.co/qyRA5rlI8h"
101,"RT @Wolfdruida: @TuKuyRiKuy4 #YoSoyFujimoristaYQué
Prefiero ser fujimorista y no caviar, social confuso, espermatozoide caminante, proterru…"
102,"En qué momento @NiUnaMenosPeru y toda las ONG's que ""defienden y luchan"" contra la violencia a la Mujer organizan m… https://t.co/fwksTIyxOq"
103,"¿Señor presidente @MartinVizcarraC la lucha contra la corrupción de la que nos habla todos los días, es esta 👇vergo… https://t.co/KLxpLMdWy6"
104,"Anti rabiosa, a millones nos enorgullece ser FUJIMORISTAS y es un honor que nos señalen como tal porque les guste o… https://t.co/RH0ajwHJJY"
105,RT @RTultimahora: ÚLTIMA HORA: Futuro canciller de Bolsonaro anuncia la salida de Brasil del Pacto para la Migración de la ONU https://t.co…
106,@DorisAzores @CiudaPachacutec Y con su platita haremos campaña para nuestros próximos representantes en el Congreso 😂😂😂.
107,"RT @JoseMartSN: El partido Fuerza Popular perdió esta batalla ante caviares a pesar de su aplastante mayoría.
Muchos traicionaron nuestros…"
108,RT @KarinaNovoaL: No veo un escándalo por las entradas regaladas por Oviedo a Pablo Sánchez y otros (fuente Caretas) tampoco fue así cuando…
