,Tweets
0,Precisas palabras de mi ex alumno Ulises Humala Tasso. https://t.co/4BShctsUTo
1,"RT @carloslig: No joda. Toda la caviarada. Para qué elegimos Congresistas? Esos son los llamados.
.@MartinVizcarraC edta allí porque PPK fu…"
2,"RT @CesarNakazaki: Si la abogada acude a la Comisión IDH está mal, pero si recurre Fiscal está bien? https://t.co/sU8D2iIZ4O"
3,RT @lordrfadgrmm: @Manifiesto_pe @FiscaliaPeru Se olvidaron la ex .@pucp y .@larepublica_pe que es competencia de .@FiscaliaPeru el realiza…
4,"RT @AlcortaLourdes: Un francotirador.... es d tal horror....es tan fuera d la naturaleza humana, es tal la aberración .... un francotirador…"
5,RT @GiullianaLoza: En base a #TestigosProtegidos que mienten se pretende seguir privando de su libertad a #KeikoFujimori. Sin corroboración…
6,"RT @xafu: @MilagrosLeivaG La política del año ha sido sin duda @rosamariabartra. Presidió 2 Comisiones fundamentales, Lava Jato y Constituc…"
7,"RT @elhigadodmarita: Parece que algunas periodistas andan nerviosísimas con el ""Mermelero del Año Award"" que ya empezaron a incluirme en so…"
8,"RT @GiullianaLoza: Se ha desnaturalizado la figura del #TestigoProtegido, asignándole tal condición a quien, según la fiscalía, sería partí…"
9,"RT @GustavoOrozcoH: -Despiadado arribista
-Pobre diablo con ganas de sentirse “alguien”

Muy exacta descripción de un desgraciado con poder…"
10,RT @NicolasLucar: Último minuto! Juan Carrasco de @FiscaliaPeru dice que red de corrupción de Municipio de Chiclayo incluía a congresistas…
11,"My week on Twitter 🎉: 737 Mentions, 2.34M Mention Reach, 6.49K Likes, 3.11K Retweets, 227 Replies. See yours with… https://t.co/mPJxKq6sCi"
12,RT @ExpresoPeru: La excandidata presidencial añadió que no existe peligro de fuga y que hasta ahora que la Fiscalía no muestra prueba algun…
13,"RT @GiullianaLoza: La prisión preventiva requiere de una motivación cualificada. No debe sustentarse en la ""presunción"" del peligro procesa…"
14,RT @noakeikope: Estamos listos para convocar y salir a las calles en cualquier momento. @PedroChavarryV no nos robará la justicia. https://…
15,RT @RZP140650: USTED DEBE EXIGIR LA NULIDAD DE ORGANIZACIÓN CRIMINAL https://t.co/VOi3kfEq84
16,"RT @GiullianaLoza: Privar de la libertad a una persona por suponer ""una futura acción de fuga"", utilizando ejemplos para compararla indebid…"
17,RT @vince_bryce: Soy un soldado especialista en cosas especiales de raíz . Somos unos soldados anti terroristas y especiales en estudiar lo…
18,"RT @GiullianaLoza: La fiscalía se sustenta en meras ""inferencias"". Ningún elemento de convicción de cargo. ¿Así pretende que #KeikoFujimori…"
19,"RT @Humbertolaechea: El odio estupidiza,embrutece,envilece...y lo peor,algunos d estos hipocritas son los q lo aplaudieron a rabiar el 92,l…"
20,RT @GiullianaLoza: Tal desnaturalización se ha efectuado con la finalidad de no cumplir con el procedimiento legalmente establecido de corr…
21,RT @Mike05446737: @ormusverum @KeikoFujimori Son 18 años de persecusión politica en contra de todos los que lucharon contra el terrorismo y…
22,https://t.co/1UiXqDIN5i
23,https://t.co/d8ytDk1ACo
24,https://t.co/ey6aiRjBPl
25,"RT @MarioS759: BRASIL DESINFLA BLUFF DE APOYO A VELA
Respaldo del equipo Lava Jato de Brasil al fiscal Vela no es institucional, señala Fis…"
26,RT @ExpresoPeru: [LISTA COMPLETA]Todo indicaría que estas personalidades son las elegidas por el Ejecutivo. https://t.co/0uQ5OzFZW3
27,"Lástima, la CIDH solo atiende a caviares. https://t.co/qQA0uQUFPS"
28,"RT @KikeBravoPrado: Me meto a tu casa con una ""gente"" Te robo, me descubres, te pido perdón y te pido que no me metas preso con la condició…"
29,"RT @MEMEOPERU: Alcalde saliente de Chiclayo, David Cornejo Chinguel envía carta a Fiscal Chávarry para convertirse en colaborador eficaz y…"
30,RT @Wolfdruida: @MecheAF Vinieron por Keiko y no dije nada. Luego vinieron por Alan y tampoco dije nada. Ahora vienen por mí ¿Habrá alguien…
31,"RT @sullama: Antero Flores Araoz , “@MartinVizcarraC  ha dicho algo extraordinario en su discurso , que  el va a trabajar, q bueno porque y…"
32,"RT @JBCPERU: Me dicen que #AlanWagner está con una severa faringitis perteneciente a la sepa #MiedoTemblaritus. De otra manera, como siempr…"
33,RT @tamaritaKLOG: Carajo.. @MartinVizcarraC si que es un dictador se está yendo hasta contra su propia gentita de su bancada?? Esto le esta…
34,"RT @DitelColumbus: Totalmente de acuerdo.
Cuando las investigaciones penales se conducen de forma irresponsable, sin corroborar testimonios…"
35,Pura demagogia vizcarrina https://t.co/TUbvC0C24H
36,"RT @mbfussball: Erlebe die Stars von morgen – live und hautnah! #MBJC19

🏟 @MercedesBenz JuniorCup
🗓 5. &amp; 6. Januar 2019
📌 Glaspalast Sinde…"
37,RT @Gatitadelsur: TODA LA CAVIARADA DE LA PUCP ! QUIÉN ESTÁ DETRÁS DE TODO ESTA PORQUERÍA ? https://t.co/u5fhafR9eD
38,"RT @MarioS759: BRASIL DESINFLA BLUFF DE APOYO A VELA
Respaldo del equipo #LavaJato de Brasil al fiscal Vela no es institucional, señala Fis…"
39,"RT @miguelvenero1: Wagner q opinas d los ladrones d la PUCP?, o no quieres opinar x q mamarracho Vizcarra ya anunció q convocará junta de n…"
40,"RT @bethlaw011: Ahora el Tribunal de Honor definirá la situación del Fiscal de la Nación, y esperamos que se actúe sin ningún tipo de presi…"
41,RT @JBCPERU: ¿Habrá jueces por aquí que se atrevan a decirle lo mismo a nuestro #presidenteaccidental? https://t.co/34vZ037fCu
42,RT @reyreysincorona: Como supuse! El Comercio NO publicó hoy NADA sobre el tremendo y delictivo escándalo económico en la exPUCP! Ni una lí…
43,"RT @mlukacs: Sr. @PedroChavarryV, el delito ya fue confesado por el cabecilla de esta organizacion criminal. Todo el peso de la ley para es…"
44,RT @TubinoCarlos: Congresista @AlbertoBelaunde deje d mentir a la población. Retiro de firma responde a que ya existía un dictamen de la Co…
45,"RT @RichardMontoyaR: A las 3:27 pm , en los exteriores de la Sala Penal Nacional Fujimoristas apoyando a Keiko Fujimori @KeikoFujimori  y s…"
46,"RT @Politico_pe: O sea, un subordinado sí puede pedir la renuncia de su jefe en cámaras, sí puede pedir que un organismo extranjero interve…"
47,"Ya no es nuez, tiene el tamaño de una granadilla. ¿Quién le da tanta impunidad a @Brunogiuffra y @MecheAF ? https://t.co/W9n58ba7Ww"
48,La prensa mermelera es cada vez más mentirosa. ¡Qué desgracia! https://t.co/j0NSu6ePFL
49,"RT @AlanGarciaPeru: Asistiré, como agraviado, a la nueva citación de la fiscalía por el caso de la interceptación. Ésta, y el ""reglaje"" son…"
50,RT @ernestoam21: La defensa de todo investigado tratará de desacreditar la investigación. Hemos regresado al siglo XVI ? https://t.co/PVufZ…
51,"RT @ereynaabogado: SI OVIEDO ES CULPABLE TENDRÁ Q SER SANCIONADO,PERO QUIEN PROMUEVE ACTOS DELINCUENCIALES DE IMPUTAR FALSAMENTE A POLÍTICO…"
52,Tira de cobardes mentirosos https://t.co/71BuhPMnGP
53,"RT @vince_bryce: Keiko , debe aliarse con Mandatarios anti comunistas, como @jairbolsonaro de Brasil y reunirse con el ( si puede ) o llama…"
54,"RT @meiermq: Giuffra diciéndole a Mamani, ""ya sabes cómo es la nuez"" https://t.co/vMDQhXQgM9"
55,"RT @yturbe_: La denuncia de Oviedo es gravísima, se está convirtiendo en una práctica habitual extorsionar gente para que se le considere c…"
56,"RT @Manifiesto_pe: Gobernador regional de Junín, Ángel Unchupayco, ingresa a la lista de autoridades en la mira de la justicia, esta vez po…"
57,"RT @cenvall: Vela: me hostilizan en MP
ACUSA A SU JEFE CHAVARRY?
Debe poner órden el FN ante falta de respeto de subordinados.
Escalada con…"
58,"RT @ernestoam21: @eljorobado Definiendo objetivos: seguir debilitando a los partidos para que medios y ongs tengan más poder o, fortalecer…"
59,"RT @sullama: El títere de los caviares @MartinVizcarraC  llama a la unidad, cuando el mismo no ha invitado a la reunión al Fiscal @PedroCha…"
60,Encuestas con inflador. Totalmente increíbles https://t.co/Ss5wbKGVkf
61,Asquerosas https://t.co/ZuQCb5wHiS
62,RT @purocachitos: Pobre mi peru. Tanto daño le están haciendo estos caviares https://t.co/5WGzQ6Ju0A
63,Siguen los pretextos para entorpecer procesos judiciales justos. https://t.co/whDLoLtBQp
64,"RT @veroisapunk: Privilegio masculino:

Muertes en guerras
98% Hombre
2% Mujer

Muertes en trabajo
93% Hombre
7% Mujer

Sin techo
62% Hombr…"
65,Merece una respuesta inmediata https://t.co/dYmxU4X45N
66,Lo mismo debemos hacer aquí. https://t.co/IAQi4nlqy7
67,"RT @gonzalesposadal: Ortega es responsable de 515 asesinatos, 1,600 heridos, 674 presos políticos y q 40 mil nicaragüenses huyan a Costa Ri…"
68,"RT @Manifiesto_pe: Phillip Butters recuerda que fiscal José Domingo Pérez, cuando trabajaba en la región Moquegua, acusó a dos personas y l…"
69,"RT @AlanGarciaPeru: Gravísimo. Extorsionar y coaccionar a los procesados y ofrecerles beneficios a cambio de involucrar, como sea, a quiene…"
70,"RT @reyreysincorona: Jode no? .......
Pero tranquilo, a ti La República y el cártel mediático NO te van a condenar a priori. Contigo SÍ van…"
71,RT @MarioS759: ¿METODOLOGÍA JDP? Oviedo denuncia extorsión: “fiscal Sandra Castro me pidió conversar a solas y me hizo la propuesta de ser…
72,"RT @betoasaberatv: Sin propina, ni empleo. Despiden al mozo que denunció abusos en restaurantes de lujo.

Mira el programa en @atvpe  https…"
73,Muy cierto. https://t.co/iIMur5zdh5
74,Bilssonaro nos marca el derrotero. https://t.co/iWXvK3CLCy
75,Este fuscalillones un psicopáta criminal. https://t.co/zahhyqftDs
76,RT @DecanaCALPortoc: No se debe limitar ni  confundir el legítimo  el ejercicio de la profesión al hacerlo se  contravienen  normas   const…
77,La sala tiene un solo objetivo: detener a la defensora de Keiko uy bloquear el caso hasta después de fiestas de fin… https://t.co/7R7pG1NpyZ
78,"Our biggest fans this week: @Leaobutron, @MarthaChavezC, @LuzSalgado_R. Thank you! via https://t.co/bAFYrBpPzn https://t.co/mSWQZ0xnHy"
79,"RT @PrimerPedal: La justicia....
¿depende de un ""acuerdo"" con los delincuentes para dejar que sigan operando?
¿Nos hipotecamos al testimoni…"
80,"RT @alfonsobaella: Roman Cendoya: ""los que le hablan al oído del presidente le han creado un supuesto estado de opinión pública, a través d…"
81,"RT @frmdg2001: Si está información es cierta ,es muy grave y aún los Peruanos no reaccionan? es evidente la Complicidad  con estos genocida…"
82,RT @LucianoRevoredo: ¡Hoy es el día! Espero que se haga justicia y Keiko Fujimori @KeikoFujimori pueda salir en libertad. ¡Basta de abusos!
83,RT @dil_dilber: Es la realidad @KeikoFujimori! Privada de su libertad por toda una mafia orquestada del Gobierno en complicidad con los sic…
84,"RT @JuanCarlosDelAg: #DebidoProceso 
@KeikoFujimori 
#KeikoLibertad https://t.co/UJ4V3IClK5"
85,RT @giberita: Y así es como trabaja la fiscalía. Te amenaza con la familia para q acuses sin pruebas a quienes ellos se quieren bajar como…
86,"RT @ViliveLive: Nunca la maldad ha triunfado, imperios y tiranos han caído, el de turno es un mamarracho muy poco le va a durar. https://t.…"
87,Las incoherencias de Mechita. https://t.co/KdHJspVdfZ
88,Ese es el desprecio del gobierno frente a los jubilados.  ¡Organicemos la Marcha nacional! https://t.co/9DEppMIZdN
89,"RT @samaelloord: De  Q corrupción habla, si el TOPO ya se alineó a la mafia.... ppk, odebrecht.   ¿ahora blindada a las ratas q nos gobiern…"
90,"RT @felxs01: Lo más evidente y que nadie se ha puesto a meditar acerca de las mochilas, es que, la policia sabe perfectamente que no puede…"
91,RT @RZP140650: @PedroChavarryV  @JVillaStein @CNNEE @ugluis @jdealthaus @eudmed @CesarNakazaki @Vponce64 @alfonsobaella @mabel_huertas @Exp…
