,Tweets
0,@cenvall @PedroChavarryV #MafiaIDLGobiernaEnPeru https://t.co/8PQEAhlsd8
1,"RT @cenvall: Vela: me hostilizan en MP
ACUSA A SU JEFE CHAVARRY?
Debe poner órden el FN ante falta de respeto de subordinados.
Escalada con…"
2,@lordrfadgrmm @peru21noticias @cevalenzuelav @FiscaliaPeru A CECILIA VALENZUELA INVITALE LO QUE LE GUSTA! MERMELADA… https://t.co/b0nT7lT75P
3,"@peru21noticias CECILIA VALENZUELA! 
MERMELERA Y CHUPAMEDIAS DEL GOBIERNO CORRUPTO! https://t.co/dsemg0lvro"
4,@ojosvistas @MininterPeru @FiscaliaPeru @MimpPeru HABER QUE DICE @MartinVizcarraC????
5,"RT @ojosvistas: Indignante el maltrato extremo que sufrió la señora María Barbieri, por más de 30 años, a manos del salvaje de su esposo, G…"
6,RT @CesarNakazaki: Hoy hubo intensa audiencia de apelación en prision preventiva de Caso FP; Fiscal Vela sin duda de los mejores oradores d…
7,RT @GiullianaLoza: En base a #TestigosProtegidos que mienten se pretende seguir privando de su libertad a #KeikoFujimori. Sin corroboración…
8,@exitosape BASA DE VENGANZAS! #KeikoLibertad
9,"RT @TuKuyRiKuy4: Keiko Fijimori ""Solicito que se me respete el debido proceso, la presunción de inocencia, el estado de derecho y que prosi…"
10,"@Lilyana1401 @AlexCaJat DELINCUENTE SERÁS TU.
PEZUÑENTA."
11,"RT @Manifiesto_pe: Implican a congresista de @CesarAcunaP en corrupción con @MecheAF según alcalde de Chiclayo, presionaban para darles obr…"
12,"RT @victori39804465: MAFIA AL DESCUBIERTO! 
PEREZ-GORRITI
GORRITI-PÉREZ.
TU ME FILTRAN INFORMACIÓN Y YO TE DEFIENDO! #MAFIOSOS! https://t.c…"
13,"@kampueromeza SI, PERO OJALÁ ESTE EL FISCAL @PedroChavarryV Y LOS REPRESENTANTES DE TODO LOS INVOLUCRADOS."
14,"@LavaJatoPeru OJALÁ SEA EL FISCAL @PedroChavarryV Y LOS REPRESENTANTES DE TODO LOS INVOLUCRADOS.
@FiscaliaPeru 

Y… https://t.co/PI1l8dNAy3"
15,"FISCAL RAFAEL VELA,  CHACAL DE GORRITI AL IGUAL QUE JD.PÉREZ, JUAREZ ATOCHE....
CLARAMENTE HACEN POLITICA DIGITADOS… https://t.co/UqGP2h3aO2"
16,"RT @alvarosarco: Que alguien le avise a Rafael Vela, el chacal de Gorriti, que se le escucha perfectamente. No necesita gritar para exponer…"
17,RT @lordrfadgrmm: Fiscal Vela pretende decir que pidiendo PRUEBAS por parte de la defensa es propio de organizaciones criminales. El NO POD…
18,RT @PepeChlimper: Fuerza Keiko! No estás sola! Y cada vez son más quienes desde diferentes tiendas reconocen el abuso en tu contra y en con…
19,@reyreysincorona EL CAVIARON NO RESPONDERA.
20,"RT @reyreysincorona: Dos preguntas más Allan:
1)Recibiste mis preguntas anteriores?
2)Las piensas contestar? https://t.co/SDAmqXxFYG"
21,RT @basurtozegarra: PERUANOS ALCEMOS NUESTRA VOZ DE PROTESTA EL GRAVE DELITO DE TRAICION POR VIZCARRA AL FIRMAR UN PACTO  A ESPALDAS DEL PU…
22,"RT @Manifiesto_pe: Phillip Butters recuerda que fiscal José Domingo Pérez, cuando trabajaba en la región Moquegua, acusó a dos personas y l…"
23,"RT @AlvGutierrezCue: Gobierno no puede llamar al diálogo  siguiendo atacando al Congreso. Si dicen ser transparentes, por qué Villanueva no…"
24,@elpanfletope @PepeChlimper ASALARIADO DE DELINCUENTES! TE GUSTA SU PISTOLA! MÉTETE YA SABES DONDE y PROVECHO. https://t.co/R9GNj7F8MV
25,@PepeChlimper KEIKO LIBERTAD!
26,@DraGonzalez @diariocorreo @MilagrosLeivaG NEURÓTICA Y MAL NACIDA. https://t.co/aecYUyXqDo
27,@manarellidiego @Poder_Judicial_ @Defensoria_Peru @TC_Peru @PedroChavarryV @FiscaliaPeru CASI TODOS ELLOS PERTENECE… https://t.co/EM3ktqwU7I
28,RT @manarellidiego: NO ENTIENDO CÓMO EL @Poder_Judicial_   @Defensoria_Peru  @TC_Peru @PedroChavarryV PUEDEN PERMITIR LAS INJUSTICIAS Y ATR…
29,@reyreysincorona NO LE VA RESPONDER.
30,@SurielOpina DE ACUERDO!
31,"MISERABLES! LO MÁS PROBABLE ES QUE A #VIZCARRA, A SU COMPLICE #GRAÑA CON SU PRENSA DELINCUENCIAL, A #GORRITI Y A AL… https://t.co/nfvzjkqXNw"
32,"@kampueromeza LO MÁS PROBABLE ES QUE A #VIZCARRA, A SU COMPLICE JOSÉ #GRAÑA CON SU PRENSA DELINCUENCIAL, A #GORRITI… https://t.co/pCM029xGzQ"
33,"RT @kampueromeza: Odebrecht es inhabilitada en Colombia y la multan con 251 mill. de dólares. En Peru, 2do país más perjudicado x la corrup…"
34,"@reyreysincorona POR SUPUESTO QUE SI! 
LOS DOMINGOS A LAS 9 DE LA NOCHE, YO PREFIERO VER #ReyConBarbaYTudela 

PORQ… https://t.co/ccGG7Zltkz"
35,RT @reyreysincorona: Como supuse! El Comercio NO publicó hoy NADA sobre el tremendo y delictivo escándalo económico en la exPUCP! Ni una lí…
36,RT @lisarita1956: #MafiaIDLGobiernaEnPeru https://t.co/BDnKAevKXu
37,RT @lisarita1956: #MafiaIDLGobiernaEnPeru https://t.co/1dGRva2FQS
38,@noticiAmerica SU CARA DICE QUE ESE FISCAL MIENTEEEEEE!
39,"@andoenpando QUE NIVEL! 
ESTE ES EL NIVEL DE ESTUDIANTES QUE TIENE LA #PUCP??? 
QUE VERGUENZA!
MAS PARECE UN VAGO F… https://t.co/CBzTdyN0BP"
40,RT @RichardMontoyaR: Edwin Oviedo denuncia que la Fiscalía lo está forzando a ser colaborador eficaz para involucrar a políticos y jueces |…
41,"RT @RichardMontoyaR: El Fujimorismo es el único Muro para detener a los ladrones de “Pepito” y Gonorriti , esa es el fondo de la Persecució…"
42,"RT @Doris63158461: Esperamos con gran deseo la realización de la verdadera JUSTICIA  Para nuestra Lideresa
#JusticiaParaKeiko"
43,"RT @MolinariJulia: @DecanaCALPortoc Vaya, vaya, con un comunicado tan tibio deja en el desamparo a sus agremiados.  Mejor deje el cargo por…"
44,"@DecanaCALPortoc ENTONCES DEBERÍAS COMENZAR A SER DRÁSTICA CONTIGO MISMA, YA QUE TU COMENTARIO ES TAN INDIFERENTE!… https://t.co/DI4KZs6Msn"
45,"RT @victori39804465: @JoseUgazSM @elcomercio_peru SR. ABOGADO DE #ODEBRECHT!
#PÉREZ PIDE SACAR A FISCAL CHAVARRY
#VIZCARRA PIDE SACAR A CHA…"
46,"MAFIA AL DESCUBIERTO! 
PEREZ-GORRITI
GORRITI-PÉREZ.
TU ME FILTRAN INFORMACIÓN Y YO TE DEFIENDO! #MAFIOSOS! https://t.co/zahvTWdxhZ"
47,@rubenlima2017 @wilbermedinab @PedroChavarryV @FiscaliaPeru @TC_Peru @COMISEDH @KikeBravoPrado @PBODigital… https://t.co/9ok3BylOKt
48,"@MIKI_Torres_ DIOS TE OIGA, ES MI MAYOR DESEO! 
#KeikoLibertad"
49,RT @MIKI_Torres_: Ahora concentraré mis esfuerzos en las reformas que el  país necesita y en continuar dirigiendo el Comité de Transición q…
50,"RT @MIKI_Torres_: Luego de  52 días de haber puesto a disposición mi cargo de sub secretario de Fuerza Popular, hoy queda formalmente regis…"
51,"SR. UGAZ ABOGADO D #ODEBRECHT!
#PÉREZ PIDE SACAR A FISCAL CHAVARRY
#VIZCARRA PIDE SACAR A CHAVARRY
#GORRITI PIDE SA… https://t.co/pm2QFLb6vb"
52,"@JoseUgazSM @elcomercio_peru SR. ABOGADO DE #ODEBRECHT!
#PÉREZ PIDE SACAR A FISCAL CHAVARRY
#VIZCARRA PIDE SACAR A… https://t.co/xQCcF6rJvS"
53,RT @RequisGladys: @DN_Mariano @FiscaliaPeru @IDL_R @KeikoFujimori @RichardMontoyaR @carlosc00268781 @Gatitadelsur @CMHNTM @veritatisperu @x…
