,Tweets
0,RT @VicenteCanchoa: @Poder_Judicial_ demuestre su independencia tomando la decisión que mas convenga apegado a ley y no por presión mediáti…
1,"@IDL_Rivera Eso está bien, lo contempla la ley, pero que entiende ud., el IDL y algunos fiscales busca fama, como ""… https://t.co/8W9r2aXOMk"
2,"@nelsonmanrique Los puntos sobre las íes. Nadie desmerece nada, pero tampoco se vengan a colgar de falsos apoyos ¿L… https://t.co/aro9BERZRT"
3,RT @mlukacs: Solo deseo manifestar que eres un pobre diablo envalentonado por la proteccion que te brindan IDL y sus patrones en el extranj…
4,"RT @RichardMontoyaR: A las 3:27 pm , en los exteriores de la Sala Penal Nacional Fujimoristas apoyando a Keiko Fujimori @KeikoFujimori  y s…"
5,"RT @FernanAltuve: @diariocorreo Toledo prófugo, nadine y Villaran impunes, PPK y consorciadas intocables, Pucp agiotista, fiscalía con filt…"
6,RT @JBCPERU: Ministerio Público de Brasil aclaró q apoyo a equipo de fiscales peruanos no es institucional. Obvio!! ¿Se imaginan a fiscales…
7,"RT @lisarita1956: @Wolfdruida @BankadaFP @jovenesconkeiko #JusticiaParaKeiko 
#JusticiaParaKeiko"
8,"RT @lisarita1956: @Wolfdruida #JusticiaParaKeiko 
#JusticiaParaKeiko"
9,"RT @lisarita1956: @Milenadovil @Wolfdruida #JusticiaParaKeiko 
#JusticiaParaKeiko"
10,"@ExpresoPeru ¿Este cacique de provincia va a venir a decir al Congreso que él y su ""Junta de notables"" hará la refo… https://t.co/LmqDkxarQ1"
11,"RT @gildatrkovic: @Wolfdruida @lcbcasbo @BankadaFP @jovenesconkeiko #JusticiaParaKeiko 
#KeikoLibertad 
#KeikoPresaPolitica 
#KeikoNoEstaSo…"
12,"De lejos, Mávila ""La Aguatera"" https://t.co/GuJrgAfuLL"
13,"Vizcarra @MilagrosLeivaG Dice que va a combatir la corrupción, cuando la corrupción es el propio gobierno. https://t.co/jCaPo8iao9"
14,"#JusticiaParaKeiko
#JusticiaParaKeiko
#JusticiaParaKeiko
#KeikoLibertad
#KeikoLibertad https://t.co/1cgH7xCCHA"
15,"RT @amerinoreyna: Sala Penal: Acusaciones sin sustento técnico, parece q se le volteó la torta a JDP y cía. Mucho Netflix."
16,"#JusticiaParaKeiko 
#JusticiaParaKeiko
#JusticiaParaKeiko
#KeikoLibertad 
#KeikoLibertad 
#KeikoLibertad https://t.co/KDOaIHaMQg"
17,@elscorpione1950 @diariocorreo @MartinVizcarraC Su larga trayectoria exonerando a Martín Vizcarra principal instiga… https://t.co/0wLum7JXR7
18,"#JusticiaParaKeiko
#KeikoLibertad https://t.co/slgIpzkSqG"
19,"#JusticiaParaKeiko
#JusticiaParaKeiko
#JusticiaParaKeiko
#KeikoLibertad
#KeikoLibertad 
#KeikoLibertad https://t.co/4SUAPDWzEc"
20,RT @Gatitadelsur: @Wolfdruida @BankadaFP @jovenesconkeiko #JusticiaParaKeiko #JusticiaParaKeiko #KeikoLibertad
21,"#JusticiaParaKeiko
#JusticiaParaKeiko
#JusticiaParaKeiko
#JusticiaParaKeiko
#JusticiaParaKeiko
#KeikoLibertad… https://t.co/UQhgFD99gX"
22,RT @Gatitadelsur: #JusticiaParaKeiko #JusticiaParaKeiko #KeikoLibertad https://t.co/aZAcBL3YIg
